"","names","coefficients","sign","antilog"
"210","PFF0410w",0.0279577824029866,"POS",1.0283522689433
"211","PF14_0506",0.0274370366155819,"POS",1.0278168982394
"212","PF14_0700",0.0273781361892882,"POS",1.02775636116879
"213","PFB0200c",0.0272482216323397,"POS",1.02762284932923
"214","PF13_0310",0.0271254489617367,"POS",1.02749669307208
"215","PFL2280w",0.0268203236620792,"POS",1.02718322566156
"216","PFE0915c",0.0267341595355456,"POS",1.02709472312905
"217","PFA0590w",0.0266031446571726,"POS",1.02696016725343
"218","PF07_0099",0.0261550334372829,"POS",1.02650007797339
"219","MAL13P1.193",0.0259117003489466,"POS",1.02625032692681
"220","PFE1515w",0.0258652226778689,"POS",1.0262026303101
"221","PF07_0090",0.0257553423012934,"POS",1.02608987697344
"222","PFF0720w",0.0256925770701049,"POS",1.02602547622618
"223","PF10_0299",0.0256543262185389,"POS",1.02598623062858
"224","PF10_0221",0.025637232297918,"POS",1.02596869265129
"225","MAL13P1.337",0.0252649963919202,"POS",1.02558686133553
"226","PFE0925c",0.0252079086068073,"POS",1.02552831452434
"227","PF14_0100",0.025095210437147,"POS",1.02541274587267
"228","PFB0520w",0.0250716514400159,"POS",1.02538858846129
"229","PF13_0225",0.0250410683190773,"POS",1.02535722935762
"230","PF13_0147",0.0245406646298688,"POS",1.02484426517258
"231","PFI0420c",0.0244585879143356,"POS",1.02476015277324
"232","PF13_0279",0.0244439901568318,"POS",1.02474519368222
"233","PFI1110w",0.024443599119438,"POS",1.02474479296861
"234","PFE0865c",0.0241446621493511,"POS",1.02443850464782
"235","PF14_0583",0.0241432719136574,"POS",1.02443708043783
"236","PFI0455w",0.0240636776583981,"POS",1.0243555443763
"237","PFF0805c",0.0239060698105101,"POS",1.02419411062542
"238","PFD1175w",0.0236318188500148,"POS",1.02391326291999
"239","PFE0655w",0.0236244362640712,"POS",1.02390570382023
"240","MAL13P1.343",0.0233947536646553,"POS",1.02367055750216
"241","PFE1010w",0.0233214712570265,"POS",1.02359554320774
"242","PF14_0404",0.0232284320658853,"POS",1.02350031313647
"243","PFB0715w",0.0232109132068466,"POS",1.02348238273582
"244","PFE1180c",0.0231593129764268,"POS",1.02342957217157
"245","PF11_0356",0.023081179772423,"POS",1.02334961146386
"246","PFF0115c",0.0230749274046013,"POS",1.02334321312568
"247","PF10_0111",0.0229656966800729,"POS",1.02323143870978
"248","PF14_0097",0.0228558073955252,"POS",1.02311900271692
"249","PF11_0064",0.0228437465566956,"POS",1.02310666311794
"250","PF14_0699",0.0228197159814477,"POS",1.02308207757169
"251","PF14_0120",0.0227241372144673,"POS",1.02298429732113
"252","PFC0465c",0.022707909163525,"POS",1.02296769641454
"253","PFF0685c",0.0225702348030733,"POS",1.02282686968551
"254","PFL1280w",0.0224983488457355,"POS",1.0227533454395
"255","PF10_0210",0.0224065511531844,"POS",1.02265946335149
"256","PFL0890c",0.0223595502025379,"POS",1.02261139851408
"257","PFC0950c",0.0222403379591129,"POS",1.02248949798127
"258","PF10_0277",0.022196133404935,"POS",1.02244430028784
"259","PF14_0282",0.0221663712441849,"POS",1.02241387058905
"260","PFI1655c",0.0221551641713911,"POS",1.02240241238658
"261","PFF1240w",0.0221143415567221,"POS",1.02236067609876
"262","PF14_0083",0.0220913521963658,"POS",1.02233717295093
"263","PF11_0205",0.0220882919743635,"POS",1.022334044377
