"","MAL13P1.124","MAL13P1.201","MAL13P1.294","MAL13P1.332","MAL13P1.337","MAL8P1.152","MAL8P1.35","MAL8P1.53","MAL8P1.55","PF07_0116","PF10_0159","PF10_0195","PF10_0257","PF10_0286","PF10_0340","PF10_0348","PF10_0374","PF11_0096","PF11_0141","PF11_0146","PF11_0212","PF11_0276","PF11_0404","PF11_0414","PF11_0471","PF13_0013","PF13_0031","PF13_0036","PF13_0088","PF13_0095","PF13_0209","PF14_0121","PF14_0133","PF14_0178","PF14_0185","PF14_0214","PF14_0261","PF14_0286","PF14_0292","PF14_0314","PF14_0346","PF14_0415","PF14_0439","PF14_0545","PFA0300c","PFB0715w","PFB0820c","PFC0225c","PFC0315c","PFC0570c","PFC0610c","PFC0705c","PFC0960c","PFD0180c","PFD0295c","PFE0335w","PFE1430c","PFE1550w","PFF0610c","PFF0625w","PFF1395c","PFI0230c","PFI1275w","PFI1510w","PFI1545c","PFI1580c","PFI1655c","PFL0420w","PFL0450c","PFL0565w","PFL0980w","PFL1335w","PFL1400c","PFL1815c","PFL2220w","D_class","Class","Compound"
"MMV48TP1","-0.203625718","-0.3720024748","-0.213254338"," 0.122982222","-0.66124265"," 0.4539481962","-0.220643019"," 0.931185945","-0.064342057"," 0.278620054"," 0.23658918","-0.365994194"," 0.167955026","-0.246452722","-3.282491e-02","-1.4288949414","-0.528890153"," 0.916277240","-0.0927534898"," 0.099805572","-0.1108015646"," 0.4490325875"," 0.2282342641","-0.046000889"," 2.111788e-01","-0.028556478"," 0.181627117","-0.228145211"," 0.19973946"," 0.01787364","-0.5272811525"," 0.4031263887"," 0.502626742","-0.041808920"," 0.247693067"," 0.1324550210","-0.438137016","-8.831973e-01"," 0.1576475337","-0.172721676","-0.7543377315"," 0.442983775"," 0.387567808"," 0.0976076216"," 0.872182548"," 0.449431302"," 3.327901e-01"," 0.416596918","-0.0773035211"," 0.136165281","-0.009674273","-0.238171261","-0.2738900226"," 0.2591073156","-1.18377976"," 0.4584798230"," 0.347766904"," 0.320275800","-0.078860196"," 0.549665864","-0.271215338"," 0.823740670","-0.067702511","-0.185229818","-0.02095339"," 0.614680385","-0.38211361","-0.1122272963"," 0.686135856","-0.13490722","-0.3525183740"," 0.182869654","-0.478917000"," 0.141351301","-0.810138764",17,13,"MMV48"
"MMV48TP2"," 0.350709662","-0.5691430480"," 0.465617423","-0.492257946","-0.51181680"," 0.3637174319","-0.392867949","-0.468214235","-0.246162821"," 0.166997281"," 0.25711274"," 0.683241602"," 0.407052701","-0.435605103","-1.236095e-01"," 0.3410489713"," 0.074536715","-0.008074238","-0.2090881681","-0.224659856","-0.3474664135","-0.0313715786"," 0.3270991403","-0.404728463","-1.336481e-02"," 0.189518216","-0.209661950"," 0.008847217","-0.18444894","-0.06557708","-0.0889055570"," 0.1255231043","-0.610716269"," 0.239649988"," 0.138473476"," 0.0684388983","-0.113144413","-9.042348e-01"," 0.4454329464"," 0.297167771"," 0.7293913480","-0.352890484","-0.212721066","-1.1794948920","-0.046771736"," 0.512941563"," 5.049655e-01"," 0.142168642","-0.1433009780"," 0.469407418"," 0.263598671","-0.439506447"," 0.1338650383","-0.0391059143"," 0.44079701"," 0.2972213421","-0.202705764"," 0.038580650"," 0.356311192"," 0.496175167","-0.356515717","-0.107798120"," 0.244092219"," 0.064887973","-0.28243204"," 0.108035480","-0.42585130"," 0.3067787747","-0.023158143"," 0.01632625"," 0.1623190010","-0.148024121","-0.159336024"," 0.179132383"," 0.349827078",17,13,"MMV48"
"DFMO_TP19"," 0.174430658"," 0.0242905872","-0.164340871"," 0.008190074","-0.21693771"," 0.2461197968","-0.474094697","-1.086475960","-0.518144277"," 0.420490083","-0.47160953"," 0.466725063"," 0.517563113","-2.304202339","-9.137247e-01"," 0.0072580347"," 0.361795953","-0.189033923","-0.8583724357","-0.428508756","-0.2179855464","-0.0999209022"," 0.2588062700","-0.435022244","-3.088439e-01"," 0.172593078"," 0.238500170"," 0.566464729"," 0.58658560","-1.86563928"," 0.4291026093"," 0.0966268257"," 0.458613028"," 0.122399889"," 0.588791134"," 0.3129589084"," 0.558597578","-2.342853e-01"," 0.0046863364"," 0.675450362"," 1.0384890401"," 1.121746067","-0.414804728","-0.3686889292","-0.364884107","-0.423222978"," 4.198774e-02"," 0.068721116","-0.6090511107","-0.087928635"," 1.459558058","-1.058450148"," 0.2254443619","-0.0594753763","-0.25448243","-0.0468181194"," 0.164585501"," 0.536017669"," 0.238240067","-0.186237629"," 0.393095179"," 0.598155730","-0.293477080","-0.114194127","-0.42375482"," 1.239730602"," 0.29114934","-0.0360846521"," 0.339113877"," 0.23944732"," 0.4748863921","-0.636967637","-0.486533096","-0.034059546"," 0.286752035",18,14,"DFMO"
"DFMO_TP27","-0.096675517","-0.1171714877"," 0.031227036","-0.596339918","-0.35106845"," 0.7551572208","-0.484298960","-2.049994147","-0.938374693"," 0.438765058","-1.04644356"," 0.174795073"," 1.188837791","-1.259929542","-1.195183e+00","-1.9366478601"," 0.185306402"," 0.057936125","-1.5058909387","-1.056906773","-0.1808605474"," 0.5571494779"," 0.3262848069","-0.683075877"," 4.160372e-01"," 0.573990916"," 1.010189444"," 0.244364684","-0.02248984","-2.43196180"," 0.3007962933"," 0.0036627922","-0.754707836"," 0.097417533"," 0.641572210"," 0.8997833812","-0.009143227","-2.171840e+00"," 0.4928890847"," 1.044695341","-0.6189470338","-0.531301966","-0.276751298","-0.8032968508"," 0.327879520","-0.038678405"," 7.086160e-01","-0.458475527","-1.7770123768","-0.899038807"," 0.002987427","-1.383321245"," 0.4536579087"," 0.0738536345","-0.34079261","-0.0364952900","-0.041292531"," 0.536113203"," 0.905818403"," 0.279045885","-0.921261980","-1.877795302"," 0.217647280"," 0.509472630","-0.21279956","-0.007627319","-0.61301805","-0.0765363517"," 0.064154817"," 0.02836992"," 0.9918124024","-0.943187468","-0.038745497"," 0.398816733"," 0.678528404",18,14,"DFMO"
"DFMO_TP34","-0.283709648"," 0.0991250616"," 0.133447522","-0.416145710","-0.17987168"," 0.7235887955","-0.507853373","-1.730166286","-0.867715291"," 0.193345219","-1.13167029"," 0.001076918"," 1.049026082","-0.988274291","-1.153316e+00","-4.3146034669"," 0.407953669"," 0.148301260","-1.4166496534","-1.092461319","-0.0229717367"," 0.5527564513"," 0.3575149069","-0.498455711"," 6.575943e-01"," 0.351262738"," 0.629985130"," 0.196294627"," 0.12366534","-2.06214761"," 0.0592277297","-0.3555745819","-1.246565693","-0.167433577"," 0.579771330"," 1.2516793100"," 0.090912435","-1.298264e+00"," 0.5907877449"," 0.449764271","-1.8770630489","-0.611555099","-0.362437699","-0.7258539059"," 0.763949497"," 0.395379889"," 5.984946e-01","-0.033118390","-1.6163647498","-1.032558220","-0.091109385","-1.379766545"," 0.5098931227"," 0.1391123563","-4.06355531"," 0.1091135186","-0.108711002"," 0.159195300"," 0.810839074"," 0.351493511","-0.291481307","-1.635973480","-0.145850643"," 0.360827614","-0.23755956","-4.128061955","-1.15255124","-0.9339355390"," 0.227667226","-0.12812172"," 0.9205644322","-1.173746630","-0.254291095"," 0.116252484","-0.380854938",18,14,"DFMO"
"IonoTP1"," 0.377163633","-0.0092152533","-0.034153903"," 0.327676714"," 0.04936054","-0.0471412794","-0.104617647","-0.158562635"," 0.075496610","-0.100147379"," 0.31076764","-0.398320778"," 0.058004350"," 0.034794080"," 9.188501e-02","-0.5462721524","-0.991562164","-0.004147753"," 0.1243066512"," 0.202210270","-0.0191640348","-0.0058320161","-0.0395875553","-0.113423160"," 5.333502e-02","-0.030649393"," 0.038984434"," 0.017476942","-0.11353879","-0.47283748"," 0.0385824187","-0.2337725275","-0.076177320","-0.104838501","-0.008913986","-0.0265271440"," 0.052402962","-1.003434e-01"," 0.0133934089","-0.267046664","-0.1194683624","-0.221579963"," 0.059716392","-0.0821098130","-0.174626906"," 0.036850894"," 2.674086e-02"," 0.140352438"," 0.0125263570"," 0.002640951","-0.156160853","-0.176526176"," 0.2074497346"," 0.0597393046"," 0.03527864"," 0.0650617003"," 0.036051707"," 0.157917040","-0.521342691"," 0.081400314"," 0.234687751","-0.181108542","-0.193132126"," 0.018783678","-0.12682722"," 0.369681195"," 0.16117585","-0.0001380428"," 0.055093109"," 0.01790121","-0.0325756287","-0.125555600"," 0.009809704"," 0.229983845","-0.015434759",19,15,"Iono"
"IonoTP2"," 0.098505433","-0.0379686539"," 0.014784524"," 0.130290271"," 0.04352903","-0.0039526725","-0.024801052"," 0.188923131","-0.007948337","-0.131725876"," 0.17261423","-0.037610627","-0.072585943","-0.006423618","-7.542242e-03","-0.2611549713","-2.537759995","-0.028725540"," 0.0827855023"," 0.040610891","-0.0652294369","-0.0259827176","-0.0399313077","-0.062375045","-5.577578e-01","-0.010594073"," 0.040468478","-0.084729534","-0.06609701","-0.14334597"," 0.0346942831","-0.2136534808"," 0.116582528"," 0.061479690"," 0.015234903"," 0.0056845020","-0.039333536","-2.271313e-02","-0.1318890136","-0.011595010","-0.0003319011"," 0.144330439","-0.012104250"," 0.0392977349","-0.097472633","-0.032536112","-1.511431e-01"," 0.015521653"," 0.1860844555","-0.017696203","-0.178341708","-0.089792665"," 0.3563196161"," 0.1096901389","-0.38767372","-0.0957775272","-0.010192862","-0.100141440","-0.836659248","-0.021859963"," 0.030772991"," 0.830400841","-0.052623321","-0.002798419"," 0.04986751","-0.225596253"," 0.07412070"," 0.2630038216"," 0.074486530"," 0.01499192","-0.0929600558"," 0.074023926"," 0.023995010"," 0.240588290"," 0.073631051",19,15,"Iono"
"IonoTP3"," 0.093464461"," 0.0479590025","-0.034410196","-0.110708587","-0.06959307","-0.0546001402"," 0.061486575","-0.309013216"," 0.049085645"," 0.280519415","-0.25706432"," 0.728001940","-0.061165124","-0.036927963","-2.570312e-01","-0.5081246169","-1.257439076","-0.092281232"," 0.5387124436"," 0.367834872","-0.0162284823"," 0.0307760929","-0.0388245182"," 0.346881098","-1.141774e+00","-0.054275915"," 0.103112111","-0.422205376"," 0.14153022","-0.14861647"," 0.0221587805","-0.1548009957","-0.320705477","-0.182835122","-0.030113534","-0.0707618705","-0.126163099"," 1.890675e-01","-0.1726328880","-0.254484092","-0.2339224482"," 0.482368902","-0.080547763"," 0.2135657141"," 0.183131927","-0.101730077","-1.775911e-01","-0.025836112"," 0.1812279021","-0.043460917"," 0.250265537"," 0.206875246"," 0.1244754330","-0.0131757850","-0.24557348","-0.1327674664","-0.085554848"," 0.356349927","-0.321635121","-0.052856166","-0.076403130"," 0.006035306","-0.124664576","-0.032217500","-0.05587249"," 1.263585537"," 0.20178507"," 0.4383402012","-0.075406117","-0.07181664"," 0.0771303189"," 0.452581241","-0.048340497"," 0.049843175"," 0.289570518",19,15,"Iono"
"IonoTP4"," 0.631064984","-0.0952068971","-0.043834609"," 0.074678759"," 0.10278637","-0.1296586177","-0.080824005"," 0.384571744","-0.093119866"," 0.299537949"," 0.03946857","-0.137776185","-0.064282696","-0.011606415"," 1.240019e-03"," 0.0766310318","-1.781208933","-0.102189741"," 0.2064141588"," 0.228827182","-0.1018837997","-0.6975924430","-0.0345749007"," 0.170921785","-5.939339e-01","-0.059079755"," 0.144364788","-0.299219036","-0.02716836"," 0.25685826"," 0.0237439433","-0.1500789572","-0.141136635"," 0.235142167","-0.040544897"," 0.0675111585"," 0.034148960"," 2.886139e-02","-0.0641641330"," 0.242303628","-0.0064868187"," 0.526949714","-0.028327706"," 0.2243379461"," 0.058322517","-0.074667263","-3.400128e-02","-0.043879517"," 0.3936114445","-0.157403114","-0.148323388"," 0.163995447"," 0.2071945367","-0.0008096966"," 0.48096134","-0.0378220520"," 0.030205207"," 0.525014285","-0.774974302"," 0.029766650","-0.020499570"," 0.420964725","-0.038832094","-0.012279236"," 0.04316916"," 0.938733864"," 0.04190697"," 0.4463826491","-0.049197830"," 0.04178396","-0.1056576564"," 0.796513441","-0.006330144"," 0.085729953"," 0.471768596",19,15,"Iono"
"IonoTP5"," 0.662901303"," 0.0188663926","-0.059729762","-0.332458612","-0.07928706","-0.1333958953","-0.021041852"," 0.751175081"," 0.023983185"," 0.645887132"," 0.19848440","-0.283646398","-0.042574951"," 0.008118227","-1.140660e-01","-0.2711314312","-1.728970663","-0.141090448","-0.0707552215"," 0.037648946","-0.1130838889","-1.1230784683","-0.0299037669"," 0.103559799","-1.035778e+00","-0.182703585"," 0.069862717","-0.583395150"," 0.03346491"," 0.17645833","-0.0893074128"," 0.0012580816","-0.181180299"," 0.351587051","-0.092824401"," 0.2443375152"," 0.020446668"," 2.428369e-01"," 0.0796821620"," 0.491769298","-0.4060253935"," 0.763615350"," 0.051106889"," 0.0499107652"," 0.092828802","-0.126621004"," 1.230222e-01","-0.129624475"," 0.1415389379","-0.145895590","-1.392494914"," 0.026881058","-0.0067367132","-0.0478685450"," 1.69409155","-0.0501001267","-0.009967698"," 0.772292812","-1.600727153","-0.054707359","-0.031786401"," 0.063981132","-0.076588637","-0.066419564","-0.03636022"," 0.616633709"," 0.03169786"," 0.3139127706","-0.113842107","-0.01012756","-0.2597802544"," 0.935987124","-0.013901600"," 0.017011252"," 1.118990020",19,15,"Iono"
