"","MAL13P1.124","MAL13P1.135","MAL13P1.137","MAL13P1.179","MAL13P1.206","MAL13P1.256","MAL13P1.262","MAL13P1.293","MAL13P1.322","MAL13P1.338","MAL13P1.40","MAL7P1.171","MAL7P1.18","MAL7P1.29","MAL7P1.65","MAL7P1.75","MAL7P1.94","MAL8P1.105","MAL8P1.123","MAL8P1.132","MAL8P1.153","MAL8P1.91","PF07_0074","PF07_0079","PF08_0018","PF08_0032","PF10_0020","PF10_0085","PF10_0111","PF10_0132","PF10_0136","PF10_0152","PF10_0191","PF10_0299","PF10_0307","PF10_0374","PF11_0079","PF11_0087","PF11_0090","PF11_0162","PF11_0252","PF11_0260","PF11_0290","PF11_0329","PF11_0435","PF11_0438","PF11_0527","PF13_0032","PF13_0042","PF13_0095","PF13_0137","PF13_0170","PF13_0219","PF13_0350","PF14_0041","PF14_0071","PF14_0112","PF14_0238","PF14_0360","PF14_0384","PF14_0455","PF14_0499","PF14_0540","PF14_0552","PF14_0562","PF14_0593","PF14_0642","PF14_0713","PF14_0719","PF14_0730","PFA0330w","PFA0430c","PFA0490w","PFB0270w","PFB0295w","PFB0395w","PFB0590w","PFB0920w","PFB0923c","PFC0090w","PFC0375c","PFC0400w","PFC0965w","PFC0980c","PFD0285c","PFD0470c","PFD0545w","PFE0165w","PFE0205w","PFE0260w","PFE0430w","PFE0450w","PFE0585c","PFE0815w","PFE1280w","PFE1340w","PFE1390w","PFF0150c","PFF0200c","PFF0325c","PFF0690c","PFF0715c","PFF0875w","PFF0965c","PFF1150w","PFF1155w","PFF1280w","PFF1390w","PFI0500w","PFI0710c","PFI0855w","PFI0905w","PFI1185c","PFI1425w","PFL0580w","PFL0625c","PFL0685w","PFL0885w","PFL0980w","PFL1135c","PFL1270w","PFL1490w","PFL2200w","PFL2370c","PFL2520w","D_class","Class","Compound"
"Staurosporine_H1"," 0.151460335","-0.064570748"," 0.389469770"," 0.4863817385"," 0.53638397"," 0.723265972"," 0.0730580830"," 0.2652044660"," 0.4388526852"," 0.797540903","-0.555632340"," 0.0235254814"," 0.296171209"," 0.055317501"," 0.050085814","-0.193231874"," 0.120273950"," 0.354288032","-0.4278535299","-1.0847930649"," 0.496036396","-0.567336863"," 0.426362602"," 0.056513161"," 0.2857714249"," 0.1550873585"," 0.6623366257","-0.032082640"," 0.789366495"," 0.3646994350"," 0.7445384228","-0.005730501","-0.370467188","-0.330259724"," 0.151544025"," 0.020725293","-1.017808819"," 0.686725096"," 0.085988870"," 0.605947479","-0.145597669"," 0.0365342693"," 1.460407789"," 0.924061181"," 1.013402912"," 0.5850795743"," 0.10126437","-1.206067988"," 0.3147255423"," 1.15366070","-0.0893759857"," 1.006196741","-0.184392933"," 0.052512162"," 0.312088032","-0.1200778847","-7.874631e-01"," 0.085547390"," 0.048974931"," 0.600709864"," 0.244527410"," 0.069979702","-3.053444e-01","-0.1861830639"," 0.07676512"," 0.2180301372","-0.068172860"," 0.007658657","-0.9848395293","-0.535738125"," 1.153872225"," 1.040383596"," 0.2856400052","-1.217710253","-0.2183534513","-0.304651154","-0.732406617","-0.209142034","-0.257737955"," 0.020260163"," 0.097514473"," 0.482262193"," 0.832678101"," 0.222853313"," 0.445242646"," 0.757715046"," 0.436017310","-0.069386369"," 0.117370324","-1.41512061"," 0.365375641","-0.043726844"," 0.3364182634"," 0.151440897","-0.112724108"," 5.127875e-01","-0.0243415011","-0.153440397"," 0.67751398"," 7.967653e-01","-0.350150417"," 0.211594551","-0.0471356010","-1.081005648","-0.639373929"," 0.714559872"," 0.157947241","-1.3481769226","-0.655628997"," 0.188657510"," 0.2715344658","-0.273936558"," 1.103982619"," 0.207601080"," 0.457207086"," 0.57636729","-1.099107988"," 0.3211324420","-1.0490072368","-0.649904744"," 0.621936392"," 0.817326898","-0.07316901"," 0.109854296"," 1.085454988",5,4,"Staurosporine"
"Staurosporine_H2"," 0.132678321","-0.158889075"," 0.424432971"," 0.4797870090"," 0.37597378"," 0.540909358","-0.0310216916"," 0.3759268816"," 0.4642365568"," 0.957789042","-0.924414276"," 0.2617060543"," 0.076172397"," 0.308104185"," 0.166149980"," 0.349711550"," 0.586765314"," 0.477692454","-0.2651529450","-1.0736721412"," 0.635636861","-0.813684540"," 0.370233242"," 0.346365233"," 0.1473746287"," 0.1406071999"," 0.3376847696"," 0.275862708"," 0.657056731","-0.0793026120"," 0.3136402095"," 0.635042707"," 0.079049394","-0.098353023"," 0.171215694"," 0.017285295","-1.332148220"," 0.729637790"," 0.002173771"," 0.504010456","-0.390294286","-0.1373940486"," 0.861945691"," 1.245801696"," 1.237952525"," 0.2729347203","-0.06652596","-0.566839326"," 0.3190363006"," 1.25066355","-0.2381817797"," 0.787813777"," 0.059368713","-0.063208157"," 0.258622088","-0.6657257516","-1.081739e+00"," 0.183910751"," 0.026837967"," 0.483664341"," 0.233941261"," 0.134592273"," 3.450369e-02","-0.4647706206","-0.42127102"," 0.4211562508"," 0.032676219"," 0.289219962","-0.8229760676"," 0.054509790"," 1.353953203"," 0.873298633"," 0.2632459698","-0.872423700","-0.4935007031","-0.229004942","-0.784022835"," 0.144078722","-0.199675919","-0.353749425"," 0.380895763"," 0.285278172"," 0.809686369"," 0.261592726"," 0.609824829"," 1.021308508","-0.011081481","-0.678905998"," 0.489175072","-1.27496704"," 0.272991102"," 0.250673951"," 0.3786505496"," 0.317328423"," 0.021000156"," 5.792641e-02","-0.1845435482","-0.069081162"," 0.64575449"," 8.130667e-01","-0.259831727"," 0.566168760"," 0.1870706989","-1.336130921","-0.654481885"," 0.705507545","-0.002503440","-1.3890268857","-1.025366928"," 0.159117343"," 0.6849579819","-0.975179845"," 1.340025593"," 0.511625484"," 0.485632274"," 0.59223078","-1.222026348"," 0.2724693447","-1.1909913666","-0.578145402"," 0.426785850"," 0.721152205"," 0.33914833"," 0.172238859","-0.141369695",5,4,"Staurosporine"
"Staurosporine_H4"," 0.070029021","-0.120727608"," 0.085399162"," 0.2779781282"," 0.39719160"," 0.153645605","-0.3184632960"," 0.0574637408"," 0.2907098972"," 0.782798213","-0.797826384"," 0.3375863893"," 0.119129146","-0.022237433"," 0.255507973","-0.014190384"," 0.145686841"," 0.057883159","-0.0771765185","-0.6320348406"," 0.150879165","-0.532256803","-0.240336131","-0.208312300","-0.0064798332","-0.1164238096"," 0.5587106640"," 0.460182862"," 0.279819223"," 0.0338749098"," 0.0934381083"," 0.110866646","-0.300399371"," 0.382674043"," 0.294460080"," 0.331399243","-1.223104318"," 0.250792411"," 0.383418973"," 0.534219067","-0.354562760","-0.4618153994"," 1.161689356"," 0.430028925"," 1.136284958","-0.1209858340","-0.01499715","-0.854097290"," 0.6036769957"," 0.81664872","-0.2008295760"," 0.040710175"," 0.190361859"," 0.224665360"," 0.426526476","-0.1888429674","-8.277430e-01"," 0.568103756","-0.025575086"," 0.354191837"," 0.237047697"," 0.396871427","-1.865864e-01","-0.2998992583","-0.20923508"," 0.1231651563"," 0.018109113"," 0.246538131","-0.4674614722"," 0.189883561"," 0.518785550"," 0.741151745"," 0.1869725459","-0.810244623","-0.7623583925","-0.883660939","-0.493278346"," 0.244426466","-0.368937166","-0.273776312"," 0.235835967","-0.149159395"," 0.175459527"," 0.493298531"," 0.664313868"," 0.226353240"," 0.032359682","-0.475326381"," 0.215036657","-1.09731508"," 0.538124241"," 0.270970535"," 0.2956434351","-0.050962039","-0.358278416"," 1.075813e-01"," 0.0606282179"," 0.006692407"," 0.39755102"," 2.043355e-01","-0.062723330"," 0.063730297","-0.3821245094","-0.967642259","-0.075129010"," 0.227740534","-0.189312340","-0.3245053360","-0.607121655","-0.260912068"," 0.6046066620","-0.048595292"," 0.953237168"," 0.020726438","-0.133268171"," 0.17425690","-0.735399870","-0.2102728394","-0.9261884920","-0.154593557"," 0.319264401"," 0.537765199"," 0.21192037","-0.398344903","-0.880352096",5,4,"Staurosporine"
"Staurosporine_H6"," 0.004952358"," 0.409106525","-0.140044842"," 0.3059940113"," 0.42194562"," 0.242045873"," 0.1325624515"," 0.0942111754","-0.3043494746"," 0.566620339","-0.806918817"," 0.5560368841","-0.477440749","-0.644080933","-0.051830854"," 0.726477845"," 0.543559474"," 0.214875841","-0.1586826124","-1.0616116537"," 0.435529800","-0.881820235","-0.498057607","-0.040115904","-0.0725570177","-0.6447141545","-0.1194090806"," 0.383746187","-0.078870589"," 0.0835630468"," 0.0752596871","-0.152601189"," 0.326114061","-0.035896607"," 0.154891221","-1.441187445","-0.965163038","-0.035653705"," 0.331965054"," 0.151663511","-0.698311801"," 0.1208793291"," 0.537737357"," 0.447420754"," 1.196854755"," 0.1090463732","-0.20357202","-0.747216872"," 0.5716533422"," 1.17072821","-0.3173023326"," 0.862047247"," 0.157245306"," 0.249528961"," 0.395529438","-0.3610452682","-7.830628e-01"," 0.271892683"," 0.083337873","-0.005469496"," 0.136253558"," 0.024419776","-2.172201e-01","-0.6614805797","-0.13593043","-0.1293076525","-1.035592702","-0.295401476","-0.9961150914","-0.199775669"," 0.713391563"," 0.679821716"," 0.3909465778","-0.745774882","-1.0872605947","-0.591964689"," 0.103625545","-0.429865893","-0.356919544","-0.252464474"," 0.373461733"," 0.553467512"," 0.420200473"," 0.378447863","-1.040388967"," 0.393991919"," 0.341960660","-0.643867048","-0.149837298","-1.57295938"," 0.484629473"," 0.349684506"," 0.4177293111","-0.726345133"," 0.204268255"," 5.877940e-01","-0.3164742993"," 0.376172777"," 0.42966816"," 5.600842e-01"," 0.031791660","-0.293810940"," 0.0460219198","-1.140527846","-0.459016158"," 0.112646604","-0.085121963","-0.8891242149","-0.634896651"," 0.127547933"," 0.8652050589","-0.691955481"," 0.398353142"," 0.701142172"," 0.032626463"," 0.41418671","-1.182598426"," 0.1397481120","-1.0869873757","-0.382809024"," 0.279204740"," 0.792326658"," 0.76930610"," 0.130469149","-1.858127301",5,4,"Staurosporine"
"Staurosporine_H8"," 0.061963673","-0.383040965","-0.214399778"," 0.1557445791","-0.44714879"," 0.043484320"," 0.0537055418","-0.0505710027"," 0.3899064198"," 0.613929786","-0.742986838"," 0.3198252662","-0.300427346","-0.473111894","-0.033683738"," 0.278448001"," 0.115849479","-0.028560443","-0.0580960128","-0.4289553964","-0.082531898","-0.560651475"," 0.769032497","-0.156021233"," 0.4077123248"," 0.0522798288","-0.2655547395","-0.459116387"," 0.159155708","-0.0093099864"," 0.0869717584"," 0.279563116","-0.037720470"," 0.613271120"," 0.173383203"," 0.240194830","-0.552776967"," 0.758179593"," 0.115248314","-0.257051900","-0.465148343"," 0.3388174101"," 0.303479340"," 0.127035978"," 0.673566141"," 0.0008764602","-0.17286456","-0.851538678"," 1.1423076607"," 0.94778864","-0.0588640900"," 0.278119217","-0.366620721","-0.570055957"," 0.461812502","-0.1497320255","-2.587804e-01"," 0.583408874","-0.641359875"," 0.465167728"," 0.484378619"," 0.018263401","-3.129193e-01","-0.6109407394"," 0.72800398","-0.3384177957"," 0.219941083"," 0.052918418","-0.7225626017","-0.054009186"," 0.509465367"," 1.029811199"," 0.4054344785","-0.759123031","-1.0511837590","-0.398371766","-0.186654265"," 0.111421384","-0.492691210","-0.885241049"," 0.304188735"," 0.390404870"," 0.248488848"," 0.487222192"," 0.769916009"," 0.035410037"," 0.260022645","-1.387439523","-0.061848180","-0.38631464"," 0.538611887"," 0.602222545"," 0.0240743302","-0.129192750","-0.336397912"," 9.808222e-02"," 0.2933269556","-0.204282333"," 0.47270778"," 1.947113e-01"," 0.162819637"," 0.227294688"," 0.0625030871","-1.104322484"," 0.104828261"," 0.128946823"," 0.033992027"," 0.0232214408","-0.634263865","-0.405673459"," 0.3473742948","-0.245107583"," 1.496049064"," 0.084762530","-0.105976309"," 0.02543294","-0.585252856","-0.4297729330","-0.3740082777","-0.555358112","-0.119571629"," 0.002743488"," 0.07658413","-0.610019710","-2.440822603",5,4,"Staurosporine"
"Staurosporine_H10","-0.059897290","-0.002659869","-0.185153866"," 0.1847171945","-0.14483590","-0.347265510"," 0.0008938315","-0.3220273464"," 0.5019730725"," 0.690135649","-0.464985766"," 0.4446775567","-0.165419791","-0.163169439","-0.044443760"," 0.523584992"," 0.018961723","-0.221322897","-0.1200797229"," 0.4723451650"," 0.011465208","-0.010115530"," 0.715472944"," 0.045680806"," 0.2068770112"," 0.0014451064","-0.6000806927","-0.571493262"," 0.284765806","-0.1440780367"," 0.2414066332"," 0.389966808"," 0.011942276"," 0.464598564"," 0.426504094","-0.066162873","-0.206961203"," 0.206665143"," 0.123865594","-0.345657870","-0.495463656"," 0.1574404118"," 0.610791571","-0.143080866"," 0.614897123","-0.0333862342","-0.28372740"," 0.249313607"," 1.0213495496"," 0.43913972"," 0.1563395065"," 0.705971689"," 0.518770784","-0.508419314"," 0.282017114","-0.3735363522","-3.398417e-01"," 0.271007371","-0.421091471"," 0.705860729"," 0.342994939"," 0.126600195","-3.156619e-02","-0.6568642708"," 0.24163642"," 0.0219538802"," 0.554204380","-0.138930636","-0.5259704551"," 0.173497472"," 0.388134165"," 0.941255296","-0.5668225975","-0.728174439","-1.5572772091","-0.073874730"," 0.621024383","-0.179099805","-0.243756199","-0.875348565"," 0.155390746"," 0.059895593","-0.034163649"," 0.371531017"," 0.406548580"," 0.099916806"," 0.208279281","-0.750591439"," 0.074360218"," 0.10655756"," 0.366735346"," 0.596062432","-0.0429038799"," 0.269002403","-0.086324848"," 2.191226e-01"," 0.3366777758","-0.114694463"," 0.35148928"," 1.978395e-02"," 0.279898364"," 0.346924667","-0.1471677285","-0.732918414","-0.010846951"," 0.110055977","-0.184007001","-0.3288942984","-0.997062343"," 0.217867744"," 0.3777171725","-0.641411870"," 0.695956566"," 0.155517669"," 0.194455467"," 0.07909328","-0.434181768","-0.7201130845","-0.5381789368","-0.275444533","-0.198581190"," 0.281721960","-0.19412403","-0.553142994","-1.510178311",5,4,"Staurosporine"
"Staurosporine_H12","-0.216564202","-0.732855988","-0.526412894","-0.5135580511","-0.95238872","-0.652966464"," 0.6171378025","-0.6348176666"," 0.2893507778"," 1.478385041","-0.637454426"," 0.0286660334","-0.671407232","-0.202458669"," 0.083813251"," 0.103387676","-0.489143552","-0.652422369"," 0.1815995783"," 0.5744567335","-0.533640508","-0.676019152"," 0.747780104"," 0.115527340"," 0.5873487432"," 0.3927892183","-0.2387708216","-1.164549356"," 0.169967444","-0.3394862323"," 0.2563648673"," 0.067379273"," 0.128382927"," 0.664383334"," 0.191854695","-0.072826587"," 0.059223269"," 0.826463255","-0.276232814","-0.631756226","-0.098250390"," 0.1772746000"," 0.409261043","-1.854037219"," 0.002388495","-0.2877096514","-0.09846165"," 0.274416430"," 0.9498484364"," 0.76386837"," 0.6379424812"," 0.480316870","-0.580015786","-0.825455143","-0.313685890","-0.0761395253"," 3.467657e-01"," 0.022264381","-0.636475896"," 0.863896391"," 0.078521618"," 0.112046018"," 2.334518e-01"," 0.0699906836"," 0.53177605","-0.0837182870"," 0.680194680","-0.194558259"," 0.3118063998","-0.056906788","-0.326334444"," 0.577048511"," 0.3344630469","-0.923167809","-1.2722967574","-0.404501023"," 0.645126482","-0.470390493","-0.843811587","-1.068382827"," 0.172994957"," 0.037412200","-0.640982721"," 0.489546607"," 0.515278265","-0.283158347"," 0.367090334","-1.304894858","-0.811366553"," 1.20703878","-0.112048867"," 0.639333330"," 0.0502331806"," 0.117035107","-0.111286635"," 1.278239e-01"," 0.9786075894","-0.536222571","-0.23446345","-2.213754e-02"," 0.428751686","-0.358931338","-0.4085707143"," 0.082988737","-0.694561434"," 0.034220958","-0.911710320"," 0.2817034215","-0.716618411"," 0.209473272"," 0.3422835778","-0.374902159"," 0.814524788","-0.354820438"," 0.011909157","-0.16527089","-0.121506161","-0.8162441336","-0.6524491861"," 0.582841303","-0.600159368","-0.523537688","-0.02173066","-0.596238843","-1.913596124",5,4,"Staurosporine"
"Cyclosporine_H1"," 0.368769724","-0.436213743","-0.186668032","-0.5493278956"," 1.03618738","-0.643547286","-0.3280190325"," 0.1419777417","-0.1625588006","-0.089662824","-0.168244859","-0.0005270903","-0.019127933"," 0.417483483","-0.275663554","-0.609683422","-0.562276351"," 0.080849093"," 0.5078271338"," 0.2418416072"," 0.280547565"," 0.185539250","-0.128746076","-0.747901451"," 0.0378906633"," 0.8055116027"," 0.3130324283","-0.532219188"," 1.207203960"," 1.2538960857"," 0.3906016393","-0.007902723","-0.458382618"," 0.134708355","-0.603237389"," 1.011293231"," 0.464967693"," 0.567738024","-0.230898091","-0.667060140","-0.474170005","-0.3257420363"," 1.468803921","-0.499339186","-0.534622181"," 1.0927701834","-0.09113152","-0.549730021","-0.1496973920"," 0.01271036","-0.2280204764"," 0.579388199","-0.163520314","-0.449183976","-0.163282930","-0.2029452511"," 4.551929e-01","-0.056557642","-0.471443952"," 0.115773031","-0.499833065","-0.303390755","-7.496363e-01","-0.1369075659"," 0.84090836"," 0.0915364930","-0.350059504"," 1.077081427","-0.1962380558","-0.387086292"," 0.178437305","-0.009671135","-0.6776933590","-0.413586060","-0.3365286350"," 0.041551572","-0.441926953","-0.016688593","-0.627219819"," 0.428755611"," 0.192195045","-1.063427845"," 0.583412829","-0.498003247"," 0.008832909","-0.483973372","-0.231571904","-0.594195082","-0.492431777","-0.52933427"," 0.037364330"," 0.006803604","-0.2498273747","-0.428859299"," 0.803765989"," 3.702836e-01","-0.0553646451","-0.416065626"," 0.35800914"," 7.012334e-02"," 0.671064448"," 1.023406388","-0.3585328669"," 0.132391681","-0.588648464","-0.414361924","-0.089352653","-0.3477278082"," 0.026994915"," 0.480369731","-0.1296021326","-0.586507329"," 0.098424500"," 0.322447916","-0.026874022"," 0.28559299","-0.613998531"," 0.0532147523","-0.4632963493","-0.451718075"," 0.600793009","-0.379635369","-0.28077751","-0.375146483"," 0.231437829",6,5,"Cyclosporine"
"Cyclosporine_H2"," 0.301373712","-0.457576078","-0.092879603","-0.2536438966"," 0.56889482","-0.291270346","-0.1620489114"," 0.3983274289","-0.1659188322","-0.393319468"," 0.050596795","-0.1385454763","-0.111764606","-0.034452998","-0.074650616","-0.805358409","-0.350511621","-0.001954956"," 0.2433021970"," 0.1150720025"," 0.222024058"," 0.315829579","-0.024315570","-0.853025877"," 0.2550435340"," 0.1683857038"," 0.2982194712","-0.344137521","-0.010400623"," 0.8214869077"," 0.1283068502","-0.111900045","-0.228551152"," 0.250518318","-0.179946925"," 0.820602308"," 0.623298879","-0.021392405","-0.134930008","-0.329289406","-0.261108007","-0.3159018895"," 1.156333437","-0.120825361","-0.145645502"," 0.6408176780","-0.07206720","-0.424618242"," 0.0684388771","-0.14385907","-0.2575973797"," 0.027800614","-0.144862258","-0.169558262","-0.289693636","-0.0480112260"," 6.815847e-01"," 0.001231259","-0.285768714"," 0.260250739","-0.024921587","-0.415837538","-3.874231e-01","-0.0135053439"," 0.82053621"," 0.3083563964","-0.272796983"," 0.567851074","-0.2046128310","-0.347906550"," 0.058902783"," 0.121713987","-0.2350925796","-0.325968892","-0.1286670860"," 0.310960959"," 0.032754726","-0.087090313"," 0.167768584"," 0.281615743"," 0.040653801","-0.389414728"," 0.430721740"," 0.016625495","-0.057951481","-0.507752804","-0.162732679","-0.160384831","-0.274072932","-0.24613167"," 0.204294988","-0.166717396","-0.3034352649","-0.021445492"," 0.570764068"," 7.810819e-02","-0.2310184599","-0.348945694"," 0.04455787"," 1.662965e-02"," 0.344887578"," 0.661684366","-0.1564621043"," 0.110949573","-0.196589129","-0.361118090","-0.407375531","-0.2374567493"," 0.135015776"," 0.070969195"," 0.0824962027","-0.155147551"," 0.459256704","-0.139231055","-0.354781215","-0.01089974","-0.409957680"," 0.0035901529","-0.2625500087","-0.036750990"," 0.122746870","-0.627670618","-0.12035211","-0.269698594"," 0.543894957",6,5,"Cyclosporine"
"Cyclosporine_H4"," 0.230110721","-0.260713725","-0.201378551","-0.4266984572"," 0.86984930","-0.504302923","-0.2938187987"," 0.3145100386","-0.0511834977","-0.208480321","-0.060717685","-0.3739454678","-0.258404993","-0.679281522"," 0.183149329","-0.781774851","-0.402702353"," 0.179092289"," 0.5779825913"," 0.1977665357"," 0.127090729"," 0.240021382","-0.281645022","-0.544264529"," 0.2545056215"," 0.3629084144"," 0.4241445325","-0.217843413"," 0.660655644"," 1.1339567562"," 0.2177775033","-0.235941012","-0.279410701"," 0.289479259","-0.400401608"," 0.138430164"," 0.567973954","-0.807298316"," 0.043294006","-0.435031542","-0.323310560","-0.4532272236"," 1.733084603","-0.271118440","-0.210581382"," 0.8456171998","-0.02071482","-0.460035069","-0.1347496149","-0.23776087","-0.2182261493"," 0.413768312","-0.147200327","-0.104168369","-0.123930758","-0.1561865269","-2.903683e-02","-0.165409475","-0.356964695","-0.093777813","-0.244573605","-0.344848174","-4.338308e-01","-0.0642509690"," 0.78003757"," 0.4062751036","-0.148700622"," 0.888138666","-0.0988884726","-0.705967453","-0.065232826"," 0.014148399","-0.2831826680","-0.182237621","-0.1753244545"," 0.012197511","-0.352455773","-0.055480465","-0.306052958"," 0.206497838","-0.042274656","-0.675505467"," 0.444105890","-0.267761257"," 0.178704718","-0.465510978","-0.244757174"," 0.150880083","-0.398004748","-0.57060405"," 0.209308160","-0.002305715","-0.1369560572","-0.265417593"," 0.820195897"," 3.441568e-01","-0.1400351192","-0.610846988"," 0.15803175","-9.855776e-02"," 0.459789863"," 0.862093179","-0.3053732604"," 0.069416498","-0.271476573","-0.256507295","-0.188562730","-0.4282865342"," 0.395438460"," 0.261802426","-0.1338232479","-0.466093602","-0.054465480","-0.423583412","-0.073641472"," 0.09498360","-0.341829863"," 0.0270744492","-0.2568822430","-0.038013433"," 0.462677825","-0.334389244"," 0.36719950"," 0.019594286"," 0.655414404",6,5,"Cyclosporine"
"Cyclosporine_H6"," 0.132608385","-0.377995325","-0.075262884","-0.3909956274"," 1.12425231","-0.144268817","-0.3631734960"," 0.0264521794"," 0.3163952224","-0.344223770"," 0.056407880","-0.3388458662","-0.152834744","-0.366763379","-0.448487520","-0.729128962","-0.423831972","-0.016427385"," 0.2820388267","-0.1222954260"," 0.324152449"," 0.158434260","-0.020309413","-0.268381683"," 0.2584881761"," 0.5384224900","-0.0255674425"," 0.003003495"," 0.986137848"," 0.3884423357"," 0.2962774717","-0.158285608","-0.236817419"," 0.010798816","-0.471021731"," 0.715920002"," 0.353732952"," 0.204068021","-0.116564631","-0.184148542","-0.366941748","-0.3053650517"," 1.378663308","-0.021804396"," 0.038967276"," 1.0406557114"," 0.46122859","-0.599196639","-0.1703764549","-0.20493663","-0.2534679237","-0.237414492","-0.124828474","-0.101788224","-0.159712311","-0.1778226264","-2.141715e-02","-0.273719238","-0.488621173","-0.115624790"," 0.232914731","-0.154932891","-2.891027e-01","-0.1132100916"," 1.52972171"," 0.2443172492","-0.621033282"," 0.718928821","-0.1404963449","-0.298503135","-0.014608490"," 0.205066852","-0.4303493047","-0.370835519","-0.3400793290"," 0.456676727","-0.273096589"," 0.430375514","-0.569827522","-0.186724553","-0.183727647","-0.197418542"," 0.569619503","-0.379625515","-0.179366892","-0.088812782","-0.098819540","-0.076711533","-0.345859231","-0.84145845"," 0.221932274","-0.164114950","-0.2480369305","-0.427243223"," 0.726265968"," 1.197579e-01","-0.3042739821","-0.036531595"," 0.54563196","-6.426670e-02"," 0.634748960"," 0.912992145"," 0.1324635331"," 0.039324178","-0.499047918","-0.041218086","-0.421098225","-0.4732541795","-0.056760958"," 0.535473491","-0.1991137218"," 0.476660521","-0.121132380","-0.556345240"," 0.016606343"," 0.15077687","-0.165373616"," 0.2327797528","-0.1428514247","-0.434484727"," 1.179622773","-0.126393663"," 0.13177850","-0.088834799"," 1.094326834",6,5,"Cyclosporine"
"Cyclosporine_H8"," 0.451804920","-0.686481372","-0.117020541","-0.7871716053"," 1.09498767","-0.069779677","-0.4097935683"," 0.1640378485","-0.3076501231","-0.134586626","-0.428965227"," 0.0681407066"," 0.034053602"," 0.178853696"," 0.030378331","-0.780870223","-0.764609094"," 0.110745262"," 0.3827835299"," 0.0840684005"," 0.428883575"," 0.005714495","-0.291178406","-0.445260424"," 0.0004120633"," 0.7536653987"," 0.2592372833","-0.188023197"," 0.614465511"," 0.9443024748"," 0.4070134351","-0.102215329","-0.522232066","-0.160705856","-0.437743609"," 0.887189978"," 0.177384511"," 0.291342553","-0.082911938","-0.180798629","-0.359165827","-0.2666571356"," 1.321718707"," 0.120064647","-0.049188646"," 1.1703130968"," 0.40509547","-0.387107064","-0.2591310242","-0.05772741","-0.0466821396"," 0.448957390"," 0.020854804"," 0.237973851","-0.347787148","-0.5078058901"," 1.488347e-01","-0.473423386","-0.371833631"," 0.103932223","-0.253768419","-0.239723807","-2.615632e-01","-0.0796971217"," 1.00824053"," 0.3446686744","-0.765208036"," 1.157288984"," 0.0664842334","-0.187916771"," 0.388388494"," 0.419453685","-0.5759828469","-0.088159762","-0.3418191253"," 0.302685149","-0.345510240"," 0.210262294","-0.328882771"," 0.279610676"," 0.292400630","-0.767435430"," 0.594956612","-0.468392943"," 0.175990015","-0.268585894"," 0.199824997","-0.008102426","-0.222297417","-0.66498983"," 0.242647261","-0.212382303","-0.1025562415","-0.137160585"," 0.744241025"," 1.795227e-01","-0.1137695740","-0.284108986"," 0.67345755"," 3.723438e-01"," 0.794942141"," 0.592092402"," 0.0001095511"," 0.027307867","-0.694455205","-0.169778101","-0.139183686","-0.1381916902"," 0.310689455"," 0.399807889","-0.5498393756","-0.228201109"," 0.127263089","-0.347095179","-0.235779271"," 0.33178973"," 0.021863812"," 0.1165261470","-0.3928775942","-0.486151033"," 0.746654584","-0.125473663"," 0.11638677","-0.349870518"," 1.108592567",6,5,"Cyclosporine"
"Cyclosporine_H10"," 0.420260927","-0.032688473","-0.107083905","-0.3391801897"," 0.68234926","-0.207675945","-0.2534188556"," 0.1926855893"," 0.0100631278","-0.107301474","-0.041466264","-0.0173362178","-0.141954576","-0.352845327","-0.102578768","-0.696164061","-0.444600635"," 0.072310937"," 0.5662835543","-0.0496415135"," 0.206841976","-0.019419783","-0.138223968","-0.645615979"," 0.2448819447"," 0.5832018373"," 0.3814850815","-0.059117632"," 0.064715098"," 0.9470678233"," 0.9350237795","-0.434978597","-0.488510210","-0.043715100","-0.243529239","-0.888085043"," 0.419796554"," 0.442125233","-0.076127985","-0.156474425","-0.244151878","-0.4388602734"," 1.165527244","-0.058310864","-0.087875929"," 0.6461328826","-0.26952995","-0.485703465","-0.3704003404","-0.16879826","-0.1233335235"," 0.373311854","-0.056573572","-0.098431358","-0.394763500","-0.2216285274"," 1.338874e-01","-0.098025346","-0.201801045"," 0.058488878","-0.213330702","-0.443200059","-2.996806e-01","-0.0126744695"," 0.29061787"," 0.1906254695","-0.317785538"," 0.754145881"," 0.0214493260","-0.438911970"," 0.168101394"," 0.311748702","-0.1563729453","-0.152620565","-0.2737580468"," 0.544485973","-0.450516598"," 0.030080617"," 0.271002794","-0.041494484"," 0.248816106","-0.514321947"," 0.624503987","-0.161569934"," 0.076668189","-0.310342083"," 0.215657214","-0.047044822"," 0.022753410","-0.74222224"," 0.379874665","-0.095238741","-0.3945122061","-0.263905549"," 0.269536950"," 1.015369e-01","-0.0997282845","-0.463852111"," 0.21049606"," 2.239518e-01"," 0.375821728"," 0.115217286","-0.4373431801"," 0.258721246","-0.634811173","-0.291924268","-0.027095540","-0.1955531754"," 0.265519449"," 0.408868329","-0.3461501818","-0.305968720"," 0.118618083","-0.121450279","-0.289925212"," 0.18488073","-0.046446474"," 0.0960906806","-0.2785156626","-0.275968770"," 0.561609441","-0.071166085"," 0.09215938","-0.268691201"," 1.109520810",6,5,"Cyclosporine"
