"","MAL13P1.124","MAL13P1.179","MAL13P1.206","MAL13P1.262","MAL7P1.171","MAL7P1.18","MAL7P1.29","MAL7P1.75","MAL7P1.94","MAL8P1.105","MAL8P1.91","PF07_0074","PF08_0032","PF10_0084","PF10_0085","PF10_0111","PF10_0191","PF10_0374","PF11_0079","PF11_0087","PF11_0090","PF11_0162","PF11_0214","PF11_0260","PF11_0290","PF11_0435","PF11_0527","PF13_0032","PF13_0095","PF13_0170","PF13_0219","PF14_0041","PF14_0071","PF14_0112","PF14_0360","PF14_0499","PF14_0552","PF14_0593","PF14_0642","PF14_0713","PF14_0730","PFA0330w","PFA0430c","PFB0175c","PFB0295w","PFB0920w","PFC0090w","PFC0375c","PFC0400w","PFC0760c","PFC0965w","PFC0980c","PFD0470c","PFD0545w","PFE0165w","PFE0430w","PFE0450w","PFE0815w","PFE1255w","PFE1280w","PFE1340w","PFE1390w","PFF0200c","PFF0490w","PFF0595c","PFF0875w","PFF0965c","PFF1150w","PFF1280w","PFI1425w","PFL0580w","PFL1270w","PFL2055w","PFL2200w","PFL2520w","D_class","Class","Compound"
"HDATP1"," 0.433662985"," 0.5515956443"," 0.41888770","-0.3671411713"," 1.0986047434"," 1.187050882","-0.025088027","-0.054218921","-0.457378200"," 0.101708435","-0.246259324","-0.389071015","-0.3915275306","-0.094750604","-0.273064257","-1.487559756"," 1.120162412"," 0.360651106","-0.294204417"," 0.301635020"," 0.254037630","-0.516830830","-0.203295425","-0.0253834277"," 0.668513304","-0.308104350"," 0.79786161"," 0.201150734","-0.80491905"," 0.317417156"," 0.509321778"," 1.152399519","-0.2101276035"," 4.570213e-02"," 0.789741460","-0.368592920","-0.2924209947","-0.3077459455","-1.038829259"," 0.620033954","-0.255077818","-0.001461922"," 0.613968367","-0.580679770"," 0.4137182599"," 0.870640108"," 0.746242952","-1.469760319"," 0.325972146","-0.005928679"," 0.367126213","-0.662031167","-0.253557920"," 2.112803497"," 0.880615369","-0.222908349","-0.593935729"," 0.674259154","-0.6120469930","-1.365175371","-1.633028e-01"," 0.4444442211"," 0.39835576"," 0.772094909"," 0.030358974"," 0.3563599044","-0.478279948"," 0.421092401","-0.635553305","-0.208201919","-0.611344225","-0.534518458","-0.413034542"," 1.30768437","-0.873863268",1,1,"HDA"
"HDATP1.1"," 0.280499154"," 0.1461847853","-0.41935989","-0.2894859560"," 0.7158679690","-0.058054760","-1.058675749","-0.131819785","-0.522025311"," 0.247659432","-0.050618873","-0.111138149","-0.5416710351"," 0.294949206","-0.127049693","-0.633727446"," 0.389736784","-0.192086718"," 0.224010944"," 0.168115840"," 0.187614253","-0.523295718","-0.442711350","-0.1149349879"," 0.574073188"," 0.329926137"," 0.48435463"," 0.466493970","-0.10213417"," 0.387759870"," 0.325873840"," 0.478455893","-0.2766123472"," 4.050540e-01"," 0.479811389"," 0.207672998"," 0.2672118665","-0.0812724550","-0.634430446"," 0.397851621","-0.705360715"," 0.256740357"," 0.463856459","-0.576323564"," 0.5397152189"," 0.249238590"," 0.451847455","-0.173469224","-0.238625189"," 0.206776190"," 0.104571569","-0.358091435","-0.030586764"," 0.282701817"," 0.770591714","-0.014381658","-0.298466210","-0.258748444","-0.1048510149","-0.564258305"," 1.190556e-02"," 0.1748496199","-0.05209524"," 0.262077440","-0.019154252"," 0.4983639547","-0.148950566","-0.415638803","-1.008338781"," 0.264110179"," 0.040175970","-0.106395028","-0.181543288"," 0.29301562","-1.278378829",1,1,"HDA"
"HDATP2"," 0.048089475"," 0.9930801433"," 0.18569011","-0.1402458472"," 1.0212943515"," 0.657141006","-0.405513451"," 0.197998040","-0.496400129"," 0.191455976"," 0.002630108","-0.626236412","-0.3069392302"," 0.376151138","-0.035496543","-0.876430172"," 0.511221158"," 0.336350326","-0.165898715"," 0.227377058"," 0.344270716","-0.325536560","-0.673523934","-0.2008701571"," 0.895404992","-0.491562924"," 1.04950887"," 0.166184429","-0.08537403"," 0.126651284"," 0.762477237"," 0.773674180","-0.0320706501"," 2.585260e-01"," 0.917575474","-0.093617917","-0.6267005188","-0.2071628043","-1.006491060"," 0.474317856","-0.131707440","-0.379668486","-0.010116251","-0.492138701"," 0.6124485833"," 1.055087763"," 0.321200863","-1.793121727"," 0.085675271","-0.177801575"," 0.344770602","-0.968685198","-0.267457132"," 1.436313104"," 0.797107494","-0.053630205","-0.443509705"," 0.396614609","-0.6104179175","-1.125006747","-7.917846e-02"," 0.1410786752"," 0.34289732"," 0.412727438","-0.183274636"," 0.3361640448","-0.702122986"," 0.100165532","-0.333904415","-0.312134671","-0.345528719","-0.032235632","-0.272233055"," 0.64507826","-0.422831734",1,1,"HDA"
"HDATP2.2"," 0.140786520","-0.0869376888","-0.30096464"," 0.0197604449"," 0.6287404846","-0.261872206","-0.192191091","-0.273809503","-0.416542136"," 0.072718782","-0.152252745"," 0.183895550","-0.2351383049"," 0.294530053","-0.279269561","-0.852838207"," 0.265648614","-0.583802270","-0.033178064"," 0.029850579"," 0.188847148","-0.549825769","-0.384945457","-0.0941353215"," 0.292268026"," 0.326038814"," 0.22345964"," 0.408103549"," 0.01037766"," 0.327736655"," 0.090720209"," 0.154814107","-0.3962903509"," 2.681862e-01"," 0.212235510"," 0.189588333"," 0.4265600089"," 0.0087855788","-0.288439576"," 0.142750514","-0.639835157"," 0.470872460"," 0.362664113","-0.353704413"," 0.3496740876"," 0.162085881"," 0.295832531"," 0.114707604","-0.407308948"," 0.290240110"," 0.016086374"," 0.156792124"," 0.145920192"," 0.117391507"," 0.578470147"," 0.063478788","-0.003735549","-0.549648851"," 0.0990645168","-0.564096538","-1.474216e-03"," 0.1487170903","-0.03864190"," 0.306418894","-0.066941416"," 0.3986275880","-0.108909882","-0.308264460","-0.533089422"," 0.316519203"," 0.097326640","-0.498648135","-0.371966641"," 0.17463479","-1.497051807",1,1,"HDA"
"HDATP3"," 0.138395010"," 0.1742445028","-0.09165820","-0.1497778116"," 0.3156029362","-0.166752192"," 0.140289642","-0.129954689","-0.343272557"," 0.345615962"," 0.062079038","-0.060321485","-0.1134510308"," 0.309260462","-0.396716743","-0.760770922","-0.413850895"," 0.299636637"," 0.069105998"," 0.038216343"," 0.225334211","-0.370204638"," 0.097135830","-0.5905272703"," 0.809560808"," 0.066694768"," 0.57564540"," 0.091114282"," 0.39657541"," 0.600264820"," 0.162140764"," 0.237912064","-0.1362982653","-2.393189e-02"," 0.590943393","-0.138021314","-0.0746416939"," 0.1612558049","-0.295197936"," 0.031763690","-0.634904699"," 0.271075749"," 0.102950371","-0.887127238"," 0.6481549987","-0.206905018"," 0.404895309","-0.111828583","-0.549613356"," 0.217844716"," 0.071860778","-0.231474505"," 0.082196575"," 0.450953608"," 0.599975750","-0.352555848","-0.224811295","-0.167398141","-0.1095306672","-0.441467308"," 6.563746e-02","-0.1240985853","-0.42379332"," 0.144398089","-0.139073544"," 0.3114165011","-0.273132967","-0.167358371","-0.015863803"," 0.149963587"," 0.133635142","-0.149049785","-0.296141523"," 0.11691643"," 0.297935957",1,1,"HDA"
"HDATP3.3","-0.054201196"," 0.0505991429","-0.08781566","-0.1290632515"," 0.4871663800","-0.585080019","-0.201364434","-0.349566925","-0.398380811"," 0.256522535"," 0.012700692"," 0.156994231","-0.1269314880"," 0.477444879","-0.261463853","-0.606772983","-0.012811374"," 0.235180556"," 0.160004317"," 0.105608191","-0.015290308","-0.414262924","-0.181908677","-0.2212965711"," 0.317616432"," 0.240540678"," 0.37343813"," 0.222055543"," 0.05478049"," 0.090393441"," 0.240992923"," 0.519129100","-0.2160239878"," 3.460524e-02"," 0.328289270"," 0.185642985"," 0.0441228834"," 0.0304369571","-0.278265362"," 0.244406860","-0.908919612"," 0.393822862"," 0.180656612","-0.682325553"," 0.2100477968","-0.120033313"," 0.565712033"," 0.007083550","-0.498981075","-0.024300364"," 0.018900487","-0.201158224"," 0.245310110"," 0.093973096"," 0.471157589","-0.275298057","-0.404357832","-0.255129742","-0.2768996031","-0.504903578","-4.188021e-02"," 0.0877587268","-0.22959708"," 0.075230629","-0.071438421"," 0.1975745634"," 0.077842944","-0.177457330","-0.855607358"," 0.542456260"," 0.091309016","-0.343299257","-0.254091796"," 0.60405988","-1.264684826",1,1,"HDA"
"ACTTP1"," 0.202264094"," 0.0434920475"," 0.17112167"," 0.3877332147"," 0.5289123976","-0.120705055"," 0.321873851","-0.820423906","-0.275225525"," 0.229049271","-0.219858887","-0.091782120","-1.2714800299"," 0.314286946","-0.184103760","-0.609712455"," 0.443604036"," 0.193954445"," 0.109697423"," 0.620290456"," 0.184804187","-0.235787031","-0.003324658"," 0.2869779368","-0.009197840"," 0.240826377","-0.72307727","-0.763157584"," 0.24425936"," 0.166078215"," 0.327610209"," 0.428941401"," 0.4751231229","-7.380054e-05"," 0.189556861"," 0.087421418"," 0.0533097205","-0.4054104938","-0.465218240"," 0.164831810","-0.518705977"," 0.092452247"," 0.408632402"," 0.276849885","-0.1999888999"," 0.037003421","-0.308834917","-0.211725982","-0.174481381","-0.663367371","-0.051140706","-0.024164152"," 0.125725619"," 0.237069223"," 0.052327009","-0.008737414","-0.083220159","-0.231498675"," 0.0734072970"," 0.387670853","-1.711199e-01","-0.0383707790","-0.23038200"," 0.127053847"," 0.184753047","-0.2977171072"," 0.229857353"," 0.803219664"," 0.086195238"," 0.068353654","-0.064025358","-0.088109142","-0.156420851"," 0.22426203"," 0.423564468",2,2,"ACTd"
"ACTTP2","-0.516225196"," 0.4564693785","-0.43599932"," 0.5074935419"," 0.8395176549"," 0.091426207","-0.081875483"," 0.408114538","-0.039491402","-0.686272030","-1.298251225"," 0.408005432","-0.8500083553","-0.034164470","-0.066589012","-0.689272531"," 0.713311372"," 0.196059729","-0.252069499","-0.221971960"," 0.331770895"," 0.432540499"," 0.181163489"," 0.5406945381"," 0.088458114"," 0.137528182","-0.15494751","-0.081602112","-0.10529164"," 0.026828976","-0.080928775","-0.076521793"," 0.6385050838"," 3.799954e-01","-0.310712634","-0.136357538"," 0.1925791815","-0.3738045995","-0.006808500","-0.274203555"," 0.171843543","-0.532766521"," 0.318692310"," 0.555965955","-0.3646658101"," 0.040347006","-0.535363640"," 0.250690387"," 0.822321581","-0.325205250"," 0.076349344"," 0.579164217"," 0.624834718"," 0.696223376","-0.028936559"," 0.513967092"," 0.086051965"," 0.137784124","-0.0335929411","-0.263355253"," 5.419662e-02"," 0.8000469601"," 0.19230830"," 0.305175808","-0.235300632","-0.1599634264","-0.139954989"," 0.127128356","-0.132768927","-0.232705155","-0.170197943","-0.133486816","-0.218710957","-0.10447507","-0.109457660",2,2,"ACTd"
"ACTTP3","-0.427260943"," 0.0128850864","-0.30056712"," 0.7990526794"," 1.7138364861","-0.199208135","-0.124747265","-0.220853391","-0.230819720","-0.195579550","-0.369727489"," 0.107888686","-0.6427313060","-0.027932118"," 0.079842310","-0.587621610"," 1.671645560"," 0.044743722","-0.211682415"," 0.850917394"," 0.410518337","-0.103406810","-0.033592423","-0.4169283821","-0.409861874"," 0.815280224","-0.42956604"," 0.484218778"," 0.08971356"," 0.057951347"," 0.519285891"," 0.350603527","-0.2516767123"," 2.849938e-01","-0.078109948"," 0.901941267","-0.1265001794","-0.5771330069","-0.011000116","-0.070902547"," 1.128508797"," 0.293640542"," 0.663982850"," 0.375804772"," 0.2542751270","-0.226985499"," 0.122444665"," 0.221261188","-0.286903536"," 0.055098121"," 0.121409194"," 0.127187933","-0.137897916"," 1.320428263","-0.100173613"," 0.243268039"," 0.264957997","-0.097697549"," 0.4702768635","-0.517773150","-3.024591e-01"," 0.0393737712","-0.32470472"," 0.124003374","-0.007600644","-0.1839630876","-0.028275360"," 0.045918073","-0.263698745","-0.025116190","-0.274986334","-0.231129462","-1.144299839"," 0.27599636","-1.048793483",2,2,"ACTd"
"ACTTP4"," 0.061328012"," 0.8316955429","-0.57964395"," 0.7683048076"," 2.0315786669","-0.304166557","-0.193815414","-0.204925245","-0.542966036","-0.092724707","-0.625653241","-0.450211569","-0.5183377581","-0.601012885"," 0.385496495","-0.338768202"," 1.595284514"," 0.023136419","-0.699352264"," 0.681495240"," 0.173927058","-0.195246744"," 0.453495762"," 0.2242594186","-0.605867636"," 0.502594695"," 0.65874303"," 0.231544036","-0.11671821","-0.335294876"," 0.382644153","-0.122995618"," 0.2082600495","-1.554440e-01","-0.372843031"," 0.327032008","-0.0911109161"," 0.0645917702"," 0.117741607","-0.396171107"," 1.910645734"," 0.031444066"," 0.737625979"," 0.702184741","-0.0435794938"," 1.649281812","-0.831785229","-0.154242665"," 0.583532321"," 0.063397851","-0.229390939"," 0.331188264","-0.235841689"," 1.295289075","-1.070786885"," 0.382978540"," 0.653691754","-0.019515594"," 0.6385473398","-0.714992465"," 1.670119e-01"," 0.1564631947"," 0.50405548","-0.236155800"," 0.123227975","-0.9761859059","-0.226318937"," 0.068443434","-0.325758400","-0.929817595","-0.394823362","-0.386955734","-1.086733887","-0.13374600","-1.882239460",2,2,"ACTd"
