"","names","coefficients","sign","antilog"
"1","PF14_0642",1.28625765809419,"POS",3.61921683349761
"2","PF11_0527",0.781385835920857,"POS",2.18449752389578
"3","MAL7P1.29",0.72810413171294,"POS",2.07115025504963
"4","PF14_0719",0.716570840847994,"POS",2.04740029757827
"5","PF10_0374",0.691303295238201,"POS",1.99631562718087
"6","MAL7P1.18",0.670976604648903,"POS",1.95614677012519
"7","PFF1150w",0.654013273640235,"POS",1.92324386538719
"8","PF14_0238",0.649568220092464,"POS",1.91471391550703
"9","PFB0590w",0.646008403998243,"POS",1.9079100036174
"10","PF13_0137",0.630044707523672,"POS",1.87769452446024
"11","PFF0200c",0.62382662125987,"POS",1.86605508295857
"12","PFB0295w",0.608559782010948,"POS",1.83778268419453
"13","PFF0875w",0.602824007861719,"POS",1.82727175076941
"14","PFF0965c",0.572363485434566,"POS",1.7724512675734
"15","PFC0090w",0.556779598107914,"POS",1.74504369962857
"16","PF11_0290",0.541718446686917,"POS",1.71895826367866
"17","MAL7P1.171",0.53848872084146,"POS",1.71341545544085
"18","PF13_0170",0.51736304402124,"POS",1.67759805971524
"19","PF10_0132",0.515674964083712,"POS",1.67476852899635
"20","PF14_0249",0.507855307533529,"POS",1.66172348465383
"21","MAL13P1.124",0.502294491022665,"POS",1.65250859017831
"22","PFB0175c",0.501038718583209,"POS",1.65043471786318
"23","PF14_0041",0.496961684554654,"POS",1.64371953766739
"24","PFE0585c",0.487148561387983,"POS",1.62766840009445
"25","PF07_0074",0.482645457991462,"POS",1.62035531913129
"26","PF10_0299",0.481439771302564,"POS",1.61840285555792
"27","PF10_0191",0.469121724948538,"POS",1.59858957514577
"28","PF11_0438",0.442234351069417,"POS",1.55618039024306
"29","PF14_0360",0.437639001880477,"POS",1.54904560392176
"30","PF10_0152",0.431081541450143,"POS",1.53892103069335
"31","PFF0325c",0.418148797122909,"POS",1.51914670224425
"32","MAL13P1.206",0.412688115605786,"POS",1.51087373450417
"33","PFE0430w",0.411767106934975,"POS",1.5094828473021
"34","PFF0690c",0.410565398160431,"POS",1.50766997800811
"35","PFL2055w",0.39814656219829,"POS",1.48906225415253
"36","PF14_0713",0.395985262107718,"POS",1.48584741913081
"37","PFB0270w",0.384746582350532,"POS",1.46924194241988
"38","PF13_0095",0.366392521580269,"POS",1.4425213523029
"39","PF11_0162",0.366383253405276,"POS",1.44250798282453
"40","PF08_0032",0.364855936217808,"POS",1.44030649720067
"41","PFC0760c",0.356288446408338,"POS",1.42801939592879
"42","PF14_0562",0.352183713389552,"POS",1.42216977134971
"43","MAL13P1.338",0.341358121848852,"POS",1.40685697687898
