"","MAL13P1.301","MAL13P1.82","MAL7P1.122","MAL7P1.137","MAL7P1.18","MAL8P1.55","PF07_0049","PF07_0125","PF08_0054","PF08_0057","PF10_0060","PF10_0142","PF10_0215","PF10_0321","PF10_0374","PF11_0108","PF11_0141","PF11_0146","PF11_0170","PF11_0184","PF11_0276","PF11_0354","PF11_0396","PF11_0471","PF11_0527","PF13_0081","PF13_0107","PF13_0120","PF13_0131","PF14_0013","PF14_0041","PF14_0062","PF14_0133","PF14_0139","PF14_0238","PF14_0507","PF14_0512","PF14_0519","PF14_0598","PF14_0642","PF14_0719","PF14_0736","PFB0161c","PFB0530c","PFB0655c","PFB0745w","PFC0090w","PFC0885c","PFC0960c","PFD0625c","PFD1050w","PFE0285c","PFE0830c","PFE1320w","PFE1520c","PFF0200c","PFF0610c","PFF0875w","PFF0940c","PFF1150w","PFF1315w","PFF1370w","PFF1580c","PFI0915w","PFI1020c","PFI1175c","PFI1410c","PFI1580c","PFI1770w","PFL0175c","PFL0585w","PFL1125w","PFL1240c","PFL1815c","PFL2235w","D_class","Class","Compound"
"Chloroquine_H1","-0.547742624"," 0.315994168","-0.028942723"," 0.03577139"," 0.777687675","-0.813642991"," 0.081785983","-4.081771e-01","-0.374895294"," 0.074115820"," 0.8605978120"," 0.072023980","-0.0408064720"," 0.236192019"," 0.187668054"," 0.31788483","-0.1514036775","-0.135626188","-0.461051068","-0.5342802632","-0.4771524692"," 1.096633e+00","-0.034201460","-9.425453e-01","-0.84969202","-0.104759484"," 0.463637426"," 0.188158669","-0.292315111"," 0.161323038"," 0.329879254"," 0.32263819"," 0.329059716","-0.6439024619"," 0.351507412","-0.6240501806"," 0.461807089"," 0.6170417511","-0.474300544"," 0.190127308","-0.1449001387"," 0.05181450"," 0.10323947"," 0.071984288","-0.043690058"," 0.283147040"," 0.511916645","-0.604878148"," 0.4107508104","-0.129452601"," 1.4629879883","-0.377551041","-0.003174510"," 0.495709216","-0.036644810"," 1.00526409","-0.295545822"," 0.1611252069","-0.313748435"," 0.273244895","-0.246746798","-0.190127798"," 0.4389820086","-0.63785741","-0.354895831"," 0.059410124"," 0.35629613"," 0.867982150","-0.306761843","-0.2324745486"," 0.195839966","-0.2426533133","-0.438141407","-0.040452048","-0.0319940018",13,12,"Chloroquine"
"Chloroquine_H2","-0.766843740","-0.013245286","-0.103278784"," 0.30741601"," 1.119489479","-0.645715747"," 0.229525413","-2.378055e-02","-0.330456878","-0.020590796"," 0.6516608461","-0.100562250","-0.1928367509"," 0.294592028"," 0.219886835"," 0.11144117","-0.2744289527","-0.185772494","-0.244801306","-0.2587629810","-0.3449296238"," 1.493226e+00"," 0.149412659","-2.714793e-01","-0.27104526","-0.497174704"," 0.237549868"," 0.658163311"," 0.156215678","-0.139729554"," 0.217398404"," 0.13135404"," 0.294536938","-0.4363685192"," 0.585947217","-0.4509652530","-0.220723020"," 0.1865222272","-0.402082798"," 0.061486197","-0.1071179127","-0.17855964"," 0.09073693"," 0.136454281"," 0.139632297"," 0.010651975"," 0.447222527","-1.018366766"," 0.9081330877"," 0.225799425"," 0.7559018179","-0.017613228"," 0.156423438"," 0.352017980","-0.209525623"," 0.98981705","-0.306596056"," 0.2093479741","-0.250300572"," 0.012744005","-0.132869917"," 0.081974625"," 0.0614512992","-0.04499236","-0.550022548"," 0.362150392"," 0.15701808"," 0.171454602","-0.546049168","-0.8709282084"," 0.281432540","-0.0686067628","-0.158819651"," 0.119325538"," 0.0986889677",13,12,"Chloroquine"
"Chloroquine_H4","-0.554334535"," 0.009846718","-0.054022211","-0.02398272"," 1.357247595","-0.524205913","-0.090617916","-4.445707e-01","-0.357920453","-0.357834477"," 0.4490443528"," 0.149162598","-0.2831333835"," 0.050188810"," 0.298303662"," 0.39353222","-0.0368867729","-0.262548856","-0.139167216","-0.1213722570"," 0.3181949940"," 4.628015e-01"," 0.037454896","-3.716822e-01","-0.34236547","-0.123479377"," 0.157414407"," 0.248424523"," 0.422322454","-0.015116949"," 0.151512664","-0.70466547","-0.202287885"," 0.0795035407"," 0.316235804","-0.4049839083","-0.194422551","-0.5235906416","-0.322026468","-0.014678145","-0.1276199226","-0.45078441"," 0.23038385"," 0.146367834"," 0.134647571","-0.281577460"," 0.304711013","-0.833059120"," 0.2808077105","-0.136505044"," 1.1035969798","-0.187567720"," 0.182709574"," 0.212124727","-0.703611343"," 0.91641789","-0.293296147"," 0.1954239751","-0.413643729"," 0.213480098"," 0.038184237","-0.216415023","-0.2871241365","-0.37125581","-0.173233714"," 0.492244176"," 0.20349841"," 0.023330178","-0.664488768","-0.3519394981"," 0.023133968","-0.2503515712","-0.297729216"," 0.068681200","-0.2429043577",13,12,"Chloroquine"
"Chloroquine_H6","-0.240821062","-0.247174672","-0.100927191"," 0.19811105"," 1.358667290","-0.104409142"," 0.175942670","-6.699673e-01","-0.956840913","-0.080285745"," 0.1391907749","-0.167897049"," 0.0715549404","-0.106729382"," 0.062064179"," 0.13199615","-0.1794050571","-0.112666073"," 0.061503073","-0.2817681831"," 0.0037669944"," 5.271289e-01"," 0.230252966","-1.608428e-01"," 0.11488827","-0.313133118","-0.178006312"," 0.032030247","-0.103358217","-0.022829941","-0.129001852","-0.12213514"," 0.017033112"," 0.0007237533"," 0.245420799","-0.4377752308","-0.203440365","-0.2085044007","-0.624283169","-0.100540311","-0.0927285207","-0.24741298"," 0.15301941"," 0.050095262"," 0.189762526","-0.285523871"," 0.011197007","-0.790194079"," 0.2125589817"," 0.012908497"," 0.0892749536"," 0.180736095"," 0.270141236"," 0.113629635","-0.275556905"," 0.95017370","-0.155087149"," 0.0378174546","-0.084309617","-0.037853934","-0.071612258"," 0.043479825"," 0.0185020472","-0.02976225","-0.067868206"," 0.346398512","-0.14459852"," 0.081305828","-0.098617380","-0.3117556028"," 0.014753446"," 0.0202726096","-0.179188377"," 0.180073817"," 0.3309759739",13,12,"Chloroquine"
"Chloroquine_H8","-0.425543869"," 0.207460034"," 0.125927610"," 0.23092045"," 1.492036982","-0.119789367"," 0.201193586","-5.272739e-01","-0.825699674","-0.015963448"," 0.1616287713","-0.141606779","-0.0890612417","-0.178227088","-0.079454738","-0.06623096","-0.1868012721","-0.020409427"," 0.072194523","-0.0861320114"," 0.2011235670"," 8.915009e-01"," 0.008622820","-9.810381e-02","-0.05593670","-0.024538001","-0.144817389"," 0.271444514","-0.404208160","-0.046876688"," 0.164510200","-0.81758282","-0.156510554","-0.1178709624"," 0.097210860","-0.2980139502"," 0.098371153","-0.0177943546","-0.879454738"," 0.002506124","-0.2053124536","-0.30913341"," 0.37615616"," 0.019688686"," 0.006646517","-0.294659548"," 0.033979602","-0.488070383"," 0.2239188419","-0.018739148"," 0.4999160861"," 0.056138050"," 0.175209639"," 0.173087650","-0.775900021"," 1.89735797","-0.280334744"," 0.0934133779","-0.083580179"," 0.287704888"," 0.094516629"," 0.043484310","-0.2349846226"," 0.04657944","-0.211719435"," 0.363521423","-0.27485036","-0.108776311","-0.269453738","-0.2948755943"," 0.386258270"," 0.1840105692","-0.004650298"," 0.309703134"," 0.1971833130",13,12,"Chloroquine"
"Chloroquine_H10","-0.686890061","-0.201445218","-0.081693465"," 0.04691292"," 0.697143473","-0.374170739"," 0.066377224","-1.084152e+00","-1.522154838"," 0.021227983","-0.0002739219","-0.275212852","-0.2265671368","-0.018755330"," 0.384171927"," 0.32707739","-0.2200933645","-0.281564395"," 0.129408870","-0.4770055064","-0.0732196875"," 5.200558e-01"," 0.340551148","-8.040176e-01"," 0.33913180","-0.223367096","-0.099214678"," 0.301102342","-0.549255019","-0.146419290","-0.103013508","-0.12602125"," 0.364905054"," 0.0768836000"," 0.135952440","-0.5756560672","-0.021982273"," 0.0110902785","-1.670509894"," 0.057974008"," 0.0042131688","-0.40874741"," 0.01647239"," 0.064520955"," 0.240015962","-0.186028530"," 0.034576551","-0.308282007","-0.1073768743","-0.273421543"," 0.1814446398"," 0.149616398"," 0.245145774"," 0.259439090","-0.252372167"," 0.42101415"," 0.022621133"," 0.1221991506"," 0.144397416","-0.193849125"," 0.197577090"," 0.275515629","-0.5939651733","-0.85090891"," 0.101714720"," 0.251367131","-0.29266577","-0.420176566","-0.645536457"," 0.1144855980","-0.329600455"," 0.1239969041"," 0.094553779"," 0.190195083"," 0.1244595425",13,12,"Chloroquine"
"Febrifugine_H1"," 0.385739270"," 0.170697387"," 0.134222798"," 1.47349016"," 0.093566507"," 0.394844476"," 0.108370525","-2.349696e-03"," 0.704136743"," 0.352727564"," 0.1361309160","-0.172948589"," 0.1780203960","-0.040977015"," 0.131183663","-0.82937575","-0.2176808758","-0.059454018","-0.035038748"," 0.1405783339"," 0.0456936616","-2.356782e-01","-0.096187724"," 2.071658e-02"," 0.80312921"," 0.102326644"," 0.397574359","-0.073133348"," 0.022787510","-0.022530555"," 0.063061896"," 0.47643577","-0.236163857"," 0.2523203850"," 0.019994691"," 0.0872023385"," 0.277013837"," 0.3108763951"," 0.203833373","-0.094082911","-0.5154689781","-0.32198787","-0.97157256","-0.744557547","-0.021078061"," 0.080318547","-0.125861848"," 0.262954780","-0.4877906263"," 1.275522767"," 0.5061973193"," 0.117985242"," 0.029463912"," 0.092184557"," 0.074185169","-0.26439742"," 0.084113984"," 0.1461495235"," 0.070886473","-0.058031079","-0.144122049"," 0.135999250","-0.3061568975"," 0.34567998","-0.280730223","-0.314314047","-0.27552814"," 0.366241145","-0.677654832","-0.0601653221"," 0.254137313","-0.5281541099"," 0.339770371"," 0.002412559"," 0.2748736635",14,13,"Febrifugine"
"Febrifugine_H2","-0.099853370","-0.192520579"," 0.021214117"," 1.51386588","-0.311861240","-0.361915138"," 0.198062959","-1.895506e-01"," 0.216409032"," 0.256015758","-0.0814802602","-0.403253122"," 0.0601215533","-0.299373030","-0.028257792"," 0.02544441","-0.2342910359","-0.232400876"," 0.193337429"," 0.2782630451"," 0.3497468519","-2.017962e-01"," 0.541632335"," 4.568695e-02","-0.01124025"," 0.037999421","-0.122068993","-0.583680049","-0.354364291"," 0.290754101"," 0.120270496","-0.15351432","-0.458539921"," 0.2017051128","-0.078566519","-0.3115985314","-0.918764421"," 0.4326484080","-0.164337852"," 1.003471602","-0.5478273224","-0.66949748","-1.11594909","-0.500103594"," 0.138443346","-0.092682296","-0.055113210"," 0.334577164","-0.5716927861"," 1.856268158"," 0.2474160021"," 0.245484162"," 0.086331565"," 0.240465111","-0.046213795","-0.39117865"," 0.344524764","-0.1702583486"," 0.093103381"," 0.660792482","-0.045011975"," 0.064132049"," 0.2488489062","-0.56407168","-0.457916412"," 1.021875004","-0.29525048"," 0.989202275"," 0.108888171","-0.2774123567"," 0.508258317"," 0.1013094845"," 0.200577863"," 0.100089061"," 0.8230896651",14,13,"Febrifugine"
"Febrifugine_H4","-0.372193737","-0.124777303","-0.025039019","-0.03369500","-0.414699871","-0.410974879"," 0.230115220","-7.524729e-02","-0.266907096"," 0.015705313","-0.0645332677","-0.350504979"," 0.2804644879","-0.173476679","-0.174391043","-0.17943005","-0.4401655122","-0.431989219","-0.092921198","-0.1089514739"," 0.3308714058"," 3.474276e-01"," 0.304820059","-1.119779e-02"," 0.54804164","-0.002777157","-0.068225912","-0.844175401"," 0.103735079","-0.036973916"," 0.229057646","-0.07751749","-0.460197091"," 0.3762859768","-0.241643389","-0.1714644960","-0.233157067"," 0.3163223309","-0.132053790"," 0.488533297","-0.2179595145"," 0.12835023","-0.82388048","-0.231867810"," 0.105194802","-0.154985833","-0.109489147"," 0.013145183","-0.7562091984"," 1.595126754"," 0.0090252105"," 0.307399208"," 0.304419034"," 0.098177583","-0.167034920","-0.93839457"," 0.145926954","-0.0780591023"," 0.108267120"," 0.299908575"," 0.088805610"," 0.127726347"," 0.5161992501","-0.11516869","-1.291068199"," 1.120137203","-0.17804098"," 0.583864492"," 0.411294110","-0.7335163466"," 0.748228955","-0.5802531305"," 0.041016131"," 0.185188802"," 0.1828480687",14,13,"Febrifugine"
"Febrifugine_H6"," 0.512673221","-0.217798172","-0.020676018"," 0.20069542","-0.076534472"," 0.026526674"," 0.120959008"," 4.576402e-01","-0.575632992"," 0.374167717"," 0.0584546825","-0.536742810"," 0.1840527975","-0.161118009"," 0.238239261","-0.12671273","-0.4685167991"," 0.093257822"," 0.018162627"," 0.6375306003"," 0.5148770036"," 2.797329e-01"," 0.254635051"," 3.703109e-01"," 0.65849293"," 0.381951488","-0.340631367","-0.300313196","-0.240864921"," 0.229083431"," 0.216925742"," 0.13108514","-0.021923430"," 0.3892013319","-0.129830013","-0.1904232205","-0.794821815"," 0.4201156819","-0.042471753"," 0.808114417","-0.5786787989","-0.05122531","-0.53545616","-0.610114339","-0.111723725","-0.013355835","-0.208964293"," 0.429376264","-0.4124889270"," 0.965075699"," 0.3890394935"," 0.123200299","-0.086147346"," 0.030787101","-0.001561118","-0.15772626"," 0.497226789"," 0.1645789272"," 0.103859310"," 0.666059410","-0.016080874"," 0.134240337"," 0.2895883183","-0.13300713","-0.047828444"," 0.652407915","-0.13300031"," 0.560622643"," 0.039753999","-0.4858998977"," 0.331134083","-0.0820281946"," 0.088328340"," 0.257192246"," 0.5842304567",14,13,"Febrifugine"
"Febrifugine_H8"," 0.259818948","-0.170201881","-0.100482978"," 0.79414046","-0.048076738"," 0.120345437","-0.423933765"," 7.539193e-01","-0.506316837"," 0.536254511"," 0.1155243066","-0.013891504"," 0.0003545284","-0.082305696"," 0.202367185","-0.53054557","-0.3487595799","-0.681184762"," 0.072012801"," 0.8452213011"," 0.6654860195","-2.322657e-01"," 0.158641444"," 2.032270e-01"," 0.45715112"," 0.517620454"," 0.066445176","-0.241370205"," 0.030794544"," 0.068078301"," 0.119088149"," 0.28722516","-0.272543321"," 0.5625590640","-0.412576115","-0.1772477016","-0.110876814"," 0.4688209321","-0.180663751"," 0.865264372","-0.7742500128","-0.39578377","-0.49759623","-0.491234278"," 0.149660063","-0.306715022"," 0.017894351"," 0.367310739","-0.3540495277"," 1.440297787"," 0.0797393168"," 0.132287936"," 0.272710344"," 0.045419349","-0.061377087","-0.65066373"," 0.310317642"," 0.4440169829","-0.190551587"," 0.602948030"," 0.011974943"," 0.062904675","-0.8110266666","-0.55091577","-0.057358285"," 0.989378766","-0.06870252"," 0.419657857"," 0.301846478"," 0.0655925611"," 0.345829139","-0.2738906119"," 0.056931108"," 0.150244876"," 0.3648834020",14,13,"Febrifugine"
"Febrifugine_H10"," 0.049685871","-0.533083798","-0.513933315"," 0.48768426","-0.442669278","-0.262352950","-0.348310958"," 3.049181e-02","-0.597247202"," 0.133619439","-0.1933749867"," 0.058653445","-0.0663356617"," 0.079589342","-0.233674748","-0.40121396","-0.7093281632","-0.787780619","-0.098823306"," 0.6263617025"," 0.6024862019"," 5.400914e-02"," 0.234039779"," 5.685582e-01"," 0.17613108"," 0.471559786"," 0.098016471","-0.373067194","-0.112291811","-0.252201672"," 0.002233326"," 0.17037260"," 0.006707776"," 0.3809258624","-0.126445171","-0.0083694193"," 0.165666145"," 0.2191249909","-0.407240143"," 0.985522776"," 0.2628399827","-0.29315756","-1.02443604","-0.644373801"," 0.297683175","-0.089245835"," 0.019908087"," 0.091449038","-0.5948390605"," 0.949121883"," 0.2075510604","-0.191348730"," 0.613674815"," 0.327034443"," 0.099865389"," 0.13389155"," 0.257253689"," 0.0193193089","-0.204763094"," 0.532911878"," 0.521328279"," 0.236996121","-0.5182547016","-0.24119841","-0.327550491"," 0.852603027"," 0.19649705"," 0.025376699","-1.018883950","-0.8541341063"," 0.085477175","-0.4909499861"," 0.070211564"," 0.508819596"," 0.6570059322",14,13,"Febrifugine"
"Artemisinin_H1","-0.102408951"," 0.287363129","-0.023192498"," 1.20481360","-0.122440451","-0.493860422"," 0.180630523","-6.749653e-02"," 0.416445319","-0.916197053"," 0.1560393569","-0.293439804"," 0.1728170344"," 0.130769818"," 0.231292669","-0.35669492","-0.2348959231","-0.420138498"," 0.191233699"," 0.0004961258"," 0.5392741829"," 6.594687e-02","-0.085064440","-3.528470e-02"," 0.09677241"," 0.196407914"," 0.451795651","-0.114527223","-0.112566710"," 0.255924331"," 0.086552310"," 0.03375973","-0.939495957"," 0.3102478671","-0.666408410"," 0.0541554709"," 0.651475463"," 0.6695370641"," 0.259449302","-0.618891241","-0.4076015245","-0.13601776","-0.67169884","-0.255606751","-0.180130392","-0.339870424"," 0.135357659"," 0.378597871","-0.5779591341"," 2.117934740"," 0.3124055859","-0.031178209","-0.044976809","-0.008356121"," 0.106952109","-0.75007664"," 0.189815748"," 0.2031403749","-0.112136769"," 0.231607231","-0.280156473"," 0.169041759"," 0.1032283012"," 0.26145140","-0.435881692"," 0.376676977","-0.14046213"," 0.867261776","-0.951798654","-0.1683006597"," 0.412463444","-0.0706684534"," 0.127360443"," 0.051794656"," 0.4054599130",15,14,"Artemisinin"
"Artemisinin_H2","-0.159547759","-0.189196290","-0.152039379"," 1.12057659","-0.781886023","-0.737711191","-0.350943216","-1.668816e-01"," 0.599350605","-1.080988084","-0.2835557812","-0.122786479","-0.3781517196","-0.099942613"," 0.390871328","-0.30766403","-0.7665417468"," 0.028461521"," 0.194136287"," 0.3642252527"," 0.7992865899","-2.855845e-01"," 0.371683379"," 1.517153e-02","-0.31632388"," 0.409571138","-0.123331373","-0.612774013","-0.085967281","-0.105617107"," 0.098424556","-0.30926355","-0.519447663"," 0.0703713780","-0.410141648"," 0.0929154606"," 0.331690692"," 0.9182764261","-0.396463749","-0.220782504","-0.5320115910","-1.17944014","-0.90384254","-0.336013851"," 0.023786388","-0.588223740"," 0.181397586"," 0.850906195","-0.6276617126"," 1.079758113"," 0.3893894774"," 0.009490111"," 0.348634633"," 0.174951846","-0.054988380","-1.05567989"," 0.368098090","-0.1312697080"," 0.067680380"," 0.238806357"," 0.113053427"," 0.086182244","-0.5166489453","-1.02738570","-0.464538582","-0.250956307","-0.10026407","-0.369208635","-0.945021510","-0.0188955211"," 0.580643291","-0.2220129207"," 0.355791372"," 0.044197061"," 0.0217876278",15,14,"Artemisinin"
"Artemisinin_H4","-0.237972812","-0.045008477"," 0.153873207"," 0.41319611","-0.268262755"," 0.207217867","-0.581720966"," 3.066443e-01","-0.534223221","-0.555118628","-0.3189624577","-0.074155839"," 0.0126222526","-0.321062195","-0.089358955","-0.54974055","-0.7234971535","-0.044976534"," 0.404995807"," 0.6608531451"," 0.7220697228"," 1.975199e-01"," 0.441124912"," 3.977042e-01"," 0.62043725"," 0.215066399"," 0.250121528","-0.233814856","-0.098540819"," 0.153463604"," 0.476735080"," 0.56207675","-0.038685164"," 0.3222404661","-0.162362227"," 0.1884632742"," 0.734203250"," 0.5842844140","-0.097087736","-0.277224145","-0.3481250061","-0.63002901","-0.24958429","-0.165078773","-0.274423641","-0.245266170","-0.371790859"," 0.214972316","-0.5391458525"," 1.212924582"," 0.1271947840"," 0.340136605","-0.069351806"," 0.042544483"," 0.098024985","-0.72030139"," 0.528041227"," 0.2646493187"," 0.138160449"," 0.410455909"," 0.002608074"," 0.036865552"," 0.7343194500","-0.34518818","-0.319521820"," 0.034630897","-0.63724605"," 0.280741360","-0.834851045","-0.4532536930"," 0.705143628"," 0.1010668804"," 0.193381491"," 0.123572543"," 0.0862738926",15,14,"Artemisinin"
"Artemisinin_H6","-0.870419663","-0.286709722"," 0.175121002","-0.12849750","-0.895470472","-0.247640223"," 0.223006239"," 1.402431e-01","-0.950214431","-0.573062161","-0.5490779200","-0.261546730"," 0.0764554964","-0.325206607"," 0.141480842","-1.29263204","-1.5086962775"," 0.568257833"," 0.645222837","-0.1474034467"," 0.4712823496","-8.356244e-01"," 0.547716697"," 5.836192e-01"," 0.43210829","-0.699030630","-1.306606697","-0.454418104","-0.468283580"," 0.613571506","-0.062000760"," 0.34368602","-0.477064527"," 0.6104029029","-0.428784834","-0.3005261943"," 0.115868619","-0.0860698059","-0.176398291","-0.120926890","-0.4660421477","-0.17723629"," 0.15234980","-0.720327761"," 0.110527820"," 0.032613488"," 0.069373787"," 0.299389509","-0.5651518223"," 1.689623237","-0.6464256976","-0.045675618","-0.354489224"," 0.031157622","-0.284238540","-0.95867736"," 0.482336462","-0.1515749724"," 0.059125961"," 0.306290211"," 0.239731893"," 0.023694174"," 0.2536374968"," 0.28572042","-0.934635194"," 0.684030432","-0.24873581","-0.526587279","-1.432498383"," 0.8045454349"," 0.895799020"," 0.2657489384","-0.108310139"," 0.580306371"," 0.4609066026",15,14,"Artemisinin"
"Artemisinin_H8","-0.030395372","-0.678491741"," 0.032243672"," 0.05327299","-1.486057258","-0.694130231"," 0.891838511","-1.313936e-01","-0.334577436"," 0.071111418","-0.2092694583","-0.802657915","-0.8439131282"," 0.029985326"," 0.295793394","-0.76905014","-0.9515007428","-0.268051604"," 0.862648654","-0.0994874517"," 0.7944425863","-3.280293e-02"," 0.437189658"," 1.571380e-01"," 0.03167296","-0.099392621"," 0.012164713","-0.067707480","-0.245964489"," 0.187788488","-0.196409673"," 0.08298223","-0.001982562"," 0.6474107523","-0.798919250","-0.4119599918"," 0.252295152","-0.0428972198"," 0.053436210","-0.746741582","-0.7399337279","-0.54080012","-0.13107756"," 0.144372598"," 0.406339573","-1.042279838","-0.138472595"," 0.118754598","-0.4467495514"," 0.858801086"," 0.0386585165"," 0.453196785"," 0.280313170"," 0.147779252","-0.378068559","-1.35831642"," 0.720038794"," 0.1451912653","-0.018115820"," 0.105253128"," 0.257397031"," 0.354369407","-0.6217378273","-1.18944789"," 0.223490652"," 0.831323638","-0.45011121","-1.745145121","-1.391546183"," 0.2904974063"," 0.749444249"," 0.3192076558","-0.060494136"," 0.437223626","-0.1059776698",15,14,"Artemisinin"
"Artemisinin_H10","-0.082502645","-0.634907784","-0.107670180","-0.14133888","-1.011145423","-1.661082491"," 0.242364875"," 1.188516e-01","-0.648548983","-0.178628309","-0.2469185027","-0.405998775","-1.7675804799"," 0.258894580"," 0.560048922","-0.90002110","-0.7853635586","-0.764795626"," 0.729135721"," 0.3791052668"," 1.2026780369"," 1.305865e+00"," 0.726191270","-8.486994e-01","-0.16094106","-0.454568599","-0.357115661"," 0.131947040"," 0.204273488"," 0.209967861"," 0.103801261"," 0.74761998"," 1.031367213"," 0.7756162000"," 0.188360188","-1.1637853847"," 0.425261653"," 0.1553785488","-0.115843086","-0.177377579"," 0.1377077020"," 0.19073128","-0.10284662"," 0.045207589"," 0.592802408","-0.522028646","-0.728081661","-0.619027037","-0.2564270515"," 1.046909637"," 0.4638418965"," 0.286115848","-0.175180496"," 0.041339552","-0.932009816","-1.20452025"," 0.466308910"," 0.0526798522","-0.775004317","-0.027632947","-0.050555084"," 0.168512628","-0.0126730906"," 1.59955937"," 0.354607882"," 1.466920516","-0.84478607","-1.016524190","-0.189085238"," 0.5574905964"," 0.683988139"," 0.2092626330"," 0.027980228"," 0.519099536","-0.6475725569",15,14,"Artemisinin"
"MMV43TP1","-0.465150322","-0.418908783","-0.291020796","-0.66163415","-1.452641489"," 0.501267498","-0.233526133"," 1.232906e-01"," 0.613713245","-2.448050777","-0.2250395976"," 0.075269566"," 0.5144080364","-0.316486158","-0.216690353"," 0.33649864","-1.3316173307","-1.103274890","-0.162138826"," 0.1391094890"," 0.3652092908","-5.098276e-01"," 0.485617130"," 1.015832e+00","-0.91326730","-0.375661447","-0.175439324","-1.571358128","-0.388497697","-1.777375950","-1.739294473","-0.21952929","-0.151488617"," 1.2186269494","-0.437946540"," 0.5728335887"," 0.507124158","-0.5299423666"," 0.243462748","-0.031704732"," 0.5256420178","-0.63633379","-1.33854459","-0.211122549"," 0.723367833"," 0.288963114","-2.677411896"," 1.207804869","-0.6836596315"," 0.726928323","-0.2438664836"," 0.099360594"," 0.638344739"," 0.809436781","-0.421096321","-2.45684398"," 0.382977624","-0.2046203049"," 0.097252660"," 0.561640893"," 0.411022961"," 0.760067310"," 0.3702106221","-3.21926705"," 0.846487938"," 0.589537023","-1.07626593"," 0.116214671"," 0.199328129","-0.0860099795"," 0.253710832"," 0.5956552050"," 0.611069578"," 0.338604768"," 0.7972246560",16,15,"MMV43"
"MMV43TP2"," 0.118076935","-0.508625988","-0.112697665"," 0.13839007"," 0.368515126","-0.312918918"," 0.437870152","-6.817354e-01","-0.062944943","-0.263271886"," 0.0592885887"," 0.105510104","-0.5268281997"," 1.629705087"," 0.508783542"," 0.65976256","-0.3345303633","-0.312160671"," 0.160500278"," 0.3347629859"," 0.0211681216"," 4.573690e-01"," 0.591830096"," 2.235774e-01"," 0.30734326","-0.196818318"," 0.411840241"," 0.150885331"," 0.037805691","-1.126973659","-0.780007455"," 0.26250494","-0.579849110"," 0.6773227389"," 0.441453739"," 0.2089361681"," 0.040389863","-0.3603547054","-0.741063137"," 0.319404700","-0.1073068981"," 0.32329265","-0.29350961","-0.206292457"," 0.152245490"," 0.481721776","-0.293848721"," 0.009280420"," 0.3770449091"," 1.314977243"," 0.1619007093","-0.253119277"," 0.171387854"," 0.510207275","-0.712665707"," 1.00415380"," 0.375202272","-0.2442782702"," 0.301170302","-0.467914934"," 0.585942062"," 0.789510373"," 0.0168250006"," 0.86353663"," 0.003554326"," 0.045413209","-0.70631560","-0.111605957","-0.254417135"," 0.4284278283","-0.391457090"," 0.6527995539"," 0.159078341"," 0.219955880"," 0.4860177111",16,15,"MMV43"
"MMV48TP1","-0.614809998"," 0.511264903","-0.169799917","-0.70366447","-0.403875153","-0.064342057","-0.282820733"," 3.340935e-03"," 0.243812776","-0.555014976"," 0.1166771664"," 0.269461051"," 0.3375183905"," 0.075768765","-0.528890153"," 0.26619950","-0.0927534898"," 0.099805572","-0.077228016","-0.0005668774"," 0.4490325875","-4.799651e-02"," 0.106072457"," 2.111788e-01"," 0.11684375"," 0.003770784"," 0.219544124","-0.176128458"," 0.181364298","-1.331471532","-1.032036697","-0.26248638"," 0.502626742","-0.0370532573","-0.104043034"," 0.2506960139","-0.058378306"," 0.0703014419","-0.302345816"," 0.203435000"," 0.1282132818","-0.08010986"," 0.29292747"," 0.347948660","-0.192319751","-0.334916854","-2.945437123"," 0.847008064","-0.2738900226"," 0.084822497","-0.3303719270","-0.289938770"," 0.056434036"," 0.607317183","-0.171827446","-0.49000247","-0.078860196","-0.1714370771"," 0.010228671"," 0.121312987"," 0.195403522","-0.028130234"," 1.2719671348","-1.98363674"," 0.076200430","-0.408559765","-0.23840941"," 0.614680385"," 0.924277010"," 0.1935619328"," 0.117880187","-0.0540166124"," 0.006397278"," 0.141351301"," 0.5804991338",17,15,"MMV48"
"MMV48TP2"," 0.413159412","-0.272698412","-0.182711368"," 0.09510796"," 0.485069648","-0.246162821"," 0.340655629","-3.259403e-01"," 0.113728219","-0.366420527","-0.0494524684"," 0.023311678","-0.1570206528"," 1.128993013"," 0.074536715"," 0.46924294","-0.2090881681","-0.224659856","-0.024897677"," 0.3816302253","-0.0313715786"," 2.443424e-01"," 0.199820671","-1.336481e-02"," 0.01492680","-0.278710952"," 0.168096649","-0.068388702"," 0.199166080","-1.104726516","-0.495578433","-0.10133991","-0.610716269"," 0.4951569387"," 0.254060689"," 0.0893656145"," 0.012858849","-0.0226406533","-0.044120713"," 0.228125548","-0.0948032071"," 0.19064662","-0.26784624","-0.099564436","-0.146295554"," 0.037588843","-0.568859238"," 0.252469793"," 0.1338650383"," 1.285296532"," 0.5946800255","-0.443069737"," 0.046951417"," 0.252826600","-0.391784511"," 0.76910511"," 0.356311192"," 0.0438430198"," 0.198363920","-0.391869578"," 0.328491686"," 0.560404202"," 0.3281695800"," 0.39330100","-0.045331798"," 0.186107329","-0.47281009"," 0.108035480"," 0.022409532"," 0.2449619459","-0.198828155"," 0.3641562450"," 0.013301207"," 0.179132383"," 0.4086355490",17,15,"MMV48"
