"","MAL13P1.301","MAL13P1.82","MAL7P1.122","MAL7P1.137","MAL7P1.18","MAL8P1.55","PF07_0049","PF07_0125","PF08_0054","PF08_0057","PF10_0060","PF10_0142","PF10_0215","PF10_0321","PF10_0374","PF11_0108","PF11_0141","PF11_0146","PF11_0170","PF11_0184","PF11_0276","PF11_0354","PF11_0396","PF11_0471","PF11_0527","PF13_0081","PF13_0107","PF13_0120","PF13_0131","PF14_0013","PF14_0041","PF14_0062","PF14_0133","PF14_0139","PF14_0238","PF14_0507","PF14_0512","PF14_0519","PF14_0598","PF14_0642","PF14_0719","PF14_0736","PFB0161c","PFB0530c","PFB0655c","PFB0745w","PFC0090w","PFC0885c","PFC0960c","PFD0625c","PFD1050w","PFE0285c","PFE0830c","PFE1320w","PFE1520c","PFF0200c","PFF0610c","PFF0875w","PFF0940c","PFF1150w","PFF1315w","PFF1370w","PFF1580c","PFI0915w","PFI1020c","PFI1175c","PFI1410c","PFI1580c","PFI1770w","PFL0175c","PFL0585w","PFL1125w","PFL1240c","PFL1815c","PFL2235w","D_class","Class","Compound"
"Trichostatin_H4"," 0.284808842","-0.177462831","-0.593869725"," 0.18476504"," 0.310684404","-0.274813715","-0.387862597"," 6.266360e-01"," 1.828937052"," 0.487546626","-0.7139450471","-0.442267969","-0.6651722672"," 0.239270422"," 1.019903307","-0.50655909","-0.9347881069"," 0.080756744","-0.739029104"," 0.1311403416","-0.2926126232","-2.050277e-01"," 0.900630920","-1.238469e+00"," 0.88992957","-0.236398743"," 0.139240981"," 0.573707558"," 0.476393972","-0.035051142"," 0.200375690"," 0.58134995","-0.462538894"," 1.5100382182","-0.503976114"," 0.0719690941"," 0.548175810"," 0.5382759802"," 0.932061789"," 0.014654459","-0.0676475615","-0.56456707","-0.26046250","-0.074414480","-0.325992094","-0.507600709","-0.075236604"," 0.012881753"," 0.3299504947","-0.638838514"," 2.5689523819","-0.073035561"," 0.048871936","-0.050201135","-0.725414172","-0.37609752","-0.335600427"," 0.3578040337","-0.239289625"," 0.026875852","-0.055430003"," 0.143866624","-0.9168049297","-1.36593515","-0.150360529","-0.371892189","-0.06576045"," 0.574819965","-0.185615994"," 0.5949990913","-0.023548710"," 0.0727552179"," 1.594681789","-0.096376136","-0.0718541497",11,10,"Trichostatin"
"Trichostatin_H6","-0.291943248","-0.004896368","-0.297968756"," 0.03434118"," 0.083367489"," 0.315234017","-0.499608284","-1.518701e-01"," 2.219860927"," 0.643228826","-0.5075246004","-0.428401096"," 0.5557788941"," 0.036302868"," 0.777790181","-0.50728640","-0.3272242271","-0.085149199","-0.611043419"," 0.1708240391"," 0.1575782167","-3.616861e-01"," 0.426787815","-2.970312e-01"," 0.91778883"," 0.206338023"," 0.248587938"," 0.225299766"," 0.343962631"," 0.641258437"," 0.180610547","-0.42916820"," 0.039204229"," 0.8476458734","-0.468672663"," 0.1251079492","-0.144683955"," 0.2006383757"," 1.740780696","-0.812144177","-0.4704632438"," 0.17913068","-0.08681562","-0.035503284","-0.496368824"," 3.601403794","-0.581290864"," 0.207910372"," 0.1855641182","-0.220822015"," 2.4391098173"," 0.230188159"," 0.193739060","-0.098939048","-0.060558986","-0.07685575","-0.165744864"," 0.3447272435","-0.006156540"," 0.366053336","-0.378484171","-0.076878326","-1.9695494441","-1.60206423","-0.133939596","-0.047684553"," 1.23281242"," 1.738911334"," 0.466796723"," 0.7113585860"," 0.328266156","-0.0164752526"," 1.420970745"," 0.017125590"," 0.3433664844",11,10,"Trichostatin"
"Trichostatin_H8","-0.167446273","-0.116644903","-0.306020148"," 0.01564661"," 0.462180548"," 1.036689282","-0.094795813"," 2.603769e-01"," 1.215550446"," 0.104945753","-0.1632168878","-0.180485936","-0.6366377824"," 0.322281321","-0.031519838","-0.50249046","-0.3410520821"," 0.010353874","-0.281205399"," 0.2137580565","-0.0862875647"," 5.766579e-03"," 0.451551023","-3.594913e-02"," 0.07805134"," 0.288053416"," 0.613691195","-0.070760885"," 0.521082749","-1.287440209"," 0.018221999"," 0.57946269"," 0.072812905"," 0.7417386532"," 0.186576295"," 0.3117227407","-0.234053316","-0.0615869658"," 0.976199637"," 0.048806143","-0.0899176926"," 0.97501088"," 0.39744027"," 0.721493496","-0.549629217"," 0.121457431","-0.474704772","-0.327460958"," 0.7140342361","-0.382858287"," 1.1512246061"," 0.401342893","-0.015788579","-0.362661184"," 0.371292972"," 0.10782081","-0.140209929","-0.1833129435"," 0.065301341"," 0.039254718","-0.845873924","-0.041701096"," 0.8659511687","-1.92172975","-0.105156513","-0.760023506","-0.09367253"," 0.397569032"," 1.269219971","-0.1548979845"," 0.015180788","-0.3014193992"," 0.702262788"," 0.310958258","-0.2912936252",11,10,"Trichostatin"
"Trichostatin_H10"," 0.249969566"," 0.517029386","-0.803117385"," 0.30368328"," 1.895970326"," 1.052610106"," 0.677224333","-1.066600e+00"," 0.135368061"," 0.476946039"," 0.8163607234","-0.857080573","-2.7986705982","-0.090839423"," 0.388078205","-0.20591373"," 0.4837198636"," 0.066532090","-0.365292835"," 0.9753510168"," 0.1939575496"," 7.966816e-02","-0.285038409","-5.934020e-01"," 0.82944140"," 0.452213084"," 2.158461352"," 1.030593558"," 1.947103572","-2.054278541"," 0.304539073"," 1.97329247"," 0.105033125","-0.3495410680"," 0.400876847","-0.8969482020","-0.219034931"," 1.0243840517","-0.348281474"," 0.464307664"," 0.4765665260"," 0.27963635"," 0.76475697"," 1.732731361"," 2.724704878"," 2.087829741","-0.835150469","-0.401564139"," 0.4084058949","-0.138044939"," 0.7715629809","-0.035631060"," 0.281393853","-1.537844489","-0.053984238"," 0.68062499","-1.034340064","-0.3640616424"," 0.443034194"," 0.411313046","-1.556044038","-0.020788628"," 0.4878648848","-2.43073628","-0.875446236","-1.988708950"," 3.59160127"," 0.093583394"," 1.421004732","-1.5288206923","-0.241109304","-0.6855787807"," 0.926674930","-0.227833918"," 0.0671175198",11,10,"Trichostatin"
"Quinine_H1","-0.154976180"," 0.229415339"," 0.011485725"," 1.17447656","-0.089348358","-0.027044347"," 0.278466481","-4.192894e-01"," 1.081240238","-0.382453147","-1.0878707282","-0.295673831"," 0.0143396954","-0.060897291","-0.137941798"," 0.14565963","-0.3643867029"," 0.085201010","-0.128456276","-0.4424314411"," 0.1374924445","-1.620041e-01","-0.030116374","-8.963921e-02"," 0.11751721","-0.162646847","-0.216227939","-0.250657199","-0.366664080","-0.041047101"," 0.118478078","-0.14999378","-0.865336043"," 0.3499702270","-0.503658864"," 0.2384254601"," 0.392191919","-0.0059560803"," 0.024609997","-0.319200691","-0.1594318478","-0.35639242","-0.60141891","-0.666211646"," 0.068367075"," 0.091986357"," 0.147437905"," 0.322409248","-0.5545050754"," 1.034873672"," 0.1998391125","-0.014148076"," 0.063244832"," 0.214942441","-0.073671987","-0.49233648"," 0.055391438"," 0.0831835025"," 0.052412545","-0.356289718"," 0.159318849"," 0.300199284","-0.4232316368"," 0.49550038","-0.416975346","-0.246936335","-0.16024694","-0.316488575","-1.313968867"," 0.1993528578"," 0.304048212","-0.2105417116"," 0.398851150"," 0.190396761"," 0.2198281061",12,11,"Quinine"
"Quinine_H2","-1.246044623"," 0.455409938"," 0.094429966"," 1.16904561","-0.772437706","-0.620081029"," 0.355823269","-4.036354e-01"," 0.545107025","-1.788531902","-0.8828636136","-0.204571755"," 0.1002248818","-0.402236566","-0.015392012"," 0.11459806","-0.2235559803"," 0.156357815"," 0.408051746","-0.5014347852"," 0.2771960010","-8.093278e-01"," 0.291478532"," 2.599227e-01"," 0.11530719","-0.975240700","-1.114650546","-1.414572839","-0.737693151"," 0.154386678","-0.024466015","-0.59435242","-1.924351691"," 0.1716092838","-0.939724020"," 0.4580792008","-0.482013955","-0.2741731873","-0.721556798","-0.944296396"," 0.0580235450","-0.91504153","-0.68158462","-0.908945432"," 0.043048335"," 0.305768728","-0.076765806","-0.071653419","-0.7359084310"," 0.590820214","-0.1341446319","-0.122431540"," 0.178675659"," 0.333419466","-0.509167281","-1.44327117"," 0.334000939","-0.2572850280"," 0.359584068","-0.638103709"," 0.214791367"," 0.241292259","-0.6472005201","-0.88246911","-0.470093996"," 0.295421428","-0.62233476","-2.006250073","-2.284363870"," 0.0201398528"," 0.265048763","-0.2774978739"," 0.213465654"," 0.252071191"," 0.2055852069",12,11,"Quinine"
"Quinine_H4","-1.188802424","-0.265064762","-0.244046745"," 0.28225925"," 0.018684855","-0.449176177"," 0.611826707","-2.900632e-01"," 0.192433163","-1.078615091","-0.1874377632","-0.004413790","-0.0191756216","-0.148982592","-0.002636156","-1.00136116","-0.6439532108","-0.164633372","-0.067698667","-0.4887836527"," 0.0836806711"," 3.262806e-01"," 0.271651863"," 3.344625e-03","-0.16096226","-1.078306102","-1.125047008","-0.391198821","-0.124608733","-0.086085464","-0.041581258","-0.22092518","-0.956241241"," 0.2793867180","-0.353762375"," 0.1850673390","-0.423004847","-0.1396913250","-0.932659565","-1.102285540"," 0.0217319413","-0.47317621","-0.43866739","-0.174418312"," 0.244782161","-0.078116583"," 0.211466634","-0.207479059","-0.1077864252"," 0.369404455","-1.0533864507"," 0.204246618"," 0.390925278"," 0.298202053","-0.358376599","-0.81235758"," 0.103482657"," 0.0357057013"," 0.057181712","-0.772466399"," 0.488711774"," 0.321082490","-0.3786594042"," 0.22504036"," 0.166002922","-0.298845661","-0.38555344","-1.366742401","-1.398686586"," 0.4322231704"," 0.047624918","-0.4275865515"," 0.111851600"," 0.478459099"," 0.1320848751",12,11,"Quinine"
"Quinine_H6","-0.911891444"," 0.474426318"," 0.047607758"," 0.93187402","-0.360102419","-0.071038669"," 0.398579079"," 2.564676e-01","-0.344214715","-0.574361763","-0.9445140304","-0.493859520"," 0.0335779916","-0.220810264","-0.077838635","-1.03653704","-0.2328570274"," 0.533145225"," 0.102146145","-0.0816275047"," 0.4763995706","-1.030150e+00"," 0.196269219"," 1.753573e-01","-0.29244820","-0.743579146","-1.166540753","-0.891515978","-0.589932613"," 0.176083777","-0.032618297","-0.02619485","-0.929993943"," 0.3641566080","-0.690022303"," 0.2120766232"," 0.314218670","-0.0684161178","-0.463613680","-0.285497898","-0.2249826619","-0.81039561","-0.51288577","-0.463867078","-0.103345021"," 0.327183732","-0.278584785"," 0.078116048","-0.5149932887"," 1.663917322","-0.7342190520","-0.030134915"," 0.131337866"," 0.128978199","-0.196378880","-1.02498966"," 0.316296093","-0.0289865081"," 0.438588970","-0.246963009"," 0.376930832"," 0.123381280","-1.1351584869","-0.01418125"," 0.428458158","-0.171168400","-0.34341143","-1.151940415","-1.336301155","-0.1182339091","-0.001441020","-0.6988026104"," 0.045249564"," 0.225998359"," 0.0055396068",12,11,"Quinine"
"Quinine_H8","-1.236269829"," 0.296344002"," 0.163274693"," 0.80503459","-0.323229003"," 0.204603148"," 0.024304951"," 6.436675e-01","-0.012465889","-0.278431131","-0.2186109711","-0.514051535","-0.2125408752","-0.085708685","-0.468798443","-1.88730756"," 0.5588864994"," 0.134897007"," 0.094617291","-0.4937965776","-0.0088054041","-4.741929e-01","-0.147703939"," 1.119943e-01","-0.35751133","-1.068603108","-0.465277690","-0.344716948","-0.097267548"," 0.430931883","-0.129608090","-0.49615505","-0.940693204"," 0.5094591579","-0.879346743"," 0.2032252747","-0.212627775","-0.4556017488"," 0.010129604","-1.341288308","-0.5477562008","-0.46691392"," 0.47909247"," 0.181846002"," 0.117516702"," 0.078237279","-0.330000886","-0.511254026"," 0.0241869166","-0.411979001","-0.6315395406"," 0.103643722"," 0.253496545","-0.198138183","-0.100693797","-1.47273840"," 0.308049084"," 0.1655059004"," 0.243238130","-0.279423420"," 0.122839583","-0.108869402","-0.1665449827","-1.16327705"," 0.321232642","-0.170973167"," 0.01027228","-1.225534388","-0.849388964","-0.4111308813","-0.006339976","-0.9394288882","-0.335294957","-0.014693257","-0.0802559430",12,11,"Quinine"
"Quinine_H10","-1.243723920","-0.403274015","-0.244763509"," 0.18400721","-1.391107981","-1.177532164"," 0.495179851","-2.614068e-01","-0.275679811","-0.635245421","-0.2496944046","-0.208510704","-0.0450287945","-0.179929655"," 0.215703717","-0.30766490","-0.7866517345","-0.888922234"," 0.333982282","-0.2073785859"," 0.4939610848","-3.358157e-02"," 0.448935622"," 4.403618e-01"," 0.42182832","-1.721516987","-0.742199776","-0.685503852","-0.201841359"," 0.196226812","-0.153165575","-0.18773914","-0.131458221"," 0.2521041116","-0.204166589","-0.0183126038"," 0.467982158","-0.0251077467","-0.015187184","-0.671861728"," 0.5409116054"," 0.36144184","-0.58062736","-0.315196454"," 0.289135184"," 0.100280150"," 0.044443974","-0.148930611","-0.8514786809"," 1.802853178","-0.5330235390","-0.131190179"," 0.421013643"," 0.337487677","-0.669223741"," 0.06542312"," 0.240658466","-0.0749559919","-0.133294520","-0.205791018"," 0.600784374"," 0.270432621","-1.0714145608"," 0.50231119"," 0.225493907"," 0.566358492","-0.19437618","-1.743925782","-1.168797899"," 0.6239744182","-0.339551162","-0.9611286773","-0.133773806"," 0.448533542"," 0.3447237315",12,11,"Quinine"
