"","MAL13P1.124","MAL13P1.137","MAL13P1.206","MAL13P1.262","MAL13P1.40","MAL7P1.18","MAL8P1.132","PF07_0074","PF08_0032","PF10_0132","PF10_0152","PF10_0191","PF10_0299","PF10_0374","PF10_0380","PF11_0162","PF11_0290","PF11_0527","PF13_0095","PF13_0135","PF13_0137","PF14_0041","PF14_0238","PF14_0249","PF14_0360","PF14_0384","PF14_0562","PF14_0642","PF14_0713","PF14_0719","PFA0430c","PFB0175c","PFB0270w","PFB0295w","PFB0590w","PFC0090w","PFC0760c","PFC0980c","PFE0165w","PFE0430w","PFE0450w","PFE0585c","PFF0200c","PFF0610c","PFF0690c","PFF0875w","PFF0965c","PFF1150w","PFL0980w","PFL2055w","D_class","Class","Compound"
"Apicidin_H1","-0.046033850","-0.152660769"," 0.42361232","-0.3154575788","-0.362330965"," 0.114728596"," 0.1176269304"," 0.242785634","-0.0098570073"," 0.0257069925"," 0.666849970","-0.391986361","-0.040201787","-0.131452895","-0.0490812967"," 0.084178477"," 0.015410802"," 0.83674685","-0.05104866","-0.6581598984"," 0.1329562023","-0.361331828"," 0.023412706"," 0.015988951"," 0.068904604"," 0.549714765"," 0.54906489"," 0.228392167"," 0.053285970"," 0.1403913072"," 0.156436726"," 0.090613478","-0.175070908","-0.3622095485","-0.275873299"," 0.127530698","-0.050693098"," 0.287995817","-0.266035791"," 0.068526115"," 0.028910307","-0.2774035653"," 0.33743794","-0.975569420"," 0.006064657","-0.4398151141","-0.133312539","-0.277841485","-0.3381190403"," 0.355110933",10,1,"Apicidin"
"Apicidin_H2"," 0.215745718"," 0.092932462"," 0.20406740"," 0.2547604904"," 0.334973597"," 0.047734118","-0.0438163374"," 0.236634669","-0.0826094219"," 0.2488944640"," 0.196197615"," 0.030000749","-0.064975922"," 0.314804537","-0.0038148931","-0.151742128","-0.104005323","-0.23277073","-0.12206749","-0.1066537571"," 0.1454657859"," 0.044398732"," 0.106740899"," 0.151904928","-0.299721379"," 0.143428296"," 0.14000745","-0.167280887"," 0.191614116","-0.0276359050"," 0.134016700"," 0.208979171","-0.133277731","-0.0072568233","-0.167390238","-0.089903050"," 0.173504492","-0.239117353","-0.518243183"," 0.146867027","-0.044884748","-0.0303285916"," 0.21271822"," 0.257617131"," 0.028813070"," 0.0284447905"," 0.186491911"," 0.155583447"," 0.0482312012","-0.718619129",10,1,"Apicidin"
"Apicidin_H4"," 0.005308789","-0.006378377","-0.13910695","-0.1828143805"," 0.270415805"," 0.130322138"," 0.2469944686"," 0.094283243","-0.2828990989"," 0.0591526505"," 0.147816216","-0.023424279"," 0.057984480"," 0.250165992","-0.1244080162","-0.030424441"," 0.100289782","-0.05007718","-0.08977964","-0.0486034209"," 0.0485183726","-0.041015982","-0.033529306"," 0.268715361","-0.116944623"," 0.226119474"," 0.21836198"," 0.165083977","-0.004785416","-0.0928188859","-0.191969849"," 0.166193437"," 0.103417478","-0.0822091910"," 0.197780374","-0.020240747","-0.183721735","-0.074848873","-0.082396778","-0.047230190","-0.168498746","-0.0904176655"," 0.14803317"," 0.005416684"," 0.132634388"," 0.0645282394","-0.102629367"," 0.200066856"," 0.1242305559","-0.001836344",10,1,"Apicidin"
"Apicidin_H6","-0.105196653","-0.003886237","-0.01944052","-0.0702033636"," 0.128324764"," 0.006989802"," 0.8434544377"," 0.220233033","-0.0021230272","-0.1577507895"," 0.266900275"," 0.026764581"," 0.140675630"," 0.279001233"," 0.0796238719","-0.125149066","-0.150614554"," 0.39111169","-0.18771464"," 0.0388452056"," 0.3150737356","-0.217721365"," 0.261035443"," 0.518872027","-0.113246393"," 0.060674859","-0.02171584"," 0.101604314","-0.134150437"," 0.0491114132"," 0.166298229"," 0.120550346","-0.165035588","-0.1289390302"," 0.055619618","-0.031295548"," 0.008527172"," 0.037817282"," 0.090229931"," 0.145619452","-0.001723909"," 0.0664819121"," 0.08162083"," 0.029559544","-0.058375446","-0.1452639832","-0.037404738"," 0.094902201"," 0.2070862122"," 0.110957224",10,1,"Apicidin"
"Apicidin_H8","-0.131313769","-0.095638965"," 0.12274900","-0.0779911548"," 0.219433866","-0.125623344"," 0.4098764295"," 0.319424441"," 0.1099037166"," 0.0502055200"," 0.013167675","-0.049326591"," 0.118243450"," 0.230931288"," 0.1511990142"," 0.012362449"," 0.119365472"," 0.05860125","-0.09292746","-0.0710086263"," 0.1702683827","-0.169362791"," 0.158214892","-0.229204581","-0.195416921"," 0.243815212"," 0.01017960","-0.054461980","-0.032942726"," 0.0575261487","-0.024705360"," 0.025801840","-0.048072549","-0.0490340083"," 0.174668355","-0.218918297","-0.154298466"," 0.033709936"," 0.089811497","-0.019410451","-0.090406174","-0.0577473002","-0.10529933"," 0.034238504","-0.091941849"," 0.0513564785","-0.072419726","-0.066848241"," 0.0625640292"," 0.341904636",10,1,"Apicidin"
"Apicidin_H10"," 0.050572731","-0.038900026","-0.05410608"," 0.2314391797"," 0.415370371","-0.012127554","-0.0433390023"," 0.150645252"," 0.0373807495","-0.0712806966"," 0.380075687"," 0.212242815","-0.177321327"," 0.090051272"," 0.1562595748","-0.193718903","-0.015198068"," 0.41621616","-0.15576070"," 0.1793598728"," 0.1845012387"," 0.008424697"," 0.093985980"," 0.388692578","-0.332373808","-0.009002542","-0.28205582","-0.024515086"," 0.111765351"," 0.1429936978"," 0.031676583","-0.036437303","-0.265172974","-0.0457604799","-0.100357986"," 0.062309463","-0.035432698","-0.056564499","-0.177403534"," 0.011270195","-0.052848637","-0.1046635333"," 0.08694159"," 0.192416939"," 0.057370256"," 0.0498941053","-0.105489467"," 0.147942886","-0.0550401384","-0.210787533",10,1,"Apicidin"
"Trichostatin_H1","-0.113532479"," 0.061456630"," 0.30952096"," 0.1196125217"," 0.118976257"," 0.865147490"," 0.4693055248","-0.237501485"," 0.0371063821"," 0.0325748885","-0.636867925"," 0.491858627"," 0.009001207"," 0.360978267"," 1.0688532706"," 0.561382375"," 0.450136760"," 0.02941299","-0.52252414","-0.4999851145"," 0.6043252884","-0.052457027","-0.486700096"," 0.434699623"," 0.869864019"," 1.072431022"," 0.09335618"," 0.543850093"," 0.341063698"," 0.0820749127"," 0.391969873"," 0.547129613","-0.640476754","-0.6840301569","-0.330300740"," 0.238246240"," 0.298571687"," 0.454066666"," 0.631451768","-0.210933914","-0.475998453"," 0.0022339841"," 0.71826027"," 0.197514786"," 0.699108028"," 0.0552648001","-1.244880386"," 0.323096289"," 0.4955563322","-0.125900515",11,1,"Trichostatin"
"Trichostatin_H2"," 0.099077134"," 0.167781239","-0.02132999","-0.3709153519"," 0.676020112"," 0.698739963"," 1.0243514379","-0.621181831","-0.6638780348"," 0.0585486656","-0.785355715"," 1.082836183","-0.889738959"," 0.934568862"," 0.8309019558","-0.270236277"," 0.559728626"," 0.74300668","-0.51727144","-0.8170219693"," 0.7677983175"," 0.616489894","-0.473172035","-0.110587813"," 1.061580489"," 0.069166299","-0.35900203","-0.808440612"," 0.526275690","-0.2938361025"," 0.059111524"," 0.482661395","-0.275719195"," 0.8738835437","-0.548846916"," 0.009895266"," 0.278944485","-0.862155186"," 0.984914100"," 0.196031156","-0.973111035","-0.1378585146"," 0.23367988"," 0.079852463"," 0.385073481"," 0.4855152817","-0.996236575"," 0.629706344","-0.1778295829","-1.025849582",11,1,"Trichostatin"
"Trichostatin_H4","-0.014667208"," 0.020013907","-0.12384553","-0.5031203580"," 0.384174731"," 0.310684404"," 1.0254172432","-0.449648696","-0.7422640407","-0.0056863108","-1.686798644"," 0.631657120","-0.284607053"," 1.019903307"," 0.9764067963","-0.173776796"," 0.318134576"," 0.88992957","-0.31653171","-1.3266828549"," 0.9497754811"," 0.200375690","-0.503976114","-0.061389201"," 1.259675199"," 0.373002447","-0.25677510"," 0.014654459"," 0.561572012","-0.0676475615"," 0.159017714","-0.606225793","-0.720682145"," 0.1374897969"," 0.007877388","-0.075236604"," 0.123100235","-0.849344322"," 0.701617623"," 0.293330029","-0.699724835"," 0.1454012646","-0.37609752","-0.335600427"," 0.330789552"," 0.3578040337","-1.003904711"," 0.026875852","-0.2886944240","-0.664571863",11,1,"Trichostatin"
"Trichostatin_H6"," 0.034241838","-0.177940898","-0.08534992","-0.5299229851"," 0.587833055"," 0.083367489"," 0.4936356427","-0.741608766","-0.4375938544"," 0.0903791596","-1.072400869"," 0.646753027","-0.740219878"," 0.777790181"," 0.4003392122","-0.160522581","-0.169249787"," 0.91778883","-0.09751882","-1.3910294280"," 0.4995308121"," 0.180610547","-0.468672663","-0.487374886"," 0.998518603","-0.142269681","-0.26089721","-0.812144177"," 0.481728376","-0.4704632438"," 0.092754022","-1.307119542","-0.333861146"," 0.5085987225"," 0.112281880","-0.581290864"," 0.091942557","-1.505657223"," 0.703490254","-0.314834403","-0.579939396"," 0.1431951882","-0.07685575","-0.165744864"," 0.576941952"," 0.3447272435","-0.553031684"," 0.366053336","-0.4852810858","-0.051428495",11,1,"Trichostatin"
"Trichostatin_H8","-0.049319287","-0.118276968","-0.60144497","-0.0663582039"," 0.903791864"," 0.462180548"," 0.3124520012"," 0.085951843"," 0.0607204604"," 0.0488774553","-0.605034672"," 0.163395166","-0.391917540","-0.031519838"," 0.8439756366"," 0.124291444"," 0.012706995"," 0.07805134","-0.03127859","-0.2425494131","-0.0521631900"," 0.018221999"," 0.186576295","-0.234482982"," 0.854688883"," 0.149981017","-0.29248781"," 0.048806143"," 0.199558188","-0.0899176926"," 0.280212471","-0.204987600","-1.283450294","-0.0104187119"," 0.142887311","-0.474704772"," 0.156708375","-0.189897971","-0.001188659","-0.185173722","-0.078464195"," 0.0291894088"," 0.10782081","-0.140209929"," 0.701749222","-0.1833129435","-0.215923930"," 0.039254718","-0.0507105473","-0.486887714",11,1,"Trichostatin"
