"","MAL13P1.124","MAL13P1.137","MAL13P1.179","MAL13P1.206","MAL13P1.262","MAL13P1.321","MAL13P1.322","MAL13P1.40","MAL7P1.18","MAL7P1.29","MAL7P1.65","MAL8P1.132","MAL8P1.91","PF07_0074","PF07_0079","PF08_0032","PF10_0111","PF10_0136","PF10_0191","PF10_0243","PF10_0307","PF10_0374","PF10_0380","PF11_0087","PF11_0090","PF11_0260","PF11_0290","PF11_0527","PF13_0032","PF13_0042","PF13_0087","PF13_0095","PF13_0135","PF13_0137","PF13_0170","PF13_0219","PF14_0041","PF14_0071","PF14_0112","PF14_0138","PF14_0238","PF14_0286","PF14_0360","PF14_0384","PF14_0455","PF14_0540","PF14_0562","PF14_0593","PF14_0642","PF14_0713","PF14_0719","PF14_0730","PFA0180w","PFA0430c","PFB0270w","PFB0295w","PFB0590w","PFB0923c","PFC0230c","PFC0375c","PFC0400w","PFC0440c","PFC0760c","PFC0980c","PFD0285c","PFD0470c","PFD0785c","PFE0165w","PFE0260w","PFE0430w","PFE0585c","PFE0745w","PFE0815w","PFE1280w","PFE1340w","PFE1390w","PFF0150c","PFF0200c","PFF0490w","PFF0610c","PFF0690c","PFF0875w","PFF0965c","PFF1150w","PFF1155w","PFF1280w","PFI0500w","PFI0710c","PFI0855w","PFI0905w","PFI0965w","PFI1425w","PFL0580w","PFL0685w","PFL0885w","PFL0980w","PFL1270w","PFL2370c","PFL2485c","PFL2520w","D_class","Class","Compound"
"ACTTP5","-0.027316587"," 0.114292517"," 0.3110504492","-0.84301290"," 0.9088081485"," 0.0800037723"," 0.1410185778"," 0.125007898","-0.065142651","-0.345610013","-0.092130331","-0.1182237659","-0.126929387","-0.329116191","-0.980156984"," 0.0992082077","-0.330549868"," 0.5953151230"," 1.196035785","-0.574118750"," 0.369307815","-0.230980675"," 1.4686169264"," 0.826672943"," 0.706940463","-0.1171552495","-0.713872028","-0.41246748"," 0.374782289","-0.0821950844","-0.519095418","-0.11218169","-0.1021402583"," 0.3960880218","-0.474843514"," 0.749434146"," 0.016522061","-0.0979932438"," 1.405340e-01"," 0.011712431","-0.078239365"," 1.120127e+00","-0.496010032"," 0.874772792","-0.116275351"," 7.231580e-02"," 0.45757797"," 0.1124342728","-0.169054684","-0.271164784","-0.1067360897"," 1.355824243"," 0.092198304"," 0.606732612","-0.802213241","-0.1688868393","-0.593653095"," 1.493362257","-0.0697988622"," 0.216009901","-0.229487896"," 0.162602512","-0.027218233"," 0.139003096"," 1.226606192"," 0.389050712","-0.498615795","-1.641621932","-0.71134134"," 0.507265175","-0.7661924788"," 0.0805874898","-0.286613800","-1.004229432"," 1.062842e-02"," 0.0863522231","-0.149043190"," 0.27602046","-0.526414553","-0.829897719"," 0.534711356","-0.7183068260","-0.338780739"," 0.213815151","-0.389429912","-0.153506930"," 0.377523531","-0.029678560"," 0.0318470427","-0.902522350"," 0.452045292","-0.113621013"," 0.199079675","-0.659746787","-0.2270215874","-1.0028763472","-0.819587446"," 0.348776477"," 0.3004531927","-1.522531413",2,2,"ACTd"
"ML_7_H1"," 0.409124218"," 0.205364855","-0.0005416435"," 0.73024941","-0.1244146313"," 0.0344359076"," 0.6186470471","-0.878275840"," 0.632954151"," 0.166809514"," 0.346179711","-0.1830838845","-0.550546431","-0.011927297","-0.463783955"," 0.0365191483"," 0.571617868","-0.4584496056","-0.246186088"," 0.067561411"," 0.213777254"," 0.429883626","-0.1996994935"," 0.830442205","-0.473622115","-0.6594917718"," 0.208474426","-0.22909618","-0.380534941"," 0.0577779377","-0.163387064"," 0.32858807"," 0.6101402464"," 0.0197223510"," 0.286811063","-0.651797419"," 0.126554535"," 0.0220144752","-4.451680e-01","-0.027747089","-0.117300163","-4.461434e-01"," 0.529313875"," 0.511506309","-0.563612466","-4.430499e-01"," 0.48358341"," 0.5090079699"," 1.381613681"," 0.182821488"," 0.3358842993","-1.034930999"," 0.083915175"," 0.923253973","-0.247695638","-0.9277023397","-0.436843996","-0.012774107"," 0.1712101247","-0.102516664","-1.170097348","-0.024468130"," 0.278858958"," 0.656873367"," 0.650089415"," 1.051945582"," 0.052546819","-0.163281493","-0.13924109","-0.789166281"," 0.0630277666"," 0.0526663827"," 0.307033474","-0.788327959"," 2.475465e-01","-0.5488825432"," 0.147563760","-0.11943690"," 0.908972098","-0.248523913"," 0.260677164","-0.5270685025"," 0.036587662"," 0.268154668"," 0.428605768","-0.002444691","-0.495902620"," 0.175120277"," 0.1512271552","-1.616078779"," 0.064283684"," 0.006273720"," 0.543334485","-0.602821991"," 0.4970509573","-0.7171114437"," 0.885055020"," 0.257238280"," 0.0578032796"," 0.319219353",3,3,"ML_7"
"ML_7_H2"," 0.289426667"," 0.225836892","-0.0151109074"," 1.03413592"," 0.0514703070"," 0.1215748679"," 0.6107436363","-0.947343950"," 0.663620520","-0.210674660"," 0.591123180","-0.0996289155","-0.925955978"," 0.118442476","-0.132382013"," 0.5250246091"," 0.587889281","-0.7207025762"," 0.239548035","-0.075552224"," 0.224482984","-0.771564077","-0.1702125364"," 0.972002181","-0.604932611","-0.7273651437","-0.089542080"," 0.01026495","-0.195098816","-0.1700988355","-0.118199203"," 0.23222129"," 0.2194885914"," 0.0435640376"," 0.330525932","-0.360244118","-0.515704705"," 0.0290571433","-7.605009e-01","-0.188603220","-0.442216012","-6.002781e-01"," 0.267217676"," 0.127610870","-0.463848255","-9.990052e-02"," 0.57699104"," 0.5832715422"," 0.554136004"," 0.493172238"," 0.2489086969","-0.597597940"," 0.966328835"," 0.974641776","-0.143639474","-1.1307077494","-0.497215787"," 0.082856595","-0.0810862098","-0.067523754","-1.202790976"," 0.213878025"," 0.318116496"," 0.495204194"," 0.471501707"," 1.357396584"," 0.265147912"," 0.289974538","-0.15399995","-0.441921460","-0.0318315137","-0.1310811426","-0.156452290","-0.981579835"," 2.405135e-01","-0.6066606283","-0.191620914","-0.07693573"," 0.390192034"," 0.266298721"," 0.479992608","-0.2915469404"," 0.013916170"," 0.266985138"," 0.509092131","-0.452815216","-0.274458212"," 0.061254921"," 0.3681786655","-1.771565828"," 0.637949075","-0.066152719"," 0.478752651","-0.532006601"," 0.5153645196","-0.4937543917"," 1.051723697"," 0.559207769","-0.2144945725"," 0.281208645",3,3,"ML_7"
"ML_7_H4"," 0.318901060"," 0.018675555"," 0.2964812339"," 0.91656917","-0.1430563105","-0.1756814182"," 0.2799882539","-0.952678322"," 0.275564868"," 0.028096407"," 1.152762777","-0.1603121260","-0.547822489","-0.093388293","-0.318761438"," 0.1050374574"," 0.544740200","-0.6522674154","-0.181735372"," 0.296487831"," 0.080498134","-0.073458398","-0.0713830567"," 0.802190426","-0.405193966","-0.8934721568"," 0.306688898"," 0.27513931","-0.441591622","-0.0793278874"," 0.061179415"," 0.26670151","-0.0369705601"," 0.0920811706","-0.015455475","-0.342030066"," 0.401182632"," 0.1429218295","-5.905855e-01"," 0.058161112","-0.179439741","-7.096320e-02"," 0.298406005","-0.120599367","-0.357600172","-2.888018e-01"," 0.77948929"," 0.3587773880"," 0.546061286"," 0.133268916"," 0.1791204450","-0.859856909"," 0.301092609"," 0.753260414","-0.140730699","-0.9265466196","-0.496492136","-0.373961791"," 0.1006587059","-0.032763126","-1.235541646","-0.106888868"," 0.155998063"," 0.450501601"," 0.568112798"," 0.996883997"," 0.305310737"," 0.213451872","-0.09451182","-0.387677248"," 0.0916149170","-0.1782933521","-0.201303135","-0.712542990"," 4.272374e-01","-0.5577325993","-0.123722063","-0.11370141"," 0.695763403","-0.031772346"," 0.330061156","-0.5193108223"," 0.002945456"," 0.368240967"," 0.433280899","-0.325850227","-0.107129775","-0.061248835"," 0.2999301821","-1.386569518"," 0.415857305","-0.240445799"," 0.283255920","-0.341509157"," 0.4280131906","-0.5264901821"," 0.772509814"," 0.363289011","-0.0119325302"," 0.230595696",3,3,"ML_7"
"ML_7_H6"," 0.286227967"," 0.011787464"," 0.2662182279"," 1.03802016"," 0.2423608064"," 0.0413009964","-0.4885601986","-0.874405185"," 0.106295221","-0.637752250"," 0.762695038","-0.6196054155","-1.072363174","-0.580935533","-0.108208035","-0.2339859527"," 0.220283225","-0.6597008284"," 0.209148237","-0.153361220"," 0.359544884","-1.764416657","-0.3554679361"," 0.147572239","-0.394548099","-0.4512291488","-0.015150452"," 0.12159641","-0.279930869","-0.1180362538","-0.382844618"," 0.42339367"," 0.2931281325","-0.3055342199"," 0.536312885","-0.451319525"," 0.189829897"," 0.0497333649","-4.800860e-01"," 0.486225659","-0.272246140","-1.783953e+00"," 0.431000704","-0.393242557","-0.433676486","-1.254861e-01"," 0.49947747"," 0.2978964138","-0.505467631","-0.182076438","-0.2041825171","-1.050083685","-0.096170686"," 0.882654191"," 0.013089229","-0.8466543611","-0.531478352"," 0.116604325"," 0.0525721351","-0.139796799","-0.710279012","-0.231349735"," 0.133272008"," 0.482686940","-1.565266491"," 0.868033005"," 0.190825939"," 0.219724599","-0.64831356","-0.316791699"," 0.3065607042","-0.0238655310","-1.021341058","-0.060022757"," 9.014643e-01","-0.9221943670"," 0.180134912","-0.11021971"," 0.270658086"," 0.085031323"," 0.219825571","-0.2440992810"," 0.104381456"," 0.278779186"," 0.222256270","-0.339529391","-0.214207665"," 0.092481076"," 0.4968569091","-0.906081420"," 0.001834955"," 0.689013262"," 0.354230052","-0.364345539"," 0.5082519227","-0.6267040468"," 0.980810333"," 0.451188366"," 0.3313576227"," 0.653656174",3,3,"ML_7"
"ML_7_H8"," 0.622939985"," 0.212151991","-0.3645635330"," 1.07607143"," 0.0373611352"," 0.0157563747"," 0.1861235518","-0.776380876"," 0.557542475","-0.384610293"," 0.763313854"," 0.2511630297","-0.842474843"," 0.165536393","-0.190703946"," 0.7176759704"," 0.403319084","-0.8067667507","-0.862672415"," 1.108124611"," 0.879592939"," 0.130867043","-0.3735391270"," 1.015098814","-0.197310550","-0.9057537583","-0.083541792","-0.19370817","-0.036647826"," 0.2348901666"," 0.265326780"," 0.45864650"," 0.0608929280","-0.2018917294","-0.055853861","-1.062262709"," 0.409373825","-0.2909634298","-3.493134e-01","-0.671250284"," 0.183755009"," 4.529972e-01"," 0.277691894"," 0.076960485","-0.220397968","-1.937892e-01"," 1.20039197"," 0.7294473121"," 1.021705060"," 0.436365522"," 0.3002878634","-1.257125588"," 0.361922051"," 1.138935213"," 0.251113047","-1.0895598986","-0.896274533","-0.444751518"," 0.5615088491","-0.006796874","-1.291195056"," 0.160559621"," 0.256157391"," 0.923391340"," 0.453114026"," 1.173670548","-0.265009582","-0.282261152","-0.28293678","-0.363785258","-0.2246010459","-0.5836025577"," 0.017416062","-0.654274469","-1.581374e-01","-0.5785350741","-0.426523194","-0.59523632"," 0.305776371"," 0.178879275"," 0.434626604","-0.3729004376"," 0.132604737"," 0.181241890"," 0.665611714","-0.616983869","-0.484688680","-0.074464429"," 0.2563759425","-1.332343687"," 0.323316577","-0.141837410"," 0.395662710"," 0.173022593"," 0.2031440335","-0.2582202706"," 0.741733735","-0.075864813","-0.0428770726"," 0.100952557",3,3,"ML_7"
"ML_7_H10"," 0.031672403"," 0.047572144"," 0.1091032431"," 0.76391411","-0.0866852967"," 0.0836595563"," 0.6526372929","-0.914373966","-0.277833182","-0.284893424"," 0.004728078","-0.1412058711","-0.266693390","-0.328343084"," 0.085888110"," 0.1084361036"," 0.306431697","-0.1630321262","-0.279742649","-0.048605356","-0.025945028"," 0.113031397","-0.1686229648"," 0.499226751","-0.319122427","-0.1253045338","-0.082943995","-0.09822164"," 0.045756509","-0.1799096014"," 0.347661954"," 0.37150330"," 0.1696788120"," 0.2856709126"," 0.070226418"," 0.584015666","-0.107343417","-0.2352898889","-1.912675e-01"," 0.133159695","-0.375033517","-3.395236e-01","-0.110635719"," 0.105040317"," 0.323422524"," 1.403167e-01"," 0.54145815"," 0.1772376697"," 0.811057416","-0.013715842"," 0.1859876139","-0.024649326","-0.378824486"," 0.227851513","-0.121409487","-0.4534516042"," 0.024670974","-0.887673738"," 0.1332439576"," 0.180771152","-0.331160969","-0.037334595"," 0.184197782","-0.063395368"," 0.181785430"," 0.123998360","-0.620745337"," 0.463074033","-0.07933030","-0.442357266"," 0.2296326374","-0.3379751474"," 0.196531148","-0.547102285"," 4.449116e-01"," 0.2382384539","-0.272467080"," 0.08441433"," 0.278661632","-0.348379772"," 0.554088638","-0.4013984341","-0.240007799"," 0.664940035"," 0.188936541","-0.536041274","-0.646552730","-0.226624378","-0.1641669240","-0.607963803","-0.294859724","-0.441274937"," 0.330279442","-0.491029464","-0.1967960752","-0.3520470248"," 0.052514511","-0.189762004"," 0.2903981030","-0.903517283",3,3,"ML_7"
"ML_7_H12","-0.028342590","-0.033055967","-0.2452678539"," 0.18441603","-0.0298477317"," 0.1550355340"," 0.3891929991","-0.903523527","-0.663256937","-0.547026517","-0.054464951","-0.3065727973","-0.244013548","-0.196534826"," 0.157188225"," 0.0537100090"," 0.416217943","-0.0736901190","-0.756505620"," 0.084109514","-0.416267255","-0.211389295"," 0.0079769055"," 0.922826256","-0.606721240","-0.0105086399","-0.438193967"," 0.16686363","-0.104775552"," 0.1515366533"," 0.228196331"," 0.45639820"," 0.1297441023"," 0.3619641119","-0.003164535"," 0.036435451"," 0.353945285","-0.1995876659"," 1.234333e-01","-0.074249365","-0.355613456","-5.206904e-01","-0.358349872","-0.222116288"," 0.377399349"," 1.593544e-01"," 0.07889643"," 0.0317914625"," 0.320529774","-0.480901590"," 0.0186092989"," 0.587506623","-0.832744866","-0.001956810","-0.341044129","-0.2672222332","-0.052879115"," 0.680886315","-0.0998651863"," 0.453364394","-0.069227063"," 0.333665837","-0.141513899","-0.103703679","-0.328988901","-0.081238093","-1.085167228","-0.348654145"," 0.53658234","-0.616879131"," 0.2591997429","-0.2286305099","-0.162205019","-0.448145872"," 4.336043e-01"," 0.3421999305","-0.294911412","-0.04290429"," 0.352308697","-0.604580846"," 0.641773477","-0.3772800676","-0.418539798"," 0.775359811"," 0.039267716","-0.525374507","-0.138273073","-0.267095389","-0.0823218769","-0.324328586","-0.139162601","-0.277499800"," 0.335266933","-0.459143399","-0.4446855760","-0.2954743129","-0.315543245","-0.059394100"," 0.4222044767","-1.452819761",3,3,"ML_7"
"W7_H1","-0.140843916","-0.207598638"," 0.1200263051"," 1.07372771"," 0.2895592693","-0.1733125199"," 0.3586683548","-0.712895573"," 0.141971935","-0.536086089"," 0.671849905"," 0.0829415862"," 0.063559340"," 0.271906673","-0.909976170","-0.3451140986"," 0.302822530","-0.5763939857"," 0.199260843","-0.324699499","-0.193270729","-0.256344861","-0.2594158656"," 1.090731751","-0.228758339","-0.2028182501"," 0.315713011","-0.24931613","-0.615600863"," 0.2424612031"," 0.148662906"," 0.07777226","-0.2713212253"," 0.0485169303"," 0.088545420","-0.742088287"," 0.253368687"," 0.4095480067","-1.283533e-01","-0.220942808"," 0.376996885","-1.186651e+00"," 0.102938370"," 0.257802340","-0.362148808"," 3.989231e-02"," 0.72599908"," 0.2715840478"," 0.360041774"," 0.030031611"," 0.0171024591","-0.625700123","-0.158262990"," 0.395933365"," 0.175262106","-0.5524961969","-0.206832962"," 0.234574178"," 0.1045964841","-0.264740523","-0.911240055","-0.037206391","-0.418409027"," 0.474226992"," 0.692284719"," 0.064369248"," 0.651008660"," 0.310707615","-0.09892595","-0.288785321","-0.3915677898"," 0.3099403458"," 0.043662861","-0.514028184"," 4.166988e-01","-0.2139118202","-0.239761378","-0.29445186"," 0.267426934","-0.242860869","-0.097471572","-0.5988300845","-0.006204569"," 0.981640953"," 0.413475560"," 0.277428207"," 0.232270326","-0.205497416","-0.1517899086","-1.205633445"," 0.797230041","-0.614699385"," 0.266513959","-0.415621955"," 0.1570318055","-0.2943142678"," 1.308383776"," 0.426179816"," 0.0002780666"," 0.790651074",4,3,"W_7"
"W7_H2","-0.069354853"," 0.018755729"," 0.1671173559"," 1.00980174"," 0.3195365625","-0.9077424378"," 0.4967775707","-0.419274046"," 0.029343835","-0.542138896"," 0.602737201","-0.0470598766","-1.334929888"," 0.332747932","-0.161937669","-0.2907364331"," 0.099379211","-0.4596539903"," 0.200006628","-0.237313834","-0.382577894","-0.430419654","-0.0124045711"," 1.241168517"," 0.083906187","-0.2479415065","-0.095179703"," 0.27835493","-0.452209575","-0.0155865594","-0.118694763"," 0.29534199"," 0.2413589976","-0.0009508931"," 0.218632665","-0.415011950"," 0.100701502"," 0.3768251942","-1.646073e-01","-0.173783058","-0.191013287","-1.731926e+00"," 0.046152130","-0.226427308","-0.460248696"," 2.519163e-01"," 0.60322079"," 0.3404046390","-0.160511091"," 0.033753002"," 0.0743204115","-0.021808266"," 0.856424442"," 0.302917361"," 0.095965349","-0.6613862193","-0.535184283"," 0.615744943","-0.0421065339","-0.082389617","-0.592913182"," 0.085170799","-0.204435586"," 0.446417380"," 0.375230624"," 0.041925184"," 0.427863594"," 0.288414534"," 0.14235591","-0.307505225","-0.0109372540"," 0.2034773150","-0.119036174","-0.579880111","-6.024883e-01","-0.5611080404","-0.313303608","-0.15259025"," 0.192047255"," 0.295927212"," 0.076741080","-0.3281168998"," 0.081421365"," 0.581332226"," 0.424932624"," 0.069193864"," 0.357889661","-0.207099156"," 0.7073855793","-0.958713350"," 0.850308534"," 0.195683444"," 0.500656884","-0.761567259"," 0.0672177746","-0.1551413878"," 1.555803437"," 0.706859425"," 0.1126152701"," 0.080678511",4,3,"W_7"
"W7_H4"," 0.626128179"," 0.356811839","-0.2755502495"," 1.05205749","-0.2427296339"," 0.1370573908"," 0.2788018160","-1.163063660"," 0.754698487"," 0.310179417"," 0.766040747","-0.0100240855","-0.828949459","-0.077716981","-0.272191457"," 0.3904320814"," 0.649738805","-0.8639538074"," 0.079206360"," 0.629923944"," 1.006467703"," 0.651522919","-0.1019833382"," 1.093298937","-0.576484554","-1.5543827036"," 0.215464833"," 0.20379192","-0.318024728"," 0.0005750994"," 0.109843479"," 0.52413452","-0.0117507192"," 0.1093948084"," 0.116438661","-0.460690752"," 0.385298468","-0.3049667113","-6.513317e-01"," 0.332387458","-0.170333358","-1.814729e-01"," 0.715230721"," 0.243529191","-0.490996808","-4.618558e-01"," 0.53351735"," 0.7299856759"," 0.851228884"," 0.116141802"," 0.0718323661","-0.852083801"," 0.047029269"," 1.121516294"," 0.201858314","-0.9661500880","-0.477149415","-0.806571469"," 0.3277839973"," 0.124534315","-1.408097371"," 0.311535716"," 0.357363991"," 0.822425598"," 1.020327446"," 1.757089749"," 0.018145517","-0.222041401","-0.45051939","-0.465039353"," 0.1881171484","-0.3330501542"," 0.184211039","-0.860144089"," 1.786248e-01","-0.5268126795","-0.265137649"," 0.07580071"," 0.818243615"," 0.443752539"," 0.546338227","-0.6989806146","-0.034601336"," 0.063941046"," 0.772636517","-0.581497729","-0.368120228"," 0.088616030"," 0.5730453887","-1.769151616","-0.074946704"," 0.105339412"," 0.536567349","-0.388818867"," 0.8095411478","-0.7350547976"," 0.980782135"," 0.497614205","-0.1630967033"," 0.681505183",4,3,"W_7"
"W7_H6"," 0.406088887"," 0.090519569","-0.1207505982"," 1.05244464"," 0.1450520528"," 0.2546021077","-0.3840428786","-1.057324675"," 0.102996343","-0.603599077"," 0.772708950","-0.7023244418","-0.953774802","-0.572936898","-0.236852483","-0.4715902490"," 0.120363975","-0.7340098824"," 0.254786078","-0.205170724","-0.003958876","-1.352267331","-0.2225003912"," 0.321600182","-0.378842872","-0.6289057697"," 0.006864363"," 0.11948086","-0.282130517","-0.3818215001","-0.748231330"," 0.67892845"," 0.2180494651","-0.1941836059"," 0.699508379","-0.655646445"," 0.475810888","-0.0365299371","-4.168990e-01"," 0.912216227","-0.083233571","-2.066673e+00"," 0.582204159","-0.395671866","-0.618059218","-3.112833e-01"," 0.42371125"," 0.3996933173","-0.486872928","-0.366173163","-0.2446828579","-1.216671977","-0.175996431"," 0.710597628"," 0.104871539","-0.7384327597","-0.633111581","-0.327308703"," 0.0863139968","-0.106437944","-0.774093755","-0.220555788"," 0.201548776"," 0.328346880","-1.113842296"," 1.275041600"," 0.167377059","-0.074398425","-1.05822063","-0.349035253"," 0.2245299257"," 0.0827804581","-1.392801471"," 0.044447831"," 7.348697e-01","-1.3557794062"," 0.340818642","-0.09543778"," 0.326731079"," 0.163079020"," 0.299443726","-0.2557164451"," 0.001115655"," 0.107752384"," 0.264419532","-0.331657167","-0.238990651"," 0.215386809"," 0.6439978488","-0.942712464","-0.385877461"," 0.545284918"," 0.362255515","-0.462871878"," 0.7806423688","-0.8405282381"," 0.860726889"," 0.775572809"," 0.2578286091"," 0.763929750",4,3,"W_7"
"W7_H8"," 0.768881766"," 0.580240745","-0.3250341949"," 1.18058197","-0.3372981832"," 0.2036362519"," 0.3063112176","-1.095643533"," 1.092836318","-0.307559237"," 0.812948957"," 0.0587649991","-0.664049085"," 0.063728089"," 0.011577653"," 0.8261027970"," 0.581308260","-1.0395818765"," 0.371158075"," 1.106750417"," 0.635260342"," 0.640287957","-0.3892775824"," 1.545339756","-0.824134657","-1.7278072132"," 0.151754048","-0.22135397","-0.010779895"," 0.3064186058","-0.081475142"," 0.86882560","-0.0612967272","-0.0478788966"," 0.108724481","-0.927424375"," 0.597612309","-0.6824345593","-7.784649e-01","-0.239689922","-0.055623989","-4.530286e-01"," 0.618541382"," 0.320077831","-0.341304798","-3.199044e-01"," 1.30264354"," 0.8755045709"," 1.003989173"," 1.152410138"," 0.2672453705","-1.239010220","-0.079746928"," 1.544571490"," 0.622274298","-0.9412280766","-0.739164555","-0.964882906"," 0.4588712675","-0.076184509","-1.671028126"," 0.018623723"," 0.499898922"," 0.955433809"," 1.038083102"," 1.973724075","-0.350993492","-0.150300263","-0.42361742","-0.562912150","-0.1603974309","-0.8602184000","-0.391026047","-0.703375258","-4.264894e-01","-0.8669825930","-0.259372005","-0.15501034"," 1.339631027"," 0.625665817"," 0.458988824","-0.5431188669"," 0.162043656","-0.125613237"," 0.961110144","-0.639988186","-0.855528323"," 0.072009175"," 0.6973314056","-2.072362727","-0.136404269"," 0.185446413"," 0.720643913"," 0.099556183"," 0.8174522096","-0.6343257460"," 0.991345488"," 0.458001634","-0.1675016250"," 0.570040719",4,3,"W_7"
"W7_H10"," 0.068050143","-0.146976331","-0.2929938119"," 0.78224387"," 0.1127308532"," 0.1603661603"," 0.4246498903","-0.339670720"," 0.103086442","-0.048177863"," 0.787741884"," 0.4208523033"," 0.126178496"," 0.580041291","-0.425385395","-0.3246450913"," 0.500075179","-0.4363370156","-0.003844772","-0.126966045","-0.125058166"," 0.141733598","-0.2432278116"," 0.583489041","-0.364798957","-0.9229809698"," 0.352786278"," 0.35577131"," 0.137057638","-0.2552351645"," 0.440428629"," 0.04001783"," 0.3873531017"," 0.1312699522","-0.034135851"," 0.178964209"," 0.703059973"," 0.2824104965","-1.369292e-01","-0.122237181","-0.195992758","-2.347385e+00"," 0.025439732"," 0.276652515","-0.584778660"," 2.512066e-01"," 0.61327394"," 0.1544511711"," 1.018942589","-0.083385703"," 0.1752430207","-0.626489005","-0.159074176"," 0.298819545","-0.005326173","-0.9440550734","-0.282289079"," 0.157432242"," 0.2366200239","-0.132923816","-1.042046723","-0.004165385","-0.154633021"," 0.542548707"," 0.313228237"," 0.110424416"," 0.387043974","-0.659424167"," 0.91495600","-0.364422979","-0.5036667398","-0.0053867063","-0.194258044"," 0.013698317"," 2.457125e-01","-0.5057807920","-0.581905510","-0.12448520"," 0.375957015"," 0.158426497"," 0.293035518","-0.2861795928"," 0.566730926"," 0.265138970"," 0.395872956","-0.113160805","-0.022332822"," 0.106591173","-0.0520859164","-0.818891612","-0.140637942","-0.652405328"," 0.600901893"," 0.234110345"," 0.2320785111","-0.0331439558"," 1.177685035"," 0.412645355","-0.0685787996"," 0.132040583",4,3,"W_7"
"W7_H12"," 0.226112742"," 0.310847661","-0.4466425083"," 0.75318358"," 0.2778749671"," 0.4113778302"," 1.0446922237","-0.667052827"," 0.488418735"," 0.504812351"," 0.790211354"," 0.0867501321","-0.592922306"," 0.372018864","-0.091797171"," 0.5351234439"," 0.225449479","-0.6775704658","-0.089769655"," 0.560461531"," 0.154437603"," 1.277160916","-0.2685187847"," 0.892704211","-0.558812508","-0.8929614097"," 0.136241915"," 0.17280701","-0.099433582"," 0.1125879648"," 0.329195223"," 0.02111293"," 0.1484667042"," 0.2293722206"," 0.222782763","-0.409250331"," 0.129268281","-0.2128845858","-3.364588e-01","-0.100070547","-0.157771881","-1.868859e+00"," 0.332386531"," 0.024431584","-0.189306984","-1.236011e-01"," 0.56402747"," 0.5046630668"," 0.725791375","-0.113723835"," 0.2337814305","-0.974418189","-0.654950805"," 0.937556489","-0.088438367","-0.6881613844","-0.431159423","-0.116970406"," 0.1275767442","-0.417405280","-1.284844311"," 0.272881896"," 0.121430153"," 0.469710991"," 0.382353429"," 1.238355113","-0.305853580","-0.745848850"," 0.18842482","-0.496387639","-0.2217604617","-0.4323241350"," 0.252681375","-0.509766225","-1.203511e-01","-0.4667522154","-0.494095671","-0.32104685"," 1.562100681"," 0.697377664"," 0.514901357","-0.4343693802"," 0.400707881","-0.180346920"," 0.548284373","-0.501379156","-0.482758533"," 0.162334514"," 0.0864215513","-1.318920253"," 0.190326638"," 0.131612931"," 0.837012238","-0.063712113"," 0.6246106151","-0.4389759572"," 0.660779556"," 0.366523800"," 0.1537100453"," 0.098547090",4,3,"W_7"
"Staurosporine_H1"," 0.151460335"," 0.389469770"," 0.4863817385"," 0.53638397"," 0.0730580830","-0.3066803504"," 0.4388526852","-0.555632340"," 0.296171209"," 0.055317501"," 0.050085814","-1.0847930649","-0.567336863"," 0.426362602"," 0.056513161"," 0.1550873585"," 0.789366495"," 0.7445384228","-0.370467188","-0.843969820"," 0.151544025"," 0.020725293"," 0.2403129143"," 0.686725096"," 0.085988870"," 0.0365342693"," 1.460407789"," 0.10126437","-1.206067988"," 0.3147255423","-0.775820073"," 1.15366070"," 0.2334420482","-0.0893759857"," 1.006196741","-0.184392933"," 0.312088032","-0.1200778847","-7.874631e-01"," 0.460933960"," 0.085547390","-5.020364e-01"," 0.048974931"," 0.600709864"," 0.244527410","-3.053444e-01"," 0.07676512"," 0.2180301372","-0.068172860"," 0.007658657","-0.9848395293","-0.535738125","-0.623439903"," 1.040383596","-1.217710253","-0.2183534513","-0.732406617","-0.257737955","-0.5971515223"," 0.097514473"," 0.482262193"," 0.179256424"," 0.642098552"," 0.222853313"," 0.445242646"," 0.757715046","-0.306660378","-0.069386369","-1.41512061"," 0.365375641"," 0.3364182634","-0.1608585797"," 0.151440897","-0.112724108"," 5.127875e-01","-0.0243415011","-0.153440397"," 0.67751398"," 0.281373217","-0.271658078","-0.350150417","-0.0471356010","-1.081005648","-0.639373929"," 0.714559872"," 0.157947241","-0.655628997"," 0.188657510"," 0.2715344658","-0.273936558"," 0.007843345"," 0.207601080"," 0.457207086","-1.099107988"," 0.3211324420","-1.0490072368"," 0.621936392"," 0.109854296"," 0.4175059432"," 1.085454988",5,4,"Staurosporine"
