X;IonoTP1;IonoTP2;IonoTP3;IonoTP4;IonoTP5;IonoTP1c;IonoTP2c;IonoTP3c;IonoTP4c;IonoTP5c
PF3D7_0933600;1.136342448;0.920515987;0.72422915;0.5858616205;0.5447957115;1.0187617495;0.789146021;0.7862212045;0.5639562155;0.5035673825
PF3D7_0933700;1.196806053;1.449764037;1.146048415;0.866267142;0.924041068;1.526367843;1.472380282;0.937344048;0.776795491;0.650200073
PF3D7_0933900;1.310253322;1.379802359;1.146048415;1.15071306;0.836198063;1.317645818;1.314551134;1.409204314;1.145536119;1.1074624
PF3D7_0934000;0.806597412;0.660750378;0.5836226935;0.445254834;0.399516853;0.6396545835;0.672850802;0.628084274;0.4297454905;0.4601563985
PF3D7_0934100;0.6557499895;0.6309518475;0.5574797885;0.507477373;0.507631354;0.6872204645;0.664544016;0.67144438;0.565311882;0.512249582
PF3D7_0934200;1.922369835;1.692039227;1.504983531;1.08929862;0.930798237;1.718051224;1.593867215;1.30718042;1.051995295;0.912595302
PF3D7_0934300;1.178105976;1.184168313;1.160179702;1.165258595;0.775383637;1.364501833;1.042503347;1.319933387;0.642584745;0.600036227
PF3D7_0934400;2.019610266;1.876012813;1.868157898;1.671119843;1.299063231;1.800404045;1.662398299;1.963958871;1.431581176;1.171131826
PF3D7_0934500;1.4897743;1.316318466;1.263338211;1.397987065;1.336227613;1.407098102;1.20967771;1.435985608;1.294659097;1.470185321
PF3D7_0934700;2.058880443;2.0321313235;2.287857411;3.127288954;3.197824088;1.781235741;1.9053722275;2.538480635;2.9262006845;2.839078216
PF3D7_0934800;2.838674359;2.736283953;3.45651612;5.254168553;5.206388727;3.004459643;2.669597953;3.244357998;4.184934623;4.256205835
PF3D7_0934900;1.140082419;1.2891110225;1.040770238;0.7935394645;0.8691392025;1.275759478;1.416309423;1.422594885;1.1089331365;1.192354987
PF3D7_0935000;1.323966771;1.002785872;0.856356789;0.741822016;0.648686982;1.167138932;1.067423797;0.973052389;0.592425177;0.605824398
PF3D7_0935200;0.911317971;0.996307933;0.999082934;1.0876824225;1.1115521495;0.894522503;1.0871524405;0.8302190275;1.137402078;1.2907532125
PF3D7_0935300;0.855217665;0.958735872;0.919947662;0.670710537;0.626726205;1.042189757;0.911671322;0.913113394;0.622249764;0.657917539
PF3D7_0935400;1.442400593;2.098854186;1.91973711;1.2727338655;1.3438293665;1.967949575;2.021667416;1.6629886175;1.3902333905;1.298470736
PF3D7_0935600;0.0847737665;0.069961803;0.082668104;0.1204046685;0.1951128785;0.0745435425;0.071126976;0.1186027165;0.250797843;0.394557591
PF3D7_0935700;0.774183923;0.941893201;1.940227526;2.526073651;3.072816701;0.826368438;0.781877572;1.302079293;2.18668608;3.231706383
PF3D7_0935800;4.7803675625;4.8150565755;4.5573442835;4.207698609;3.2924243635;4.27737953;4.0822729815;4.788743984;3.4623658835;2.267982732
PF3D7_0935900;0.0841504285;0.0693140095;0.070656501;0.063030631;0.078551937;0.0731236655;0.063339349;0.087357914;0.092185152;0.1659264275
PF3D7_0936000;0.062333651;0.05311915;0.043807029;0.045252761;0.055746537;0.056795079;0.053994201;0.056113112;0.058293554;0.135056391
PF3D7_0936100;0.892617894;0.91857259;0.818202265;0.701417756;0.83788733;0.813589541;0.838986829;0.965400623;0.727991569;0.901019074
PF3D7_0936200;0.466255718;0.454751753;0.534163128;0.400810153;0.542261786;0.516835218;0.461027406;0.448904894;0.409410509;0.501638002
PF3D7_0936300;0.196974343;0.1658354;0.178054383;0.234344643;0.20609326;0.208721919;0.167174348;0.414471835;0.357895294;0.49777924
PF3D7_0936400;0.153340783;0.139923616;0.163923075;0.168081683;0.162171745;0.14908708;0.148484057;0.158136949;0.170813667;0.19679645
PF3D7_0936500;0.291721479;0.441795837;0.494595492;0.292526761;0.285489841;0.40182518;0.394572995;0.380038814;0.318581039;0.32027657
PF3D7_0936600;0.341588388;0.344626677;0.334911815;0.294142934;0.324343491;0.342190352;0.293853042;0.345605755;0.288756431;0.35693475
PF3D7_0936700;0.100980513;0.0654272445;0.079841846;0.108283393;0.177375339;0.0752534805;0.0757995485;0.1173274165;0.3368825;0.515143639
PF3D7_0936800;0.206324382;0.170369951;0.1519114775;0.153536148;0.1503467175;0.190263523;0.1583483785;0.1804546715;0.156579191;0.145667964
PF3D7_0936900;0.789144029;0.879704957;1.277469498;0.441214413;0.631794108;0.589248943;1.029004847;0.799611813;0.525997648;0.349217226
PF3D7_0937300;0.356548495;0.313532536;0.466332919;0.147071467;0.332789928;0.326571716;0.229475351;0.438702527;0.412121843;0.358864131
PF3D7_1000400;0.508642574;0.476776753;0.580796449;0.261819541;0.483136677;0.494117182;0.495292948;0.42339892;0.371451921;0.532508039
PF3D7_1001000;0.234374516;0.185269236;0.155444299;0.138990625;0.130075252;0.188843643;0.157829195;0.179817021;0.147767372;0.154350157
PF3D7_1001200;1.113278997;0.917277018;0.568078274;0.33293102;0.222986147;1.005272922;0.92932323;0.604491261;0.299601745;0.227666487
PF3D7_1001400;0.073553705;0.064131655;0.0551120715;0.054141695;0.0734840725;0.0667342195;0.05918595;0.066315495;0.0976078065;0.1803967485
PF3D7_1001500;0.118433934;0.093282404;0.094679712;0.090505523;0.116560938;0.106490779;0.090336447;0.098197945;0.131499412;0.281689038
PF3D7_1001600;5.0315720965;5.171343365;5.650400459;3.9870914025;2.9300717555;4.9241333435;4.6673833785;5.5354311175;3.6609706475;2.1666904205
PF3D7_1001700;1.39876708;1.75552312;1.591184446;1.527280638;1.310888303;1.412777622;1.549218183;1.4908234;1.149603058;0.883654674
PF3D7_1001900;0.140874047;0.12826331;0.101745356;0.108283393;0.177375339;0.129208804;0.117333548;0.104574439;0.154545696;0.324135332
PF3D7_1002100;0.205077706;0.1638920075;0.157563993;0.2117182655;0.3218095525;0.1860038885;0.153156626;0.186831165;0.2568983335;0.511284906
PF3D7_1002200;0.432595535;0.4029281845;0.397089513;0.4121233545;0.491583113;0.429512806;0.3878237295;0.4897144365;0.397209549;0.4505095225
PF3D7_1002400;1.022271851;0.778649003;0.770155874;0.576972679;0.476379507;0.769573328;0.753842111;0.72309393;0.511085333;0.511284877
PF3D7_1002500;0.920044644;1.066269765;0.919947662;0.829095228;0.832819478;0.988234364;1.03108152;0.783033001;0.714434942;0.713869499
PF3D7_1002600;1.097072234;1.1835205655;0.888858739;0.702225879;0.6689584655;0.930019437;0.9558011545;0.8474355185;0.584291196;0.669493825
PF3D7_1002700;2.009636862;2.1396652165;2.2497029705;2.0743542205;1.7180068955;1.860038789;2.0159564715;1.999029609;1.45462741;1.063086725
