"","MAL13P1.124","MAL13P1.137","MAL13P1.179","MAL13P1.206","MAL13P1.262","MAL13P1.40","MAL7P1.18","MAL8P1.132","PF07_0074","PF10_0111","PF10_0136","PF10_0191","PF10_0307","PF10_0374","PF11_0087","PF11_0090","PF11_0260","PF11_0290","PF13_0095","PF13_0135","PF13_0137","PF13_0219","PF14_0041","PF14_0286","PF14_0360","PF14_0384","PF14_0562","PF14_0642","PF14_0713","PF14_0719","PF14_0730","PFA0430c","PFB0270w","PFB0590w","PFC0230c","PFC0375c","PFC0440c","PFC0760c","PFC0980c","PFE0165w","PFE0430w","PFE0585c","PFF0200c","PFF0490w","PFF0610c","PFF0875w","PFF0965c","PFF1150w","PFF1280w","PFL0980w","D_class","Class","Compound"
"HDATP1"," 0.433662985"," 0.316768853"," 0.5515956443"," 0.41888770","-0.3671411713"," 0.197657333"," 1.187050882"," 0.7996905538","-0.389071015","-1.487559756","-0.4345930385"," 1.120162412"," 0.290570586"," 0.360651106"," 0.301635020"," 0.254037630","-0.0253834277"," 0.668513304","-0.80491905","-0.4743651150"," 1.5164228459"," 0.509321778"," 1.152399519"," 2.381019e-01"," 0.789741460"," 0.637680823","-0.37932014","-1.038829259"," 0.620033954","-0.3580350006","-0.255077818"," 0.613968367","-0.769147594","-0.894046629","-0.2297765123","-1.469760319","-0.635850613","-0.005928679","-0.662031167"," 0.880615369","-0.222908349","-0.3038339418"," 0.39835576"," 0.772094909"," 0.330104665"," 0.3563599044","-0.478279948"," 0.421092401","-0.635553305"," 0.5517402881",1,1,"HDA"
"HDATP1.1"," 0.280499154"," 0.141389427"," 0.1461847853","-0.41935989","-0.2894859560"," 0.053784485","-0.058054760","-0.0429221713","-0.111138149","-0.633727446","-0.0901293414"," 0.389736784","-0.059262556","-0.192086718"," 0.168115840"," 0.187614253","-0.1149349879"," 0.574073188","-0.10213417","-0.5164356734","-0.1667493669"," 0.325873840"," 0.478455893","-3.281362e-01"," 0.479811389","-0.160021922","-0.69809266","-0.634430446"," 0.397851621","-0.3573293118","-0.705360715"," 0.463856459","-0.098246854","-0.124773651"," 0.1120687620","-0.173469224","-0.150602599"," 0.206776190","-0.358091435"," 0.770591714","-0.014381658","-0.0445760667","-0.05209524"," 0.262077440"," 0.001531456"," 0.4983639547","-0.148950566","-0.415638803","-1.008338781"," 0.3435997486",1,1,"HDA"
"HDATP2"," 0.048089475"," 0.273474890"," 0.9930801433"," 0.18569011","-0.1402458472"," 0.518038152"," 0.657141006"," 0.7568478294","-0.626236412","-0.876430172","-0.7720828886"," 0.511221158","-0.340149422"," 0.336350326"," 0.227377058"," 0.344270716","-0.2008701571"," 0.895404992","-0.08537403","-0.9520929685"," 1.1267684990"," 0.762477237"," 0.773674180","-3.252663e-01"," 0.917575474"," 0.391700240"," 0.12098367","-1.006491060"," 0.474317856","-0.2093895864","-0.131707440","-0.010116251","-0.185974961","-0.647870981","-0.5590258016","-1.793121727","-0.805255207","-0.177801575","-0.968685198"," 0.797107494","-0.053630205"," 0.1671929089"," 0.34289732"," 0.412727438","-0.027247997"," 0.3361640448","-0.702122986"," 0.100165532","-0.333904415"," 0.2419656299",1,1,"HDA"
"HDATP2.2"," 0.140786520"," 0.107947623","-0.0869376888","-0.30096464"," 0.0197604449","-0.446979072","-0.261872206","-0.1836287404"," 0.183895550","-0.852838207","-0.1417175085"," 0.265648614"," 0.111735952","-0.583802270"," 0.029850579"," 0.188847148","-0.0941353215"," 0.292268026"," 0.01037766","-0.1065851679"," 0.0243161945"," 0.090720209"," 0.154814107"," 4.256218e-05"," 0.212235510"," 0.199437297","-0.73105262","-0.288439576"," 0.142750514","-0.4581490965","-0.639835157"," 0.362664113","-0.048090522"," 0.049433993"," 0.2562766625"," 0.114707604"," 0.169979148"," 0.290240110"," 0.156792124"," 0.578470147"," 0.063478788","-0.1254567003","-0.03864190"," 0.306418894"," 0.088294448"," 0.3986275880","-0.108909882","-0.308264460","-0.533089422"," 0.3538890494",1,1,"HDA"
"HDATP3"," 0.138395010","-0.145917703"," 0.1742445028","-0.09165820","-0.1497778116","-0.117967805","-0.166752192"," 0.3336357655","-0.060321485","-0.760770922","-0.4824533667","-0.413850895"," 0.077630772"," 0.299636637"," 0.038216343"," 0.225334211","-0.5905272703"," 0.809560808"," 0.39657541","-0.3832748625"," 0.3962719695"," 0.162140764"," 0.237912064","-6.576253e-02"," 0.590943393"," 0.013508911","-0.21002078","-0.295197936"," 0.031763690","-0.5005300206","-0.634904699"," 0.102950371","-0.228469099","-0.214155438","-0.0335087891","-0.111828583","-0.068570479"," 0.217844716","-0.231474505"," 0.599975750","-0.352555848","-0.0154585215","-0.42379332"," 0.144398089","-0.147470106"," 0.3114165011","-0.273132967","-0.167358371","-0.015863803"," 0.4458053759",1,1,"HDA"
"HDATP3.3","-0.054201196","-0.092838517"," 0.0505991429","-0.08781566","-0.1290632515","-0.142895133","-0.585080019","-0.2216848820"," 0.156994231","-0.606772983","-0.3756911152","-0.012811374"," 0.071073564"," 0.235180556"," 0.105608191","-0.015290308","-0.2212965711"," 0.317616432"," 0.05478049","-0.1436327408"," 0.1323577017"," 0.240992923"," 0.519129100","-1.749299e-01"," 0.328289270","-0.437687994","-0.53654955","-0.278265362"," 0.244406860","-0.5011821084","-0.908919612"," 0.180656612"," 0.049101672","-0.232029962"," 0.2621333931"," 0.007083550"," 0.009833355","-0.024300364","-0.201158224"," 0.471157589","-0.275298057"," 0.1363015972","-0.22959708"," 0.075230629","-0.072106864"," 0.1975745634"," 0.077842944","-0.177457330","-0.855607358"," 0.3914518666",1,1,"HDA"
"ACTTP1"," 0.202264094","-0.038147474"," 0.0434920475"," 0.17112167"," 0.3877332147"," 0.371335934","-0.120705055","-0.5228678472","-0.091782120","-0.609712455"," 0.7218219821"," 0.443604036"," 0.675116285"," 0.193954445"," 0.620290456"," 0.184804187"," 0.2869779368","-0.009197840"," 0.24425936"," 0.2063098269","-0.5995011482"," 0.327610209"," 0.428941401"," 8.239979e-02"," 0.189556861"," 0.162229304","-0.32933728","-0.465218240"," 0.164831810"," 0.0762081898","-0.518705977"," 0.408632402"," 0.620675230","-0.037002962"," 0.3122227535","-0.211725982"," 0.031693288","-0.663367371","-0.024164152"," 0.052327009","-0.008737414","-0.0519485032","-0.23038200"," 0.127053847"," 0.371603352","-0.2977171072"," 0.229857353"," 0.803219664"," 0.086195238"," 0.3704789272",2,2,"ACTd"
"ACTTP2","-0.516225196"," 0.449399563"," 0.4564693785","-0.43599932"," 0.5074935419","-0.221771348"," 0.091426207","-0.0462571689"," 0.408005432","-0.689272531"," 0.3438391648"," 0.713311372"," 1.261926559"," 0.196059729","-0.221971960"," 0.331770895"," 0.5406945381"," 0.088458114","-0.10529164","-0.1257123412"," 0.2948070935","-0.080928775","-0.076521793"," 1.123479e-01","-0.310712634"," 0.080652515"," 0.24891658","-0.006808500","-0.274203555"," 0.0819345616"," 0.171843543"," 0.318692310","-0.320363762","-0.011216982","-0.2318163083"," 0.250690387","-0.006611051","-0.325205250"," 0.579164217","-0.028936559"," 0.513967092","-0.5927841970"," 0.19230830"," 0.305175808","-0.462228489","-0.1599634264","-0.139954989"," 0.127128356","-0.132768927"," 0.2917871906",2,2,"ACTd"
"ACTTP3","-0.427260943"," 0.389143838"," 0.0128850864","-0.30056712"," 0.7990526794"," 0.333498219","-0.199208135","-0.0644511628"," 0.107888686","-0.587621610"," 0.3154353387"," 1.671645560"," 0.921505529"," 0.044743722"," 0.850917394"," 0.410518337","-0.4169283821","-0.409861874"," 0.08971356","-0.1848522310","-0.0548092492"," 0.519285891"," 0.350603527"," 5.308760e-01","-0.078109948"," 0.960883495","-0.69200239","-0.011000116","-0.070902547"," 0.1135519431"," 1.128508797"," 0.663982850"," 0.332240586","-0.628570736"," 0.0453987310"," 0.221261188","-0.145069939"," 0.055098121"," 0.127187933","-0.100173613"," 0.243268039","-0.2695612433","-0.32470472"," 0.124003374","-0.045344622","-0.1839630876","-0.028275360"," 0.045918073","-0.263698745","-0.1206258041",2,2,"ACTd"
"ACTTP4"," 0.061328012"," 0.128876445"," 0.8316955429","-0.57964395"," 0.7683048076"," 0.144103224","-0.304166557","-0.3065212778","-0.450211569","-0.338768202"," 0.5667409353"," 1.595284514"," 0.686265085"," 0.023136419"," 0.681495240"," 0.173927058"," 0.2242594186","-0.605867636","-0.11671821","-0.0679262249"," 0.2389681096"," 0.382644153","-0.122995618"," 6.690681e-01","-0.372843031"," 1.108010815"," 0.62162355"," 0.117741607","-0.396171107"," 0.1708798346"," 1.910645734"," 0.737625979","-0.762976286","-0.400045183","-0.1272603968","-0.154242665"," 0.037925258"," 0.063397851"," 0.331188264","-1.070786885"," 0.382978540","-0.4342814270"," 0.50405548","-0.236155800","-0.403076390","-0.9761859059","-0.226318937"," 0.068443434","-0.325758400","-0.1164159106",2,2,"ACTd"
