X;DHB4TP1.1;DHB4TP1.2;DHB4TP1.1t;DHB4TP2.1;DHB4TP2.2;DHB4TP2t;DHB4TP3.1;DHB4TP3.2;DHB4TP3t;DHB4TP1.1c;DHB4TP1.2c;DHB4TP1.1tc;DHB4TP1.2tc;DHB4TP2.1c;DHB4TP2.2c;DHB4TP2tc;DHB4TP3.1c;DHB4TP3.2c;DHB4TP3tc
PF3D7_0202500;-0.503800122;-0.498248837;-0.884460003;-0.037947603;-0.067572791;-0.345895501;-0.123681322;-0.108434818;-0.461353683;-0.44803874;-1.059431693;-0.683500549;-1.028740252;-0.241547777;-0.026383725;-0.538895233;-0.389401769;-0.33981241;-0.540037349
PF3D7_0202600;0.246880933;0.054208849;-0.023661297;0.771911988;0.771863399;0.478594969;0.230644654;0.270685986;0.478375615;0.001358541;0.135894542;0.310400831;0.246403278;0.15253136;0.184695382;0.085512397;-0.349895473;-0.556382439;-0.482378205
PF3D7_0202700;-0.41768366;0.14076959;0.011088333;0.311246033;0.267884024;0.487004938;-0.063154926;-0.026596164;0.28460057;-0.039960494;0.024877235;0.47552737;0.32416547;0.514474177;0.537505323;0.655183372;0.252708633;0.244529151;0.72249875
PF3D7_0202900;-0.43663666;0.236204195;-0.300940244;0.435886519;0.502919836;0.504392169;0.17862522;0.497126363;0.588616948;0.272451057;0.007029108;0.282057165;0.213158653;0.220496738;0.347476711;-0.093746821;0.24125445;0.248717121;0.633133749
PF3D7_0203000;-0.051821199;-0.087079923;-0.045631996;-0.053103869;0.081469777;-0.175211586;-0.062006207;-0.148063233;0.052619395;-0.290268162;-0.874908152;-0.70957798;-0.389570558;-0.233087164;-0.548493892;-0.488246303;-0.293040905;-0.016484833;0.028202918
PF3D7_0203100;0.025872325;0.0573350626666667;-0.00460829266666666;-0.0205144316666667;0.0509413933333333;0.0805712823333333;0.0514505156666667;-0.069360151;-0.047859902;-0.531758819333333;-0.442452922666667;-0.456042185333333;-0.324955216;-0.788152367333333;-0.865581776;-0.326115378666667;-0.210090799;-0.122873962666667;-0.318842457
PF3D7_0203300;0.321753593;0.559089978;0.171451837;0.751715623;0.693503618;0.643855887;0.042127167;0.39540701;0.241764034;0.040304567;0.200268;0.080531207;0.336191972;0.035647845;0.116979051;0.302715713;0.007060293;-0.16899256;0.486279253
PF3D7_0203600;0.126562561;-0.182212851;0.290484987;0.381223841;0.386877683;0.124082205;0.01762264;-0.312292114;0.007244021;0.566059403;-0.07478082;0.15229749;0.000806727;0.43860132;0.345700436;0.218040618;0.303174726;0.244031096;0.31465472
PF3D7_0203700;0.063715205;-0.452626925;1.136835301;-0.379435764;-0.186713077;-0.123973266;-0.336758466;-0.519689459;-0.26027513;0.471745167;1.516628659;0.088423218;0.096997779;0.499202661;0.221752918;0.449595305;0.235824793;-0.243984839;-0.070135511
PF3D7_0204100;-0.098496875;0.0426006805;-0.3109279965;-0.2562092705;-0.2253714925;-0.147806803;0.212954674;0.2443996055;0.0023343035;0.623907027;-0.1474240275;0.3687185815;0.4126697435;1.2149727805;1.4969764395;1.2461839275;1.903244596;1.809177048;2.0297886355
PF3D7_0204200;-0.086754173;-0.398431935;0.028074908;-0.605815939;-0.284427764;-0.301285034;-0.3482825;-0.475415298;-0.063886847;-0.43194926;-0.105603982;-0.625519459;-0.603628841;-0.94987249;-0.803571159;-0.668169925;-0.804275934;-0.943448939;-0.709497828
PF3D7_0204300;-0.674759739;-0.8595771;0.14908913;-0.944681626;-0.832707702;-0.857242149;-0.970339679;-0.789212186;-0.699011424;-0.440520517;-0.8472315;-0.762370229;-0.475458678;-1.291219054;-1.104414996;-1.286163462;-1.014537263;-1.03984195;-1.336309722
PF3D7_0204500;-0.349552348;-0.075239145;-0.794696885;-0.092779598;0.096734518;-0.261775236;-0.015717114;-0.177823072;0.081048007;0.468443244;-0.228093166;-0.252383938;-0.172296077;-0.061035742;0.100738488;-0.424822839;-0.299140722;-0.310589598;-0.235839803
PF3D7_0204600;-0.803643945;-0.87564118;-0.262487839;-0.674602679;-1.083275914;-0.811217567;-0.341429554;-0.586556534;-0.389780693;0.53457936;-0.002687608;0.362087242;0.429239128;0.213745107;0.562666919;0.185103327;-0.056067306;-0.167310117;-0.100832946
PF3D7_0204700;0.287985384;0.109169739;0.177981681;0.893483041;0.913106003;0.241086248;0.878204139;0.279042639;0.763702885;0.386218731;0.16784361;0.041574576;0.063926038;0.648113472;0.689532254;0.427611744;0.198144312;-0.01455692;0.107128005
PF3D7_0204800;0.095315394;0.203353813;0.352168114;0.502698023;0.139515782;0.260929567;0.040044366;0.258157916;0.296512728;-0.057056894;0.029475126;-0.463223398;-0.066796095;-0.042279525;0.166679828;0.512553867;-0.219919963;-0.074016412;0.308412139
PF3D7_0204900;-0.204361926;-0.14045472;-0.181599053;-0.041458903;-0.251597913;-0.262760217;-0.127759727;-0.29965164;0.107586878;0.208625624;0.185552042;0.086575997;-0.004909665;-0.012124133;-0.020009483;0.486313769;0.023916631;-0.124896177;0.226843759
PF3D7_0205000;-0.272513371;-0.329721231;0.309723219;-0.15207153;-0.234987272;-0.261198524;-0.647715799;-0.646959284;-0.260861474;-0.206251346;0.034764138;-0.094228179;-0.573493439;-0.096723064;-0.291302755;-0.693550447;-0.198971302;-0.16623139;-0.250016147
PF3D7_0205100;-0.2345813715;0.050528822;0.1388838765;-0.344152647;-0.0845200475;-0.0722035225;-0.134496834;-0.645101668;-0.2989653285;-0.527183423;-0.0427276525;-0.659857581;-0.4126189265;-0.60465245;-0.855827868;-0.964605539;-0.678417173;-0.217539246;-0.3420846065
PF3D7_0205300;-0.1313526445;-0.0141034185;-0.0920265035;-0.1003698165;-0.062961571;-0.0860065975;-0.083842632;-0.075149441;-0.024857036;0.0814184;0.0336996765;-0.021378698;-0.0516210445;-0.365108153;-0.2381405695;-0.1439852835;-0.218567505;-0.2640998085;-0.2672072345
PF3D7_0205400;0.46367092;0.284865089;0.153194001;1.194878034;1.004000997;0.67474105;0.482622496;0.715592623;0.49392411;-0.725550562;0.006064636;-0.395855847;-0.418324899;-0.321697776;-0.295661005;-0.301217948;-0.263076367;-0.096288506;-0.071334979
PF3D7_0205500;0.31854452;0.459729722;0.103495916;0.615666083;0.536442624;0.289288709;0.410661162;0.268496706;0.293849903;0.081425268;0.319578491;0.188036038;-0.133636783;0.103440037;0.196793666;-0.041161626;0.000863501;-0.207477123;-0.194001485
PF3D7_0205600;0.399771194;0.102491062;0.414002006;0.577818983;0.446232624;0.091822971;0.322562761;0.294203502;0.069552259;0.869199948;0.745922631;0.609253412;0.426027751;1.160647764;1.103468399;0.739315491;0.533085201;0.687685343;0.761637838
PF3D7_0205700;-0.7882670065;-0.666115806;-0.9022236505;-1.2755911065;-1.226385288;-0.99717135;-1.19049412;-1.169012951;-0.8019634985;-0.827593413;-0.589324857;-0.631499829;-0.741897553;-1.2324695635;-1.440591872;-1.0476584725;-1.010728261;-0.940279126;-1.1145548535
PF3D7_0205900;0.664567151;0.464448353;-0.038826746;0.627133457;0.451110238;0.613407837;0.47488506;0.473631528;0.588471965;0.405781125;0.182877914;0.989726547;0.975172586;0.72858249;0.812684733;0.485824558;0.278209408;0.568095695;0.315481367
PF3D7_0206000;0.153883276;0.02178351;-0.311964483;0.465131025;0.371902036;0.290751734;-0.130004231;0.093219465;0.193594935;-0.782260971;0.188284626;-0.375217964;-0.211550128;-0.369565003;-0.409161639;-0.160031858;-0.073393001;0.024565702;-0.09063398
PF3D7_0206100;0.3392585355;0.1912991175;-0.078623522;0.570233277;0.4792374815;0.291409959;0.210106362;0.456922899;0.204897826;-0.37193956;-8.35885000000092e-05;-0.046995766;0.179209006;-0.363366566;-0.375186332;-0.307340501;-0.079102043;-0.1051411065;-0.331239083
PF3D7_0206200;-0.73946435;-0.939888518;-0.958942685;-0.863137031;-0.8359886;-0.756542438;0.192123744;0.269758566;0.375716412;0.071452161;-0.29784776;-1.021113857;-1.136650617;0.313456463;0.355061153;0.059286676;1.381487251;1.251663574;1.106243863
PF3D7_0206300;-0.1338876825;-0.368624674;-0.154162646;-0.5003956425;-0.3039174495;-0.1583068455;-0.5597578485;-0.4814384165;-0.4659588465;0.2205981235;0.158871439;0.354274728;0.1440927355;-0.1926284025;-0.0312650715;-0.070197665;-0.348592476;-0.3007976115;-0.2778311425
PF3D7_0206500;-0.23808886;-0.104467557;-0.524858886;-0.417017804;-0.374184646;-0.437432998;-0.167760951;-0.510107265;-0.406873391;-0.814493966;-0.816605362;-1.01948592;-0.742310214;-1.352240426;-1.382065224;-1.028423526;-0.733378464;-1.131477452;-1.109186219
PF3D7_0206600;0.217519983;-0.111957806;-0.08030309;0.395887779;0.486818432;0.238779701;0.306515469;0.306528335;0.348779891;0.23200567;0.279725743;-0.023031844;-0.026778429;-0.072212742;-0.10627005;0.015532334;-0.151796376;-0.197115095;-0.289649338
PF3D7_0206700;-0.159612223;-0.354803249;-0.323701739;-0.334621066;-0.382649941;-0.526397118;-0.124196983;-0.406986433;-0.455229639;0.213416019;0.200110229;0.047477281;0.107096504;0.335525782;0.121004032;0.253115048;0.264670102;0.256020714;0.298444326
PF3D7_0206800;0.792079315;0.726208316;-0.066753576;1.746012205;1.692699309;1.604016042;2.176934253;2.162230373;2.365675357;-0.806375861;-0.159209213;-0.668861333;-0.712155136;0.792379272;0.914118763;0.573316114;2.580820886;2.51566914;2.46351448
PF3D7_0206900;0.104502638;0.09086189;0.142980417;-0.113417835;0.169126579;0.107659193;0.353360256;0.698797597;0.636822776;0.745974171;0.629207061;-0.340762171;-0.134457901;0.581160586;0.807160527;0.655894442;0.863608645;1.202838495;1.085573615
