X;dnadTP1.1;dnadTP1.2;dnadTP1.3;dnadTP1.1C;dnadTP1.2C;dnadTP1.3C;dnad2TP1.1;dnad2TP1.2;dnad2TP1.1C;dnad2TP1.2C
PF3D7_0606900;0.301810932;0.138061462;-0.083336186;-0.044413057;0.002222149;0.033206546;0.092576199;0.428403979;-0.316675634;-0.316675634
PF3D7_0607000;-1.925262963;-1.339730997;-0.876464891;-1.425381851;-0.575448268;-0.527471655;-0.9269599855;-0.406497538;-1.0524830315;-1.0524830315
PF3D7_0607100;-0.1846121425;-0.1735971795;-0.1940002775;-0.169378835;-0.143594561;-0.020795264;0.0603650185;0.009486784;0.4290778395;0.4290778395
PF3D7_0607200;-0.194481413;-0.118565924;0.088826251;-0.257479765;-0.012966538;-0.082114134;-0.0792853835;0.052797535;0.0736807215;0.0736807215
PF3D7_0607300;-0.0519622345;0.492808044;0.0525071435;0.233123074;0.596904507;0.519838047;-0.0578783705;-0.816613693;-0.190028514;-0.190028514
PF3D7_0607400;0.00293410550000001;-0.1434056125;-0.118922307;-0.2598726165;-0.2200129315;-0.0482216115;-0.2082673975;0.0754665705;-0.1424915435;-0.1424915435
PF3D7_0607500;0.103103234;0.3553099015;0.4149881545;0.3686762915;0.178754914;0.1591014595;0.549905947;0.4878197145;0.409072123;0.409072123
PF3D7_0607700;-0.4391758392;-0.476487328;-0.615861509333333;-0.2686226936;-0.4657729766;-0.4144756042;-0.3817769854;-0.5422062834;-0.091155733;-0.091155733
PF3D7_0607800;0.819515573;0.841719094;0.861004956;0.542645423;0.6259237545;0.64695653;0.5013792585;0.25927647;0.0169301355;0.0169301355
PF3D7_0607900;0.004707818;0.008347494;0.117936231;0.0593709325;0.008901473;-0.059927592;0.0320818175;-0.1916088535;0.1921144165;0.1921144165
PF3D7_0608000;-0.175709769;0.056934692;0.124282469;-0.100016235;-0.106427502;-0.013283242;0.067480652;-0.458657368;0.458844493;0.458844493
PF3D7_0608100;0.572565771;0.4823346855;0.5952125125;0.5246790565;0.366601806;0.316316001;0.2762223065;0.138840146;-0.1554885425;-0.1554885425
PF3D7_0608200;0.708141058;1.012198872;0.753757442;0.107693264;0.043857654;0.209448067;0.183870619;1.025652122;-0.442326736;-0.442326736
PF3D7_0608300;-0.242941320333333;-0.0932328323333333;-0.019808181;-0.0401135336666667;0.454047314666667;0.213591241;-0.00362738966666667;0.315119574;-0.380692129666667;-0.380692129666667
PF3D7_0608400;0.011340061;0.101465253;0.168129285;-0.659367323;-0.388032076;-0.413429435;-0.094095355;-0.759953898;-0.298817358;-0.298817358
PF3D7_0608500;0.496604752;0.893931149;0.829072797;0.447387161;0.501152215;0.477951493;0.575030736;0.533883043;0.608940925;0.608940925
PF3D7_0608600;-0.263507791;-0.082337239;0.290268278;-0.25513219;-0.343314347;-0.322556666;-0.435584913;-0.33386694;-0.096454986;-0.096454986
PF3D7_0608700;-0.213701027;-0.1587034645;-0.134630808;-0.10456018;-0.1102192085;-0.039083293;0.002175641;0.1167486515;0.209450089;0.209450089
PF3D7_0608800;0.494823089;0.5591280075;0.654527023;0.4372751805;0.5318213305;0.525225823;0.8237039835;0.472272491;0.663649702;0.663649702
PF3D7_0608900;0.3720388415;0.633066787;0.6758102085;0.222397527;0.176176104;-0.0203848185;0.4217641075;0.415798586;0.5175774745;0.5175774745
PF3D7_0609000;-0.7210212395;-0.6651530419;-0.349867316285714;-0.3256921658;-0.2813577689;-0.2057669088;-0.407933465;-0.137321414333333;-0.338671783888889;-0.338671783888889
PF3D7_0609100;0.04185169;0.24030444;-0.154641675;0.437850317;0.531072217;0.407449902;0.166733343;0.621963057;0.223520256;0.223520256
PF3D7_0609200;-0.314007719;-0.4074554795;-0.3382768605;-0.254639919;0.004032077;0.127617804;-0.3252623645;0.2464682055;-0.169975906;-0.169975906
PF3D7_0609300;-0.214282614;-0.186446222;-0.461293106;-0.14023334;-0.2286699345;-0.1757538615;-0.0835768705;-0.052170623;-0.277000701;-0.277000701
PF3D7_0609400;-0.32414849;-0.3956487965;-0.2610360205;-0.1725698375;-0.041011919;-0.000334101500000017;-0.7573288405;-0.222527662;-0.3030540215;-0.3030540215
PF3D7_0609500;-0.2689470255;-0.5525506945;-0.5006991745;-0.379200018;-0.438540914;-0.220262447;-0.2612549905;-0.200366295;0.005426489;0.005426489
PF3D7_0609600;0.371062892;0.469868481;0.5652542175;0.1800242685;0.1738593515;0.3026476745;0.0300014585;0.084624971;0.0865572105;0.0865572105
PF3D7_0609700;0.4677939115;0.358386525;0.1304801355;0.31934511;0.305346998;0.219462613;0.540870584;0.039090162;0.393375519;0.393375519
PF3D7_0609800;0.306509563;0.513469377;0.473083317;0.544213707;0.028222014;-0.07532534;1.059495249;0.967242871;0.789020096;0.789020096
PF3D7_0609900;0.117665846333333;0.116685518;-0.010734185;0.280312078333333;0.424722602;0.108993766333333;0.0328508856666667;0.272470895333333;0.091493205;0.091493205
PF3D7_0610100;-0.401790389;0.3451844885;0.3224985775;0.4836823485;0.109670044;0.170367805;0.5811673825;-0.2432475955;0.5525769955;0.5525769955
PF3D7_0610200;0.468234755;0.367902664;0.465055828;0.174717739;0.1804803055;0.198718317;0.256357441;0.0633631845;-0.0371685205;-0.0371685205
PF3D7_0610500;0.379179539;0.546278835;0.646661201;0.484387507;0.279195231;0.333597258;0.114335103;0.053665149;0.257893006;0.257893006
PF3D7_0610600;-0.106590851;0.1602989005;0.420276439;0.093559407;0.252713362;0.0339988875;-0.1055603665;-0.259328498;0.182796178;0.182796178
PF3D7_0610700;0.090858124;0.020533713;0.002260073;-0.013928689;0.009388387;-0.010937021;-0.007024511;-0.013231325;0.193029175;0.193029175
PF3D7_0610800;0.3658018775;0.288559727;0.2797633895;0.327225593;0.58123596;0.5164973705;0.49369008;-0.156207264;0.4670355925;0.4670355925
PF3D7_0610900;-0.606473628;-0.477304583;-0.396251108;-0.309933401;-0.5838375895;-0.3434551655;-0.611470587;-0.177265563;-0.5097635385;-0.5097635385
PF3D7_0611000;-0.279351702;-0.238720548;-0.04183318;-0.065757442;-0.049258018;0.008501329;-0.33887835;-0.221917301;-0.227058008;-0.227058008
PF3D7_0611100;0.622342764;0.568281713;0.641671844;0.324638128;0.040882202;0.061733471;0.657086208;0.070640316;0.599631736;0.599631736
PF3D7_0611200;0.125038209;0.321692761;0.641087586;0.020220078;0.157392252;0.02066329;-0.399570101;-0.774817537;-0.426207032;-0.426207032
PF3D7_0611300;0.459015316;0.778540954;0.475760641;0.308512591;0.530951665;-0.088900757;-0.225560869;0.029725201;-0.92629087;-0.92629087
PF3D7_0611400;-0.041143945;0.1996063865;0.1623795705;0.071649014;0.308918995;0.1467935665;0.0166475665;0.674286302;-0.2761618845;-0.2761618845
PF3D7_0611500;-0.372172897;-0.3460838005;-0.311946;-0.068201875;-0.047049844;-0.0192436365;-0.384245899;-0.764199454;-0.5924816935;-0.5924816935
PF3D7_0611600;-0.7971701815;-0.3282240725;-0.4231918445;-0.688759422;-0.542475997;-0.389340983;0.020059941;0.1094906;-0.038102383;-0.038102383
PF3D7_0611800;-0.477692436;-0.4217892572;-0.2760223446;-0.1585038982;-0.2821879718;-0.3051825738;-0.4068458092;-0.2673489198;-0.1160520078;-0.1160520078
PF3D7_0612200;-1.00122850066667;-0.833042866;-1.07728754233333;-0.596032324;-0.528222091666667;-0.541054453333333;-1.19532051366667;-0.409687283;-1.025495174;-1.025495174
PF3D7_0612600;-0.0533962855;-0.1375660125;-0.6124645225;-0.11422971;-0.11716956;-0.1044896395;0.030872908;-0.120503496;-0.264029915;-0.264029915
PF3D7_0612700;0.164147728;0.366113206;-0.194301729;0.007370093;-0.078348238;-0.247466558;0.645316431;0.297161604;0.243679715;0.243679715
PF3D7_0612800;0.673809569;0.657228435;0.951120472;0.271854774;0.040386868;0.190326537;0.840202086;0.3420601;0.832620438;0.832620438
PF3D7_0612900;-0.7812346325;-0.6043680475;-0.4723594815;-0.27228496;-0.5300644745;-0.230779675;-0.6424053115;-0.7126748195;-0.1921549415;-0.1921549415
PF3D7_0613000;0.63244023;0.763199152;0.737675018;-0.039599285;-0.682141388;0.124246052;1.042386232;0.240703295;0.448487311;0.448487311
PF3D7_0613100;-0.154292776;-0.000316575;0.048569216;-0.291201889;-0.183864023;-0.208386622;-0.30305452;-0.173225738;-0.304066654;-0.304066654
PF3D7_0613200;0.685699309;0.857254378;0.821727672;0.263999789;0.077973713;0.204806574;0.433634984;0.776383427;0.53091166;0.53091166
PF3D7_0613300;-0.080091066;0.07688638;0.178352254;-0.067141252;-0.037525007;0.138380275;0.627605277;0.382507396;0.117007786;0.117007786
PF3D7_0613400;0.225203899;0.018419673;0.181072056;-0.185739994;0.386271118;0.376857766;0.266237882;0.794778751;0.179957897;0.179957897
PF3D7_0613500;-0.143700684333333;-0.205913277666667;-0.364780839333333;-0.069689252;0.000399381500000004;-0.147680914333333;-0.291777464;-0.371732195666667;-0.225118388666667;-0.225118388666667
PF3D7_0613600;0.000149892499999998;-0.0309706415;0.0130191305;-0.0696223285;-0.1365177255;-0.2259160775;-0.0621664165;-0.211514995;-0.2600535665;-0.2600535665
PF3D7_0613700;0.382309161;0.2701918315;0.005489687;0.3972094975;0.3651228605;-0.1762905135;0.521709941;0.203709444;0.450853671;0.450853671
PF3D7_0613800;-0.803861572142857;-0.86503301;-0.286316524714286;-0.815730177428571;-0.539463829857143;-0.513273226142857;-1.00408842785714;-0.481932479;-0.760124054857143;-0.760124054857143
PF3D7_0613900;-0.922550459;-0.751686807;-0.884510924;-0.36823849525;-0.418288482;-0.578685143;-0.55538966475;-0.9650921585;-0.735059342333333;-0.735059342333333
PF3D7_0614000;1.0587090675;1.0782930145;0.8218596325;1.2605976475;0.715107179;1.0207047045;0.5395756925;0.828373573;0.524807587;0.524807587
PF3D7_0614200;-0.354836218;-0.179557001333333;-0.209744905;-0.300275406333333;-0.3631431415;-0.424272214;-0.472252728666667;-0.090384677;-0.272031453333333;-0.272031453333333
PF3D7_0614300;0.1832787805;0.3962985045;0.138544272;0.225535235;0.1080332685;-0.0758468095;0.36595241;0.690375348;0.225932419;0.225932419
PF3D7_0614400;0.913262544;0.334331939;0.984276608;0.399719828;0.245492408;0.383875724;0.448235272;0.530656444;0.375250074;0.375250074
PF3D7_0614600;0.247788343;-0.0284235;-0.032727599;0.19857292;0.3115665225;0.001037078;-0.253631961;-0.013231325;-0.425054665;-0.425054665
