"","MAL13P1.124","MAL13P1.135","MAL13P1.137","MAL13P1.206","MAL13P1.262","MAL13P1.338","MAL13P1.40","MAL7P1.18","MAL8P1.105","MAL8P1.132","MAL8P1.91","PF07_0074","PF08_0032","PF10_0020","PF10_0085","PF10_0111","PF10_0132","PF10_0136","PF10_0152","PF10_0191","PF10_0299","PF10_0307","PF10_0374","PF10_0380","PF11_0090","PF11_0162","PF11_0290","PF11_0527","PF13_0095","PF13_0135","PF13_0137","PF13_0170","PF14_0041","PF14_0112","PF14_0138","PF14_0214","PF14_0238","PF14_0249","PF14_0360","PF14_0384","PF14_0499","PF14_0562","PF14_0642","PF14_0713","PF14_0719","PFA0180w","PFA0430c","PFB0175c","PFB0270w","PFB0295w","PFB0590w","PFC0090w","PFC0375c","PFC0400w","PFC0440c","PFC0760c","PFC0980c","PFE0165w","PFE0430w","PFE0450w","PFE0585c","PFE0815w","PFE1340w","PFF0200c","PFF0610c","PFF0690c","PFF0875w","PFF0965c","PFF1150w","PFI0500w","PFI0965w","PFL0625c","PFL0980w","PFL1135c","PFL2055w","D_class","Class","Compound"
"Quinine_H1","-0.347293773"," 0.200949351","-0.688691618","-0.23269274"," 0.0133844396","-0.073801369"," 0.186954272","-0.089348358"," 0.015237194"," 0.2001824981"," 0.063694957","-0.153774253"," 0.1654300791"," 0.3328853634"," 0.057268922"," 0.132901067"," 0.0471961511","-0.0810305520","-0.047669002","-0.226053632"," 0.470946137"," 0.171332473","-0.137941798","-0.0410663028"," 0.248161154"," 0.033088335"," 0.462261054"," 0.11751721","-0.16715262","-0.1585148612","-0.0366470574"," 0.179587427"," 0.118478078","-3.344623e-01","-0.183515144"," 0.1120866282","-0.503658864","-0.423041771"," 0.023217979"," 0.016735566"," 0.222701019"," 0.22860332","-0.319200691"," 0.033814241","-0.1594318478","-0.422727069"," 0.091617017"," 0.370894996","-0.060503623"," 0.0689115042","-0.628609277"," 0.147437905"," 0.131315916","-0.246033400"," 0.112152164"," 0.328502772"," 0.039002035"," 0.055531793"," 0.144811698","-0.227597112"," 0.2699512324","-0.116668023"," 5.037274e-01","-0.49233648"," 0.055391438"," 0.046845067"," 0.0831835025","-0.017609746","-0.356289718"," 0.182916302"," 0.139550958"," 0.16988101"," 0.1453664973","-0.196333603"," 0.105213163",12,9,"Quinine"
"Quinine_H2","-0.463497395"," 0.104103454","-1.213104322"," 0.21817362","-0.0539925242"," 0.001318236","-0.337312985","-0.772437706"," 0.110560187"," 0.0908464467","-0.524580122","-0.676209633"," 0.4984418951","-0.0001076043"," 0.265914165"," 0.301494129"," 0.0971442155"," 0.0685060746","-0.123902820","-0.525765977"," 0.241655751"," 0.154710262","-0.015392012"," 0.3625734987","-0.025087322"," 0.291786674"," 0.380006920"," 0.11530719","-0.36398183","-0.1131366047"," 0.1463490557"," 0.120857250","-0.024466015","-9.117568e-01","-0.405434493","-0.0008564123","-0.939724020","-0.457444395","-0.016019299"," 0.157045662"," 0.259780460"," 0.33759786","-0.944296396"," 0.381152960"," 0.0580235450"," 0.087278873"," 0.140141624"," 0.399308411"," 0.012914074","-0.0300827384","-1.038542869","-0.076765806"," 0.189865547","-0.221968313"," 0.222397007"," 0.406113918"," 0.416705442","-0.393594708"," 0.013432896","-0.493715381"," 0.4909903689"," 0.207078694"," 4.734055e-01","-1.44327117"," 0.334000939"," 0.341865969","-0.2572850280"," 0.201445721","-0.638103709"," 0.382402332"," 0.425580066"," 0.20357639"," 0.3700306910","-0.018157769","-0.023588683",12,9,"Quinine"
"Quinine_H4","-0.293353325"," 0.193563988","-0.162857750","-0.26135688"," 0.0637329587"," 0.128988544"," 0.268261870"," 0.018684855","-0.008181466"," 0.3148543988","-0.113915046","-0.607618772","-0.0238865384"," 0.0442314967"," 0.180154278"," 0.026030107"," 0.0510766250"," 0.0754758942","-0.156085239","-0.243935750"," 0.908009090"," 0.470184394","-0.002636156"," 0.2329877763"," 0.232529741","-0.099016824"," 0.441766486","-0.16096226","-0.46163379"," 0.1783720001","-0.0815126838","-0.003881334","-0.041581258","-1.109241e-01","-0.337725088"," 0.2116348284","-0.353762375","-0.299639624","-0.147260351"," 0.121076470"," 0.238973105","-0.08219568","-1.102285540"," 0.194433717"," 0.0217319413","-0.179327558","-0.176564010"," 0.146880595","-0.268588157","-0.0353187069","-0.236638341"," 0.211466634"," 0.252323965","-0.415872245"," 0.151449245"," 0.424304810"," 0.291705653","-0.033019516"," 0.299430057","-0.217384958","-0.0337462852"," 0.004525794","-1.663728e-01","-0.81235758"," 0.103482657","-0.189674441"," 0.0357057013"," 0.302821910","-0.772466399"," 0.240923193"," 0.009061397"," 0.15162702"," 0.3113707898","-0.116558009","-0.152664046",12,9,"Quinine"
"Quinine_H6","-0.397897513","-0.009914833","-0.575413517"," 0.11503011"," 0.0397741929"," 0.096772260"," 0.125620078","-0.360102419"," 0.100713178"," 0.1502189884","-0.556237337","-0.243181173"," 0.3754593005","-0.1324427494"," 0.400698498"," 0.566463637","-0.0781823840","-0.1287116932","-0.028209811","-0.319326445"," 0.159663648"," 0.168712305","-0.077838635"," 0.2868469055"," 0.104950808"," 0.115138214"," 0.203186220","-0.29244820","-0.38502086","-0.1400109447"," 0.0214568727","-0.132068822","-0.032618297","-3.352182e-01","-0.225154785","-0.0031265965","-0.690022303","-0.318608167","-0.087603730"," 0.285259116"," 0.167066900","-0.09355346","-0.285497898"," 0.197603148","-0.2249826619"," 0.074142424","-0.029904857"," 0.107867262","-0.063815205"," 0.0554896535","-0.289410252","-0.278584785"," 0.170783641","-0.868162012"," 0.155514114"," 0.233075312"," 0.298709593","-0.329042317","-0.048437604","-0.270634694"," 0.0935947332"," 0.114373301"," 1.060535e-01","-1.02498966"," 0.316296093"," 0.015792453","-0.0289865081"," 0.232444938","-0.246963009"," 0.098345292","-0.002198746"," 0.11888298"," 0.1400217245","-0.002022329","-0.070775796",12,9,"Quinine"
"Quinine_H8","-0.197379372"," 0.054372030","-0.379311723","-0.60082857","-0.2021020717","-0.160912634"," 0.748198122","-0.323229003","-0.189698311","-0.1241925316","-0.253318218","-0.377714083","-0.1734352480"," 0.7176302583"," 0.066537994"," 0.351086622"," 0.1458345701","-0.2012086371"," 0.109158446","-0.119231282"," 0.197200284","-0.093948154","-0.468798443"," 0.3166216806","-0.041616613","-0.215676873"," 0.535139140","-0.35751133"," 0.40867148","-0.2714822568","-0.1180424241"," 0.068369713","-0.129608090"," 3.914150e-01"," 0.120925997","-0.2315624409","-0.879346743","-0.157655693","-0.440127734","-0.123480533"," 0.174047850","-0.39459568","-1.341288308"," 0.398765786","-0.5477562008","-0.203343559"," 0.185352888","-0.387987113","-0.190552646","-0.0053686879","-0.018608163","-0.330000886"," 0.001313984","-0.258857527"," 0.065361614"," 0.045640948"," 0.264365726"," 0.126736329"," 0.029894502"," 0.214811975"," 0.1408005965"," 0.351258182","-2.036014e-01","-1.47273840"," 0.308049084","-0.064730888"," 0.1655059004"," 0.132874499","-0.279423420","-0.138942109","-0.242905374"," 0.05952750","-0.2643285967","-0.029830088","-0.128902357",12,9,"Quinine"
"Quinine_H10","-0.333951259","-0.017231628","-0.579695151","-0.28455360"," 0.1572476488"," 0.537077672","-0.240791060","-1.391107981"," 0.095075477","-0.0538995020","-0.499679485","-0.059107094"," 0.6526414563","-1.2678078623"," 0.333430699"," 0.188325231","-0.4007115369"," 0.4880707068"," 0.106069382"," 0.077646563","-0.096820823"," 0.435921981"," 0.215703717"," 0.6503275322","-0.178539353","-0.183889664"," 0.086285802"," 0.42182832","-0.58541119"," 0.1061405269"," 0.2883292955"," 0.239066730","-0.153165575","-2.787826e-01","-0.285137978"," 0.1136755102","-0.204166589","-0.243452197","-0.006180873"," 0.291554660"," 0.049624925","-0.26543910","-0.671861728"," 0.410467362"," 0.5409116054","-0.086285762"," 0.101895118"," 0.023271830","-0.304829317","-0.0007090302","-0.314478791"," 0.044443974"," 0.044231465"," 0.101486749"," 0.110471796"," 0.170737106"," 0.577471325","-0.104377952","-0.128207426","-0.296515507"," 0.0412797417"," 0.378810681"," 5.344642e-01"," 0.06542312"," 0.240658466","-0.157758178","-0.0749559919"," 0.684173565","-0.205791018"," 0.389075079"," 0.235224059"," 0.09205924"," 0.5519926341","-0.273139872","-0.319105177",12,9,"Quinine"
"Chloroquine_H1"," 0.288754930"," 0.104928756"," 0.619712631","-0.18322988","-0.0111172319"," 0.245638497","-0.218176785"," 0.777687675"," 0.258183191","-0.4806345117"," 0.732921611","-0.126431195","-0.4701181062"," 0.6171138566","-0.347762864","-0.053361471"," 0.1904182473","-0.3788603225","-0.436910200"," 0.130462748","-0.176449683"," 0.598014243"," 0.187668054","-0.0685814421","-0.011314013","-0.170155688"," 0.189446505","-0.84969202"," 0.76720879"," 1.0388091543","-1.0398897461"," 0.703257165"," 0.329879254"," 6.308491e-02"," 0.546102757","-0.0178222799"," 0.351507412","-0.481161061"," 0.291294203","-0.115998091","-0.144511839","-0.54947930"," 0.190127308","-0.304937713","-0.1449001387","-0.163188806","-0.508837814","-0.176165404"," 0.331566056"," 0.3529831985","-0.433426508"," 0.511916645"," 0.572849803","-0.760683083"," 0.081202403","-0.324498625"," 0.049036600"," 0.717647841","-0.115211334"," 0.090024809"," 0.0781243631","-0.514428693"," 2.169104e-01"," 1.00526409","-0.295545822","-0.320320758"," 0.1611252069"," 0.099776835"," 0.273244895"," 0.528437545","-0.323178648","-0.36397658"," 0.4204489846","-0.180240522","-0.449508596",13,10,"Chloroquine"
"Chloroquine_H2"," 0.395957475","-0.013202314"," 1.040327173"," 0.10547006"," 0.0357116336"," 0.285773540","-0.016484933"," 1.119489479","-0.001560852"," 0.7410706490"," 0.493629793"," 0.401297782","-0.2671765212"," 0.6278969134","-0.292770809","-0.208504502"," 0.1968263082"," 0.0143128714","-0.190514716"," 0.072595756","-0.228403210"," 0.412042739"," 0.219886835","-0.0312010542"," 0.158393828","-0.260387423","-0.070097624","-0.27104526"," 0.32966956"," 0.1506716443","-0.5275011189"," 0.370724307"," 0.217398404"," 2.417057e-01"," 0.400841374","-0.1349907220"," 0.585947217","-0.115904593"," 0.020276787","-0.451247140","-0.083767295","-0.67215228"," 0.061486197","-0.109416383","-0.1071179127"," 0.220756308"," 0.060437071","-0.249022903","-0.002769146","-0.0476547809","-0.103897108"," 0.447222527"," 0.435507205"," 0.001155219","-0.089281826","-0.047553379"," 0.014888952"," 0.320916599"," 0.197082612"," 0.263228370","-0.0188968303","-0.515076003","-2.233294e-01"," 0.98981705","-0.306596056","-0.189541412"," 0.2093479741","-0.098204775"," 0.012744005","-0.088683428","-0.362241315","-0.07467876"," 0.1398715199","-0.368604542"," 0.084039668",13,10,"Chloroquine"
"Chloroquine_H4"," 0.358884026"," 0.212336706"," 0.263991858"," 0.08956271","-0.1139334132"," 0.118755855"," 0.067442146"," 1.357247595"," 0.048299730","-0.4369343048"," 0.498355979","-0.690508790","-0.4016516666"," 0.8508948614","-0.208617870","-0.458871156"," 0.3418111974"," 0.2921043567","-0.237047621"," 0.375191224","-0.021353975"," 0.516257642"," 0.298303662","-0.2482002899"," 0.003875656","-0.107559530"," 0.047591193","-0.34236547"," 0.52152987"," 0.1031526666","-0.6843316326"," 0.499996469"," 0.151512664"," 3.311742e-01","-0.085375072","-0.0504131143"," 0.316235804","-0.302863784","-0.380257303","-0.266117385","-0.210959893","-0.74809600","-0.014678145","-0.040373858","-0.1276199226","-0.207115058","-0.063730518","-0.262887340"," 0.415113986"," 0.1569719994","-0.217427364"," 0.304711013"," 0.232181280","-0.334723259","-0.117446865","-0.096423896","-0.174471774"," 0.135506218","-0.025059667","-0.015819111","-0.0838515758","-0.344138745"," 1.720606e-01"," 0.91641789","-0.293296147","-0.670513614"," 0.1954239751"," 0.136795293"," 0.213480098"," 0.368514183","-0.205539086","-0.34682100","-0.1345790361"," 0.037998300","-0.299286314",13,10,"Chloroquine"
"Chloroquine_H6"," 0.146772658"," 0.086544111"," 0.522224749"," 0.17122444"," 0.1357950299"," 0.239610136"," 0.093969242"," 1.358667290","-0.204935011","-0.3629525847"," 0.222651887","-0.441142495","-0.0008900634"," 0.4984969676","-0.199061527"," 0.151524642"," 0.0336793644"," 0.3117880330","-0.160159662","-0.030504098","-0.424431756"," 0.466332903"," 0.062064179","-0.0239621634"," 0.121391196"," 0.007946545"," 0.322555762"," 0.11488827"," 0.09446799"," 0.0573445066","-0.3678109699"," 0.065534804","-0.129001852"," 1.182832e-01","-0.178713739"," 0.0419440235"," 0.245420799"," 0.080750063","-0.149433856","-0.168474200","-0.064137115","-0.30589825","-0.100540311"," 0.194551600","-0.0927285207","-0.347652764"," 0.124035919"," 0.063237350","-0.254373292"," 0.0074280907","-0.048436246"," 0.011197007"," 0.039617317"," 0.133584399","-0.128313168","-0.062271793"," 0.076891044","-0.285631387"," 0.089385633"," 0.094731421","-0.1291048999","-0.154894887","-2.071806e-01"," 0.95017370","-0.155087149"," 0.097158145"," 0.0378174546"," 0.067009647","-0.037853934"," 0.019893925","-0.011170836","-0.04224061","-0.0291471247","-0.190977404"," 0.049681545",13,10,"Chloroquine"
