X;ArtTP1;ArtTP2;ArtTP3;ArtTP4;ArtTP5;ArtTP1c;ArtTP2c;ArtTP3c;ArtTP4c;ArtTP5c
PF3D7_0617600;-3.322;0;-0.218;-0.328;0.086;-0.631;-0.152;-0.129;-0.479;-0.341
PF3D7_0617700;-1.372;0.701;-0.678;-0.834;-0.594;-0.037;0.201;-0.277;-1.801;-0.778
PF3D7_0617800;1.708;2.037;1.926;2.567;3.237;2.205;1.63;2.133;1.837;2.241
PF3D7_0617900;0.693;1.312;1.127;1.053;1.087;0.856;1.298;1.476;-0.05;0.948
PF3D7_0618000;-1.5825;-0.5735;-0.5015;-0.1275;-0.0165;-1.221;-0.104;0.211;0.9;1.339
PF3D7_0618100;-0.5425;0.16;-0.2635;-0.185;-0.2125;-0.086;0.2845;-0.03;0.3785;0.399
PF3D7_0618300;-0.404;0.982;-0.882;-2.884;-1.5;-0.119;0.207;-0.407;-1.707;-1.465
PF3D7_0618400;-0.996;-0.514;-0.867;-0.7475;-0.2095;-1.5535;-0.28;-0.507;-1.059;-1.144
PF3D7_0618700;0.483;0.135;-0.294;-0.264;-0.698;0.476;0.442;-0.009;-0.459;-0.255
PF3D7_0618900;0.528;0.6655;0.6595;0.698;0.6635;0.8825;1.111;0.7655;0.6205;0.2375
PF3D7_0619000;0.0186666666666667;0.446;0.473333333333333;0.554666666666667;0.289666666666667;0.148333333333333;0.346;0.036;-0.309333333333333;-0.409333333333333
PF3D7_0619100;0.187;1.318;0.402;1.665;0.874;0.416;0.354;0.365;-0.651;-0.088
PF3D7_0619200;-0.6975;0.1555;0.0205;0.341;0.275;-0.1225;0.126;-0.368;-0.7805;-0.411
