X;ArtTP1;ArtTP2;ArtTP3;ArtTP4;ArtTP5;ArtTP1c;ArtTP2c;ArtTP3c;ArtTP4c;ArtTP5c
PF3D7_0100100;-0.728;-0.1565;-0.7295;-0.55525;-0.2375;-0.89525;-0.26725;-0.35025;-0.76;-0.53575
PF3D7_0100200;-0.791;0.423;2.269;4.043;2.879;-0.695;0.297;-0.108;0;0.093
PF3D7_0100300;-2.6155;-0.864;-1.8235;-0.7405;-0.9695;-2.066;-1.673;-2.133;-2.5465;-1.3895
PF3D7_0100400;-1.3685;-0.0145;1.6405;2.3835;1.8795;-0.456;-0.2425;-0.3555;-0.667;-0.405
PF3D7_0100500;-1.672;-1.848;-0.848;0.044;-0.69;-1.585;-1.28;-0.661;-0.485;-0.848
PF3D7_0100600;-2.248;-1.152;-0.656;-0.188;-0.278;-1.131;-1.177;-1.585;-0.692;-0.669
PF3D7_0100800;-0.531;-0.166;-0.359;-0.021;-0.163;-0.87;0.156;-0.354;-0.224;-0.163
PF3D7_0100900;-0.02;0.882;-0.5;0.072;-0.209;-0.029;0.237;-0.071;-0.414;-0.404
PF3D7_0101000;-0.974;-0.492;-0.451;-0.174;-0.129;-0.336;-1.284;-0.778;-0.637;-0.605
PF3D7_0101300;-1.052;-0.78;-0.363;-0.376;0.127;-1.212;-0.189;-0.584;-0.293;0.285
PF3D7_0101400;-0.845;0.675;0.076;0.28;0.528;-0.956;0.499;0.115;-0.151;0.427
PF3D7_0101500;-0.953;-0.545;-0.307;0.092;0.2815;-1.4015;-0.225;-0.5545;-0.568;-0.3595
PF3D7_0101600;-1.826;-0.63;-0.415;0.35;0.406;-0.807;0.135;-0.436;-0.705;0.013
PF3D7_0101800;-0.391;0.215;-1.923;-0.659;-0.585;-1.375;-0.721;-0.705;-1.948;-2.089
PF3D7_0102000;-1.322;-1.294;-1.427;-1;-0.714;-1.678;-0.722;-1.322;-1.373;-0.018
PF3D7_0102100;-1.333;-0.864;-0.967;-0.914;-1.519;-1.1;-0.048;-0.515;-0.907;-0.17
PF3D7_0102200;-4.6565;-3.3425;-3.123;-1.7565;-1.3415;-4.423;-3.5675;-3.0465;-1.096;0.7855
PF3D7_0102300;-0.022;-0.201;-0.167;-0.491;-0.524;-0.201;0.55;-0.222;-0.598;-1.046
PF3D7_0102400;-1.097;0.804;1.382;1.327;1.174;0.569;0.637;0.686;0.515;0.642
PF3D7_0102500;-5.03;-3.44733333333333;-1.23466666666667;-1.04866666666667;-1.19633333333333;-5.125;-3.70333333333333;-1.26;0.629333333333333;1.39433333333333
PF3D7_0102600;-2.2385;-0.649;-0.446;-0.033;-0.5635;-2.1705;-1.1845;-1.2585;-1.711;-1.248
PF3D7_0102700;-2.543;-1.108;-0.056;0.869;0.485;-3.255;-2.024;-1.192;-1.062;-0.119
PF3D7_0102800;0.0955;0.8215;0.6155;0.298;-0.067;-0.5625;0.693;0.0405;0.0525;-0.521
PF3D7_0102900;-0.7425;-1.2285;-0.934;-0.5625;-1.1305;-0.401;-0.237;-0.843;-1.218;-1.087
PF3D7_0103000;0.578;0.251;0.09;0.295;0.396;0.342;0.859;0.882;0.378;-0.146
PF3D7_0103100;-0.318333333333333;0.740333333333333;1.13466666666667;1.61233333333333;0.999;0.871333333333333;0.847666666666667;0.805666666666667;0.571333333333333;0.561
PF3D7_0103200;0.139;0.029;-0.716;-0.7445;-1.2505;0.0645;0.196;-0.2675;-0.7685;-0.848
PF3D7_0103300;0.0255;-0.3235;-0.0065;0.309;-0.381;-0.417;-0.351;-0.4925;-0.7555;-0.5385
PF3D7_0103400;-0.624333333333333;0.723666666666667;0.470666666666667;0.658333333333333;0.279333333333333;-0.531;-0.0286666666666667;-0.0376666666666667;-0.0483333333333333;0.232
PF3D7_0103500;0.0876666666666667;-0.4775;-0.731666666666667;-1.05633333333333;-0.973333333333333;0.122;0.229666666666667;-0.533;-0.586666666666667;-0.412333333333333
PF3D7_0103600;-0.212666666666667;-0.0553333333333333;-0.04;0.165666666666667;-0.303333333333333;0.197;-0.33;-0.569333333333333;-1.00333333333333;-0.619666666666667
PF3D7_0103700;0.076;0.645;-0.242;-0.0715;-0.157;0.1165;0.098;-0.3275;0.102;-0.6305
PF3D7_0103900;0.251;0.6265;0.351;0.8465;0.4145;0.2955;0.602;0.0685;-0.231;-0.5025
PF3D7_0104000;-0.252;0.927;-0.087;0.761;-0.178;0.277;-0.081;0.523;0.626;0.139
PF3D7_0104100;8.5775;-1.0305;-0.1255;-0.1245;0.337;0.6125;1.6165;0.7685;0.519;1.7905
PF3D7_0104200;-0.9175;-0.377;-0.203;0.12;-0.1205;-0.808;-0.207;-0.283;0.169;0.42
PF3D7_0104300;-2.057;-1.95691666666667;-1.413625;-1.278125;-1.57325;-2.057125;-1.671375;-1.549375;-0.42325;0.576
PF3D7_0104400;0.451;0.236;0.578;0.305;0.374;0.6625;0.8825;0.3975;0.016;0.2445
PF3D7_0104500;-0.781;-1.363;-0.877;-0.666;-0.803;-1.27;-0.929;-1.671;-2.006;-2.365
PF3D7_0104600;-0.948;-1.0975;-0.542333333333333;0.0203333333333333;-0.365333333333333;-0.578;-0.559666666666667;-0.752333333333333;-1.43566666666667;-1.13766666666667
PF3D7_0104700;-0.474;-0.293;-0.595;-0.01;0.3215;-0.1235;0.205;-0.0755;-0.7265;-0.087
PF3D7_0104800;0.3665;0.3415;0.424;0.2685;0.335;0.666;1.0365;0.786;0.5925;0.587
PF3D7_0105100;0.636;1.119;0.373;0.594;0.167;0.804;0.841;0.532;0.067;-0.244
PF3D7_0105200;-0.196;0.535;-0.0795;0.3425;0.0945;-0.058;-0.0155;-0.3155;-0.1835;-0.275
PF3D7_0105300;0.683;1.341;0.888;1.786;1.053;0.608;1.355;1.429;1.565;1.465
PF3D7_0105400;0.008;0.533;0.441;1.109;0.867;-0.834;0.855;0.981;1.583;1.485
PF3D7_0105500;-0.0255;0.4455;0.204;0.285;0.19;-0.095;0.5355;0.1295;-0.05;0.054
PF3D7_0105600;-0.7735;-0.182;-0.5755;-0.6495;-0.6725;-0.35;-0.475;-0.8275;-1.258;-1.2285
PF3D7_0105700;0.4272;1.0144;1.4452;1.565;1.0988;0.4446;0.6876;0.4408;0.145;-0.0288
PF3D7_0105800;0.1425;1.35;0.5665;1.181;0.7635;0.335;0.6635;0.7455;0.3105;0.7245
PF3D7_0105900;-0.1725;0.538;0.2455;0.427;-0.222;0.093;0.2665;0.461;0.391;0.1155
PF3D7_0106000;0.539;1.08;0.463;1.203;0.92;0.765;0.8685;0.886;1.2355;1.1605
PF3D7_0106100;-0.1875;-0.1085;-0.2675;-0.061;-0.0355;0.6525;0.7205;0.2815;0.1105;0.255
PF3D7_0106200;0.462;1.481;0.95;1.277;1.205;0.688;1.278;1.229;-0.133;0.58
PF3D7_0106300;0.7885;0.562;0.781;1.0145;0.912;0.834;1.026;0.7735;0.4935;0.4535
PF3D7_0106400;-2.039;-1.128;-1.63;-1.129;-1.457;-1.528;-1.544;-2.185;-2.763;-2.297
PF3D7_0106500;0.528666666666667;0.623666666666667;0.820333333333333;0.938666666666667;0.629666666666667;0.63;6.43933333333333;0.820333333333333;5.88566666666667;-0.014
PF3D7_0106600;-1.051;0.295;0.635;1.389;0.783;-0.617;0.077;-0.11;-0.911;-0.395
PF3D7_0106700;-1.03666666666667;-1.449;-0.766666666666667;-0.588666666666667;-0.991333333333333;-1.03066666666667;-0.89;-1.27766666666667;-1.334;-1.21533333333333
PF3D7_0106800;0.296;0.744;0.376;0.599;0.107;0.342;0.791;0.434;0.063;-0.347
PF3D7_0106900;0.9635;0.664;0.5205;0.971;0.5195;1.0325;0.7035;0.25;-0.433;-0.714
PF3D7_0107000;0.909;1.701;0.411;0.694;0.328;1.036;1.342;1.051;0.514;0.213
PF3D7_0107100;0.161;0.853;-0.0235;-0.239;-0.6145;0.493;0.33;-0.2295;-0.8025;-0.629
PF3D7_0107200;-0.251;0.032;-0.5445;-0.689;-0.804;-0.339;-0.2795;-0.8775;-0.8605;-1.125
PF3D7_0107300;0.1915;0.7075;0.2495;0.457;0.292;-0.263;0.4825;0.2975;0.1595;0.1515
PF3D7_0107400;0.971;1.044;0.787;1.203;0.708;0.942;0.898;0.872;0.365;0.045
PF3D7_0107500;-1.4135;-0.6985;-0.5025;-0.136;5.30866666666667;-1.088;0.210666666666667;-1.332;0.034;0.562666666666667
PF3D7_0107600;-0.634333333333333;0.022;-0.367;0.551666666666667;0.0693333333333333;-0.526333333333333;0.189333333333333;-0.525333333333333;-0.351333333333333;-0.561
PF3D7_0107700;-0.2835;0.93;-0.6465;-0.502;-0.833;0.068;0.7125;0.0165;-0.0865;-0.2015
PF3D7_0107800;0.176;1.083;0.6485;0.5315;0.2535;0.5205;0.757;0.257;-0.978;-0.4545
PF3D7_0107900;-0.683;1.402;0.027;0.128;-0.338;0.383;0.672;0.343;-1.408;-0.397
PF3D7_0108100;0.4585;-0.013;0.3875;0.4295;-0.0565;0.1295;0.547;0.203;-0.158;-0.1545
PF3D7_0108300;-0.577;-0.243666666666667;-0.37175;-0.2765;-0.5105;-0.28775;-0.2045;-0.36475;-0.63025;-0.25375
PF3D7_0108400;-0.231;0.868;0.428;0.674;0.114;-0.475;0.312;0.621;0.375;0.633
PF3D7_0108600;0.52;1.17;0.01;0.454;-0.184;0.521;0.741;0.23;-0.216;-0.222
PF3D7_0108700;0.6;0.958;1.1975;1.4165;0.97;0.2905;0.6615;0.3205;-0.0285;-0.0165
PF3D7_0108800;-0.1505;0.4105;0.6325;0.883;0.553;0.0735;0.4095;0.317;-0.068;-0.3185
PF3D7_0109000;-5.283;-2.013;-1.649;-0.478;-0.542;-3.874;-1.863;-0.29;0.371;1.021
PF3D7_0109100;-2.6585;-2.1045;-2.218;-1.668;-1.4725;-2.735;-1.5635;-1.0035;0.2545;0.661
PF3D7_0109300;0.05;0.12;-1.053;-0.204;-0.044;-0.355;-0.029;0.238;-0.245;-0.477
PF3D7_0109400;-0.189;-0.407;-0.344;0.121;-0.15;-0.096;-0.246;-0.186;-0.969;-0.501
PF3D7_0109500;-0.121;0.324;-0.096;-0.757;0.178;-0.223;-0.347;-0.344;-1.157;-1.288
PF3D7_0109600;-1.199;0.356;-0.371;-0.512;-0.672;-1.633;-0.026;-0.394;-1.677;-0.899
PF3D7_0109800;-0.086;-0.4455;-0.2225;0.274;-0.5535;-0.2655;-0.2295;-0.54;-1.1265;-1.2955
PF3D7_0109900;1.4105;0.901;1.008;1.1275;0.8155;1.1785;1.5135;1.1395;0.8165;0.902
PF3D7_0110000;0.443;0.297;-0.07;0.445;-0.175;0.465;0.658;0.04;-0.229;0.034
PF3D7_0110100;-0.564;-0.444;-0.427;-0.196;-0.6205;-0.321;-0.5345;-0.527;-0.901;-1.312
PF3D7_0110400;-0.325;-0.066;0.171;0.024;-0.489;-0.622;-0.546;-0.856;-1.33;-1.936
PF3D7_0110500;-0.587;-0.48275;0.37625;0.50225;-0.00675;-0.22175;-0.1005;-0.60125;-1.14075;-1.05575
PF3D7_0110600;-0.816666666666667;-0.0546666666666667;-0.0236666666666667;-0.100333333333333;-0.543333333333333;-0.926666666666667;-0.329333333333333;-0.658666666666667;-0.677666666666667;-0.439
PF3D7_0110700;-0.226;-0.593;-0.098;-0.152;-0.3805;-0.3505;-0.211;-0.6905;-1.2365;-0.7685
PF3D7_0110800;-0.968;-1.751;-1.02;-1.2755;-1.124;-1.4585;-0.9635;-0.968;-1.411;-1.3695
PF3D7_0111000;0.880333333333333;0.981666666666667;0.914333333333333;0.967666666666667;0.863666666666667;0.828333333333333;0.61;0.398666666666667;0.236666666666667;0.325
PF3D7_0111300;0.862;-0.122;0.2115;0.168;-0.343;0.742;0.9365;0.5575;-0.24;-0.0355
PF3D7_0111400;0.428;0.529;0.521;0.7285;0.2225;0.438;1.061;0.572;-0.0745;-0.163
PF3D7_0111500;-0.017;0.741;-0.119;-0.232;-0.307;0.27;0.6345;0.604;0.9035;0.852
PF3D7_0111700;-1.153;0.091;-0.631;-1.626;-1.688;-0.071;0.09;-0.562;-0.782;-0.995
PF3D7_0111800;-0.0265;0.438;-0.167;-0.323;-0.7785;-0.429;-0.2965;-0.6675;-1.099;-1.5125
PF3D7_0111900;0.184;1.79;0.208;0.241;0.154;0.722;0.506;0.558;-0.043;-0.169
PF3D7_0112000;-0.324;0.22;-1.21;0.074;-0.6585;-0.0335;0.4945;-0.4955;-0.983;-0.966
PF3D7_0112200;6.05566666666667;0.54;0.37;-0.225666666666667;-0.165;1.366;0.6595;0.212;-0.2715;-0.763666666666667
PF3D7_0112800;-0.048;-0.113;0.131;1.427;0.828;-0.096;0.164;0.248;0.035;0.252
PF3D7_0112900;-0.252;0.07;-0.613;0.573;-0.621;-0.906;-1.095;-1.234;-1.459;-1.693
PF3D7_0113000;-2.0185;-1.7425;-0.3445;0.146;-0.8145;-2.1995;-2.1215;-2.951;-3.636;-3.145
PF3D7_0113100;-0.307;0.5675;0.511;1.08633333333333;0.715666666666667;-0.037;0.192666666666667;0.269333333333333;0.127333333333333;0.321333333333333
PF3D7_0113300;-1.7365;-1.0395;-0.4785;0.2255;0.0265;-1.718;-1.293;-1.8095;-2.3195;-1.379
PF3D7_0113400;-1.086;-0.335;1.518;2.786;2.692;-0.6945;-0.1975;-0.4445;-0.7155;-0.8385
PF3D7_0113600;-0.7975;-0.37975;-0.44625;-0.181;0.03925;-0.725;-0.43275;-0.5585;-0.70575;0.052
PF3D7_0113700;-3.052;-1.823;-0.1065;0.6245;0.578;-2.684;-1.942;-2.5115;-2.8645;-2.0755
PF3D7_0113800;-0.4152;0.37875;0.3122;0.277;-0.553;-0.6414;0.2176;0.288;-1.136;-0.4152
PF3D7_0114000;-0.295666666666667;0.214;1.123;2.23166666666667;2.08133333333333;-0.368;0.108;-0.021;-0.409333333333333;0.0173333333333333
PF3D7_0114100;-0.955;-0.577;-0.38;0.012;-0.514;-0.715;-0.335;-0.586;-1.117;-1.255
PF3D7_0114200;-1.126;0.379;-0.218;-0.309;-0.525;-0.269;-0.133;-0.167;-1.541;-1.19
PF3D7_0114300;-1.2815;-0.526;-0.1935;-0.04;-0.4945;-0.5855;-0.36;-0.3105;-0.665;-0.82
PF3D7_0114500;-5.333;-0.287;-2.241;-1.652;-2.062;-4.784;-3.825;-3.946;-4.423;-3.962
PF3D7_0114600;-1.363;0.415;-0.5;-0.29;0.621;0.263;-0.687;0.174;0;-0.5
PF3D7_0114700;-0.114;0.858;0.679;0.941;0.587;-0.059;0.633;0.925;0.871;0.48
PF3D7_0114900;-1;-0.034;-0.445;-0.066;0.678;-0.456;-0.097;-1.263;-0.837;-0.504
PF3D7_0115000;-1.24166666666667;-1.1335;-0.188333333333333;0.545;0.328333333333333;-0.852666666666667;-0.422666666666667;-0.228333333333333;-0.522333333333333;-0.351666666666667
PF3D7_0115100;0.017;0.489;0.287;1.731;2.021;0.294;-0.029;0.466;-0.031;-0.022
PF3D7_0115200;-0.479;-0.497;-0.962;-0.585;-1.299;-0.333;-0.521;-0.739;-0.848;-1.56
PF3D7_0115300;-0.544;0.037;-0.133;-0.019;-0.158;-0.389;0;0.174;-0.327;-0.374
PF3D7_0115500;-0.438;-1.279;-0.663;-0.2855;-0.5305;0.669;-0.3145;0.2595;0.1825;-0.961
PF3D7_0115600;-1.066;1.053;0.476;1.135;0.9135;-1.0635;-0.495;-1.003;-1.118;-0.7965
PF3D7_0115700;-0.83675;-1.44525;-0.703;-0.918;-0.5275;-1.3275;-0.1495;-0.25075;-0.807;-0.222
PF3D7_0200100;-1.55866666666667;-0.2005;-0.808;-0.598333333333333;-0.848666666666667;-1.115;-0.984;-0.715333333333333;-0.831333333333333;-0.471666666666667
PF3D7_0200300;0.00650000000000001;0.046;-0.581;-0.3285;0.0475;-0.607;0.0655;0.269;-0.1185;0.00900000000000001
PF3D7_0200400;-0.415;-0.737;-1.807;-2.837;-0.2;0.322;-3.459;-0.737;-2.459;-0.115
PF3D7_0200700;-0.078;0.93;0.331;0.627;0.263;-0.157;0.551;0.542;0.319;0.351
PF3D7_0200800;-2.042;-2.02;-0.862;-1.518;-2.207;-2.459;-0.771;-2.197;-3.152;-2.897
PF3D7_0201000;-0.52;0.469;0.176;0.35;-0.216;-0.545;0.385;0.144;-0.251;0.086
PF3D7_0201100;-0.541;0;0.143;0.134;0.445;-0.322;0;-0.503;0.387;0.183
PF3D7_0201300;-0.42;0.278;-0.531;0.178;0.031;-1.174;-0.018;-0.178;-0.076;-0.961
PF3D7_0201500;-0.218;0.13;0.77;1.321;0.623;-0.292;0.094;-0.569;-0.616;-0.947
PF3D7_0201600;-2.086;-1.0035;-1.08;0.0175;-0.4075;-1.796;-1.19;-1.8365;-2.1875;-1.9825
PF3D7_0201700;-5.178;-3.4215;-1.9335;-0.752;-1.178;-4.1185;-2.3435;-3.8795;-3.488;-1.7935
PF3D7_0201800;-3.4605;-2.698;-2.01;-1.133;-0.978;-4.0215;-2.873;-3.3765;-3.47;-3.727
PF3D7_0201900;-2.03225;-1.31075;-0.02125;0.46325;0.04175;-2.14275;-2.02075;-1.80925;-2.60675;-2.404
PF3D7_0202000;-1.147;-1.783;-0.9895;-0.6645;-0.7045;-0.996;-0.636;-1.4565;-2.158;-2.0615
PF3D7_0202100;-2.614;-0.826;-1.332;-1.236;-1.206;-3.016;-1.407;-0.477;0.883;1.603
PF3D7_0202200;-1.145;-0.803;-1.071;-0.402;-0.546;-1.236;-0.966;-1.003;-1.328;-0.633
PF3D7_0202300;-1.087;-0.886;-0.658;-0.007;-0.263;-0.761;-0.679;-1.047;-1.293;-1.124
PF3D7_0202400;-1.433;-1.8085;-0.5855;-0.092;-0.527;-1.4245;-1.052;-1.837;-2.213;-2.332
PF3D7_0202500;-5.235;-3.889;-3.784;-2.692;-3.049;-5.44;-4.674;-2.276;-0.549;0.832
PF3D7_0202600;-0.347;0.6135;0.68;0.5135;0.2145;0.164;0.86;0.438;-0.005;0.173
PF3D7_0202700;0.2025;0.463;0.24;0.415;-0.0375;0.272;0.714;0.2905;-0.0225;-0.256
PF3D7_0203000;-0.524333333333333;0.5565;0.485666666666667;0.515;0.243666666666667;-0.408666666666667;0.164666666666667;0.323333333333333;0.265666666666667;0.522333333333333
PF3D7_0203100;-2.1386;-0.941;-0.5152;-0.0814;-0.586;-1.6802;-0.9486;-0.2902;-0.1272;0.6512
PF3D7_0203300;0.234;0.408;0.258;-0.407;-0.072;0.543;0.854;0.684;-0.509;0.27
PF3D7_0203400;0.333;0.628;0.441;0.622;0.052;0.22;0.787;0.651;-0.11;0.234
PF3D7_0203600;0.3905;1.717;1.173;1.5545;0.9715;0.653;0.9045;0.778;0.0445;-0.088
PF3D7_0203700;-1.571;-0.9535;-0.8625;-0.7175;-0.9785;-1.767;-1.45;-1.6305;-2.305;-1.793
PF3D7_0203800;-0.058;0.784;-0.075;-0.5805;-0.036;-0.162;0.128;-0.0205;-0.22;-0.434
PF3D7_0203900;0.338;0.459;0.525;0.649;-0.223;0.3395;0.791;-0.1025;-0.603;-1.0405
PF3D7_0204000;0.1145;-0.002;0.305;0.448;-0.1815;-0.1355;0.0565;-0.2095;-0.336;-0.3735
PF3D7_0204100;0.3405;0.97025;0.92325;1.19;0.986;0.01225;0.7705;1.171;1.224;1.06025
PF3D7_0204200;-0.462;-0.733;-0.564;0.439;-0.564;-0.481;-0.657;-0.434;-0.119;0.018
PF3D7_0204300;-0.52;-0.227;-0.2395;-0.4045;-0.727;-0.345;-0.0135;-0.476;-0.896;-1.0115
PF3D7_0204500;-0.241;-0.3865;-0.412;-0.873;-1.0055;-0.153;0.028;-0.789;-1.0105;-1.282
PF3D7_0204600;-0.209;0.388;0.045;0.4115;0.0985;0.0375;0.151;-0.2285;-0.5325;-0.557
PF3D7_0204700;-0.5545;-0.313;-0.3485;-0.535;-0.576;-0.5675;-0.127;-0.421;-0.458;-0.4455
PF3D7_0204800;0.644;0.65;0.078;-0.1075;-0.493;0.498;0.366;-0.095;-0.947;-0.701
PF3D7_0204900;0.619;1;0.535;0.409;0.509;0.991;1.136;0.44;-0.013;0.112
PF3D7_0205000;-0.171;-0.242;0.305;0.3515;-0.065;-0.334;0.1695;-0.069;-0.634;-0.6495
PF3D7_0205100;0.167;0.383;0.567;0.487;-0.114;-0.338;-0.1565;-0.581;-0.873;-0.2775
PF3D7_0205300;-1.8245;0.2435;-0.056;0.4885;0.282;0.1225;0.2035;-0.123;-0.615;-0.31
PF3D7_0205400;-0.1365;-0.21;-0.3595;0.0205;-0.6165;-0.066;0.0645;-0.497;-0.9755;-1.1805
PF3D7_0205600;0.2105;1.027;0.594;0.9065;0.663;0.659;0.6025;0.4725;0.2165;0.053
PF3D7_0205700;-0.0995;0.97;0.007;0.0795;0.0985;0.1165;0.1795;0.038;-0.687;-0.3295
PF3D7_0205900;0.216;0.8045;0.564;0.507;0.5265;0.405;1.416;0.8525;0.432;0.48
PF3D7_0206000;-0.443333333333333;-0.3225;-0.296333333333333;-0.0466666666666667;-0.439666666666667;-0.533;-0.493666666666667;-0.653333333333333;-0.352333333333333;-0.352333333333333
PF3D7_0206100;-0.465;-0.801;-0.876;-1.268;-1.49;-0.982;-0.478;-1.4;-1.187;-1.036
PF3D7_0206200;-2.253;-1.627;-0.899;-0.1725;0.026;-2.089;-1.4245;-0.691;0.2025;0.4185
PF3D7_0206300;-2.276125;-1.75375;-0.261875;-0.403125;-1.024125;-2.198125;-1.8265;-2.070875;-2.242375;-1.8355
PF3D7_0206500;-0.475333333333333;0.6865;0.711333333333333;0.635;0.473333333333333;-0.101;0.163;0.0226666666666667;-0.732;-0.463
PF3D7_0206600;-1.662;-1.04;-1.29;-1.061;-1.471;-1.175;-0.692;-1.275;-1.322;-0.971
PF3D7_0206700;-1.233;-1.0125;-0.6445;-0.54;-1.082;-0.9125;-0.6525;-1.052;-1.132;-1.2235
PF3D7_0207100;-0.844333333333333;-0.6665;-0.403;-0.105;-0.469666666666667;-0.751666666666667;-0.385666666666667;-0.117333333333333;0.504666666666667;1.26066666666667
PF3D7_0207200;-0.558;0.168;-0.138;0.046;-0.298;-0.764;-0.338;-0.302;-0.258;0.15
PF3D7_0207300 ;-0.9595;-0.299;-0.2565;0.344;0.611;-1.523;-0.609;-0.2325;-0.3445;-0.771
PF3D7_0207400;0.671;1.046;1.612;0.6435;8.858;8.777;-0.49;0.915;0.428;-0.09
PF3D7_0207500;0.8215;1.78;1.555;1.43;1.236;0.837;1.3005;1.366;0.3815;0.416
PF3D7_0207600;0.358;1.4405;1.4905;2.1135;1.74;0.673;1.598;1.9765;1.665;1.2175
PF3D7_0207700;0.8315;1.841;1.768;1.7905;1.7265;0.7615;1.192;1.8425;1.072;0.502
PF3D7_0207800;0.51;0.876;0.8365;1.194;0.8465;0.602;0.981;1.251;1.0765;1.1745
PF3D7_0207900;0.0455;0.83;2.0155;2.499;1.9305;-0.4425;0.713;0.889;0.3645;0.2195
PF3D7_0208000;-0.7655;1.1455;1.3175;1.464;1.516;0.795;1.018;1.2275;0.927;0.5455
PF3D7_0208100;1.044;1.05333333333333;0.830333333333333;0.581666666666667;0.201;1.00466666666667;0.953;0.766666666666667;0.0326666666666667;-0.196666666666667
PF3D7_0208300;-1.031;-1.341;-1.436;-1.72066666666667;-1.87766666666667;-1.06966666666667;-0.805333333333333;-1.56033333333333;-1.588;-1.559
PF3D7_0208400;0.035;0.569;0.588333333333333;0.699;0.190666666666667;0.176;0.481;0.275;0.0273333333333333;0.0823333333333334
PF3D7_0208500;-0.083;0.122;0.402;0.294;-0.052;0.448;0.885;0.228;0.059;-0.726
PF3D7_0208700;-0.837;-0.475;-0.77;-0.829;-1.149;-0.902;-0.702;-1.07;-1.302;-1.996
PF3D7_0208800;0.313;0.222;-0.324;-0.402;-0.473;-0.587;0.465;0.025;0.23;-0.65
PF3D7_0208900;3.80675;-0.155;-0.46375;-0.59525;-0.89825;-0.6385;-1.02075;-0.875;-0.80175;-0.75075
PF3D7_0209000;-0.6876;-0.128;-0.6184;-0.239;-0.4422;-0.74;-0.2626;-0.3594;-0.9548;-0.487
PF3D7_0209100;-0.049;1.14;0.6125;0.6055;0.0855;0.00199999999999999;0.2405;0.372;0.0625;-0.412
PF3D7_0209200;-0.605;-0.068;-0.697;-1.151;-1.105;-0.593;-0.11;-0.743;-1.236;-1.542
PF3D7_0209300;-0.011;1.199;0.257;0.396;0.186;0.324;0.558;0.47;0;0.209
PF3D7_0209500;-0.782;-0.901;-0.5475;-0.3665;-0.5085;-0.4655;0.137;0.0535;-0.089;1.641
PF3D7_0209600;0.531;0.5165;0.4325;-0.1005;0.1205;0.5255;1.056;1.1275;1.0825;0.8465
PF3D7_0209700;-1.308;-0.131;-0.6445;-0.824;-1.1305;-0.9915;-0.608;-0.7135;-1.0555;-0.961
PF3D7_0209800;-0.0065;-0.094;-0.787;-0.1905;-1.0545;-0.2435;-0.0735;-0.406;-0.893;-1.1205
PF3D7_0210000;0.719;0.45;0.237;0.543;-0.031;0.592;0.399;0.744;-0.075;-0.169
PF3D7_0210200;0.73525;0.7695;0.74125;0.9045;0.35625;0.663;0.79575;0.68625;-0.05075;0.347
PF3D7_0210300;0.6115;0.701;0.4565;0.452;-0.0405;0.7085;0.904;0.206;-0.156;-0.344
PF3D7_0210500;-1.0305;-0.282;-0.635;-0.353;-0.872;-0.382;-0.467;-0.902;-1.441;-1.4185
PF3D7_0210600;-3.5005;-1.7235;-1.311;-0.142;-0.4585;-3.808;-2.3105;-0.676;-0.1175;0.983
PF3D7_0210900;-0.351;-0.489;-0.949;-0.886;-1.996;-0.237;-0.099;-0.549;-1.061;-1.466
PF3D7_0211100;-1.2465;0.267;-0.5655;-0.2035;-0.3245;-0.3805;-0.2675;-0.415;-1.63;-0.465
PF3D7_0211200;-0.021;0.797;0.23;0.132;-0.36;-0.124;0.637;0.125;-0.061;-0.586
PF3D7_0211300;0.542;0.812;0.613;0.727;0.397;0.494;0.865;0.439;0.276;0.634
PF3D7_0211400;-0.452;0.624;0.2615;0.757;0.4455;-0.4765;0.051;0.00899999999999999;-0.0285;-0.236
PF3D7_0211500;-0.908;0.734;0.458;0.589;0.827;0.4705;0.87;0.941;1.177;0.412
PF3D7_0211600;0.024;0.826;0.229;0.646;0.292;0.191;0.783;0.922;-0.837;0.44
PF3D7_0211700;0.4375;0.925;0.9415;1.057;0.6855;0.593;0.412;0.1635;-0.552;-0.176
PF3D7_0211800;-0.279;-0.0285;-0.1255;-0.3935;-0.9815;-0.4215;0.1085;-0.5435;-1.6425;-1.2175
PF3D7_0211900;0.528;1.269;0.6975;0.8835;0.3155;0.722;0.8335;0.467;0.1655;-0.3845
PF3D7_0212000;0.134;0.861;-0.044;-0.207;-0.206;0.059;0.433;0.157;-0.643;0.061
PF3D7_0212100;0.396666666666667;0.623;0.521;0.735;0.211333333333333;0.305333333333333;0.817666666666667;0.505333333333333;0.188666666666667;-0.213666666666667
PF3D7_0212200;-0.401;-0.055;-0.151;0.247;-0.272;0.064;-0.018;-0.567;-1.082;-1.381
PF3D7_0212300;-0.785;-1.018;-0.8435;-0.884;-1.5005;-0.8145;-0.4795;-0.9095;-1.591;-1.341
PF3D7_0212400;-0.313857142857143;0.0178571428571429;0.0621428571428571;0.0524285714285714;-0.431857142857143;0.101714285714286;0.309285714285714;-0.00985714285714286;-0.412285714285714;-0.583142857142857
PF3D7_0212500;0.061;0.361;0.3805;0.524;0.1005;0.264166666666667;0.4255;0.248666666666667;-0.163833333333333;-0.258833333333333
PF3D7_0212700;-0.96;0.055;0.202;-0.004;0.1575;-0.899;-0.162;-0.424;-0.797;-1.0845
PF3D7_0212800;0.082;0.172;0.1515;0.005;-0.311;0.3215;0.4005;-0.0775;-0.4;-0.1695
