"","MAL13P1.301","MAL7P1.137","MAL7P1.18","MAL8P1.55","PF07_0049","PF10_0142","PF10_0215","PF10_0321","PF10_0374","PF11_0276","PF11_0354","PF11_0396","PF11_0471","PF11_0527","PF13_0081","PF13_0107","PF14_0062","PF14_0139","PF14_0238","PF14_0507","PF14_0512","PF14_0598","PF14_0642","PF14_0736","PFB0161c","PFB0530c","PFB0655c","PFB0745w","PFC0090w","PFC0885c","PFC0960c","PFD0625c","PFE0830c","PFE1320w","PFF0200c","PFF0610c","PFF0875w","PFF0940c","PFF1150w","PFF1315w","PFF1580c","PFI1020c","PFI1580c","PFI1770w","PFL0175c","PFL0585w","PFL1125w","PFL1240c","PFL1815c","PFL2235w","D_class","Class","Compound"
"Artemisinin_H6","-0.870419663","-0.12849750","-0.895470472","-0.247640223"," 0.223006239","-0.261546730"," 0.0764554964","-0.325206607"," 0.141480842"," 0.4712823496","-8.356244e-01"," 0.547716697"," 5.836192e-01"," 0.43210829","-0.699030630","-1.306606697"," 0.34368602"," 0.6104029029","-0.428784834","-0.3005261943"," 0.115868619","-0.176398291","-0.120926890","-0.17723629"," 0.15234980","-0.720327761"," 0.110527820"," 0.032613488"," 0.069373787"," 0.299389509","-0.5651518223"," 1.689623237","-0.354489224"," 0.031157622","-0.95867736"," 0.482336462","-0.1515749724"," 0.059125961"," 0.306290211"," 0.239731893"," 0.2536374968","-0.934635194","-0.526587279","-1.432498383"," 0.8045454349"," 0.895799020"," 0.2657489384","-0.108310139"," 0.580306371"," 0.4609066026",15,14,"Artemisinin"
"Artemisinin_H8","-0.030395372"," 0.05327299","-1.486057258","-0.694130231"," 0.891838511","-0.802657915","-0.8439131282"," 0.029985326"," 0.295793394"," 0.7944425863","-3.280293e-02"," 0.437189658"," 1.571380e-01"," 0.03167296","-0.099392621"," 0.012164713"," 0.08298223"," 0.6474107523","-0.798919250","-0.4119599918"," 0.252295152"," 0.053436210","-0.746741582","-0.54080012","-0.13107756"," 0.144372598"," 0.406339573","-1.042279838","-0.138472595"," 0.118754598","-0.4467495514"," 0.858801086"," 0.280313170"," 0.147779252","-1.35831642"," 0.720038794"," 0.1451912653","-0.018115820"," 0.105253128"," 0.257397031","-0.6217378273"," 0.223490652","-1.745145121","-1.391546183"," 0.2904974063"," 0.749444249"," 0.3192076558","-0.060494136"," 0.437223626","-0.1059776698",15,14,"Artemisinin"
"Artemisinin_H10","-0.082502645","-0.14133888","-1.011145423","-1.661082491"," 0.242364875","-0.405998775","-1.7675804799"," 0.258894580"," 0.560048922"," 1.2026780369"," 1.305865e+00"," 0.726191270","-8.486994e-01","-0.16094106","-0.454568599","-0.357115661"," 0.74761998"," 0.7756162000"," 0.188360188","-1.1637853847"," 0.425261653","-0.115843086","-0.177377579"," 0.19073128","-0.10284662"," 0.045207589"," 0.592802408","-0.522028646","-0.728081661","-0.619027037","-0.2564270515"," 1.046909637","-0.175180496"," 0.041339552","-1.20452025"," 0.466308910"," 0.0526798522","-0.775004317","-0.027632947","-0.050555084","-0.0126730906"," 0.354607882","-1.016524190","-0.189085238"," 0.5574905964"," 0.683988139"," 0.2092626330"," 0.027980228"," 0.519099536","-0.6475725569",15,14,"Artemisinin"
"MMV43TP1","-0.465150322","-0.66163415","-1.452641489"," 0.501267498","-0.233526133"," 0.075269566"," 0.5144080364","-0.316486158","-0.216690353"," 0.3652092908","-5.098276e-01"," 0.485617130"," 1.015832e+00","-0.91326730","-0.375661447","-0.175439324","-0.21952929"," 1.2186269494","-0.437946540"," 0.5728335887"," 0.507124158"," 0.243462748","-0.031704732","-0.63633379","-1.33854459","-0.211122549"," 0.723367833"," 0.288963114","-2.677411896"," 1.207804869","-0.6836596315"," 0.726928323"," 0.638344739"," 0.809436781","-2.45684398"," 0.382977624","-0.2046203049"," 0.097252660"," 0.561640893"," 0.411022961"," 0.3702106221"," 0.846487938"," 0.116214671"," 0.199328129","-0.0860099795"," 0.253710832"," 0.5956552050"," 0.611069578"," 0.338604768"," 0.7972246560",16,15,"MMV43"
"MMV43TP2"," 0.118076935"," 0.13839007"," 0.368515126","-0.312918918"," 0.437870152"," 0.105510104","-0.5268281997"," 1.629705087"," 0.508783542"," 0.0211681216"," 4.573690e-01"," 0.591830096"," 2.235774e-01"," 0.30734326","-0.196818318"," 0.411840241"," 0.26250494"," 0.6773227389"," 0.441453739"," 0.2089361681"," 0.040389863","-0.741063137"," 0.319404700"," 0.32329265","-0.29350961","-0.206292457"," 0.152245490"," 0.481721776","-0.293848721"," 0.009280420"," 0.3770449091"," 1.314977243"," 0.171387854"," 0.510207275"," 1.00415380"," 0.375202272","-0.2442782702"," 0.301170302","-0.467914934"," 0.585942062"," 0.0168250006"," 0.003554326","-0.111605957","-0.254417135"," 0.4284278283","-0.391457090"," 0.6527995539"," 0.159078341"," 0.219955880"," 0.4860177111",16,15,"MMV43"
"MMV48TP1","-0.614809998","-0.70366447","-0.403875153","-0.064342057","-0.282820733"," 0.269461051"," 0.3375183905"," 0.075768765","-0.528890153"," 0.4490325875","-4.799651e-02"," 0.106072457"," 2.111788e-01"," 0.11684375"," 0.003770784"," 0.219544124","-0.26248638","-0.0370532573","-0.104043034"," 0.2506960139","-0.058378306","-0.302345816"," 0.203435000","-0.08010986"," 0.29292747"," 0.347948660","-0.192319751","-0.334916854","-2.945437123"," 0.847008064","-0.2738900226"," 0.084822497"," 0.056434036"," 0.607317183","-0.49000247","-0.078860196","-0.1714370771"," 0.010228671"," 0.121312987"," 0.195403522"," 1.2719671348"," 0.076200430"," 0.614680385"," 0.924277010"," 0.1935619328"," 0.117880187","-0.0540166124"," 0.006397278"," 0.141351301"," 0.5804991338",17,15,"MMV48"
"MMV48TP2"," 0.413159412"," 0.09510796"," 0.485069648","-0.246162821"," 0.340655629"," 0.023311678","-0.1570206528"," 1.128993013"," 0.074536715","-0.0313715786"," 2.443424e-01"," 0.199820671","-1.336481e-02"," 0.01492680","-0.278710952"," 0.168096649","-0.10133991"," 0.4951569387"," 0.254060689"," 0.0893656145"," 0.012858849","-0.044120713"," 0.228125548"," 0.19064662","-0.26784624","-0.099564436","-0.146295554"," 0.037588843","-0.568859238"," 0.252469793"," 0.1338650383"," 1.285296532"," 0.046951417"," 0.252826600"," 0.76910511"," 0.356311192"," 0.0438430198"," 0.198363920","-0.391869578"," 0.328491686"," 0.3281695800","-0.045331798"," 0.108035480"," 0.022409532"," 0.2449619459","-0.198828155"," 0.3641562450"," 0.013301207"," 0.179132383"," 0.4086355490",17,15,"MMV48"
"DFMO_TP19"," 1.057722440","-0.90498275"," 1.633967356","-0.518144277"," 0.848323846","-0.244230979","-0.0059991026"," 0.421471548"," 0.361795953","-0.0999209022","-9.347180e-01"," 0.240444332","-3.088439e-01"," 0.21830169","-0.063426941"," 0.145613837","-0.89834240"," 0.2410514024"," 1.023635695"," 0.2882903251"," 0.497459177","-0.787467567","-0.831360522","-0.01771248","-0.58494928","-0.706440988"," 0.207706201","-0.116434952","-0.023981974"," 0.739245284"," 0.2254443619"," 0.184847570","-0.034483992"," 0.287761212"," 0.23638261"," 0.238240067","-0.5649608797","-0.124387027"," 0.045121127"," 0.095328547"," 1.3052372691"," 0.068279152"," 1.239730602","-0.660537485"," 0.3549095152"," 0.157547055"," 0.4957506464"," 0.182837715","-0.034059546"," 0.6087954683",18,16,"DFMO"
"DFMO_TP27","-0.426907398","-0.60915756","-0.930395856","-0.938374693"," 1.899733519"," 0.167721154","-0.3910041660"," 0.291830727"," 0.185306402"," 0.5571494779","-7.466297e-01"," 0.174524695"," 4.160372e-01","-0.46550564","-0.521042512","-0.753157733","-0.02270545"," 0.4806839085"," 1.373573731","-0.2151010635"," 0.659254242","-0.948940058","-0.109346114"," 0.02970099","-1.68968951","-0.965463170"," 0.342179500"," 0.139622257"," 0.254904711"," 0.496573109"," 0.4536579087"," 0.924538665","-0.081680707"," 0.356053561","-0.26107566"," 0.905818403"," 0.2482913963","-0.161811935","-0.070612109"," 0.627182634","-0.0719806031"," 0.439754511","-0.007627319","-0.065467907"," 0.9880935473","-0.073168576"," 0.9539086319"," 0.283129086"," 0.398816733"," 0.8464992036",18,16,"DFMO"
"DFMO_TP34"," 0.132993349","-0.42135035","-3.704243432","-0.867715291","-0.230559878","-0.140225572","-0.2880035194","-0.036349415"," 0.407953669"," 0.5527564513","-1.400494e+00","-0.017415881"," 6.575943e-01"," 0.07210091","-0.855425600","-0.667951124","-0.11508694"," 0.5244722220"," 1.219915079","-0.1212227057"," 0.477823277","-0.636054068"," 0.167438426","-0.09464925","-1.55844750","-1.008700337"," 0.041523636"," 0.256762505"," 0.212593905"," 0.207217745"," 0.5098931227"," 0.126584711"," 0.159439474"," 0.456178868","-3.15623619"," 0.810839074","-0.0621104799","-0.008234905","-0.020038484"," 0.587870996","-0.3108942809"," 0.542795245","-4.128061955","-0.276207669"," 0.7350267903","-0.065228787"," 1.0177108030"," 0.520084723"," 0.116252484"," 1.0244497929",18,16,"DFMO"
"IonoTP1","-0.303496709","-0.16504821"," 0.921571428"," 0.075496610","-0.041222258","-0.072985142"," 0.0486404220","-0.063827855","-0.991562164","-0.0058320161"," 2.572038e-01"," 0.149643659"," 5.333502e-02","-0.03258383"," 0.033945967"," 0.036048966","-0.09057450","-0.1741695852"," 0.496069136"," 0.0497018360","-0.056496093"," 0.168543361","-0.047057766"," 0.10620247"," 0.40122788","-0.204993606","-0.003888195","-0.040518765","-0.025936595","-0.175692217"," 0.2074497346"," 0.011089399"," 0.160325946"," 0.020518937"," 1.11991925","-0.521342691","-0.5098163713","-0.052849155","-0.043140940","-0.027606899"," 0.0099697104","-0.049114159"," 0.369681195"," 0.002287887","-0.0594870832"," 0.024410036"," 0.2791459136"," 0.073468104"," 0.229983845"," 0.2062306664",19,17,"Iono"
"IonoTP2","-0.020934601"," 0.04269025"," 0.373186958","-0.007948337","-0.047703297","-0.012014851"," 0.0251159114","-0.014743449","-2.537759995","-0.0259827176"," 2.363751e-01","-0.035689822","-5.577578e-01","-0.03345902","-0.019199077"," 0.055803621","-0.09809628","-0.1542798041"," 0.188642324"," 0.0087001924"," 0.032290392","-0.050010729","-0.112303929"," 0.03711668"," 0.29848353"," 0.118932872","-0.019501126","-0.053959962","-0.019419145","-0.037546706"," 0.3563196161"," 0.006755387"," 0.019554622","-0.058439383"," 0.67667185","-0.836659248","-0.9313517054","-0.133023830","-0.058883992","-0.092781357","-0.0008595063","-0.017915761","-0.225596253"," 0.055521656"," 0.0340244016","-0.116398122"," 0.0274396636","-0.077456666"," 0.240588290","-0.6028210208",19,17,"Iono"
"IonoTP3"," 0.060431327","-0.19319159"," 0.445834589"," 0.049085645"," 0.062829422","-0.076442328"," 0.0313463464","-0.008892358","-1.257439076"," 0.0307760929"," 3.701497e-01"," 0.530911067","-1.141774e+00"," 0.09081499"," 0.056522777"," 0.255540702"," 0.20391916","-0.0794128400"," 0.377395492"," 0.1056785112","-0.004610651","-0.130177142"," 0.051602988"," 0.14791805","-0.49588542"," 0.226792377"," 0.004630613"," 0.057896951","-0.223581631"," 0.124508082"," 0.1244754330"," 0.272478590"," 0.120775100","-0.079617300"," 1.66070809","-0.321635121","-0.8848491813","-0.284177405","-0.407654530","-0.067321227"," 0.0263020250","-0.024236861"," 1.263585537"," 0.033964355","-0.0253959069","-0.397623095","-0.2399923242","-0.007302336"," 0.049843175"," 0.0157414598",19,17,"Iono"
"IonoTP4"," 0.029733459","-0.47187710"," 1.241414244","-0.093119866","-0.073116479","-0.011736389"," 0.1095482032"," 0.025810379","-1.781208933","-0.6975924430"," 6.420265e-01"," 0.245883506","-5.939339e-01","-0.08261760"," 0.014507627","-0.019803409","-0.12003888","-0.2406145036"," 0.025824556","-0.0037327876"," 0.013344457","-0.067032174","-0.338370249"," 0.10996720"," 0.20264071"," 0.154827879","-0.047507149","-0.054404365","-0.174656965","-0.037380690"," 0.2071945367","-0.080566761"," 0.081708211","-0.171187173"," 2.18954478","-0.774974302","-1.6547790884","-0.025658153","-0.539042865","-0.114185490"," 0.0374579634","-0.011686686"," 0.938733864"," 0.052777038","-0.0721148973"," 0.672855997","-0.2822383176","-0.121448249"," 0.085729953","-0.1161001305",19,17,"Iono"
"IonoTP5","-0.046146647","-1.25951417"," 0.799382734"," 0.023983185"," 0.113168389","-0.082770990","-0.0130319662"," 0.188800913","-1.728970663","-1.1230784683"," 6.985281e-01"," 0.308605389","-1.035778e+00","-0.05027297"," 0.085730192"," 0.025372187"," 0.10183401","-0.3667612750","-0.122920284","-0.0561861230"," 0.136136747","-0.099069809","-0.440275096"," 0.02693716"," 0.08898605"," 0.324262041","-0.047636210","-0.078008455","-0.168858813","-0.154468144","-0.0067367132","-0.489231224"," 0.109176030","-0.183919524"," 2.06431252","-1.600727153","-1.1615081338"," 0.250705064","-0.208239500","-0.095796632"," 0.1751015162","-0.038482515"," 0.616633709"," 0.135143180","-0.1682478025"," 0.907732674","-0.0004322202","-0.089376616"," 0.017011252"," 0.0535854502",19,17,"Iono"
