"","MAL13P1.124","MAL13P1.135","MAL13P1.137","MAL13P1.179","MAL13P1.206","MAL13P1.256","MAL13P1.262","MAL13P1.293","MAL13P1.321","MAL13P1.322","MAL13P1.338","MAL13P1.40","MAL7P1.18","MAL7P1.29","MAL7P1.65","MAL7P1.75","MAL7P1.94","MAL8P1.108","MAL8P1.123","MAL8P1.132","MAL8P1.91","MAL8P1.92","PF07_0047","PF07_0074","PF07_0079","PF08_0032","PF08_0069","PF10_0020","PF10_0085","PF10_0111","PF10_0132","PF10_0136","PF10_0191","PF10_0243","PF10_0299","PF10_0307","PF10_0374","PF10_0380","PF11_0079","PF11_0087","PF11_0090","PF11_0162","PF11_0214","PF11_0252","PF11_0260","PF11_0290","PF11_0329","PF11_0435","PF11_0438","PF11_0527","PF13_0032","PF13_0042","PF13_0087","PF13_0095","PF13_0135","PF13_0137","PF13_0170","PF13_0208","PF13_0219","PF13_0228","PF13_0350","PF14_0041","PF14_0071","PF14_0112","PF14_0138","PF14_0214","PF14_0238","PF14_0249","PF14_0286","PF14_0327","PF14_0350","PF14_0360","PF14_0384","PF14_0419","PF14_0455","PF14_0540","PF14_0552","PF14_0562","PF14_0593","PF14_0642","PF14_0713","PF14_0719","PF14_0730","PFA0180w","PFA0330w","PFA0430c","PFA0490w","PFB0175c","PFB0270w","PFB0295w","PFB0590w","PFB0920w","PFB0923c","PFC0090w","PFC0230c","PFC0375c","PFC0400w","PFC0440c","PFC0760c","PFC0980c","PFD0285c","PFD0470c","PFD0545w","PFD0785c","PFE0165w","PFE0205w","PFE0260w","PFE0430w","PFE0450w","PFE0585c","PFE0745w","PFE0815w","PFE1255w","PFE1280w","PFE1340w","PFE1390w","PFF0150c","PFF0200c","PFF0325c","PFF0490w","PFF0595c","PFF0610c","PFF0690c","PFF0715c","PFF0875w","PFF0965c","PFF1150w","PFF1155w","PFF1280w","PFI0500w","PFI0710c","PFI0855w","PFI0905w","PFI0965w","PFI1185c","PFI1425w","PFL0580w","PFL0685w","PFL0885w","PFL0980w","PFL1135c","PFL1270w","PFL1490w","PFL1680w","PFL2055w","PFL2120w","PFL2200w","PFL2370c","PFL2485c","PFL2520w","D_class","Class","Compound"
"Staurosporine_H6"," 0.004952358"," 0.409106525","-0.140044842"," 0.3059940113"," 0.42194562"," 0.242045873"," 0.1325624515"," 0.0942111754","-0.2454838097","-0.3043494746"," 0.566620339","-0.806918817","-0.477440749","-0.644080933","-0.051830854"," 0.726477845"," 0.543559474"," 0.004155833","-0.1586826124","-1.0616116537","-0.881820235","-0.337359200"," 0.2071745514","-0.498057607","-0.040115904","-0.6447141545","-0.334743260","-0.1194090806"," 0.383746187","-0.078870589"," 0.0835630468"," 0.0752596871"," 0.326114061","-0.440233886","-0.035896607"," 0.154891221","-1.441187445","-0.0481742398","-0.965163038","-0.035653705"," 0.331965054"," 0.151663511"," 0.080480947","-0.698311801"," 0.1208793291"," 0.537737357"," 0.447420754"," 1.196854755"," 0.1090463732","-0.20357202","-0.747216872"," 0.5716533422","-1.236906312"," 1.17072821"," 0.3414899312","-0.3173023326"," 0.862047247","-0.003988700"," 0.157245306"," 0.015235673"," 0.249528961"," 0.395529438","-0.3610452682","-7.830628e-01"," 0.653701545","-0.0444700097"," 0.271892683","-0.312614727","-1.096436e+00"," 1.118426143"," 0.479798105"," 0.083337873","-0.005469496","-1.181038309"," 0.136253558","-2.172201e-01","-0.6614805797","-0.13593043","-0.1293076525","-1.035592702","-0.295401476","-0.9961150914","-0.199775669"," 0.063105315"," 0.713391563"," 0.679821716"," 0.3909465778"," 0.577317460","-0.745774882","-1.0872605947"," 0.103625545","-0.429865893","-0.356919544","-0.252464474","-0.2986633288"," 0.373461733"," 0.553467512"," 0.029640511"," 0.414686697"," 0.378447863","-1.040388967"," 0.393991919"," 0.341960660","-0.585738725","-0.643867048","-0.149837298","-1.57295938"," 0.484629473"," 0.349684506"," 0.4177293111"," 0.1277795560","-0.726345133"," 0.1344294623"," 0.204268255"," 5.877940e-01","-0.3164742993"," 0.376172777"," 0.42966816"," 5.600842e-01","-0.204027366"," 0.110044900","-0.639378678"," 0.031791660","-0.293810940"," 0.0460219198","-1.140527846","-0.459016158"," 0.112646604","-0.085121963","-0.634896651"," 0.127547933"," 0.8652050589","-0.691955481"," 0.079010390"," 0.398353142"," 0.701142172"," 0.032626463","-1.182598426"," 0.1397481120","-1.0869873757","-0.382809024"," 0.279204740"," 0.792326658","-0.456262926"," 0.673245384","-0.2482652719"," 0.76930610"," 0.130469149"," 0.7326120788","-1.858127301",5,4,"Staurosporine"
"Staurosporine_H8"," 0.061963673","-0.383040965","-0.214399778"," 0.1557445791","-0.44714879"," 0.043484320"," 0.0537055418","-0.0505710027","-0.5160864499"," 0.3899064198"," 0.613929786","-0.742986838","-0.300427346","-0.473111894","-0.033683738"," 0.278448001"," 0.115849479","-0.003211782","-0.0580960128","-0.4289553964","-0.560651475"," 0.062836664"," 0.2756354793"," 0.769032497","-0.156021233"," 0.0522798288"," 0.030882721","-0.2655547395","-0.459116387"," 0.159155708","-0.0093099864"," 0.0869717584","-0.037720470"," 0.402045546"," 0.613271120"," 0.173383203"," 0.240194830","-0.1333269895","-0.552776967"," 0.758179593"," 0.115248314","-0.257051900"," 0.091222885","-0.465148343"," 0.3388174101"," 0.303479340"," 0.127035978"," 0.673566141"," 0.0008764602","-0.17286456","-0.851538678"," 1.1423076607","-0.469152272"," 0.94778864"," 0.1400252243","-0.0588640900"," 0.278119217"," 0.286534058","-0.366620721"," 0.188453497","-0.570055957"," 0.461812502","-0.1497320255","-2.587804e-01","-0.449597643","-0.0888230109"," 0.583408874","-0.083579924"," 1.077223e+00"," 0.323911702"," 0.264402191","-0.641359875"," 0.465167728","-0.262411933"," 0.484378619","-3.129193e-01","-0.6109407394"," 0.72800398","-0.3384177957"," 0.219941083"," 0.052918418","-0.7225626017","-0.054009186"," 0.135886630"," 0.509465367"," 1.029811199"," 0.4054344785"," 0.368705576","-0.759123031","-1.0511837590","-0.186654265"," 0.111421384","-0.492691210","-0.885241049","-0.1502846228"," 0.304188735"," 0.390404870"," 0.125002502"," 0.242672638"," 0.487222192"," 0.769916009"," 0.035410037"," 0.260022645","-0.832484766","-1.387439523","-0.061848180","-0.38631464"," 0.538611887"," 0.602222545"," 0.0240743302","-0.4340021583","-0.129192750"," 0.3420302650","-0.336397912"," 9.808222e-02"," 0.2933269556","-0.204282333"," 0.47270778"," 1.947113e-01"," 0.121746953","-0.078960153","-0.510836308"," 0.162819637"," 0.227294688"," 0.0625030871","-1.104322484"," 0.104828261"," 0.128946823"," 0.033992027","-0.634263865","-0.405673459"," 0.3473742948","-0.245107583"," 0.304375089"," 1.496049064"," 0.084762530","-0.105976309","-0.585252856","-0.4297729330","-0.3740082777","-0.555358112","-0.119571629"," 0.002743488","-0.120251215","-0.046963207","-0.4886163549"," 0.07658413","-0.610019710"," 0.6535339238","-2.440822603",5,4,"Staurosporine"
"Staurosporine_H10","-0.059897290","-0.002659869","-0.185153866"," 0.1847171945","-0.14483590","-0.347265510"," 0.0008938315","-0.3220273464","-0.3809419948"," 0.5019730725"," 0.690135649","-0.464985766","-0.165419791","-0.163169439","-0.044443760"," 0.523584992"," 0.018961723"," 0.045326072","-0.1200797229"," 0.4723451650","-0.010115530"," 0.152150936"," 0.6215514876"," 0.715472944"," 0.045680806"," 0.0014451064"," 0.087889723","-0.6000806927","-0.571493262"," 0.284765806","-0.1440780367"," 0.2414066332"," 0.011942276"," 0.218094502"," 0.464598564"," 0.426504094","-0.066162873","-0.2811864619","-0.206961203"," 0.206665143"," 0.123865594","-0.345657870","-0.559848651","-0.495463656"," 0.1574404118"," 0.610791571","-0.143080866"," 0.614897123","-0.0333862342","-0.28372740"," 0.249313607"," 1.0213495496","-0.535120880"," 0.43913972"," 0.7021017194"," 0.1563395065"," 0.705971689"," 0.222221194"," 0.518770784","-0.166033387","-0.508419314"," 0.282017114","-0.3735363522","-3.398417e-01","-0.146015475","-0.3611096121"," 0.271007371","-0.082087074"," 2.707485e-01"," 0.626778505"," 0.220689558","-0.421091471"," 0.705860729","-0.481609286"," 0.342994939","-3.156619e-02","-0.6568642708"," 0.24163642"," 0.0219538802"," 0.554204380","-0.138930636","-0.5259704551"," 0.173497472"," 0.087661728"," 0.388134165"," 0.941255296","-0.5668225975"," 0.081955790","-0.728174439","-1.5572772091"," 0.621024383","-0.179099805","-0.243756199","-0.875348565"," 0.0007784737"," 0.155390746"," 0.059895593"," 0.149213768"," 0.102206752"," 0.371531017"," 0.406548580"," 0.099916806"," 0.208279281","-0.484682833","-0.750591439"," 0.074360218"," 0.10655756"," 0.366735346"," 0.596062432","-0.0429038799","-0.3265759028"," 0.269002403","-0.0770512468","-0.086324848"," 2.191226e-01"," 0.3366777758","-0.114694463"," 0.35148928"," 1.978395e-02"," 0.189703594","-0.292619980","-0.160764119"," 0.279898364"," 0.346924667","-0.1471677285","-0.732918414","-0.010846951"," 0.110055977","-0.184007001","-0.997062343"," 0.217867744"," 0.3777171725","-0.641411870","-0.381842183"," 0.695956566"," 0.155517669"," 0.194455467","-0.434181768","-0.7201130845","-0.5381789368","-0.275444533","-0.198581190"," 0.281721960","-0.250914551"," 0.045229367","-0.6187799371","-0.19412403","-0.553142994"," 0.6370513436","-1.510178311",5,4,"Staurosporine"
"Staurosporine_H12","-0.216564202","-0.732855988","-0.526412894","-0.5135580511","-0.95238872","-0.652966464"," 0.6171378025","-0.6348176666","-0.0887766800"," 0.2893507778"," 1.478385041","-0.637454426","-0.671407232","-0.202458669"," 0.083813251"," 0.103387676","-0.489143552","-0.143464414"," 0.1815995783"," 0.5744567335","-0.676019152","-0.189922819"," 0.5111381802"," 0.747780104"," 0.115527340"," 0.3927892183"," 0.407769745","-0.2387708216","-1.164549356"," 0.169967444","-0.3394862323"," 0.2563648673"," 0.128382927"," 0.432095301"," 0.664383334"," 0.191854695","-0.072826587","-0.4791612456"," 0.059223269"," 0.826463255","-0.276232814","-0.631756226","-0.417168826","-0.098250390"," 0.1772746000"," 0.409261043","-1.854037219"," 0.002388495","-0.2877096514","-0.09846165"," 0.274416430"," 0.9498484364"," 0.149468870"," 0.76386837"," 0.3347800959"," 0.6379424812"," 0.480316870"," 0.523308907","-0.580015786","-0.261988150","-0.825455143","-0.313685890","-0.0761395253"," 3.467657e-01"," 0.011580374","-0.8492565004"," 0.022264381","-0.005588271"," 1.138563e-01","-0.457618927"," 0.209026035","-0.636475896"," 0.863896391","-0.268970304"," 0.078521618"," 2.334518e-01"," 0.0699906836"," 0.53177605","-0.0837182870"," 0.680194680","-0.194558259"," 0.3118063998","-0.056906788","-0.051230562","-0.326334444"," 0.577048511"," 0.3344630469","-0.040389161","-0.923167809","-1.2722967574"," 0.645126482","-0.470390493","-0.843811587","-1.068382827","-0.1049672248"," 0.172994957"," 0.037412200"," 0.510401254","-0.322793889"," 0.489546607"," 0.515278265","-0.283158347"," 0.367090334","-0.752468318","-1.304894858","-0.811366553"," 1.20703878","-0.112048867"," 0.639333330"," 0.0502331806","-0.2728732023"," 0.117035107","-0.1038576814","-0.111286635"," 1.278239e-01"," 0.9786075894","-0.536222571","-0.23446345","-2.213754e-02"," 0.515805495","-0.389849750"," 0.064696398"," 0.428751686","-0.358931338","-0.4085707143"," 0.082988737","-0.694561434"," 0.034220958","-0.911710320","-0.716618411"," 0.209473272"," 0.3422835778","-0.374902159"," 0.475270993"," 0.814524788","-0.354820438"," 0.011909157","-0.121506161","-0.8162441336","-0.6524491861"," 0.582841303","-0.600159368","-0.523537688"," 0.051520067","-0.145843712","-0.9933811990","-0.02173066","-0.596238843"," 0.6680282970","-1.913596124",5,4,"Staurosporine"
"Cyclosporine_H1"," 0.368769724","-0.436213743","-0.186668032","-0.5493278956"," 1.03618738","-0.643547286","-0.3280190325"," 0.1419777417","-0.0551598408","-0.1625588006","-0.089662824","-0.168244859","-0.019127933"," 0.417483483","-0.275663554","-0.609683422","-0.562276351","-0.367260763"," 0.5078271338"," 0.2418416072"," 0.185539250","-0.082977207"," 0.0087054559","-0.128746076","-0.747901451"," 0.8055116027"," 0.559565000"," 0.3130324283","-0.532219188"," 1.207203960"," 1.2538960857"," 0.3906016393","-0.458382618","-0.272354159"," 0.134708355","-0.603237389"," 1.011293231"," 0.4646065095"," 0.464967693"," 0.567738024","-0.230898091","-0.667060140","-0.115201564","-0.474170005","-0.3257420363"," 1.468803921","-0.499339186","-0.534622181"," 1.0927701834","-0.09113152","-0.549730021","-0.1496973920","-0.526893856"," 0.01271036","-0.0238441940","-0.2280204764"," 0.579388199","-0.243464484","-0.163520314","-0.315940146","-0.449183976","-0.163282930","-0.2029452511"," 4.551929e-01","-0.369425552","-0.2499173110","-0.056557642"," 0.159607920","-6.682196e-01"," 0.606399710","-0.150792773","-0.471443952"," 0.115773031"," 0.191431415","-0.499833065","-7.496363e-01","-0.1369075659"," 0.84090836"," 0.0915364930","-0.350059504"," 1.077081427","-0.1962380558","-0.387086292","-0.542169845"," 0.178437305","-0.009671135","-0.6776933590"," 0.503495298","-0.413586060","-0.3365286350","-0.441926953","-0.016688593","-0.627219819"," 0.428755611","-0.1459370694"," 0.192195045","-1.063427845"," 0.175566868"," 0.698488690","-0.498003247"," 0.008832909","-0.483973372","-0.231571904","-0.402330482","-0.594195082","-0.492431777","-0.52933427"," 0.037364330"," 0.006803604","-0.2498273747","-0.4251652703","-0.428859299","-0.2719901814"," 0.803765989"," 3.702836e-01","-0.0553646451","-0.416065626"," 0.35800914"," 7.012334e-02","-0.115658197"," 0.305654992","-0.008889063"," 0.671064448"," 1.023406388","-0.3585328669"," 0.132391681","-0.588648464","-0.414361924","-0.089352653"," 0.026994915"," 0.480369731","-0.1296021326","-0.586507329","-0.627360775"," 0.098424500"," 0.322447916","-0.026874022","-0.613998531"," 0.0532147523","-0.4632963493","-0.451718075"," 0.600793009","-0.379635369"," 0.605266620"," 1.822190523"," 0.0751021035","-0.28077751","-0.375146483","-0.0111560929"," 0.231437829",6,5,"Cyclosporine"
"Cyclosporine_H2"," 0.301373712","-0.457576078","-0.092879603","-0.2536438966"," 0.56889482","-0.291270346","-0.1620489114"," 0.3983274289"," 0.0615971018","-0.1659188322","-0.393319468"," 0.050596795","-0.111764606","-0.034452998","-0.074650616","-0.805358409","-0.350511621","-0.321895303"," 0.2433021970"," 0.1150720025"," 0.315829579","-0.060103878"," 0.0870700765","-0.024315570","-0.853025877"," 0.1683857038"," 0.294304967"," 0.2982194712","-0.344137521","-0.010400623"," 0.8214869077"," 0.1283068502","-0.228551152"," 0.316902409"," 0.250518318","-0.179946925"," 0.820602308"," 0.4311719455"," 0.623298879","-0.021392405","-0.134930008","-0.329289406"," 0.246462681","-0.261108007","-0.3159018895"," 1.156333437","-0.120825361","-0.145645502"," 0.6408176780","-0.07206720","-0.424618242"," 0.0684388771","-0.206744792","-0.14385907","-0.0980792128","-0.2575973797"," 0.027800614","-0.236549897","-0.144862258","-0.395244835","-0.169558262","-0.289693636","-0.0480112260"," 6.815847e-01","-0.234909895","-0.1540982269"," 0.001231259","-0.211403406","-3.099673e-01"," 0.316551762","-0.299146487","-0.285768714"," 0.260250739"," 0.269950714","-0.024921587","-3.874231e-01","-0.0135053439"," 0.82053621"," 0.3083563964","-0.272796983"," 0.567851074","-0.2046128310","-0.347906550","-0.051880639"," 0.058902783"," 0.121713987","-0.2350925796"," 0.400974244","-0.325968892","-0.1286670860"," 0.032754726","-0.087090313"," 0.167768584"," 0.281615743","-0.0939163996"," 0.040653801","-0.389414728"," 0.001567139"," 0.692894929"," 0.016625495","-0.057951481","-0.507752804","-0.162732679","-0.250367333","-0.160384831","-0.274072932","-0.24613167"," 0.204294988","-0.166717396","-0.3034352649","-0.2041450955","-0.021445492","-0.0864478388"," 0.570764068"," 7.810819e-02","-0.2310184599","-0.348945694"," 0.04455787"," 1.662965e-02"," 0.020671084"," 0.091862609"," 0.026028574"," 0.344887578"," 0.661684366","-0.1564621043"," 0.110949573","-0.196589129","-0.361118090","-0.407375531"," 0.135015776"," 0.070969195"," 0.0824962027","-0.155147551","-0.584892466"," 0.459256704","-0.139231055","-0.354781215","-0.409957680"," 0.0035901529","-0.2625500087","-0.036750990"," 0.122746870","-0.627670618"," 0.152684296"," 1.021442272"," 0.3138744811","-0.12035211","-0.269698594"," 0.0311014134"," 0.543894957",6,5,"Cyclosporine"
"Cyclosporine_H4"," 0.230110721","-0.260713725","-0.201378551","-0.4266984572"," 0.86984930","-0.504302923","-0.2938187987"," 0.3145100386"," 0.1495680037","-0.0511834977","-0.208480321","-0.060717685","-0.258404993","-0.679281522"," 0.183149329","-0.781774851","-0.402702353","-0.539687836"," 0.5779825913"," 0.1977665357"," 0.240021382","-0.273126643","-0.0610845690","-0.281645022","-0.544264529"," 0.3629084144"," 0.519990266"," 0.4241445325","-0.217843413"," 0.660655644"," 1.1339567562"," 0.2177775033","-0.279410701","-0.198358669"," 0.289479259","-0.400401608"," 0.138430164"," 0.1776354480"," 0.567973954","-0.807298316"," 0.043294006","-0.435031542"," 0.070179988","-0.323310560","-0.4532272236"," 1.733084603","-0.271118440","-0.210581382"," 0.8456171998","-0.02071482","-0.460035069","-0.1347496149","-0.653744451","-0.23776087","-0.0478954715","-0.2182261493"," 0.413768312","-0.261793378","-0.147200327","-0.377745708","-0.104168369","-0.123930758","-0.1561865269","-2.903683e-02","-0.184384455","-0.0405581624","-0.165409475","-0.109343886","-6.541599e-01"," 0.432595227","-0.077070554","-0.356964695","-0.093777813","-0.006756872","-0.244573605","-4.338308e-01","-0.0642509690"," 0.78003757"," 0.4062751036","-0.148700622"," 0.888138666","-0.0988884726","-0.705967453","-0.059445693","-0.065232826"," 0.014148399","-0.2831826680"," 0.454879773","-0.182237621","-0.1753244545","-0.352455773","-0.055480465","-0.306052958"," 0.206497838"," 0.0449194158","-0.042274656","-0.675505467"," 0.063472391"," 0.716722454","-0.267761257"," 0.178704718","-0.465510978","-0.244757174","-0.295714148"," 0.150880083","-0.398004748","-0.57060405"," 0.209308160","-0.002305715","-0.1369560572","-0.3108088448","-0.265417593","-0.0247440405"," 0.820195897"," 3.441568e-01","-0.1400351192","-0.610846988"," 0.15803175","-9.855776e-02"," 0.046186257","-0.013366325","-0.103588619"," 0.459789863"," 0.862093179","-0.3053732604"," 0.069416498","-0.271476573","-0.256507295","-0.188562730"," 0.395438460"," 0.261802426","-0.1338232479","-0.466093602","-0.314662693","-0.054465480","-0.423583412","-0.073641472","-0.341829863"," 0.0270744492","-0.2568822430","-0.038013433"," 0.462677825","-0.334389244"," 0.481565060"," 1.575244678"," 0.4452387549"," 0.36719950"," 0.019594286"," 0.0135258239"," 0.655414404",6,5,"Cyclosporine"
"Cyclosporine_H6"," 0.132608385","-0.377995325","-0.075262884","-0.3909956274"," 1.12425231","-0.144268817","-0.3631734960"," 0.0264521794"," 0.0782799399"," 0.3163952224","-0.344223770"," 0.056407880","-0.152834744","-0.366763379","-0.448487520","-0.729128962","-0.423831972","-0.280867993"," 0.2820388267","-0.1222954260"," 0.158434260"," 0.211905214"," 0.0744397242","-0.020309413","-0.268381683"," 0.5384224900"," 0.773968916","-0.0255674425"," 0.003003495"," 0.986137848"," 0.3884423357"," 0.2962774717","-0.236817419","-0.500091368"," 0.010798816","-0.471021731"," 0.715920002"," 0.1233802235"," 0.353732952"," 0.204068021","-0.116564631","-0.184148542"," 0.560326917","-0.366941748","-0.3053650517"," 1.378663308","-0.021804396"," 0.038967276"," 1.0406557114"," 0.46122859","-0.599196639","-0.1703764549","-0.376271356","-0.20493663"," 0.0438045738","-0.2534679237","-0.237414492","-0.224638066","-0.124828474","-0.392665706","-0.101788224","-0.159712311","-0.1778226264","-2.141715e-02","-0.272494571","-0.0616507919","-0.273719238"," 0.200904095","-4.300806e-01"," 0.345372323"," 0.264882678","-0.488621173","-0.115624790"," 0.112692738"," 0.232914731","-2.891027e-01","-0.1132100916"," 1.52972171"," 0.2443172492","-0.621033282"," 0.718928821","-0.1404963449","-0.298503135","-0.376931957","-0.014608490"," 0.205066852","-0.4303493047"," 0.791097002","-0.370835519","-0.3400793290","-0.273096589"," 0.430375514","-0.569827522","-0.186724553"," 0.0142471212","-0.183727647","-0.197418542","-0.111918986"," 0.642612011","-0.379625515","-0.179366892","-0.088812782","-0.098819540","-0.234378227","-0.076711533","-0.345859231","-0.84145845"," 0.221932274","-0.164114950","-0.2480369305","-0.2420461659","-0.427243223","-0.1071205671"," 0.726265968"," 1.197579e-01","-0.3042739821","-0.036531595"," 0.54563196","-6.426670e-02"," 0.020630396"," 0.119938566"," 0.054072978"," 0.634748960"," 0.912992145"," 0.1324635331"," 0.039324178","-0.499047918","-0.041218086","-0.421098225","-0.056760958"," 0.535473491","-0.1991137218"," 0.476660521","-0.712934927","-0.121132380","-0.556345240"," 0.016606343","-0.165373616"," 0.2327797528","-0.1428514247","-0.434484727"," 1.179622773","-0.126393663"," 0.339537382"," 1.194052334"," 0.4752824730"," 0.13177850","-0.088834799","-0.1267159924"," 1.094326834",6,5,"Cyclosporine"
"Cyclosporine_H8"," 0.451804920","-0.686481372","-0.117020541","-0.7871716053"," 1.09498767","-0.069779677","-0.4097935683"," 0.1640378485","-0.0524466252","-0.3076501231","-0.134586626","-0.428965227"," 0.034053602"," 0.178853696"," 0.030378331","-0.780870223","-0.764609094","-0.272527805"," 0.3827835299"," 0.0840684005"," 0.005714495"," 0.508411689","-0.1042535739","-0.291178406","-0.445260424"," 0.7536653987"," 0.430663006"," 0.2592372833","-0.188023197"," 0.614465511"," 0.9443024748"," 0.4070134351","-0.522232066","-0.207470132","-0.160705856","-0.437743609"," 0.887189978"," 0.1121268529"," 0.177384511"," 0.291342553","-0.082911938","-0.180798629","-0.232132139","-0.359165827","-0.2666571356"," 1.321718707"," 0.120064647","-0.049188646"," 1.1703130968"," 0.40509547","-0.387107064","-0.2591310242","-0.304762391","-0.05772741"," 0.1170046153","-0.0466821396"," 0.448957390","-0.358632113"," 0.020854804","-0.110904841"," 0.237973851","-0.347787148","-0.5078058901"," 1.488347e-01","-0.264320458"," 0.0141055856","-0.473423386","-0.031897433","-4.120048e-01"," 0.606076592","-0.283782965","-0.371833631"," 0.103932223"," 0.195424420","-0.253768419","-2.615632e-01","-0.0796971217"," 1.00824053"," 0.3446686744","-0.765208036"," 1.157288984"," 0.0664842334","-0.187916771","-0.303134436"," 0.388388494"," 0.419453685","-0.5759828469"," 0.377734706","-0.088159762","-0.3418191253","-0.345510240"," 0.210262294","-0.328882771"," 0.279610676","-0.0583877609"," 0.292400630","-0.767435430"," 0.051011794"," 0.903940835","-0.468392943"," 0.175990015","-0.268585894"," 0.199824997","-0.107220532","-0.008102426","-0.222297417","-0.66498983"," 0.242647261","-0.212382303","-0.1025562415","-0.2398666571","-0.137160585","-0.0104412641"," 0.744241025"," 1.795227e-01","-0.1137695740","-0.284108986"," 0.67345755"," 3.723438e-01"," 0.037001295"," 0.387756764","-0.362295947"," 0.794942141"," 0.592092402"," 0.0001095511"," 0.027307867","-0.694455205","-0.169778101","-0.139183686"," 0.310689455"," 0.399807889","-0.5498393756","-0.228201109","-0.611968151"," 0.127263089","-0.347095179","-0.235779271"," 0.021863812"," 0.1165261470","-0.3928775942","-0.486151033"," 0.746654584","-0.125473663"," 0.482590295"," 0.496306934"," 0.8100900286"," 0.11638677","-0.349870518","-0.3894124033"," 1.108592567",6,5,"Cyclosporine"
"Cyclosporine_H10"," 0.420260927","-0.032688473","-0.107083905","-0.3391801897"," 0.68234926","-0.207675945","-0.2534188556"," 0.1926855893","-0.0322757020"," 0.0100631278","-0.107301474","-0.041466264","-0.141954576","-0.352845327","-0.102578768","-0.696164061","-0.444600635","-0.272636013"," 0.5662835543","-0.0496415135","-0.019419783"," 0.182406329"," 0.0526735958","-0.138223968","-0.645615979"," 0.5832018373"," 0.131320517"," 0.3814850815","-0.059117632"," 0.064715098"," 0.9470678233"," 0.9350237795","-0.488510210","-0.249398595","-0.043715100","-0.243529239","-0.888085043","-0.0713308229"," 0.419796554"," 0.442125233","-0.076127985","-0.156474425"," 0.069506692","-0.244151878","-0.4388602734"," 1.165527244","-0.058310864","-0.087875929"," 0.6461328826","-0.26952995","-0.485703465","-0.3704003404","-0.539545363","-0.16879826","-0.0133105985","-0.1233335235"," 0.373311854","-0.284730236","-0.056573572","-0.182435854","-0.098431358","-0.394763500","-0.2216285274"," 1.338874e-01"," 0.172551999","-0.2273869889","-0.098025346"," 0.053976283","-3.783761e-01"," 0.733673287","-0.008128672","-0.201801045"," 0.058488878"," 0.016105073","-0.213330702","-2.996806e-01","-0.0126744695"," 0.29061787"," 0.1906254695","-0.317785538"," 0.754145881"," 0.0214493260","-0.438911970","-0.306580475"," 0.168101394"," 0.311748702","-0.1563729453"," 0.388146038","-0.152620565","-0.2737580468","-0.450516598"," 0.030080617"," 0.271002794","-0.041494484"," 0.0875413131"," 0.248816106","-0.514321947"," 0.022969494"," 0.646114459","-0.161569934"," 0.076668189","-0.310342083"," 0.215657214","-0.204812189","-0.047044822"," 0.022753410","-0.74222224"," 0.379874665","-0.095238741","-0.3945122061"," 0.0839147596","-0.263905549","-0.1368839800"," 0.269536950"," 1.015369e-01","-0.0997282845","-0.463852111"," 0.21049606"," 2.239518e-01","-0.125555573"," 0.109730100","-0.193284688"," 0.375821728"," 0.115217286","-0.4373431801"," 0.258721246","-0.634811173","-0.291924268","-0.027095540"," 0.265519449"," 0.408868329","-0.3461501818","-0.305968720","-0.438701394"," 0.118618083","-0.121450279","-0.289925212","-0.046446474"," 0.0960906806","-0.2785156626","-0.275968770"," 0.561609441","-0.071166085"," 0.536120092"," 0.942643200"," 0.8659536023"," 0.09215938","-0.268691201","-0.1417578081"," 1.109520810",6,5,"Cyclosporine"
