"","MAL13P1.124","MAL13P1.201","MAL13P1.294","MAL13P1.332","MAL13P1.337","MAL8P1.152","MAL8P1.35","MAL8P1.55","PF10_0159","PF10_0195","PF10_0257","PF10_0286","PF10_0348","PF11_0096","PF11_0141","PF11_0146","PF11_0212","PF11_0276","PF11_0404","PF11_0414","PF11_0471","PF13_0013","PF13_0031","PF13_0036","PF13_0095","PF14_0121","PF14_0133","PF14_0178","PF14_0185","PF14_0214","PF14_0261","PF14_0314","PF14_0346","PF14_0415","PF14_0545","PFA0300c","PFC0610c","PFD0180c","PFD0295c","PFE1430c","PFE1550w","PFF0610c","PFF0625w","PFI1510w","PFI1545c","PFI1655c","PFL0420w","PFL1335w","PFL1400c","PFL1815c","D_class","Class","Compound"
"W7_H4"," 0.626128179","-0.5301919864"," 0.479973843","-0.827424277"," 0.72701400","-1.8415822673"," 0.078215689","-0.422667401"," 0.67421543"," 0.326231424","-2.557633335","-0.909241311"," 0.1180212071"," 0.446639788","-1.3262569643","-0.139772362"," 0.1996572785","-0.7047274232","-0.1875389401","-0.209821231","-3.486949e-02","-1.289474034","-0.825638591","-0.688931445"," 0.52413452","-0.0773691250"," 0.822352413"," 0.204252372","-0.318247152"," 0.1801916414","-0.978015436"," 0.725228886"," 0.5643269363"," 0.793013841"," 0.6779130452","-0.569963765"," 0.642748211","-0.6755314091","-0.79052836"," 0.062570053"," 0.512793187"," 0.443752539","-0.113859657","-1.371233538"," 0.96309417","-0.12237707","-0.7069197878"," 0.922609517","-0.920328955"," 0.589193468",4,3,"W_7"
"W7_H6"," 0.406088887","-0.5655213104"," 0.322538690","-0.622469848"," 0.59745034","-1.6787659244","-0.283969906","-0.521748111"," 0.44149104"," 0.472812262","-1.732553420","-1.024433514"," 0.5892853692"," 0.205988914","-1.4657383038"," 0.090522308","-0.2529914663","-1.4226675514","-0.2261876907","-0.207870305","-5.198079e-01","-1.209280060","-2.108064156","-0.643134224"," 0.67892845","-0.8124989447"," 0.310508981"," 0.740510288","-1.420170210"," 0.0922061480","-0.369494918"," 0.458367309"," 0.6575204601"," 1.060072979"," 1.7022727975"," 0.041807617"," 0.122907834"," 0.0565270102"," 0.12855886"," 0.659162297"," 0.534262035"," 0.163079020","-0.305649258","-1.164227264"," 0.48336205","-0.22126854","-0.6371069229"," 0.580306506","-0.530853247"," 0.440030900",4,3,"W_7"
"W7_H8"," 0.768881766","-1.0872093948"," 0.242181622","-0.910103579"," 1.12154468","-2.1123493899","-0.719367555","-0.388008021"," 0.20965201"," 0.633376864","-3.010829969","-1.249750534","-0.4553976866"," 0.531206095","-1.5345447947","-0.025123138"," 0.5826660532","-0.4993376766","-0.3350437023"," 0.418365933"," 2.274607e-01","-1.629351888","-1.108833766","-1.501180843"," 0.86882560","-1.8008612578"," 0.953324714","-0.152888506","-0.662789770"," 0.5270243118","-0.839032992"," 0.880784501"," 0.2874571578"," 1.327040358"," 0.5741783726","-0.490777384"," 0.740389086","-1.3666899364","-1.44779011"," 0.318950832"," 0.580771571"," 0.625665817","-0.005818437","-2.112790288"," 1.12999241"," 0.09655994","-0.7142192747"," 0.829921713","-1.944049501"," 0.723506696",4,3,"W_7"
"W7_H10"," 0.068050143","-0.4410317806","-0.112861769","-0.113962592"," 0.49996302","-1.3672070540","-0.846453976","-0.285231417","-0.92640371"," 0.904210481","-1.204519441","-0.635693132"," 0.3735194171","-0.048329084","-0.5890586683"," 0.499731717","-0.3240695042"," 0.4483310878","-0.5471917195"," 0.022490021","-4.457661e-02","-1.385528507","-0.545300784","-0.076693838"," 0.04001783","-0.0123011441"," 0.778340086"," 0.963432393","-0.867320443","-0.0670369766","-0.758312202"," 0.157850864"," 0.0848106271"," 0.192286431"," 0.9717597821","-0.201731715"," 0.384337823","-0.6330351423","-0.39354280"," 0.119960821"," 0.162796588"," 0.158426497","-0.734499234","-0.836460628"," 0.52145716","-0.42728361","-0.2200553247"," 0.265802965","-0.466580896","-0.021833149",4,3,"W_7"
"W7_H12"," 0.226112742","-0.5951786416","-0.071537753","-0.898749935"," 0.74102345","-1.5115216986","-0.695335199"," 0.169987295"," 0.10595219"," 0.588768153","-1.633642099","-0.643197495","-0.1969178362"," 0.175310341","-1.1523774347"," 0.141057394"," 0.1163394581"," 0.0334854346","-0.3049590921","-0.216009245","-6.710196e-01","-1.700571000","-0.721128189","-0.923298718"," 0.02111293","-0.9968422728"," 0.735567779"," 0.194597275","-0.366114874"," 0.1875950237","-1.045039696"," 0.472878211","-0.0769763415"," 0.724360730"," 1.0957797978","-0.513692312"," 0.513981240","-0.5904247478","-1.04301844"," 0.106876320"," 0.389164722"," 0.697377664","-0.321006764","-1.248357728"," 0.64853386","-0.26595595","-0.2191566149"," 0.647052316","-0.733298440"," 0.430642021",4,3,"W_7"
"Staurosporine_H1"," 0.151460335","-0.5232250478"," 0.995765559","-0.063651429"," 0.18511016"," 0.3384853405","-0.386272279"," 0.306753474"," 1.14682873"," 0.389890421","-0.414913788","-0.462528318"," 0.3159812252"," 0.255578916","-1.2405115262","-0.062433356"," 0.1023455225","-0.2000250435","-0.1438555789","-0.950032772"," 7.329383e-01","-0.404271540","-0.826303235"," 0.310835893"," 1.15366070"," 0.1481728558"," 0.769439982"," 0.770106003","-0.268833794","-0.4924031256","-0.096168154"," 1.145079676"," 0.5853182362"," 0.041547248"," 0.2136322607","-0.721513557"," 0.118102607"," 0.8188761316"," 0.38960379"," 1.011965988"," 0.627074134","-0.271658078"," 0.581486839","-0.046590146"," 0.08874593","-1.54859816","-0.0783469698","-0.186314543"," 0.142818834"," 0.774909898",5,4,"Staurosporine"
"Staurosporine_H2"," 0.132678321","-0.8574785008"," 0.549168051","-0.377533281","-0.13120379"," 0.3322334683"," 0.063750723"," 0.385071168"," 1.27696537"," 0.371166706","-0.875861248","-1.006838582","-0.4587037838"," 0.112313181","-1.3542765159","-0.403562251"," 0.0778885987","-0.2924997732","-0.0711003706","-0.483081702"," 6.440049e-01","-0.462719262","-1.290383638","-0.134600108"," 1.25066355","-0.2938974225"," 1.039677008"," 0.739750789"," 0.155890135","-0.1953096581","-0.082464402"," 1.001266256"," 0.5195358301"," 0.229974003","-0.3100681081","-0.040644487"," 0.043902621"," 0.7753486108","-0.10031881"," 0.728078500"," 0.880531461"," 0.041603181"," 0.399383774","-0.639398678","-0.37532137","-1.00702170","-0.6860724029","-0.259893294"," 0.566621783"," 1.021550412",5,4,"Staurosporine"
"Staurosporine_H4"," 0.070029021","-0.1194070283"," 0.767169097","-0.164643675","-0.45512423"," 0.1854532492"," 0.570630093","-0.185231210"," 1.17050109"," 0.280453805","-0.443012878","-0.596666534","-0.3788543808"," 0.386087298","-0.5132955104","-0.228541830"," 0.0667939427","-0.4923902747","-0.1019711755","-0.367903308"," 1.427798e-01","-0.445154500","-0.914849343"," 0.089118176"," 0.81664872","-0.1804077146"," 0.812725337"," 0.672349476"," 0.199880942","-0.1664766880","-0.146090915"," 0.355498724","-0.0492491263","-0.217273475","-1.1829562624","-0.138791902"," 0.201789133"," 0.5423242714","-0.31407744","-0.011964468"," 0.260928742"," 0.081632251"," 0.379291843","-0.327046705"," 0.03520414","-1.04354335","-0.7382515476","-0.232896699"," 0.737160025"," 0.402361775",5,4,"Staurosporine"
"Staurosporine_H6"," 0.004952358","-0.3236306640"," 1.016474053","-0.291088619"," 0.09465545"," 0.2026827318"," 0.527686904","-0.203150203"," 1.12855362"," 0.694372466","-0.355951329","-0.710717217","-0.0711338842"," 0.093954743","-0.9818850699","-0.628850902","-0.0190985280","-1.3746064731"," 0.2830176285","-0.593214265"," 5.661852e-02","-0.187439131","-2.112061776"," 0.087769686"," 1.17072821","-0.6848550358"," 0.448072396"," 1.171338998","-0.611330344","-0.0444700097"," 0.408470651"," 0.528309932"," 0.2102717233"," 0.423397380","-0.0307047706"," 0.495477643","-0.158311881"," 1.0480446497"," 0.40394898"," 0.768498439"," 0.302939935","-0.639378678"," 0.492342653","-0.542279753","-0.56347280","-1.20389769","-1.0142742007","-0.097041785"," 0.866090621"," 0.446084714",5,4,"Staurosporine"
"Staurosporine_H8"," 0.061963673","-0.1777372590"," 0.921592279"," 0.102018912","-0.05359280"," 0.5334469836"," 0.969112476"," 0.260268429"," 0.78634753"," 0.859645289","-0.306252723","-0.448352458","-0.5815081669"," 0.165210103","-0.4756928038","-0.577557076"," 0.0352308324","-0.2240659454"," 0.1317553938","-0.321263133"," 7.013768e-01","-0.281996375","-0.762930457","-0.287941214"," 0.94778864","-0.1041929112"," 0.667408692"," 0.342045675"," 0.067179466","-0.0888230109"," 0.135693388"," 0.300336878","-0.3936743853","-0.179654317","-0.5841689696"," 0.045295132","-0.045530390"," 0.3466602243","-0.83280418"," 0.487193442"," 0.169492272","-0.510836308"," 0.408217755","-0.993004903","-0.37469221","-1.17932030","-0.7514756137","-0.353366707"," 0.510531814"," 0.267345930",5,4,"Staurosporine"
"Staurosporine_H10","-0.059897290"," 0.0266630341"," 0.837230141"," 0.217883499"," 0.09010085"," 0.5967238913","-0.057858574"," 0.567391585"," 0.72898120"," 1.009569265","-0.491742612","-0.424828938","-0.2769266493"," 0.192014571","-0.2199141672","-0.443477683"," 0.1608223368","-0.1741855024"," 0.2750982559","-0.645650472"," 4.305420e-01","-0.104149945","-0.659664085"," 0.235983578"," 0.43913972"," 0.0622080513"," 0.530752453"," 0.633370671","-0.164717121","-0.3611096121","-0.292655542"," 0.438611292"," 0.0574527089"," 0.018364355"," 0.1059309200"," 0.451549179","-0.025234134"," 0.1304387295","-0.74646896"," 1.065514264"," 0.383174180","-0.160764119"," 0.345270623","-1.095383615","-0.20621869","-0.68115437","-1.0506703236","-0.057640249"," 0.988074765"," 0.320591218",5,4,"Staurosporine"
"Staurosporine_H12","-0.216564202"," 0.2174719781"," 0.883793491","-0.425903247"," 0.44467925"," 0.0570843295"," 1.324985578"," 0.869703363"," 1.06527366","-0.126826120","-0.030282905","-0.238583549","-1.2079195297"," 0.122099250","-0.2081956651","-0.279078614","-0.0851778372"," 0.3447915878"," 0.2338706001","-0.572996342","-5.402333e-01","-0.831223906","-0.250127530"," 0.018760534"," 0.76386837"," 0.4531595755"," 1.056327967"," 0.548737192"," 0.280780957","-0.8492565004","-0.085050878","-0.078084548","-1.2533711747","-0.575896791"," 1.0009857039","-0.247137272","-0.634411088","-0.1512916426","-1.50504497"," 0.316493874","-0.587727766"," 0.064696398","-0.055390508","-1.315302403","-0.46839476","-2.33595115","-0.1680533135","-0.340694052"," 1.052746897","-0.251279873",5,4,"Staurosporine"
"Cyclosporine_H1"," 0.368769724","-0.0633493099","-0.429589693","-0.195594520","-0.91315302","-0.3059582618","-0.237619653"," 0.351592625","-0.09809363"," 0.389074108","-0.705005895","-0.392928255","-0.0182036109","-0.980468808","-0.8587704204"," 0.801666707","-0.1674907264"," 0.5536918648"," 0.2018574321","-0.547804022","-7.432916e-01"," 0.664030844","-0.453110440","-0.391246392"," 0.01271036","-0.4337506331"," 0.133427877","-0.524524462","-0.012330048","-0.2499173110","-0.345147716"," 0.044799909","-0.2508512023"," 1.905029607"," 2.4980033000"," 2.008086934"," 0.384611498"," 0.0550977793","-0.15442986"," 0.861551916"," 2.763509156","-0.008889063","-0.442344953","-0.598582814","-0.03398885","-0.51664029","-0.2662849817"," 0.359277858","-0.404299528","-0.063035787",6,5,"Cyclosporine"
"Cyclosporine_H2"," 0.301373712","-0.2916190780","-0.348237275","-0.237115987","-0.31703369"," 0.0888332523","-0.027718485"," 0.066956529","-0.19442472"," 0.722274738","-0.621473360","-0.060212135"," 0.1687654543","-0.455406034","-0.3707708825"," 0.433904515","-0.2484446417"," 0.3747455503","-0.0428496559","-0.131156005","-2.537130e-01","-0.175289972","-0.331472151","-0.140616230","-0.14385907","-0.5698988132","-0.154108415","-0.402149079"," 0.196389346","-0.1540982269","-0.123620691","-0.231825828","-0.2656312845"," 0.935057149"," 1.6637507301"," 1.335693955"," 0.084901699"," 0.2407887438","-0.20451787"," 0.113492942"," 1.049082690"," 0.026028574","-0.271990647","-0.204687517","-0.29966983","-0.37941981","-0.2859757160"," 0.141008563","-0.182457588"," 0.182856191",6,5,"Cyclosporine"
"Cyclosporine_H4"," 0.230110721","-0.1688934641","-0.079817729","-0.590419363","-0.54122973","-0.4556585192"," 0.064812085"," 0.271729244","-0.16701870"," 0.355549154","-0.438783340","-0.020343867"," 0.2134709595","-0.700779473","-0.3598664047"," 0.444618569","-0.1485217060"," 0.2589623617"," 0.2215264601","-0.586352930","-5.617083e-01"," 0.490745369","-0.243108709","-0.090565592","-0.23776087","-0.0678910803"," 0.189463939","-0.442842008"," 0.039370536","-0.0405581624"," 0.049720301"," 0.017307384","-0.0418725026"," 1.663477979"," 2.1623915983"," 1.733921269","-0.097503676","-0.0561340883","-0.35307459"," 0.526800791"," 1.397089829","-0.103588619","-0.304976561","-0.580591230"," 0.10852986","-0.28552220","-0.5167388854"," 0.429982046","-0.518358183","-0.128515718",6,5,"Cyclosporine"
"Cyclosporine_H6"," 0.132608385","-1.8203631511","-0.257474937","-0.352309456","-0.24840475","-0.1948268266","-0.308944404"," 0.138493752","-0.21715001","-1.247241130","-0.107578988","-0.174748219"," 0.2103691965","-0.624345995","-0.4290368378"," 0.621409979"," 0.0374113738"," 0.7520922343"," 0.0172505907","-0.460044703"," 1.143359e-02"," 0.305896160","-0.104423011","-0.096233480","-0.20493663"," 0.0174667178"," 0.014281007","-0.408444542","-0.063940143","-0.0616507919","-0.044385253"," 0.126421281"," 0.0092499242"," 1.693675542"," 2.1523324491"," 1.682125379","-0.093425426"," 0.1847253982","-0.02803572"," 0.987075984"," 1.258267004"," 0.054072978","-0.248500106","-0.628326706"," 0.01199425","-0.27984150","-0.3639919732"," 0.097379729"," 0.106818318"," 0.034490231",6,5,"Cyclosporine"
"Cyclosporine_H8"," 0.451804920","-0.0167744067","-0.407054773","-0.536281163","-0.20562366","-0.1763708151","-0.388893772"," 0.226891753"," 0.02582689"," 0.890677273","-0.290183516","-0.312265173"," 0.1796913873","-0.903726706","-0.6319292701"," 0.177193674","-0.4348363834"," 0.6111092999"," 0.2586193899","-0.498451421","-1.097054e-01"," 0.946109426","-0.197826527","-0.538591373","-0.05772741"," 0.2008653425"," 0.007226342","-0.664355187","-0.005257225"," 0.0141055856","-0.448791554"," 0.164679225"," 0.1330575795"," 1.392499663"," 1.4304303426"," 1.337172133"," 0.281084640"," 0.2057812551","-0.24655034"," 0.729627887"," 1.510632599","-0.362295947","-0.408147782","-0.355123783","-0.21164052","-0.45327148","-0.3848956403"," 0.380670860","-0.604370305"," 0.203225849",6,5,"Cyclosporine"
"Cyclosporine_H10"," 0.420260927","-0.2377545817","-0.188435501","-0.492975921","-0.42941403","-0.2128275491","-0.018349019","-0.025512784","-0.05287347","-0.075351053","-0.421482271","-0.062584710"," 0.1092705370","-0.243735482","-0.4392329260"," 0.245478957","-0.2391433876","-0.0389522242"," 0.1837764703","-0.586633529","-9.911760e-01"," 0.477313807","-0.370544773","-0.052079219","-0.16879826","-0.2834771461","-0.163826350","-0.460827704"," 0.185597459","-0.2273869889","-0.037967249"," 0.220390275","-0.0445588285"," 1.112123989"," 1.5075666282"," 1.024709971"," 0.181197507"," 0.1967312951","-0.60149122"," 0.411116366"," 1.279632011","-0.193284688","-0.218625221","-0.173607710"," 0.18274148","-0.34109543","-0.2443673031"," 0.144146649","-0.401539663","-0.051791741",6,5,"Cyclosporine"
"Cyclosporine_H12"," 0.307436088","-0.1686082564","-0.319196352","-0.673112551","-0.62383171","-0.2326184711"," 0.082830022"," 0.009696094","-0.01641328","-0.281720399","-0.271485286","-0.090394827"," 0.2690567496","-0.617117448","-0.6622932141"," 0.589027846","-0.2404121950"," 0.1376658164"," 0.1675485988","-0.383823311"," 1.513714e-01"," 0.571761174","-0.395018881","-0.291030103","-0.23883171","-0.0203625805"," 0.022745530","-0.528620461"," 0.182025690"," 0.2226698401","-0.049481459"," 0.087302547","-0.2122847090"," 0.994903374"," 1.8305544215"," 1.518018750"," 0.136737664"," 0.0013130366","-0.33733578"," 0.393034972"," 1.485280715","-0.111688344","-0.487986535","-0.258747671","-0.00516744","-0.49236572","-0.3433805280"," 0.171374346","-0.195727946","-0.158354127",6,5,"Cyclosporine"
"Cyclosporine_H14"," 0.528734817","-0.3910015140","-0.509704227","-0.395866018","-0.39832604","-0.0360804292"," 0.379681351","-0.396092399"," 0.13088805"," 0.578984278","-0.417418629","-0.319268341"," 0.4184561878","-0.380698979","-0.5175471340"," 0.487520966","-0.6059588420","-0.3063227830"," 0.2414241061","-0.188235599"," 4.284675e-01"," 0.269528115","-0.374815731","-0.408359086"," 0.00300129","-0.2713826729","-0.365440008","-0.505057558"," 0.233267097","-0.2671441328","-0.236008275"," 0.203723016","-0.0135709661"," 0.836304125"," 1.0515493706"," 0.591567881"," 0.346842857"," 0.1783200512","-0.24473771"," 0.302652617"," 1.636937989"," 0.047507677","-0.378700968","-0.015969579"," 0.02973793","-0.36973263","-0.2201515678"," 0.266979349","-0.672061298"," 0.186265437",6,5,"Cyclosporine"
"Colchine_H1","-0.105673326","-0.0068485383","-0.411437388","-0.040843354","-0.35822374"," 0.1430658798","-0.390580297"," 1.276167983"," 0.05455199","-0.033437596","-0.503783297","-0.338029229"," 0.0964800861","-0.648814454"," 0.6035417851"," 0.783015030","-0.0138282351"," 0.3305050796","-0.1384724820","-0.814196457","-1.794988e-01"," 0.148560465"," 0.212645186","-0.531846192","-0.21153986"," 0.0069558201","-0.352940946","-0.278521033","-0.497050429","-0.0428647723"," 0.128340904","-0.027957291"," 0.1393462542"," 0.523380712"," 0.3228948378"," 0.439177167","-0.347065906"," 0.3798557884","-0.17851109"," 0.229699615"," 0.032565084","-0.162957356","-0.324445311","-0.583312024","-0.27266402","-0.37049973"," 0.3033347863"," 0.065987297"," 0.108361715"," 0.039463697",7,6,"Colchine"
"Colchine_H2","-0.062508419"," 0.0826919528","-0.075574649","-0.141099824"," 0.01139722","-0.0014562984","-0.422247101"," 0.419731486","-0.02528418","-1.907380398"," 0.211779953","-0.052537713","-0.0468892933","-0.195753464"," 0.3917027777"," 0.373280829","-0.0499079548"," 0.1059328564"," 0.0444921792","-0.218725285"," 8.400463e-05"," 0.259694899"," 0.015956217","-0.053793530","-0.02230266"," 0.0803344179","-0.099195664","-0.091720282","-0.119505388","-0.0059672408"," 0.124260207"," 0.163773699"," 0.1426005977"," 0.401087992"," 0.6285397725"," 0.154947686","-0.289359032"," 0.2527850506","-0.07577677"," 0.173195046"," 0.180814020","-0.235683357","-0.141301584"," 0.013369429","-0.14477464","-0.11409313"," 0.0204017296"," 0.040186286"," 0.092469583","-0.170248940",7,6,"Colchine"
"Colchine_H4","-0.001943864","-0.1542464343","-0.119366328","-0.585873332"," 0.04327716"," 0.0005944199","-0.002596863"," 0.710773690"," 0.11411642"," 0.014311203","-0.013527640"," 0.041504719"," 0.0918205935","-0.145114283"," 0.0549600383"," 0.419209223","-0.1346439935"," 0.1141545599","-0.1255749328","-0.161829509","-3.863080e-01","-0.028166566"," 0.080636885","-0.007707782"," 0.22523318","-0.1122339118"," 0.012554713","-0.178658479","-0.009581094","-0.0956342191"," 0.043497441"," 0.140444561"," 0.1729759708","-0.015724663","-0.3539413786"," 0.243418860","-0.083349343"," 0.0245183326","-0.14048667","-0.275259123","-0.129429282"," 0.321280667","-0.164496386","-0.326627811"," 0.07122365","-0.17935735","-0.0937937683"," 0.152999294","-0.005476028","-0.259978390",7,6,"Colchine"
"Colchine_H6"," 0.069135065","-0.0009594147","-0.065286957"," 0.025272873","-0.15267242"," 0.0635626176","-0.356433383"," 0.374309811"," 0.07463663"," 0.141951786","-0.012916081","-0.034528695"," 0.0335513125","-0.040348001","-0.0963401204"," 0.446265681","-0.0589826849"," 0.2772126922"," 0.0053915497","-0.252962611","-9.375516e-02"," 0.008481589"," 0.051858021","-0.148078312","-0.09144410","-0.0546850750","-0.245530652","-0.110473783","-0.080439425"," 0.0365847373"," 0.032087721","-0.049505321","-0.0711499338"," 0.377336365","-0.3629514317"," 0.173504636"," 0.028619440"," 0.2504039873","-0.07068359","-0.157988391"," 0.234837751","-0.006517744","-0.139621782","-0.173321392","-0.20142160","-0.12075865"," 0.0789448252"," 0.151453565"," 0.092051419","-0.084338962",7,6,"Colchine"
"Colchine_H8","-0.009236766","-0.1642879728"," 0.066792004","-0.190972263","-0.02061802"," 0.0807360155","-0.091024919"," 0.479452555","-0.01376713"," 0.196118104","-0.327734638","-0.274715164"," 0.0111156552","-0.028408631"," 0.1101242690"," 0.253618097"," 0.0964684813"," 0.1286565564","-0.0960216426"," 0.172528896"," 5.210562e-01"," 0.012150880"," 0.176499964","-0.051211161"," 0.10751585"," 0.1605586986","-0.170482358","-0.024577249","-0.138809354","-0.2021483515","-0.271165469","-0.046151879","-0.1332057409"," 0.609382603"," 0.3264709795"," 0.369304047","-0.057340610","-0.0765882029","-0.35322112"," 0.251828572"," 0.212267317","-0.314184491","-0.067042463","-0.361154530","-0.16001712","-0.13196389"," 0.0777807620"," 0.007495786","-0.025045091","-0.212240486",7,6,"Colchine"
"PMSF_H1"," 0.013878793","-0.3276693695"," 0.183106364","-0.946922969","-0.43076110","-0.1541198360"," 0.832067767","-0.931825776"," 0.24687118"," 0.757479162"," 0.168746108"," 0.632675875","-0.7180817765","-0.258833495","-1.1157704253","-0.951783597","-0.1661772521","-0.5628659170","-0.3254391395","-0.001037765","-2.078275e-01","-0.925945947"," 0.205027283","-0.033206344"," 0.52669198"," 1.7364595191"," 0.050408649","-0.084468494"," 0.916886696"," 0.9868785188","-0.104832898"," 0.344710876","-0.2742404004","-1.120814857","-0.5930327632","-0.317271024"," 0.579967538","-0.1299456931","-0.47154410","-0.268588769","-0.668586089"," 0.004621575"," 0.655120862"," 1.080450558","-0.62180835","-0.81756263","-0.4751155074"," 0.156079395"," 0.339636092"," 0.314158660",8,7,"PMSF"
"PMSF_H2"," 0.055628060","-0.2435070646"," 0.260575762","-0.385368143","-0.29999012"," 0.6748287836"," 0.220880332","-0.289318523"," 0.44075989"," 0.632342642"," 0.346123439"," 0.487315575","-1.2865843055","-0.558301326","-0.7214366457","-0.447447974","-0.1959875566","-0.2358017465","-0.8120129416","-0.563765340"," 3.691546e-01","-0.803039206","-0.088185447","-0.539597331","-0.10724502"," 2.1871495506","-0.342896215","-0.207168343"," 0.508033761"," 0.9545679837"," 0.194122105"," 0.109817354","-0.6123576476","-0.877256297","-0.2805368545","-0.339109178"," 0.199207483"," 0.3352129865","-1.05120327"," 0.042178234","-0.779033323"," 0.272955316"," 0.187722070"," 0.769413150","-1.46852766","-0.86071394","-1.0364566148"," 0.064077145"," 0.810880394"," 0.390747126",8,7,"PMSF"
"PMSF_H4"," 0.194715738","-0.1794275297"," 0.557415319","-0.312100811","-0.19499690"," 0.8409096905"," 0.181297087"," 0.244539577"," 0.05938846"," 1.533048117","-0.117904175"," 0.579885400","-1.9572810727","-0.969375360","-0.5065292602","-0.628495022","-0.2469365257","-0.3076845153","-0.3503246279","-0.058577015"," 3.735628e-01","-0.714188118","-0.010446495"," 0.216700342"," 0.02910867"," 2.0418772782","-0.406186593","-0.150398446"," 0.686520856"," 1.0195683869"," 0.070323393","-0.475029331","-0.8284414337","-0.920227473","-0.7728064604","-0.481075073","-0.122177136"," 0.3420677199","-1.96164851"," 0.256367206","-1.086248748"," 0.251459649"," 0.436462253"," 0.999415129","-1.65243781","-0.92851706","-1.1604439433","-0.146871225"," 1.110245287"," 0.369424839",8,7,"PMSF"
"PMSF_H6","-0.149618302","-0.3778095799"," 0.356196226","-0.528150537","-0.20566476"," 1.0062164673","-0.207437732"," 0.112884235","-0.07677566","-0.303903449"," 0.092930322"," 1.084299047","-3.5748746470","-0.506797491","-0.4326794193","-0.670144299"," 0.0355596530","-0.3210374001","-0.5644939723","-0.155335782"," 7.974585e-01","-0.428776332","-0.086043320"," 0.485243435","-0.20150151"," 2.0896672338","-0.318621030","-0.561511347"," 0.638194216"," 0.8165814416","-0.037888670","-0.853274377","-1.8905104699","-0.917848346","-0.1140945626","-0.393891707","-0.217531934"," 0.6877443630","-3.92221044"," 0.361152769","-1.252025748"," 0.049626521"," 0.380473028"," 0.643471243","-1.39115341","-1.14712572","-1.6031567945","-0.350031787"," 1.348618123"," 0.208457459",8,7,"PMSF"
"PMSF_H8","-0.217755924","-0.4952580971"," 0.547902978","-1.210450300","-0.28030101"," 1.0857189951"," 0.312949167"," 0.142020360"," 0.28134908"," 0.183709662","-0.028014236"," 1.424246920","-4.4231567309","-0.205134539","-0.9483992164","-0.671020026","-0.1280018561","-1.1699285283","-0.4714711130","-0.072534124","-2.573908e-01","-1.060648135","-0.158752755"," 0.157495995"," 0.22409415"," 2.2573997602","-0.195552729","-0.968039985"," 0.825450450"," 0.8963681083","-0.702605986","-1.446633727","-2.7320146736","-1.103378641","-0.2704638356"," 0.118504521"," 0.147939462"," 0.1662517831","-5.14552166"," 0.036882191","-1.888540226","-0.051064278"," 0.703290004"," 0.718991406","-1.26968919","-1.66985724","-1.2654181756","-0.005539631"," 1.315219049","-0.193965853",8,7,"PMSF"
"Leupeptine_H1","-0.079025754","-0.0021268802"," 0.220808743"," 0.504137781"," 0.15572312","-0.4426967355"," 0.060795558","-0.225964603"," 0.06822167","-0.344508308"," 0.513974656"," 0.188875292","-0.0595079821"," 0.328876670"," 0.6883905986","-0.504117247"," 0.1639513326"," 0.0409608295"," 0.0708043921"," 0.080459703"," 2.749465e-02","-0.072104578"," 0.058143394"," 0.143883947","-0.17057303","-0.0625837757","-0.113115209","-0.066691672"," 0.142883991"," 0.1376782675","-0.076625444"," 0.132847821"," 0.0361564436","-0.543726018"," 0.2873022585","-0.476928834"," 0.292615361"," 0.1539106664"," 0.15610848"," 0.143518168","-0.057356368"," 0.204857184","-0.178498514"," 0.495087353"," 0.11794735","-0.07627674"," 0.0778434786","-0.137611358"," 0.069769389"," 0.053551430",9,8,"Leupeptine"
"Leupeptine_H2"," 0.023931270"," 0.0850715892","-0.069152828","-0.292123780","-0.13935083","-0.1114797812"," 0.230482466","-0.067536499","-0.60791345"," 1.744005934"," 0.028393229"," 0.031443941","-0.2129038880","-0.001165489","-0.1414868580"," 0.002896697"," 0.1376762124","-0.0964173973"," 0.0535468193","-0.131787525"," 2.219783e-02","-0.135329177","-0.008670826","-0.244512344","-0.12223433"," 0.1382923713","-0.052312853","-0.130997739","-0.136642035"," 0.1443876145"," 0.071167224"," 0.254872410","-0.0326290696"," 0.453686861"," 0.3010428102"," 0.325752617"," 0.012887961","-0.1398229610","-0.07032666"," 0.107384214"," 0.200718446","-0.081885616","-0.119707995","-0.055356205"," 0.15003195"," 0.11149217","-0.1641265999"," 0.225328027","-0.210183262","-0.006832737",9,8,"Leupeptine"
"Leupeptine_H4"," 0.100219197","-0.0272641168"," 0.067204754"," 0.045026578"," 0.12558121"," 0.2225163718"," 0.002720952","-0.122182491","-0.51593568","-0.134279101","-0.136266889","-0.243436661","-0.1970569819","-0.602245372"," 0.1002044041"," 0.078553034"," 0.0611920559","-0.0847212352"," 0.1638860317"," 0.213847773","-1.710000e-01"," 0.113799157"," 0.125611805"," 0.209733048","-0.06202353"," 0.0427279314","-0.087514461","-0.128180416","-0.097954339","-0.1552146637"," 0.287711251","-0.218584868"," 0.0491620338","-0.084548297"," 0.0356014607"," 0.042067903","-0.074721390"," 0.0939899805","-0.14398233"," 0.264619692"," 0.016923738"," 0.055837182"," 0.039593543","-0.037522885","-0.17024009"," 0.10191047"," 0.0538191180","-0.099818016","-0.004166884"," 0.075117566",9,8,"Leupeptine"
