"","MAL13P1.124","MAL13P1.137","MAL13P1.179","MAL13P1.256","MAL13P1.322","MAL13P1.40","MAL7P1.171","MAL7P1.65","MAL7P1.75","MAL8P1.105","MAL8P1.123","MAL8P1.132","MAL8P1.153","MAL8P1.91","PF07_0074","PF08_0032","PF10_0020","PF10_0085","PF10_0111","PF10_0152","PF10_0307","PF10_0374","PF11_0090","PF11_0162","PF11_0260","PF11_0290","PF11_0435","PF11_0438","PF13_0032","PF13_0042","PF13_0095","PF13_0137","PF13_0219","PF14_0071","PF14_0112","PF14_0238","PF14_0360","PF14_0499","PF14_0552","PF14_0562","PF14_0593","PF14_0642","PF14_0713","PF14_0719","PFB0590w","PFB0920w","PFB0923c","PFC0090w","PFC0400w","PFD0285c","PFD0470c","PFD0545w","PFE0165w","PFE0205w","PFE0430w","PFE0450w","PFE0585c","PFE0815w","PFE1280w","PFE1340w","PFE1390w","PFF0200c","PFF0875w","PFF0965c","PFF1150w","PFF1155w","PFF1280w","PFI0710c","PFI1185c","PFI1425w","PFL0580w","PFL0685w","PFL0980w","PFL1270w","PFL2200w","D_class","Class","Compound"
"W7_H6"," 0.406088887"," 0.090519569","-0.1207505982"," 0.329618097","-0.3840428786","-1.057324675"," 0.0005939862"," 0.772708950"," 0.045461588"," 0.193387289"," 0.2794924302","-0.7023244418"," 0.835274147","-0.953774802","-0.572936898","-0.4715902490"," 0.4308277791","-0.489473242"," 0.120363975","-0.038328635","-0.003958876","-1.352267331","-0.378842872"," 0.054485484","-0.6289057697"," 0.006864363"," 1.010274245"," 0.6156655626","-0.282130517","-0.3818215001"," 0.67892845","-0.1941836059","-0.655646445","-0.0365299371","-4.168990e-01","-0.083233571"," 0.582204159","-0.075121963"," 0.3498662489"," 0.42371125"," 0.3996933173","-0.486872928","-0.366173163","-0.2446828579","-0.633111581","-1.482456116","-0.327308703","-0.327253364","-0.774093755","-1.113842296"," 1.275041600"," 0.445853305","-0.074398425"," 0.619286962","-0.349035253","-0.075711904"," 0.2245299257","-1.392801471"," 0.044447831"," 7.348697e-01","-1.3557794062","-0.09543778","-0.2557164451"," 0.001115655"," 0.107752384"," 0.264419532","-0.331657167"," 0.215386809","-0.890965661"," 0.545284918"," 0.362255515","-0.462871878","-0.8405282381"," 0.860726889"," 0.72326249",4,3,"W_7"
"W7_H8"," 0.768881766"," 0.580240745","-0.3250341949"," 0.497834796"," 0.3063112176","-1.095643533","-0.5632764211"," 0.812948957","-0.128367014","-0.120115508"," 0.7646875827"," 0.0587649991"," 0.804736094","-0.664049085"," 0.063728089"," 0.8261027970","-0.1284070462","-0.814725510"," 0.581308260"," 0.378085124"," 0.635260342"," 0.640287957","-0.824134657"," 0.370578327","-1.7278072132"," 0.151754048"," 0.497128177"," 1.1272764944","-0.010779895"," 0.3064186058"," 0.86882560","-0.0478788966","-0.927424375","-0.6824345593","-7.784649e-01","-0.055623989"," 0.618541382"," 0.401755594"," 0.3746108290"," 1.30264354"," 0.8755045709"," 1.003989173"," 1.152410138"," 0.2672453705","-0.739164555","-1.120226781","-0.964882906","-0.687618824","-1.671028126"," 1.038083102"," 1.973724075"," 0.499296511","-0.150300263"," 1.399031859","-0.562912150"," 0.067872431","-0.1603974309","-0.391026047","-0.703375258","-4.264894e-01","-0.8669825930","-0.15501034","-0.5431188669"," 0.162043656","-0.125613237"," 0.961110144","-0.639988186"," 0.072009175","-0.360786133"," 0.185446413"," 0.720643913"," 0.099556183","-0.6343257460"," 0.991345488"," 0.57377861",4,3,"W_7"
"W7_H10"," 0.068050143","-0.146976331","-0.2929938119","-0.160934454"," 0.4246498903","-0.339670720","-0.1180141418"," 0.787741884","-0.758148177","-0.446451183"," 0.3750938660"," 0.4208523033"," 0.404247320"," 0.126178496"," 0.580041291","-0.3246450913"," 0.5258745440","-0.944577885"," 0.500075179"," 0.487188513","-0.125058166"," 0.141733598","-0.364798957","-0.511612236","-0.9229809698"," 0.352786278"," 0.162470247"," 0.3851344335"," 0.137057638","-0.2552351645"," 0.04001783"," 0.1312699522"," 0.178964209"," 0.2824104965","-1.369292e-01","-0.195992758"," 0.025439732"," 0.022443500"," 0.6919132589"," 0.61327394"," 0.1544511711"," 1.018942589","-0.083385703"," 0.1752430207","-0.282289079","-0.944428485"," 0.157432242","-0.369305800","-1.042046723"," 0.313228237"," 0.110424416","-0.168746833","-0.659424167","-0.143635161","-0.364422979","-0.411608131","-0.5036667398","-0.194258044"," 0.013698317"," 2.457125e-01","-0.5057807920","-0.12448520","-0.2861795928"," 0.566730926"," 0.265138970"," 0.395872956","-0.113160805"," 0.106591173","-0.637562640","-0.652405328"," 0.600901893"," 0.234110345","-0.0331439558"," 1.177685035"," 0.20285799",4,3,"W_7"
"W7_H12"," 0.226112742"," 0.310847661","-0.4466425083"," 0.162202143"," 1.0446922237","-0.667052827","-0.2903239078"," 0.790211354","-0.033804866","-0.059778765"," 0.7205595885"," 0.0867501321"," 0.543172680","-0.592922306"," 0.372018864"," 0.5351234439","-0.0335626363","-0.899939682"," 0.225449479"," 0.362881825"," 0.154437603"," 1.277160916","-0.558812508"," 0.120982976","-0.8929614097"," 0.136241915"," 0.438123692"," 0.5594673471","-0.099433582"," 0.1125879648"," 0.02111293"," 0.2293722206","-0.409250331","-0.2128845858","-3.364588e-01","-0.157771881"," 0.332386531"," 0.392132439"," 0.7554576168"," 0.56402747"," 0.5046630668"," 0.725791375","-0.113723835"," 0.2337814305","-0.431159423","-1.101935602","-0.116970406","-0.337020270","-1.284844311"," 0.382353429"," 1.238355113"," 0.473936055","-0.745848850"," 0.960080763","-0.496387639"," 0.058639805","-0.2217604617"," 0.252681375","-0.509766225","-1.203511e-01","-0.4667522154","-0.32104685","-0.4343693802"," 0.400707881","-0.180346920"," 0.548284373","-0.501379156"," 0.162334514","-0.330718058"," 0.131612931"," 0.837012238","-0.063712113","-0.4389759572"," 0.660779556"," 0.11710607",4,3,"W_7"
"Staurosporine_H1"," 0.151460335"," 0.389469770"," 0.4863817385"," 0.723265972"," 0.4388526852","-0.555632340"," 0.0235254814"," 0.050085814","-0.193231874"," 0.354288032","-0.4278535299","-1.0847930649"," 0.496036396","-0.567336863"," 0.426362602"," 0.1550873585"," 0.6623366257","-0.032082640"," 0.789366495","-0.005730501"," 0.151544025"," 0.020725293"," 0.085988870"," 0.605947479"," 0.0365342693"," 1.460407789"," 1.013402912"," 0.5850795743","-1.206067988"," 0.3147255423"," 1.15366070","-0.0893759857","-0.184392933","-0.1200778847","-7.874631e-01"," 0.085547390"," 0.048974931"," 0.069979702","-0.1861830639"," 0.07676512"," 0.2180301372","-0.068172860"," 0.007658657","-0.9848395293","-0.732406617","-0.209142034","-0.257737955"," 0.020260163"," 0.482262193"," 0.445242646"," 0.757715046"," 0.436017310","-0.069386369"," 0.117370324"," 0.365375641","-0.043726844"," 0.3364182634"," 0.151440897","-0.112724108"," 5.127875e-01","-0.0243415011"," 0.67751398","-0.0471356010","-1.081005648","-0.639373929"," 0.714559872"," 0.157947241"," 0.188657510"," 1.103982619"," 0.207601080"," 0.457207086","-1.099107988","-1.0490072368"," 0.621936392","-0.07316901",5,4,"Staurosporine"
"Staurosporine_H2"," 0.132678321"," 0.424432971"," 0.4797870090"," 0.540909358"," 0.4642365568","-0.924414276"," 0.2617060543"," 0.166149980"," 0.349711550"," 0.477692454","-0.2651529450","-1.0736721412"," 0.635636861","-0.813684540"," 0.370233242"," 0.1406071999"," 0.3376847696"," 0.275862708"," 0.657056731"," 0.635042707"," 0.171215694"," 0.017285295"," 0.002173771"," 0.504010456","-0.1373940486"," 0.861945691"," 1.237952525"," 0.2729347203","-0.566839326"," 0.3190363006"," 1.25066355","-0.2381817797"," 0.059368713","-0.6657257516","-1.081739e+00"," 0.183910751"," 0.026837967"," 0.134592273","-0.4647706206","-0.42127102"," 0.4211562508"," 0.032676219"," 0.289219962","-0.8229760676","-0.784022835"," 0.144078722","-0.199675919","-0.353749425"," 0.285278172"," 0.609824829"," 1.021308508","-0.011081481","-0.678905998"," 0.489175072"," 0.272991102"," 0.250673951"," 0.3786505496"," 0.317328423"," 0.021000156"," 5.792641e-02","-0.1845435482"," 0.64575449"," 0.1870706989","-1.336130921","-0.654481885"," 0.705507545","-0.002503440"," 0.159117343"," 1.340025593"," 0.511625484"," 0.485632274","-1.222026348","-1.1909913666"," 0.426785850"," 0.33914833",5,4,"Staurosporine"
"Staurosporine_H4"," 0.070029021"," 0.085399162"," 0.2779781282"," 0.153645605"," 0.2907098972","-0.797826384"," 0.3375863893"," 0.255507973","-0.014190384"," 0.057883159","-0.0771765185","-0.6320348406"," 0.150879165","-0.532256803","-0.240336131","-0.1164238096"," 0.5587106640"," 0.460182862"," 0.279819223"," 0.110866646"," 0.294460080"," 0.331399243"," 0.383418973"," 0.534219067","-0.4618153994"," 1.161689356"," 1.136284958","-0.1209858340","-0.854097290"," 0.6036769957"," 0.81664872","-0.2008295760"," 0.190361859","-0.1888429674","-8.277430e-01"," 0.568103756","-0.025575086"," 0.396871427","-0.2998992583","-0.20923508"," 0.1231651563"," 0.018109113"," 0.246538131","-0.4674614722","-0.493278346"," 0.244426466","-0.368937166","-0.273776312","-0.149159395"," 0.664313868"," 0.226353240"," 0.032359682","-0.475326381"," 0.215036657"," 0.538124241"," 0.270970535"," 0.2956434351","-0.050962039","-0.358278416"," 1.075813e-01"," 0.0606282179"," 0.39755102","-0.3821245094","-0.967642259","-0.075129010"," 0.227740534","-0.189312340","-0.260912068"," 0.953237168"," 0.020726438","-0.133268171","-0.735399870","-0.9261884920"," 0.319264401"," 0.21192037",5,4,"Staurosporine"
"Staurosporine_H6"," 0.004952358","-0.140044842"," 0.3059940113"," 0.242045873","-0.3043494746","-0.806918817"," 0.5560368841","-0.051830854"," 0.726477845"," 0.214875841","-0.1586826124","-1.0616116537"," 0.435529800","-0.881820235","-0.498057607","-0.6447141545","-0.1194090806"," 0.383746187","-0.078870589","-0.152601189"," 0.154891221","-1.441187445"," 0.331965054"," 0.151663511"," 0.1208793291"," 0.537737357"," 1.196854755"," 0.1090463732","-0.747216872"," 0.5716533422"," 1.17072821","-0.3173023326"," 0.157245306","-0.3610452682","-7.830628e-01"," 0.271892683"," 0.083337873"," 0.024419776","-0.6614805797","-0.13593043","-0.1293076525","-1.035592702","-0.295401476","-0.9961150914"," 0.103625545","-0.429865893","-0.356919544","-0.252464474"," 0.553467512","-1.040388967"," 0.393991919"," 0.341960660","-0.643867048","-0.149837298"," 0.484629473"," 0.349684506"," 0.4177293111","-0.726345133"," 0.204268255"," 5.877940e-01","-0.3164742993"," 0.42966816"," 0.0460219198","-1.140527846","-0.459016158"," 0.112646604","-0.085121963"," 0.127547933"," 0.398353142"," 0.701142172"," 0.032626463","-1.182598426","-1.0869873757"," 0.279204740"," 0.76930610",5,4,"Staurosporine"
"Staurosporine_H8"," 0.061963673","-0.214399778"," 0.1557445791"," 0.043484320"," 0.3899064198","-0.742986838"," 0.3198252662","-0.033683738"," 0.278448001","-0.028560443","-0.0580960128","-0.4289553964","-0.082531898","-0.560651475"," 0.769032497"," 0.0522798288","-0.2655547395","-0.459116387"," 0.159155708"," 0.279563116"," 0.173383203"," 0.240194830"," 0.115248314","-0.257051900"," 0.3388174101"," 0.303479340"," 0.673566141"," 0.0008764602","-0.851538678"," 1.1423076607"," 0.94778864","-0.0588640900","-0.366620721","-0.1497320255","-2.587804e-01"," 0.583408874","-0.641359875"," 0.018263401","-0.6109407394"," 0.72800398","-0.3384177957"," 0.219941083"," 0.052918418","-0.7225626017","-0.186654265"," 0.111421384","-0.492691210","-0.885241049"," 0.390404870"," 0.769916009"," 0.035410037"," 0.260022645","-1.387439523","-0.061848180"," 0.538611887"," 0.602222545"," 0.0240743302","-0.129192750","-0.336397912"," 9.808222e-02"," 0.2933269556"," 0.47270778"," 0.0625030871","-1.104322484"," 0.104828261"," 0.128946823"," 0.033992027","-0.405673459"," 1.496049064"," 0.084762530","-0.105976309","-0.585252856","-0.3740082777","-0.119571629"," 0.07658413",5,4,"Staurosporine"
"Staurosporine_H10","-0.059897290","-0.185153866"," 0.1847171945","-0.347265510"," 0.5019730725","-0.464985766"," 0.4446775567","-0.044443760"," 0.523584992","-0.221322897","-0.1200797229"," 0.4723451650"," 0.011465208","-0.010115530"," 0.715472944"," 0.0014451064","-0.6000806927","-0.571493262"," 0.284765806"," 0.389966808"," 0.426504094","-0.066162873"," 0.123865594","-0.345657870"," 0.1574404118"," 0.610791571"," 0.614897123","-0.0333862342"," 0.249313607"," 1.0213495496"," 0.43913972"," 0.1563395065"," 0.518770784","-0.3735363522","-3.398417e-01"," 0.271007371","-0.421091471"," 0.126600195","-0.6568642708"," 0.24163642"," 0.0219538802"," 0.554204380","-0.138930636","-0.5259704551"," 0.621024383","-0.179099805","-0.243756199","-0.875348565"," 0.059895593"," 0.406548580"," 0.099916806"," 0.208279281","-0.750591439"," 0.074360218"," 0.366735346"," 0.596062432","-0.0429038799"," 0.269002403","-0.086324848"," 2.191226e-01"," 0.3366777758"," 0.35148928","-0.1471677285","-0.732918414","-0.010846951"," 0.110055977","-0.184007001"," 0.217867744"," 0.695956566"," 0.155517669"," 0.194455467","-0.434181768","-0.5381789368","-0.198581190","-0.19412403",5,4,"Staurosporine"
"Staurosporine_H12","-0.216564202","-0.526412894","-0.5135580511","-0.652966464"," 0.2893507778","-0.637454426"," 0.0286660334"," 0.083813251"," 0.103387676","-0.652422369"," 0.1815995783"," 0.5744567335","-0.533640508","-0.676019152"," 0.747780104"," 0.3927892183","-0.2387708216","-1.164549356"," 0.169967444"," 0.067379273"," 0.191854695","-0.072826587","-0.276232814","-0.631756226"," 0.1772746000"," 0.409261043"," 0.002388495","-0.2877096514"," 0.274416430"," 0.9498484364"," 0.76386837"," 0.6379424812","-0.580015786","-0.0761395253"," 3.467657e-01"," 0.022264381","-0.636475896"," 0.112046018"," 0.0699906836"," 0.53177605","-0.0837182870"," 0.680194680","-0.194558259"," 0.3118063998"," 0.645126482","-0.470390493","-0.843811587","-1.068382827"," 0.037412200"," 0.515278265","-0.283158347"," 0.367090334","-1.304894858","-0.811366553","-0.112048867"," 0.639333330"," 0.0502331806"," 0.117035107","-0.111286635"," 1.278239e-01"," 0.9786075894","-0.23446345","-0.4085707143"," 0.082988737","-0.694561434"," 0.034220958","-0.911710320"," 0.209473272"," 0.814524788","-0.354820438"," 0.011909157","-0.121506161","-0.6524491861","-0.600159368","-0.02173066",5,4,"Staurosporine"
"Cyclosporine_H1"," 0.368769724","-0.186668032","-0.5493278956","-0.643547286","-0.1625588006","-0.168244859","-0.0005270903","-0.275663554","-0.609683422"," 0.080849093"," 0.5078271338"," 0.2418416072"," 0.280547565"," 0.185539250","-0.128746076"," 0.8055116027"," 0.3130324283","-0.532219188"," 1.207203960","-0.007902723","-0.603237389"," 1.011293231","-0.230898091","-0.667060140","-0.3257420363"," 1.468803921","-0.534622181"," 1.0927701834","-0.549730021","-0.1496973920"," 0.01271036","-0.2280204764","-0.163520314","-0.2029452511"," 4.551929e-01","-0.056557642","-0.471443952","-0.303390755","-0.1369075659"," 0.84090836"," 0.0915364930","-0.350059504"," 1.077081427","-0.1962380558","-0.441926953","-0.016688593","-0.627219819"," 0.428755611","-1.063427845"," 0.008832909","-0.483973372","-0.231571904","-0.594195082","-0.492431777"," 0.037364330"," 0.006803604","-0.2498273747","-0.428859299"," 0.803765989"," 3.702836e-01","-0.0553646451"," 0.35800914","-0.3585328669"," 0.132391681","-0.588648464","-0.414361924","-0.089352653"," 0.480369731"," 0.098424500"," 0.322447916","-0.026874022","-0.613998531","-0.4632963493"," 0.600793009","-0.28077751",6,5,"Cyclosporine"
"Cyclosporine_H2"," 0.301373712","-0.092879603","-0.2536438966","-0.291270346","-0.1659188322"," 0.050596795","-0.1385454763","-0.074650616","-0.805358409","-0.001954956"," 0.2433021970"," 0.1150720025"," 0.222024058"," 0.315829579","-0.024315570"," 0.1683857038"," 0.2982194712","-0.344137521","-0.010400623","-0.111900045","-0.179946925"," 0.820602308","-0.134930008","-0.329289406","-0.3159018895"," 1.156333437","-0.145645502"," 0.6408176780","-0.424618242"," 0.0684388771","-0.14385907","-0.2575973797","-0.144862258","-0.0480112260"," 6.815847e-01"," 0.001231259","-0.285768714","-0.415837538","-0.0135053439"," 0.82053621"," 0.3083563964","-0.272796983"," 0.567851074","-0.2046128310"," 0.032754726","-0.087090313"," 0.167768584"," 0.281615743","-0.389414728","-0.057951481","-0.507752804","-0.162732679","-0.160384831","-0.274072932"," 0.204294988","-0.166717396","-0.3034352649","-0.021445492"," 0.570764068"," 7.810819e-02","-0.2310184599"," 0.04455787","-0.1564621043"," 0.110949573","-0.196589129","-0.361118090","-0.407375531"," 0.070969195"," 0.459256704","-0.139231055","-0.354781215","-0.409957680","-0.2625500087"," 0.122746870","-0.12035211",6,5,"Cyclosporine"
"Cyclosporine_H4"," 0.230110721","-0.201378551","-0.4266984572","-0.504302923","-0.0511834977","-0.060717685","-0.3739454678"," 0.183149329","-0.781774851"," 0.179092289"," 0.5779825913"," 0.1977665357"," 0.127090729"," 0.240021382","-0.281645022"," 0.3629084144"," 0.4241445325","-0.217843413"," 0.660655644","-0.235941012","-0.400401608"," 0.138430164"," 0.043294006","-0.435031542","-0.4532272236"," 1.733084603","-0.210581382"," 0.8456171998","-0.460035069","-0.1347496149","-0.23776087","-0.2182261493","-0.147200327","-0.1561865269","-2.903683e-02","-0.165409475","-0.356964695","-0.344848174","-0.0642509690"," 0.78003757"," 0.4062751036","-0.148700622"," 0.888138666","-0.0988884726","-0.352455773","-0.055480465","-0.306052958"," 0.206497838","-0.675505467"," 0.178704718","-0.465510978","-0.244757174"," 0.150880083","-0.398004748"," 0.209308160","-0.002305715","-0.1369560572","-0.265417593"," 0.820195897"," 3.441568e-01","-0.1400351192"," 0.15803175","-0.3053732604"," 0.069416498","-0.271476573","-0.256507295","-0.188562730"," 0.261802426","-0.054465480","-0.423583412","-0.073641472","-0.341829863","-0.2568822430"," 0.462677825"," 0.36719950",6,5,"Cyclosporine"
"Cyclosporine_H6"," 0.132608385","-0.075262884","-0.3909956274","-0.144268817"," 0.3163952224"," 0.056407880","-0.3388458662","-0.448487520","-0.729128962","-0.016427385"," 0.2820388267","-0.1222954260"," 0.324152449"," 0.158434260","-0.020309413"," 0.5384224900","-0.0255674425"," 0.003003495"," 0.986137848","-0.158285608","-0.471021731"," 0.715920002","-0.116564631","-0.184148542","-0.3053650517"," 1.378663308"," 0.038967276"," 1.0406557114","-0.599196639","-0.1703764549","-0.20493663","-0.2534679237","-0.124828474","-0.1778226264","-2.141715e-02","-0.273719238","-0.488621173","-0.154932891","-0.1132100916"," 1.52972171"," 0.2443172492","-0.621033282"," 0.718928821","-0.1404963449","-0.273096589"," 0.430375514","-0.569827522","-0.186724553","-0.197418542","-0.179366892","-0.088812782","-0.098819540","-0.076711533","-0.345859231"," 0.221932274","-0.164114950","-0.2480369305","-0.427243223"," 0.726265968"," 1.197579e-01","-0.3042739821"," 0.54563196"," 0.1324635331"," 0.039324178","-0.499047918","-0.041218086","-0.421098225"," 0.535473491","-0.121132380","-0.556345240"," 0.016606343","-0.165373616","-0.1428514247"," 1.179622773"," 0.13177850",6,5,"Cyclosporine"
"Cyclosporine_H8"," 0.451804920","-0.117020541","-0.7871716053","-0.069779677","-0.3076501231","-0.428965227"," 0.0681407066"," 0.030378331","-0.780870223"," 0.110745262"," 0.3827835299"," 0.0840684005"," 0.428883575"," 0.005714495","-0.291178406"," 0.7536653987"," 0.2592372833","-0.188023197"," 0.614465511","-0.102215329","-0.437743609"," 0.887189978","-0.082911938","-0.180798629","-0.2666571356"," 1.321718707","-0.049188646"," 1.1703130968","-0.387107064","-0.2591310242","-0.05772741","-0.0466821396"," 0.020854804","-0.5078058901"," 1.488347e-01","-0.473423386","-0.371833631","-0.239723807","-0.0796971217"," 1.00824053"," 0.3446686744","-0.765208036"," 1.157288984"," 0.0664842334","-0.345510240"," 0.210262294","-0.328882771"," 0.279610676","-0.767435430"," 0.175990015","-0.268585894"," 0.199824997","-0.008102426","-0.222297417"," 0.242647261","-0.212382303","-0.1025562415","-0.137160585"," 0.744241025"," 1.795227e-01","-0.1137695740"," 0.67345755"," 0.0001095511"," 0.027307867","-0.694455205","-0.169778101","-0.139183686"," 0.399807889"," 0.127263089","-0.347095179","-0.235779271"," 0.021863812","-0.3928775942"," 0.746654584"," 0.11638677",6,5,"Cyclosporine"
"Cyclosporine_H10"," 0.420260927","-0.107083905","-0.3391801897","-0.207675945"," 0.0100631278","-0.041466264","-0.0173362178","-0.102578768","-0.696164061"," 0.072310937"," 0.5662835543","-0.0496415135"," 0.206841976","-0.019419783","-0.138223968"," 0.5832018373"," 0.3814850815","-0.059117632"," 0.064715098","-0.434978597","-0.243529239","-0.888085043","-0.076127985","-0.156474425","-0.4388602734"," 1.165527244","-0.087875929"," 0.6461328826","-0.485703465","-0.3704003404","-0.16879826","-0.1233335235","-0.056573572","-0.2216285274"," 1.338874e-01","-0.098025346","-0.201801045","-0.443200059","-0.0126744695"," 0.29061787"," 0.1906254695","-0.317785538"," 0.754145881"," 0.0214493260","-0.450516598"," 0.030080617"," 0.271002794","-0.041494484","-0.514321947"," 0.076668189","-0.310342083"," 0.215657214","-0.047044822"," 0.022753410"," 0.379874665","-0.095238741","-0.3945122061","-0.263905549"," 0.269536950"," 1.015369e-01","-0.0997282845"," 0.21049606","-0.4373431801"," 0.258721246","-0.634811173","-0.291924268","-0.027095540"," 0.408868329"," 0.118618083","-0.121450279","-0.289925212","-0.046446474","-0.2785156626"," 0.561609441"," 0.09215938",6,5,"Cyclosporine"
"Cyclosporine_H12"," 0.307436088","-0.105322297","-0.2355470781","-0.363733316","-0.3929468725"," 0.039641491","-0.3974784541","-0.116577384","-0.625692700"," 0.169758974"," 0.4918307515"," 0.1516904722"," 0.296347311"," 0.069698869","-0.293779659"," 0.4542511818"," 0.2290336972","-0.342742577"," 0.223141956","-0.098164536","-0.301788877"," 0.787684362","-0.040945058","-0.309144764","-0.4750854462"," 1.645456257","-0.138901274"," 1.0472640836","-0.450294739","-0.2496763032","-0.23883171","-0.2968770674","-0.073384969","-0.0983098309"," 2.280839e-01","-0.057432346","-0.091274235","-0.531700826","-0.0141846338"," 0.79002524"," 0.1095067433","-0.345809057"," 0.909489570","-0.0091972990","-0.211894162","-0.157297061","-0.105592643"," 0.086700881","-0.455576091"," 0.012996657","-0.395091529","-0.231890509"," 0.046169472","-0.198763739"," 0.319921066","-0.224863047","-0.2884829889","-0.130535161"," 0.288513537"," 3.290546e-02","-0.2393163659"," 0.20801773","-0.3521057173"," 0.117096079","-0.591677085","-0.318082375"," 0.747687820"," 0.101832194"," 0.183516587","-0.373806291","-0.371385447","-0.241569272","-0.0018244328"," 0.563318741"," 0.15931013",6,5,"Cyclosporine"
"Cyclosporine_H14"," 0.528734817","-0.153617292","-0.4464169400","-0.203897861","-0.2827453512","-0.072540856","-0.2246667634","-0.186069463","-0.621857459","-0.032396804"," 0.5043612289"," 0.4651765554"," 0.377279651","-0.048899230"," 0.170746347"," 0.4868181551"," 0.5297607021","-0.292733490","-0.265849434","-0.177195054","-0.322291559"," 0.634491646"," 0.045205538","-0.486115316","-0.5225387117"," 1.516203183","-0.056244331"," 0.8334878405","-0.591296977","-0.2596939045"," 0.00300129","-0.2130406814"," 0.026735266","-0.3340917720"," 1.284038e-02","-0.242936526","-0.132529915","-0.081914273"," 0.0381844895","-0.29178863"," 0.0776350408","-0.604063051"," 0.938848317","-0.1726178632","-0.422628335","-0.034931189","-0.115636988","-0.036314951","-0.559113190"," 0.302156075","-0.033999459"," 0.064857129","-0.081840745"," 0.035288272"," 0.499326958","-0.019739670","-0.3487963060","-0.217616148","-0.577474422"," 2.966969e-02","-0.2521744762"," 0.32156310","-0.2565025271"," 0.089307946","-0.276714414","-0.512289122"," 0.057097767"," 0.469519883","-0.122956804","-0.237836777","-0.234843336","-0.017603580","-0.0560219689"," 0.440593428"," 0.16779295",6,5,"Cyclosporine"
"Colchine_H1","-0.105673326","-0.114105789","-0.2224055758","-0.371096125"," 0.1727433159"," 0.462048410"," 0.4528711799"," 0.198840944","-0.620774812","-0.123587202","-0.0871893776"," 0.0378423338"," 0.227746087","-0.092247237","-0.218961137"," 0.2467293061"," 0.4411756933"," 0.043290847"," 0.047867413","-0.611689407","-0.269873575","-0.195846122"," 0.053869366","-0.259148708"," 0.3687693052"," 0.489438438","-0.141840555"," 0.5325770829"," 0.171546114"," 0.0283552855","-0.21153986"," 0.3927940856","-0.237450158","-0.4904694396","-3.944865e-02"," 0.009957927"," 0.079060912"," 0.250704367","-0.0224941301"," 0.10269607"," 0.5396383528","-0.344198877","-0.092827463"," 0.0631308532"," 0.286665020"," 0.214717362"," 0.235453545"," 0.263162245"," 0.580927888","-0.037717100","-0.226383989"," 0.154979803","-0.196777767","-0.095195426"," 0.124370121","-0.021935793"," 0.1062068834"," 0.238573894"," 0.257512880"," 3.159327e-01","-0.3692140454"," 0.32814474","-0.1613477293"," 0.079003030","-0.028682864","-0.119486166"," 0.603751339"," 0.315415967","-0.402684074"," 0.009170612"," 0.298366829"," 0.152756594","-0.3739392399","-0.074746406"," 0.28824489",7,6,"Colchine"
"Colchine_H2","-0.062508419","-0.227446560"," 0.0021557398","-0.056443619"," 0.2277454753"," 0.007970343"," 0.0430039228","-0.020134999","-0.139124810","-0.147223424"," 0.1066385780","-0.0833811525","-0.092505228","-0.309328141"," 0.020436322"," 0.2619593648"," 0.0139096155","-0.037962081"," 0.459418693"," 0.177260713"," 0.012438173","-0.252976418","-0.079970477"," 0.041000649"," 0.1453512720"," 0.023180707","-0.199229659"," 0.6331612858"," 0.019691425","-0.1390729796","-0.02230266"," 0.2437528582","-0.122728100","-0.1261524201","-1.145368e-01"," 0.012236324"," 0.091771746"," 0.098697533","-0.0325424682"," 0.08665765"," 0.2397125382","-0.114814631"," 0.101228047"," 0.2081927418"," 0.069288376"," 0.060881760"," 0.386662468","-0.098539544"," 0.482748675","-0.075319907","-0.141251816"," 0.138898276"," 0.109063019","-0.219600727","-0.074421924"," 0.038213757"," 0.3841286130"," 0.290097017"," 0.190288363"," 3.465024e-01","-0.2197578773"," 0.01323937","-0.0687264322","-0.022960508","-0.014569681"," 0.097604236"," 0.182258736"," 0.019483183","-0.167050297","-0.050006373"," 0.091614678","-0.005235923","-0.1121759931"," 0.047672213"," 0.02589517",7,6,"Colchine"
"Colchine_H4","-0.001943864","-0.127412700","-0.1608943753"," 0.019376368","-0.0480541531","-0.190548201"," 0.1419696071"," 0.123759835","-0.257673193","-0.090647149"," 0.2624733542","-0.0285508915","-0.043942423","-0.123162223","-0.124935445","-0.0093554048","-0.0288500812"," 0.266735401"," 0.382663256","-0.096879777","-0.221143249","-0.391630702"," 0.060325991"," 0.159456490","-0.0660763624"," 0.340624945","-0.039350692"," 0.7165530323","-0.401212685"," 0.1591467501"," 0.22523318"," 0.1966023948","-0.008515589"," 0.0509103930","-1.357577e-01","-0.010256706"," 0.125608230"," 0.246252502","-0.0641849422"," 0.07849881"," 0.2454836022"," 0.063272767","-0.034487899"," 0.0001920367"," 0.458122462","-0.070824115"," 0.158474225"," 0.094749696"," 0.049852150","-0.079003072","-0.104830158","-0.203245626","-0.122923683","-0.030072345"," 0.167243319"," 0.073469499"," 0.3141391489"," 0.234459037","-0.073962003"," 1.613721e-01","-0.0882998317"," 0.02199396","-0.0388800825"," 0.092485672","-0.291973657"," 0.094226716","-0.064943306"," 0.012399944"," 0.022863444"," 0.008716127","-0.116210192"," 0.164864763","-0.1974441942"," 0.230487081"," 0.06155435",7,6,"Colchine"
