X;CycTP1;CycTP1.2;CycTP2;CycTP3;CycTP3.2;CycTP4;CycTP5;CycTP5.2;CycTP6;CycTP1c;CycTP1.2c;CycTP2c;CycTP3c;CycTP3.2c;CycTP4c;CycTP5c;CycTP5.2c;CycTP6c
PF3D7_0913400;0.513016305;0.377989101;0.552884552;-0.092251446;-0.317205734;0.293011416;-0.505063418;-0.284034072;-0.16215353;-1.043276814;-0.786301113;-0.73581708;-0.614381404;-0.690330615;-0.127093195;0.13939448;0.043689802;-0.430440473
PF3D7_0913800;0.354267695;0.358800652;1.021270781;2.179104243;2.243256701;1.78265941;0.665746993;1.233856888;1.12069564;1.129234654;0.560008617;1.245048704;2.081727658;1.658415236;1.709984449;1.894290839;2.690761079;1.2255422
PF3D7_0914100;-0.103808369;-0.266906042;0.008595027;-0.367882513;-0.305082144;-0.376377994;-0.666793553;-0.333484751;0.121517713;-0.29295937;-0.030449081;-0.036576982;0.020203942;0.310700603;-0.037517877;0.805927751;0.169889608;0.004914312
PF3D7_0914200;-0.17887998;-0.209676687;-0.247015682;-0.18596872;-0.272436088;-0.151627327;-0.1855444;-0.228486919;-0.3701399;-0.070212041;-0.226126081;-0.061581797;0.215056242;0.200539414;0.495259459;0.640722111;0.765559106;0.517533382
PF3D7_0914300;-0.631701095;-0.7389633345;-0.565671595;-0.8219731625;-0.716336731;-1.008792998;-0.5766707015;-0.5489778775;-0.625412607;-0.224486281;-0.0846224995;-0.0663230265;0.0249377895;-0.0563396885;-0.2543395865;0.5042635415;0.629689112;0.704688983
PF3D7_0914400;-0.56939776;-0.860515467;0.298878233;0.010885315;0.924924745;0.423914889;-0.138502864;0.181850156;0.456644666;0.022100984;0.473291961;0.462890113;0.540458883;0.728137969;0.744175153;-0.743808519;-0.85236118;-0.614606218
PF3D7_0914500;-0.978585852;-0.75704898;0.755395154;0.318327147;0.819869524;0.666667733;0.332200402;-0.001294822;0.012235945;0.553746902;0.518049413;1.62528197;0.123572319;0.417776965;-0.936286838;-0.690683669;-0.967688035;-0.393692496
PF3D7_0914700;-0.208362919;-0.190934897;-0.217590281;0.123454406;0.054569998;0.175342785;0.254694523;0.04165824;0.235503792;-0.127848962;-0.190459962;-0.156235424;-0.222975318;-0.163876342;0.180966709;0.170849686;0.275560978;0.187049118
PF3D7_0914800;1.913483524;2.236833142;2.48964387;1.788340579;2.00588914;2.03404193;1.478246768;1.159689901;1.958913606;0.030349277;0.175658632;0.511546153;-0.224627142;-0.544030622;0.42073353;-0.012096267;-0.136820254;-0.418583524
PF3D7_0914900;-0.381476611;-0.664672887;-0.931621166;-0.8711895;-1.674529731;-1.254061375;-0.957081254;-0.576799334;-0.644663557;-0.250044667;-0.292167365;-0.081850048;0.063435958;-0.183670711;-0.236485401;-0.128264846;0.248079014;-0.313100954
PF3D7_0915200;-0.581273864;-0.603061354;-0.480212247;-0.820586343;-0.53441113;-0.65562079;-0.027435161;-0.297278429;-0.266354191;-0.430528827;-0.129653697;-0.261874413;-0.320032312;-0.624455546;0.268212072;0.25191501;0.166226818;-0.024617639
PF3D7_0915300;-0.220208425;-0.454577728;-0.612594512;-0.029513471;-0.335849266;-0.503995728;0.029944703;-0.325778534;0.024483294;-0.385539965;-0.630677117;-0.52857989;-0.233541911;-0.134082809;-0.236039275;0.188477913;0.293095399;0.202331448
PF3D7_0915500;-2.528816691;-1.174772037;0.054823037;0.132853959;-0.697431957;-0.546092407;0.347535038;-0.742030858;0.003207934;0.108648312;-0.172125817;-0.334553609;-0.358624657;-0.208549312;-0.037378558;0.051091896;-0.149110845;0.27054893
PF3D7_0915700;1.018479039;0.95524241;1.140207167;1.00729961;1.168281662;1.173176863;0.833921058;1.354758527;0.893924681;0.509398194;0.329654727;0.239514641;0.101148624;0.077038944;0.656701427;0.19007708;0.358073215;-0.217537253
PF3D7_0916000;1.597703841;1.447129335;1.934643868;2.155980391;1.976576346;1.918883553;2.041407778;1.424364995;2.388297987;1.559308093;0.968658801;1.097279285;1.471987298;1.619928967;2.400007197;0.567463387;0.735359352;0.282879501
PF3D7_0916400;-0.243365843;-0.404685165;-0.433518971;-0.533793358;-0.625418358;-0.848378133;-0.502436237;-0.476485067;-0.320126617;0.47303057;0.300787786;-0.084593658;-0.008467055;0.313090636;-0.271684793;-0.025674394;0.003526963;0.029778885
PF3D7_0916600;-1.950927768;-1.836755436;-2.350517074;-2.030272301;-1.68244606;-1.976866416;-1.272613951;-1.112276704;-1.765448483;-0.035541656;-0.394855096;-0.203404967;0.246034253;0.665896529;-0.543808293;0.677825016;0.869921084;0.668589582
PF3D7_0916700;-0.570963745;-0.619822292;-0.593653856;-0.123304982;0.009635034;-0.158899682;-0.112602179;-0.081213507;-0.042367365;-0.169640682;-0.105130615;0.102290158;0.732079302;0.71461349;1.114044801;0.875532182;0.904383893;0.765486464
PF3D7_0917000;0.703241549;0.872270813;0.997320532;1.134845689;0.844414968;0.826498091;0.42928036;0.648615086;0.981568643;-0.169262135;-0.004134875;-0.269703555;-0.388830992;-0.163315897;-0.550752859;-0.303379811;-0.321542866;-0.666924091
PF3D7_0917100;-1.015938512;-1.09680748;-0.580406431;-0.924545539;-0.908887062;-1.023380049;-0.511912092;-0.178133939;-0.68822904;0.159115089;-0.104772862;0.032515067;0.217987202;0.147638939;-0.241748741;0.163110415;0.15380528;0.168797239
