"","MAL13P1.124","MAL13P1.179","MAL13P1.206","MAL13P1.262","MAL7P1.171","MAL7P1.18","MAL7P1.75","MAL7P1.94","PF07_0074","PF10_0111","PF10_0374","PF11_0079","PF11_0087","PF11_0162","PF11_0214","PF11_0260","PF11_0290","PF11_0435","PF13_0032","PF13_0095","PF13_0170","PF13_0219","PF14_0071","PF14_0112","PF14_0593","PF14_0642","PF14_0713","PF14_0730","PFA0330w","PFB0295w","PFB0920w","PFC0090w","PFC0400w","PFC0760c","PFD0470c","PFE0165w","PFE0430w","PFE0450w","PFE0815w","PFE1280w","PFE1340w","PFE1390w","PFF0200c","PFF0875w","PFF0965c","PFF1150w","PFF1280w","PFL0580w","PFL2055w","PFL2200w","D_class","Class","Compound"
"Staurosporine_H10","-0.059897290"," 0.1847171945","-0.14483590"," 0.0008938315"," 0.4446775567","-0.165419791"," 0.523584992"," 0.018961723"," 0.715472944"," 0.284765806","-0.066162873","-0.206961203"," 0.206665143","-0.345657870","-0.559848651"," 0.1574404118"," 0.610791571"," 0.614897123"," 0.249313607"," 0.43913972"," 0.705971689"," 0.518770784","-0.3735363522","-3.398417e-01"," 0.0219538802"," 0.554204380","-0.138930636"," 0.173497472"," 0.388134165","-1.5572772091","-0.179099805","-0.875348565"," 0.059895593"," 0.102206752"," 0.099916806","-0.750591439"," 0.366735346"," 0.596062432"," 0.269002403","-0.086324848"," 2.191226e-01"," 0.3366777758"," 0.35148928","-0.1471677285","-0.732918414","-0.010846951","-0.184007001"," 0.194455467"," 0.045229367","-0.19412403",5,4,"Staurosporine"
"Staurosporine_H12","-0.216564202","-0.5135580511","-0.95238872"," 0.6171378025"," 0.0286660334","-0.671407232"," 0.103387676","-0.489143552"," 0.747780104"," 0.169967444","-0.072826587"," 0.059223269"," 0.826463255","-0.631756226","-0.417168826"," 0.1772746000"," 0.409261043"," 0.002388495"," 0.274416430"," 0.76386837"," 0.480316870","-0.580015786","-0.0761395253"," 3.467657e-01","-0.0837182870"," 0.680194680","-0.194558259","-0.056906788","-0.326334444","-1.2722967574","-0.470390493","-1.068382827"," 0.037412200","-0.322793889","-0.283158347","-1.304894858","-0.112048867"," 0.639333330"," 0.117035107","-0.111286635"," 1.278239e-01"," 0.9786075894","-0.23446345","-0.4085707143"," 0.082988737","-0.694561434","-0.911710320"," 0.011909157","-0.145843712","-0.02173066",5,4,"Staurosporine"
"Cyclosporine_H1"," 0.368769724","-0.5493278956"," 1.03618738","-0.3280190325","-0.0005270903","-0.019127933","-0.609683422","-0.562276351","-0.128746076"," 1.207203960"," 1.011293231"," 0.464967693"," 0.567738024","-0.667060140","-0.115201564","-0.3257420363"," 1.468803921","-0.534622181","-0.549730021"," 0.01271036"," 0.579388199","-0.163520314","-0.2029452511"," 4.551929e-01"," 0.0915364930","-0.350059504"," 1.077081427","-0.387086292"," 0.178437305","-0.3365286350","-0.016688593"," 0.428755611","-1.063427845"," 0.698488690","-0.483973372","-0.594195082"," 0.037364330"," 0.006803604","-0.428859299"," 0.803765989"," 3.702836e-01","-0.0553646451"," 0.35800914","-0.3585328669"," 0.132391681","-0.588648464","-0.089352653","-0.026874022"," 1.822190523","-0.28077751",6,5,"Cyclosporine"
"Cyclosporine_H2"," 0.301373712","-0.2536438966"," 0.56889482","-0.1620489114","-0.1385454763","-0.111764606","-0.805358409","-0.350511621","-0.024315570","-0.010400623"," 0.820602308"," 0.623298879","-0.021392405","-0.329289406"," 0.246462681","-0.3159018895"," 1.156333437","-0.145645502","-0.424618242","-0.14385907"," 0.027800614","-0.144862258","-0.0480112260"," 6.815847e-01"," 0.3083563964","-0.272796983"," 0.567851074","-0.347906550"," 0.058902783","-0.1286670860","-0.087090313"," 0.281615743","-0.389414728"," 0.692894929","-0.507752804","-0.160384831"," 0.204294988","-0.166717396","-0.021445492"," 0.570764068"," 7.810819e-02","-0.2310184599"," 0.04455787","-0.1564621043"," 0.110949573","-0.196589129","-0.407375531","-0.354781215"," 1.021442272","-0.12035211",6,5,"Cyclosporine"
"Cyclosporine_H4"," 0.230110721","-0.4266984572"," 0.86984930","-0.2938187987","-0.3739454678","-0.258404993","-0.781774851","-0.402702353","-0.281645022"," 0.660655644"," 0.138430164"," 0.567973954","-0.807298316","-0.435031542"," 0.070179988","-0.4532272236"," 1.733084603","-0.210581382","-0.460035069","-0.23776087"," 0.413768312","-0.147200327","-0.1561865269","-2.903683e-02"," 0.4062751036","-0.148700622"," 0.888138666","-0.705967453","-0.065232826","-0.1753244545","-0.055480465"," 0.206497838","-0.675505467"," 0.716722454","-0.465510978"," 0.150880083"," 0.209308160","-0.002305715","-0.265417593"," 0.820195897"," 3.441568e-01","-0.1400351192"," 0.15803175","-0.3053732604"," 0.069416498","-0.271476573","-0.188562730","-0.073641472"," 1.575244678"," 0.36719950",6,5,"Cyclosporine"
"Cyclosporine_H6"," 0.132608385","-0.3909956274"," 1.12425231","-0.3631734960","-0.3388458662","-0.152834744","-0.729128962","-0.423831972","-0.020309413"," 0.986137848"," 0.715920002"," 0.353732952"," 0.204068021","-0.184148542"," 0.560326917","-0.3053650517"," 1.378663308"," 0.038967276","-0.599196639","-0.20493663","-0.237414492","-0.124828474","-0.1778226264","-2.141715e-02"," 0.2443172492","-0.621033282"," 0.718928821","-0.298503135","-0.014608490","-0.3400793290"," 0.430375514","-0.186724553","-0.197418542"," 0.642612011","-0.088812782","-0.076711533"," 0.221932274","-0.164114950","-0.427243223"," 0.726265968"," 1.197579e-01","-0.3042739821"," 0.54563196"," 0.1324635331"," 0.039324178","-0.499047918","-0.421098225"," 0.016606343"," 1.194052334"," 0.13177850",6,5,"Cyclosporine"
"Cyclosporine_H8"," 0.451804920","-0.7871716053"," 1.09498767","-0.4097935683"," 0.0681407066"," 0.034053602","-0.780870223","-0.764609094","-0.291178406"," 0.614465511"," 0.887189978"," 0.177384511"," 0.291342553","-0.180798629","-0.232132139","-0.2666571356"," 1.321718707","-0.049188646","-0.387107064","-0.05772741"," 0.448957390"," 0.020854804","-0.5078058901"," 1.488347e-01"," 0.3446686744","-0.765208036"," 1.157288984","-0.187916771"," 0.388388494","-0.3418191253"," 0.210262294"," 0.279610676","-0.767435430"," 0.903940835","-0.268585894","-0.008102426"," 0.242647261","-0.212382303","-0.137160585"," 0.744241025"," 1.795227e-01","-0.1137695740"," 0.67345755"," 0.0001095511"," 0.027307867","-0.694455205","-0.139183686","-0.235779271"," 0.496306934"," 0.11638677",6,5,"Cyclosporine"
"Cyclosporine_H10"," 0.420260927","-0.3391801897"," 0.68234926","-0.2534188556","-0.0173362178","-0.141954576","-0.696164061","-0.444600635","-0.138223968"," 0.064715098","-0.888085043"," 0.419796554"," 0.442125233","-0.156474425"," 0.069506692","-0.4388602734"," 1.165527244","-0.087875929","-0.485703465","-0.16879826"," 0.373311854","-0.056573572","-0.2216285274"," 1.338874e-01"," 0.1906254695","-0.317785538"," 0.754145881","-0.438911970"," 0.168101394","-0.2737580468"," 0.030080617","-0.041494484","-0.514321947"," 0.646114459","-0.310342083","-0.047044822"," 0.379874665","-0.095238741","-0.263905549"," 0.269536950"," 1.015369e-01","-0.0997282845"," 0.21049606","-0.4373431801"," 0.258721246","-0.634811173","-0.027095540","-0.289925212"," 0.942643200"," 0.09215938",6,5,"Cyclosporine"
"Cyclosporine_H12"," 0.307436088","-0.2355470781"," 0.76569290","-0.3534521808","-0.3974784541","-0.027635873","-0.625692700","-0.409933053","-0.293779659"," 0.223141956"," 0.787684362"," 0.475463730"," 0.072127788","-0.309144764"," 0.271409832","-0.4750854462"," 1.645456257","-0.138901274","-0.450294739","-0.23883171"," 0.235594843","-0.073384969","-0.0983098309"," 2.280839e-01"," 0.1095067433","-0.345809057"," 0.909489570","-0.612866125"," 0.110580701","-0.4135848546","-0.157297061"," 0.086700881","-0.455576091"," 0.797861042","-0.395091529"," 0.046169472"," 0.319921066","-0.224863047","-0.130535161"," 0.288513537"," 3.290546e-02","-0.2393163659"," 0.20801773","-0.3521057173"," 0.117096079","-0.591677085"," 0.747687820","-0.371385447"," 1.271568136"," 0.15931013",6,5,"Cyclosporine"
"Cyclosporine_H14"," 0.528734817","-0.4464169400"," 0.67482146","-0.4641640930","-0.2246667634"," 0.039200342","-0.621857459","-0.637665569"," 0.170746347","-0.265849434"," 0.634491646"," 0.021317453"," 0.418076491","-0.486115316"," 0.181753023","-0.5225387117"," 1.516203183","-0.056244331","-0.591296977"," 0.00300129"," 0.120255784"," 0.026735266","-0.3340917720"," 1.284038e-02"," 0.0776350408","-0.604063051"," 0.938848317","-0.133503265"," 0.411158074","-0.6357977563","-0.034931189","-0.036314951","-0.559113190"," 0.894922291","-0.033999459","-0.081840745"," 0.499326958","-0.019739670","-0.217616148","-0.577474422"," 2.966969e-02","-0.2521744762"," 0.32156310","-0.2565025271"," 0.089307946","-0.276714414"," 0.057097767","-0.234843336"," 1.084759910"," 0.16779295",6,5,"Cyclosporine"
"Colchine_H1","-0.105673326","-0.2224055758"," 0.01690747"," 0.0994814451"," 0.4528711799"," 0.403854158","-0.620774812","-0.557801375","-0.218961137"," 0.047867413","-0.195846122"," 0.002395310","-0.058918684","-0.259148708"," 0.054212609"," 0.3687693052"," 0.489438438","-0.141840555"," 0.171546114","-0.21153986","-0.284824847","-0.237450158","-0.4904694396","-3.944865e-02"," 0.5396383528","-0.344198877","-0.092827463"," 0.507413678"," 0.262904423"," 0.2867754462"," 0.214717362"," 0.263162245"," 0.580927888"," 0.101349226","-0.226383989","-0.196777767"," 0.124370121","-0.021935793"," 0.238573894"," 0.257512880"," 3.159327e-01","-0.3692140454"," 0.32814474","-0.1613477293"," 0.079003030","-0.028682864"," 0.603751339"," 0.298366829"," 0.274174556"," 0.28824489",7,6,"Colchine"
"Colchine_H2","-0.062508419"," 0.0021557398"," 0.16812422"," 0.0151746991"," 0.0430039228"," 0.101005553","-0.139124810","-0.151136628"," 0.020436322"," 0.459418693","-0.252976418","-0.102846388","-0.096524182"," 0.041000649","-0.188071545"," 0.1453512720"," 0.023180707","-0.199229659"," 0.019691425","-0.02230266","-0.042958017","-0.122728100","-0.1261524201","-1.145368e-01"," 0.2397125382","-0.114814631"," 0.101228047"," 0.146819645","-0.086705610","-0.0647755137"," 0.060881760","-0.098539544"," 0.482748675","-0.030454709","-0.141251816"," 0.109063019","-0.074421924"," 0.038213757"," 0.290097017"," 0.190288363"," 3.465024e-01","-0.2197578773"," 0.01323937","-0.0687264322","-0.022960508","-0.014569681"," 0.182258736"," 0.091614678"," 0.290492169"," 0.02589517",7,6,"Colchine"
"Colchine_H4","-0.001943864","-0.1608943753","-0.24936428"," 0.0188305716"," 0.1419696071"," 0.060784888","-0.257673193","-0.132741774","-0.124935445"," 0.382663256","-0.391630702"," 0.079767047","-0.220609961"," 0.159456490","-0.119140232","-0.0660763624"," 0.340624945","-0.039350692","-0.401212685"," 0.22523318"," 0.071737432","-0.008515589"," 0.0509103930","-1.357577e-01"," 0.2454836022"," 0.063272767","-0.034487899"," 0.053505392"," 0.148146853","-0.0825718271","-0.070824115"," 0.094749696"," 0.049852150"," 0.063331753","-0.104830158","-0.122923683"," 0.167243319"," 0.073469499"," 0.234459037","-0.073962003"," 1.613721e-01","-0.0882998317"," 0.02199396","-0.0388800825"," 0.092485672","-0.291973657","-0.064943306","-0.116210192"," 0.536493729"," 0.06155435",7,6,"Colchine"
"Colchine_H6"," 0.069135065","-0.0443723025","-0.27102785"," 0.0233595653"," 0.3169188854"," 0.020061619","-0.034641290","-0.059244819","-0.128297409","-0.026437034","-0.223963834"," 0.060222206","-0.411306302","-0.152226270"," 0.054895094"," 0.0816906106"," 0.264665444","-0.064694649","-0.055186028","-0.09144410","-0.076027027"," 0.051143917"," 0.0152668149"," 1.716051e-01"," 0.3242793308"," 0.067772953"," 0.122363745"," 0.217322592"," 0.149107142"," 0.0252398836"," 0.093067870"," 0.035809400"," 0.065437993"," 0.172686235","-0.165164784","-0.065825485"," 0.131334886"," 0.175716484"," 0.028557897","-0.150249800"," 1.294614e-01","-0.1398266728"," 0.15672787"," 0.0475669777"," 0.017804277","-0.187049967","-0.033119689","-0.055305173"," 0.069246584","-0.10073225",7,6,"Colchine"
"Colchine_H8","-0.009236766","-0.0117455532"," 0.05182466","-0.0754419346"," 0.0695576815","-0.274205889","-0.167929020","-0.063705514"," 0.053740373"," 0.732641056"," 0.295196547"," 0.146336725"," 0.014233400","-0.020071092","-0.099909009"," 0.0948203951"," 0.375007491","-0.199866208","-0.202004463"," 0.10751585","-0.125451707"," 0.041891064","-0.1276111481","-1.004836e-01"," 0.1291088501","-0.250615638"," 0.085592247"," 0.005854509"," 0.008623166","-0.1036781512"," 0.108545804","-0.329669717","-0.149065926","-0.102463432","-0.175623723","-0.063934396","-0.005619798"," 0.085612523"," 0.053488599","-0.017163281"," 9.278814e-02","-0.1677178295","-0.19097045"," 0.0761855908","-0.131461637","-0.213598050","-0.203505688"," 0.006716054"," 0.457438505","-0.07456704",7,6,"Colchine"
"PMSF_H1"," 0.013878793","-0.8655808065","-0.68370223"," 0.8409102365"," 0.1447745860"," 0.286440840"," 0.020346715"," 0.322907990"," 1.238583480","-1.468365438"," 0.346351105","-0.037918366","-1.316666834","-0.671586699"," 0.142741786","-0.5616809394"," 0.505998030"," 0.681018715","-0.676201132"," 0.52669198"," 0.423797476"," 1.042563122"," 0.2249391810","-1.967981e-01","-0.3853396094","-0.213857006"," 0.213268243","-0.540312562"," 0.102910840","-0.5792707293","-0.047314927"," 0.233900273","-0.397519460"," 0.627845984","-0.022159375"," 0.111671288"," 0.549787066","-0.220772196"," 0.849210327","-1.128535347","-6.813784e-01"," 0.4559578588"," 0.26615608"," 0.5297296592","-0.328247634","-0.781154877","-0.633311858","-0.567457243","-0.237854507","-0.31638053",8,7,"PMSF"
"PMSF_H2"," 0.055628060","-0.5273214005","-0.45443042"," 0.1443225284"," 0.3740133039"," 0.236612457"," 0.138812014"," 0.080785514"," 1.183216765","-2.171562075"," 1.168068416"," 0.074587484","-1.515529087","-0.905685405"," 0.126168345"," 0.0742949641"," 0.647614079"," 0.496598693","-0.585932285","-0.10724502","-0.079534401"," 0.874152887","-0.9226393325","-2.120510e-01","-0.3374310630","-0.466035331","-0.330167741"," 0.644419592"," 0.611443460"," 0.1617767610"," 1.125059466"," 0.517526678"," 0.434779144"," 0.789797744"," 0.106473046","-0.303479333"," 0.291365991","-0.182464897"," 1.278778446","-0.878902244","-9.508613e-01"," 0.1841113734"," 0.19613816"," 0.9048633670","-0.432690170","-0.461710281"," 0.338517793","-0.121149940","-0.478290220","-0.58087267",8,7,"PMSF"
"PMSF_H4"," 0.194715738","-0.4869777049","-0.02321564"," 0.9076468858"," 0.3531057816","-0.258359429"," 0.173249466","-0.251917863"," 1.288858803","-2.789447931"," 1.097288781"," 0.210712882","-1.174879046","-1.011182199"," 0.273905120"," 0.3451409858"," 0.742268086"," 0.482705140","-0.718913288"," 0.02910867","-0.323733170"," 1.044797156","-0.9108871143","-2.756711e-01","-0.2869777071","-0.669657889","-0.333752233"," 0.249809628"," 0.357433515"," 0.0492793828"," 1.222131837"," 0.265872499"," 0.141830135"," 0.969363820","-0.074536447","-0.692523272"," 0.231004049"," 0.030897743"," 1.283814924","-0.594384781","-6.837545e-01"," 0.3458411757","-0.18971303"," 1.2153349578","-0.456117629","-0.027607867","-0.129324679","-0.017591712","-0.980731772","-0.95044156",8,7,"PMSF"
"PMSF_H6","-0.149618302","-0.4834849047"," 0.36144176"," 0.6394142237"," 0.1747028812","-1.110344088"," 0.377813767","-0.160744062"," 1.407769836","-2.032925353"," 1.132796984"," 0.165659990","-1.126689570","-1.016796478","-0.026508760"," 0.7447600549"," 0.686568952"," 0.080226480","-0.471276742","-0.20150151","-0.442232803"," 1.024786936","-0.8888445346","-2.984704e-01","-0.1911741033","-0.436716843","-0.110369330"," 0.518036426"," 0.388392604","-0.4754485915"," 1.387706901"," 0.331242221"," 0.819085246"," 0.659723978","-0.226543278","-0.606506066"," 0.148631261","-0.148581924"," 1.258657327","-0.479191100","-5.717696e-01"," 0.3762585895","-1.00040539"," 0.3911061764","-0.503982056"," 0.506436592","-0.482136088","-0.093832314","-0.470367840","-0.42156529",8,7,"PMSF"
"PMSF_H8","-0.217755924","-0.8593286768"," 0.01537116"," 0.6255167060"," 0.5208012200","-1.290650719"," 0.121243926","-0.248640031"," 1.191626326","-1.749947951"," 1.581226832"," 0.242354532","-1.075552006","-0.885222561","-0.503457294"," 0.7823721550"," 0.015973697"," 0.069486822","-0.887603743"," 0.22409415","-0.403269429"," 0.928509579","-0.9571921312","-2.974434e-01"," 0.0007427409","-0.306027654"," 0.185427458"," 0.154235578","-0.058938429","-0.5530562006"," 1.014821499"," 0.215400599"," 0.209090511"," 0.685338591","-0.603658767","-1.153929902"," 0.194635420"," 0.002652758"," 1.543489819","-1.107823223","-5.023722e-01"," 0.5472598022","-1.32569911","-0.4517709310","-0.413146522"," 0.011263351","-1.400104925","-0.847076898"," 0.289388369","-0.66300778",8,7,"PMSF"
"Leupeptine_H1","-0.079025754"," 0.0604225251","-0.17476520"," 0.5744502123","-0.2810750026","-0.027123961"," 0.464936975"," 0.434130753"," 0.042106324","-0.288297953","-0.226010684"," 0.194999661"," 0.202312008","-0.075027190"," 0.078226103","-0.2159496298","-0.278426928"," 0.009560744"," 0.011763522","-0.17057303"," 0.184627249"," 0.196947220"," 0.1313128969","-6.269775e-02","-0.2985637969"," 0.094436020"," 0.150481798","-0.356007187","-0.311176505"," 0.1870051928","-0.182085412","-0.443460739"," 0.144826681","-0.113305122"," 0.257631370"," 0.209893880","-0.037557568","-0.083336374","-0.023316021"," 0.126307050","-9.668333e-02"," 0.1775277546","-0.23348954","-0.1253969795"," 0.058915626","-0.141001983","-0.006631821","-0.107660943","-0.508886079","-0.12965411",9,8,"Leupeptine"
"Leupeptine_H2"," 0.023931270"," 0.0798072013"," 0.27253556","-0.1665874613","-0.0470831098"," 0.076351760","-0.002496802"," 0.094592594","-0.111183823"," 0.405609251"," 0.113985880"," 0.033938744","-0.019201157","-0.056728311"," 0.073163407","-0.5354608582","-0.131651765","-0.040666615"," 0.089535301","-0.12223433"," 0.088431545"," 0.007995550","-0.3283886120"," 9.115196e-02"," 0.0742699020"," 0.064789342","-0.187128185"," 0.067320755","-0.231262333"," 0.1474840608"," 0.123916675"," 0.170908768","-0.575705301","-0.046461523"," 0.006241156"," 0.074103703","-0.134619079","-0.117749187"," 0.124985007","-0.208195801"," 1.138322e-01","-0.0248339096","-0.08541856","-0.1738713959"," 0.024196257"," 0.009207985"," 0.119386756","-0.067905674"," 0.115439701"," 0.22892063",9,8,"Leupeptine"
"Leupeptine_H4"," 0.100219197"," 0.1098522652","-0.05121864"," 0.4648729817"," 0.1501842861","-0.048883045","-0.037453219"," 0.068868902","-0.054242586","-0.293669141","-0.095506849"," 0.043142975"," 0.229610418","-0.114615944"," 0.066063265"," 0.1046713095"," 0.045566372","-0.049532552","-0.039923309","-0.06202353","-0.176151747","-0.129306597","-0.0014141807"," 1.802715e-02"," 0.0959318523","-0.268151269","-0.068776774","-0.057704724","-0.009328808"," 0.0664024264","-0.023859935","-0.358390374","-0.302374262"," 0.112393993"," 0.022896513","-0.505474079","-0.166425080"," 0.004063342","-0.374897333"," 0.280125142"," 2.043670e-01"," 0.1213873140"," 0.05261353"," 0.2371580502"," 0.015076165"," 0.283789027","-0.246638523"," 0.091015400","-0.049174246","-0.26532660",9,8,"Leupeptine"
"Leupeptine_H6","-0.168978494"," 0.2770947071"," 0.19712522","-0.1208444110","-0.1745421543","-0.114437687"," 0.113847364","-0.050500882"," 0.368045164"," 0.129108343"," 0.243379444","-0.169348358"," 0.023427255","-0.015578424","-0.083179374"," 0.2293748971","-0.165383742","-0.144924486","-0.111428992","-0.38552440"," 0.109050861","-0.142142558"," 0.1649988759","-3.413696e-02","-0.0038516928"," 0.077802019","-0.091035227"," 0.093700151","-0.104404150"," 0.1904089114"," 0.241644300","-0.087327106"," 0.375409104"," 0.007723352"," 0.092533088","-0.075754675"," 0.050982547","-0.097121445"," 0.103713924"," 0.297329747"," 1.902629e-01","-0.0031575090","-0.03851279"," 0.0385103025","-0.182565572"," 0.104247249"," 0.053084497"," 0.239761183","-0.003265196","-0.14318042",9,8,"Leupeptine"
"Leupeptine_H8"," 0.032937468"," 0.0706460299"," 0.12714112","-0.7502315264"," 0.2682663271"," 0.218587301","-0.163659941","-0.257912843"," 0.055631488","-0.227081896"," 0.648959874"," 0.025498669","-0.047157232","-0.013311341"," 0.197565817"," 0.4307607040","-0.147977413","-0.088112624"," 0.073115548"," 0.05211846","-0.108014845","-0.087725629","-0.0385529163"," 1.900207e-01"," 0.0990607982","-0.030471101"," 0.056235935"," 0.141698460"," 0.126338194"," 0.2458287316"," 0.106537645","-0.035508815"," 0.466169763"," 0.178023307","-0.169654088"," 0.001885840"," 0.044496629"," 0.122458863"," 0.041113346"," 0.017381346"," 1.617132e-02","-0.0579086225"," 0.38547365"," 0.0895779402"," 0.012597922"," 0.128860601"," 0.099630781"," 0.061560543"," 0.270753842"," 0.09696071",9,8,"Leupeptine"
"Apicidin_H1","-0.046033850","-0.0881573383"," 0.42361232","-0.3154575788","-0.1830691991"," 0.114728596","-0.507256508","-0.071498436"," 0.242785634"," 0.148722433","-0.131452895"," 0.076515254","-0.210016771"," 0.084178477"," 0.130117237"," 0.4674031756"," 0.015410802"," 0.104283317","-0.297297844","-0.05104866","-0.052550424","-0.017712779","-0.1052596231","-3.242945e-01"," 0.1464954804"," 0.228392167"," 0.053285970","-0.252879488","-0.117474977","-0.3622095485","-0.148528317"," 0.127530698","-0.060277341","-0.050693098","-0.066903068","-0.266035791"," 0.068526115"," 0.028910307"," 0.270619217","-0.700762306","-1.885653e-01","-0.0185754582"," 0.33743794","-0.4398151141","-0.133312539","-0.277841485","-0.405086355","-0.397939015"," 0.355110933","-0.18920616",10,9,"Apicidin"
"Apicidin_H2"," 0.215745718","-0.0195005799"," 0.20406740"," 0.2547604904"," 0.4626264928"," 0.047734118","-0.260759249","-0.114502437"," 0.236634669","-0.229015519"," 0.314804537"," 0.458126209","-0.249744911","-0.151742128"," 0.148910235","-0.0389088918","-0.104005323"," 0.091668301"," 0.080159086","-0.12206749","-0.156841857"," 0.073379660","-0.0550377222"," 3.430892e-01","-0.1457992080","-0.167280887"," 0.191614116"," 0.261053465"," 0.275333976","-0.0072568233"," 0.326849676","-0.089903050"," 0.075640394"," 0.173504492"," 0.037297439","-0.518243183"," 0.146867027","-0.044884748","-0.114568438","-0.448306384","-2.933373e-01","-0.0942510290"," 0.21271822"," 0.0284447905"," 0.186491911"," 0.155583447","-0.080492227","-0.181426958","-0.718619129","-0.18192323",10,9,"Apicidin"
"Apicidin_H4"," 0.005308789"," 0.0849241520","-0.13910695","-0.1828143805","-0.2087089921"," 0.130322138","-0.077536214"," 0.109702520"," 0.094283243","-0.180494530"," 0.250165992","-0.057676197","-0.029059499","-0.030424441","-0.416019753","-0.1391106407"," 0.100289782","-0.085182245","-0.130977237","-0.08977964","-0.201900729","-0.017546498"," 0.1215062233"," 1.301230e-02","-0.1129622555"," 0.165083977","-0.004785416"," 0.123936555","-0.040423117","-0.0822091910"," 0.110926756","-0.020240747"," 0.350524429","-0.183721735","-0.074621160","-0.082396778","-0.047230190","-0.168498746","-0.102194071","-0.059043307"," 1.604439e-01"," 0.0527930376"," 0.14803317"," 0.0645282394","-0.102629367"," 0.200066856","-0.276712990","-0.183404060","-0.001836344","-0.04527142",10,9,"Apicidin"
"Apicidin_H6","-0.105196653","-0.0525535891","-0.01944052","-0.0702033636","-0.0231290027"," 0.006989802","-0.029973865","-0.065671457"," 0.220233033"," 0.014706495"," 0.279001233","-0.001125017","-0.094047854","-0.125149066"," 1.131814675"," 0.1395551754","-0.150614554"," 0.135858721","-0.104605443","-0.18771464","-0.213882250"," 0.190832513","-0.0399032780"," 1.401918e-01","-0.1511904127"," 0.101604314","-0.134150437"," 0.142778478"," 0.182537076","-0.1289390302"," 0.107428843","-0.031295548"," 0.215284460"," 0.008527172"," 0.182729994"," 0.090229931"," 0.145619452","-0.001723909"," 0.135301087","-0.123570486","-7.020620e-02"," 0.1045997672"," 0.08162083","-0.1452639832","-0.037404738"," 0.094902201"," 0.272564577","-0.208241097"," 0.110957224","-0.15976894",10,9,"Apicidin"
"Apicidin_H8","-0.131313769","-0.1424497827"," 0.12274900","-0.0779911548","-0.1875190878","-0.125623344"," 0.159624803"," 0.184310716"," 0.319424441"," 0.181936556"," 0.230931288","-0.104200339","-0.006186513"," 0.012362449","-0.333593246"," 0.0786439916"," 0.119365472","-0.123432942","-0.092455228","-0.09292746","-0.238037988"," 0.072349229"," 0.1711529313","-5.598409e-02","-0.1815397412","-0.054461980","-0.032942726"," 0.271043085"," 0.074236539","-0.0490340083"," 0.058393614","-0.218918297"," 0.237866961","-0.154298466"," 0.103852354"," 0.089811497","-0.019410451","-0.090406174"," 0.087644066","-0.040370108","-2.362202e-05"," 0.0969549785","-0.10529933"," 0.0513564785","-0.072419726","-0.066848241"," 0.096196841","-0.160202600"," 0.341904636","-0.12274735",10,9,"Apicidin"
"Apicidin_H10"," 0.050572731"," 0.0359040521","-0.05410608"," 0.2314391797"," 0.1314587904","-0.012127554"," 0.008425785","-0.206093274"," 0.150645252"," 0.059671706"," 0.090051272"," 0.067657865"," 0.183518252","-0.193718903","-0.041265127"," 0.3566325947","-0.015198068","-0.065788933","-0.118111188","-0.15576070","-0.285106996","-0.089534244","-0.1981675448","-3.841074e-02","-0.1207184423","-0.024515086"," 0.111765351"," 0.426237327"," 0.142390911","-0.0457604799"," 0.081589717"," 0.062309463"," 0.570294749","-0.035432698"," 0.161880119","-0.177403534"," 0.011270195","-0.052848637"," 0.183088465"," 0.110033826","-1.080900e-01","-0.0142179182"," 0.08694159"," 0.0498941053","-0.105489467"," 0.147942886"," 0.003855741"," 0.092779064","-0.210787533","-0.03990977",10,9,"Apicidin"
"Trichostatin_H1","-0.113532479"," 0.8131066103"," 0.30952096"," 0.1196125217"," 1.9755346360"," 0.865147490"," 0.139475826","-0.039739374","-0.237501485","-0.288973583"," 0.360978267","-1.104612048","-1.262049862"," 0.561382375","-0.744807693"," 0.2202865822"," 0.450136760","-0.860415732","-0.166945442","-0.52252414","-0.416770464","-0.356016492","-0.0000849478"," 2.828524e-01"," 0.3948900805"," 0.543850093"," 0.341063698"," 0.381839680","-0.841884063","-0.6840301569"," 1.548535141"," 0.238246240"," 0.473590755"," 0.298571687","-0.158379350"," 0.631451768","-0.210933914","-0.475998453"," 0.949277098","-1.676235367"," 1.136699e-01"," 0.4418826427"," 0.71826027"," 0.0552648001","-1.244880386"," 0.323096289","-0.279065539","-0.116628978","-0.125900515"," 0.41754605",11,10,"Trichostatin"
"Trichostatin_H2"," 0.099077134"," 0.7689178886","-0.02132999","-0.3709153519"," 2.8368953993"," 0.698739963","-0.476537875","-0.263306821","-0.621181831"," 0.065360575"," 0.934568862","-0.091840857","-0.739966326","-0.270236277","-0.431039343","-0.5500367302"," 0.559728626","-0.263984959","-0.265563014","-0.51727144"," 0.131435559"," 0.117143138","-0.1822807584"," 7.280272e-01"," 0.0576586587","-0.808440612"," 0.526275690"," 0.902558842","-0.821939690"," 0.8738835437"," 0.785116875"," 0.009895266"," 0.109453787"," 0.278944485","-0.198136259"," 0.984914100"," 0.196031156","-0.973111035"," 0.718997043","-1.271546201","-3.359968e-01","-0.2059178775"," 0.23367988"," 0.4855152817","-0.996236575"," 0.629706344","-0.065911345","-0.661674786","-1.025849582","-0.10875262",11,10,"Trichostatin"
