"","MAL13P1.124","MAL13P1.179","MAL13P1.206","MAL13P1.262","MAL7P1.171","MAL7P1.18","MAL7P1.75","MAL7P1.94","PF07_0074","PF10_0111","PF10_0374","PF11_0079","PF11_0087","PF11_0162","PF11_0214","PF11_0260","PF11_0290","PF11_0435","PF13_0032","PF13_0095","PF13_0170","PF13_0219","PF14_0071","PF14_0112","PF14_0593","PF14_0642","PF14_0713","PF14_0730","PFA0330w","PFB0295w","PFB0920w","PFC0090w","PFC0400w","PFC0760c","PFD0470c","PFE0165w","PFE0430w","PFE0450w","PFE0815w","PFE1280w","PFE1340w","PFE1390w","PFF0200c","PFF0875w","PFF0965c","PFF1150w","PFF1280w","PFL0580w","PFL2055w","PFL2200w","D_class","Class","Compound"
"ACTTP5","-0.027316587"," 0.3110504492","-0.84301290"," 0.9088081485"," 1.7589585086","-0.065142651","-0.755973024","-0.504935400","-0.329116191","-0.330549868","-0.230980675","-0.196548145"," 0.826672943","-0.222687062"," 0.315384374","-0.1171552495","-0.713872028"," 0.700895802"," 0.374782289","-0.11218169","-0.474843514"," 0.749434146","-0.0979932438"," 1.405340e-01"," 0.1124342728","-0.169054684","-0.271164784"," 1.355824243","-0.163155933","-0.1688868393","-0.113886181","-0.483878528","-0.229487896","-0.027218233"," 0.389050712","-1.641621932"," 0.507265175"," 0.523071746","-0.286613800","-1.004229432"," 1.062842e-02"," 0.0863522231"," 0.27602046","-0.7183068260","-0.338780739"," 0.213815151","-0.153506930"," 0.199079675","-0.691063453"," 0.17532678",2,2,"ACTd"
"ML_7_H1"," 0.409124218","-0.0005416435"," 0.73024941","-0.1244146313","-0.2273399040"," 0.632954151","-0.283183109","-0.262173633","-0.011927297"," 0.571617868"," 0.429883626","-0.488758760"," 0.830442205"," 0.216839594"," 0.509459074","-0.6594917718"," 0.208474426"," 0.464243833","-0.380534941"," 0.32858807"," 0.286811063","-0.651797419"," 0.0220144752","-4.451680e-01"," 0.5090079699"," 1.381613681"," 0.182821488","-1.034930999"," 0.112542775","-0.9277023397","-0.852103192","-0.144204774","-1.170097348"," 0.278858958"," 1.051945582","-0.163281493","-0.789166281","-0.328237371"," 0.307033474","-0.788327959"," 2.475465e-01","-0.5488825432","-0.11943690","-0.5270685025"," 0.036587662"," 0.268154668","-0.002444691"," 0.543334485","-0.008355227"," 0.76929046",3,3,"ML_7"
"ML_7_H2"," 0.289426667","-0.0151109074"," 1.03413592"," 0.0514703070","-0.1617336985"," 0.663620520","-0.129984659"," 0.009530188"," 0.118442476"," 0.587889281","-0.771564077","-0.606171269"," 0.972002181"," 0.155531423"," 0.321909105","-0.7273651437","-0.089542080"," 0.700419903","-0.195098816"," 0.23222129"," 0.330525932","-0.360244118"," 0.0290571433","-7.605009e-01"," 0.5832715422"," 0.554136004"," 0.493172238","-0.597597940"," 0.110777540","-1.1307077494","-0.857354611","-0.338604673","-1.202790976"," 0.318116496"," 1.357396584"," 0.289974538","-0.441921460","-0.331284288","-0.156452290","-0.981579835"," 2.405135e-01","-0.6066606283","-0.07693573","-0.2915469404"," 0.013916170"," 0.266985138","-0.452815216"," 0.478752651","-0.331524896"," 0.67288379",3,3,"ML_7"
"ML_7_H4"," 0.318901060"," 0.2964812339"," 0.91656917","-0.1430563105","-0.2058749238"," 0.275564868","-0.601936462","-0.070465804","-0.093388293"," 0.544740200","-0.073458398","-0.816578738"," 0.802190426"," 0.211657490"," 0.328421925","-0.8934721568"," 0.306688898"," 0.744104562","-0.441591622"," 0.26670151","-0.015455475","-0.342030066"," 0.1429218295","-5.905855e-01"," 0.3587773880"," 0.546061286"," 0.133268916","-0.859856909","-0.121917335","-0.9265466196","-0.864147999","-0.372847272","-1.235541646"," 0.155998063"," 0.996883997"," 0.213451872","-0.387677248","-0.303406842","-0.201303135","-0.712542990"," 4.272374e-01","-0.5577325993","-0.11370141","-0.5193108223"," 0.002945456"," 0.368240967","-0.325850227"," 0.283255920"," 0.054535993"," 0.69849072",3,3,"ML_7"
"ML_7_H6"," 0.286227967"," 0.2662182279"," 1.03802016"," 0.2423608064"," 0.0853227855"," 0.106295221"," 0.041894735"," 0.311798572","-0.580935533"," 0.220283225","-1.764416657","-0.549712449"," 0.147572239"," 0.152569113"," 0.306055111","-0.4512291488","-0.015150452"," 0.717952340","-0.279930869"," 0.42339367"," 0.536312885","-0.451319525"," 0.0497333649","-4.800860e-01"," 0.2978964138","-0.505467631","-0.182076438","-1.050083685","-0.098053448","-0.8466543611","-1.351453812","-0.319259023","-0.710279012"," 0.133272008"," 0.868033005"," 0.219724599","-0.316791699","-0.242099801","-1.021341058","-0.060022757"," 9.014643e-01","-0.9221943670","-0.11021971","-0.2440992810"," 0.104381456"," 0.278779186","-0.339529391"," 0.354230052"," 0.598337250"," 0.68136782",3,3,"ML_7"
"ML_7_H8"," 0.622939985","-0.3645635330"," 1.07607143"," 0.0373611352","-0.2757285699"," 0.557542475","-0.334271435","-0.461735523"," 0.165536393"," 0.403319084"," 0.130867043","-0.456213418"," 1.015098814"," 0.150747516"," 0.368481582","-0.9057537583","-0.083541792"," 0.325631903","-0.036647826"," 0.45864650","-0.055853861","-1.062262709","-0.2909634298","-3.493134e-01"," 0.7294473121"," 1.021705060"," 0.436365522","-1.257125588","-0.317721859","-1.0895598986","-0.848971006","-0.692163884","-1.291195056"," 0.256157391"," 1.173670548","-0.282261152","-0.363785258"," 0.012336529"," 0.017416062","-0.654274469","-1.581374e-01","-0.5785350741","-0.59523632","-0.3729004376"," 0.132604737"," 0.181241890","-0.616983869"," 0.395662710","-0.429432973"," 0.62349574",3,3,"ML_7"
"ML_7_H10"," 0.031672403"," 0.1091032431"," 0.76391411","-0.0866852967"," 0.2676309602","-0.277833182","-1.095684195","-0.472691613","-0.328343084"," 0.306431697"," 0.113031397"," 0.001412483"," 0.499226751"," 0.048759277","-0.613944606","-0.1253045338","-0.082943995"," 0.050599313"," 0.045756509"," 0.37150330"," 0.070226418"," 0.584015666","-0.2352898889","-1.912675e-01"," 0.1772376697"," 0.811057416","-0.013715842","-0.024649326","-0.121146763","-0.4534516042"," 0.079236512","-0.239386693","-0.331160969"," 0.184197782"," 0.123998360"," 0.463074033","-0.442357266","-0.174509032"," 0.196531148","-0.547102285"," 4.449116e-01"," 0.2382384539"," 0.08441433","-0.4013984341","-0.240007799"," 0.664940035","-0.536041274"," 0.330279442","-0.146350872"," 0.00460641",3,3,"ML_7"
"ML_7_H12","-0.028342590","-0.2452678539"," 0.18441603","-0.0298477317"," 0.3932845271","-0.663256937","-0.664382691","-0.576443598","-0.196534826"," 0.416217943","-0.211389295","-0.212604724"," 0.922826256","-0.076409470","-0.619337119","-0.0105086399","-0.438193967"," 0.379436571","-0.104775552"," 0.45639820","-0.003164535"," 0.036435451","-0.1995876659"," 1.234333e-01"," 0.0317914625"," 0.320529774","-0.480901590"," 0.587506623","-0.319293822","-0.2672222332"," 0.014704928"," 0.044308914","-0.069227063","-0.141513899","-0.081238093","-0.348654145","-0.616879131"," 0.067595522","-0.162205019","-0.448145872"," 4.336043e-01"," 0.3421999305","-0.04290429","-0.3772800676","-0.418539798"," 0.775359811","-0.525374507"," 0.335266933","-0.184396550"," 0.29462643",3,3,"ML_7"
"W7_H1","-0.140843916"," 0.1200263051"," 1.07372771"," 0.2895592693","-0.1900077936"," 0.141971935","-0.321159320"," 0.145640562"," 0.271906673"," 0.302822530","-0.256344861","-0.556193720"," 1.090731751"," 0.221904038"," 0.372782881","-0.2028182501"," 0.315713011","-0.037545005","-0.615600863"," 0.07777226"," 0.088545420","-0.742088287"," 0.4095480067","-1.283533e-01"," 0.2715840478"," 0.360041774"," 0.030031611","-0.625700123","-0.598702068","-0.5524961969","-0.772896776"," 0.103828210","-0.911240055","-0.418409027"," 0.064369248"," 0.310707615","-0.288785321","-0.373962589"," 0.043662861","-0.514028184"," 4.166988e-01","-0.2139118202","-0.29445186","-0.5988300845","-0.006204569"," 0.981640953"," 0.277428207"," 0.266513959"," 0.514590579"," 0.50871613",4,3,"W_7"
"W7_H2","-0.069354853"," 0.1671173559"," 1.00980174"," 0.3195365625","-0.1275046403"," 0.029343835","-0.276907741"," 0.515985536"," 0.332747932"," 0.099379211","-0.430419654","-0.567980871"," 1.241168517"," 0.039429935"," 0.144638550","-0.2479415065","-0.095179703"," 0.279203807","-0.452209575"," 0.29534199"," 0.218632665","-0.415011950"," 0.3768251942","-1.646073e-01"," 0.3404046390","-0.160511091"," 0.033753002","-0.021808266","-0.313130563","-0.6613862193","-0.928064137","-0.260154793","-0.592913182","-0.204435586"," 0.041925184"," 0.288414534","-0.307505225","-0.427203887","-0.119036174","-0.579880111","-6.024883e-01","-0.5611080404","-0.15259025","-0.3281168998"," 0.081421365"," 0.581332226"," 0.069193864"," 0.500656884"," 0.439395940"," 0.81311082",4,3,"W_7"
