X;HDATP1;HDATP1.1;HDATP2;HDATP2.2;HDATP3;HDATP3.3;HDATP1c;HDATP1c2
PF3D7_0100100;0.694333333333333;-0.557333333333333;0.6615;-1.4275;-0.127333333333333;-0.182333333333333;-0.065;-0.05525
PF3D7_0100200;-0.213;0.5;0.24;NA;0.743;0.517;0.176;0.07
PF3D7_0100300;-0.954;NA;-0.012;-0.551;-0.362;-0.3845;0.14;0.208
PF3D7_0100400;0.4065;1.142;0.26;0.2395;0.0485;0.28;NA;0.225
PF3D7_0100500;-0.466;-0.146;NA;0.27;NA;NA;NA;0.037
PF3D7_0100600;NA;-0.801;0.106;NA;NA;-0.635;NA;NA
PF3D7_0100700;-0.636;-0.409;-0.192;-0.682;-0.264;-0.256;-0.248;-0.591
PF3D7_0100800;NA;-0.653;0.337;NA;NA;NA;NA;-0.112
PF3D7_0100900;-0.437;0.246;0.297;0.552;0.042;-0.114;0.114;0.003
PF3D7_0101000;0.707;-2.106;0.406;-0.4;0.361;0.049;0.289;0.175
PF3D7_0101100;-0.052;NA;0.152;NA;NA;NA;0.329;NA
PF3D7_0101300;-0.263;0.179;0.571;0.001;-0.103;-0.352;-0.29;-0.18
PF3D7_0101400;0.614;0.034;0.371;-0.393;0.239;-0.005;-0.238;-0.211
PF3D7_0101500;-0.093;-0.356;-0.486;-0.03;0.053;-0.1325;0.239;-0.003
PF3D7_0101600;-0.216;NA;-0.238;NA;-0.264;NA;-0.362;-0.059
PF3D7_0101800;-0.301;-1.085;-0.098;-1.099;-0.264;-0.238;-0.101;-0.221
PF3D7_0101900;0.46;-0.355;NA;-0.768;-0.129;NA;0.512;NA
PF3D7_0102000;1.51;0.016;0.266;-0.03;0.034;0.315;0.026;-0.382
PF3D7_0102100;-0.496;NA;-0.455;-1.029;-0.435;-0.639;-0.211;-0.504
PF3D7_0102200;0.85;-0.192;0.5385;-0.361;-0.215;-0.187;-0.3785;0.292
PF3D7_0102300;-0.262;0.089;0.598;NA;0.005;0.077;-0.518;-0.448
PF3D7_0102400;1.087;0.469;0.952;0.391;0.59;0.185;0.418;0.287
PF3D7_0102500;0.969333333333333;0.140333333333333;0.625;0.0196666666666667;-0.322;-0.244666666666667;-1.13833333333333;0.645333333333333
PF3D7_0102600;0.407;0.269;0.638;-0.2415;-0.3745;-0.2375;0.302;0.107
PF3D7_0102700;2.806;0.943;2.488;0.608;0.734;0.876;0.212;0.465
PF3D7_0102800;-0.9455;-0.084;-0.6515;-0.0435;0.1625;0.3475;0.2355;0.212
PF3D7_0102900;-0.64;-0.18;-0.3405;-0.2325;-0.051;-0.2815;-0.37;-0.3095
PF3D7_0103000;-0.817;0.118;-0.871;0.441;0.841;0.485;0.205;-0.145
PF3D7_0103100;0.4175;0.153;0.187666666666667;-0.146333333333333;-0.289;-0.244666666666667;0.006;0.142
PF3D7_0103200;-0.2495;-0.0445;-0.138;0.059;-0.1675;-0.265;0.001;0.0575
PF3D7_0103300;-0.45;0.055;-1.3625;0.3605;0.157;0.2075;0.00600000000000001;0.0615
PF3D7_0103400;-0.579333333333333;-0.177666666666667;-0.838;0.302;-0.0243333333333333;-0.181666666666667;-0.151666666666667;0.072
PF3D7_0103500;-0.385;-0.320666666666667;-0.393666666666667;0.00633333333333334;0.0476666666666667;0.021;-0.216333333333333;0.0396666666666667
PF3D7_0103600;-0.110333333333333;-0.121666666666667;-0.471;-0.017;-0.183666666666667;-0.188666666666667;-0.101333333333333;-0.365666666666667
PF3D7_0103700;1.0995;-0.4285;0.244;0.335;0.001;0.386;0.2345;0.189
PF3D7_0103800;1.959;1.052;1.42;0.599;0.7305;0.7595;0.4795;0.6795
PF3D7_0103900;-0.8835;-0.154;-0.465;0.038;-0.0045;-0.054;-0.0115;0.2415
PF3D7_0104000;0.709;0.362;0.592;0.189;-0.081;0.083;-0.087;0.264
PF3D7_0104100;1.0425;0.2795;0.444;0.4115;0.1925;0.375;-0.236;-0.2915
PF3D7_0104200;0.081;0.1535;0.6755;0.199;0.029;-0.085;-0.234;-0.208
PF3D7_0104300;0.616375;0.108;0.196125;0.046;-0.23075;-0.170666666666667;-0.359875;-0.23
PF3D7_0104400;0.248;0.4845;0.2185;0.5525;0.5715;0.4245;0.228;0.2185
PF3D7_0104500;1.978;0.524;1.009;0.567;0.769;0.913;0.092;0.269
PF3D7_0104600;0.261333333333333;0.152333333333333;0.639333333333333;0.171666666666667;0.142666666666667;0.107;0.0333333333333333;-0.179
PF3D7_0104700;0.203;0.513;0.431;NA;0.086;0.153;0.485;0.26
PF3D7_0104800;-0.6255;0.02;-0.2185;0.27;0.446;0.431;0.1025;0.354
PF3D7_0105100;-1.061;-0.375;-0.489;-0.239;-0.39;-0.45;0.197;-0.016
PF3D7_0105200;0.7305;0.095;0.866;0.484;0.3965;0.3935;-0.0095;-0.00850000000000001
PF3D7_0105300;-0.123;0.319;0.413;0.161;0.493;0.338;0.217;0.49
PF3D7_0105400;2.111;1.068;1.958;0.812;1.274;1.211;0.247;0.815
PF3D7_0105500;-0.05;-1.119;-1.0435;-0.1705;-0.5635;-0.3865;-0.0405;-0.0335
PF3D7_0105600;0.398;-0.0225;0.4735;-0.67;-0.0405;-0.0135;0.037;-0.1755
PF3D7_0105700;1.317;0.677;1.0168;0.2952;0.185;0.0516;-0.0734;0.0744
PF3D7_0105800;-0.7765;-0.0115;-0.7075;0.0245;-0.031;-0.065;-0.128;-0.072
PF3D7_0105900;-0.2025;0.307;-0.1955;0.185;0.2445;0.156;-0.0545;-0.063
PF3D7_0106000;-0.0665;0.2535;0.2695;0.173;0.4205;0.448;-0.028;0.3185
PF3D7_0106100;-1.2375;-0.252;-0.4835;-0.7145;-0.401;-0.4895;-0.1525;-0.189
PF3D7_0106200;0.893;0.384;0.394;0.117;0.09;0.189;0.098;0.334
PF3D7_0106300;-0.074;-0.3705;-0.1305;0.0355;0.2015;0.144;0.265;0.2465
PF3D7_0106400;1.327;0.467;0.547;0.337;0.478;0.513;0.212;0.326
PF3D7_0106500;-0.677;-0.117333333333333;-0.535666666666667;0.097;-0.0943333333333333;0.0236666666666667;-0.097;-0.076
PF3D7_0106600;1.182;2.034;1.484;1.708;1.437;2.07;-0.065;1.204
PF3D7_0106700;-0.192666666666667;0.00266666666666667;-0.511;0.232333333333333;0.106666666666667;0.138666666666667;-0.108;-0.295
PF3D7_0106800;-1.124;-0.638;-1.409;-0.342;NA;-0.278;-0.179;-0.714
PF3D7_0106900;-0.9465;-0.3645;-0.618;-0.46;-0.2255;-0.6085;-0.158;-0.1145
PF3D7_0107000;-1.128;-0.43;-1.185;-0.236;-0.582;-0.35;0.082;0.193
PF3D7_0107100;-0.695;-0.41;-0.836;-0.2875;-0.424;-0.3305;0.095;0.077
PF3D7_0107200;-1.078;-0.5515;-0.7175;-0.318;-0.2595;-0.2085;-0.189;-0.333
PF3D7_0107300;1.0315;0.5535;1.154;0.5635;0.406;0.582;-0.0395;0.436
PF3D7_0107400;0.171;-0.197;-0.074;-0.115;-0.033;0.099;-0.049;-0.053
PF3D7_0107500;0.678666666666667;-0.249666666666667;0.8565;-0.351;-0.351;-0.343333333333333;0.0286666666666667;-0.26
PF3D7_0107600;1.3015;-0.2185;1.536;0.086;0.095;-0.0906666666666667;0.23;0.159
PF3D7_0107700;0.897;-0.134;0.4075;-0.0645;-0.175;-0.069;-0.0715;-0.0295
PF3D7_0107800;0.339;0.153;0.2755;0.2525;-0.092;-0.155;-0.0105;-0.0545
PF3D7_0107900;-0.135;0.115;0.049;0.079;-0.194;-0.006;0.216;-0.084
PF3D7_0108000;-0.218;-0.78;-0.643;-0.304;0.448;0.356;NA;0.42
PF3D7_0108100;-1.129;-0.2035;-0.8345;-0.113;0.0645;-0.0035;-0.137;-0.352
PF3D7_0108300;-0.416666666666667;-0.59175;-0.349666666666667;-0.20975;-0.291;-0.2705;-0.0636666666666667;-0.171
PF3D7_0108400;-1.011;-0.557;-0.655;-0.052;-0.529;-0.551;0.3;0.309
PF3D7_0108500;0.555;0.022;0.703;-0.275;0.067;0.201;-0.43;-0.261
PF3D7_0108600;-0.302;-0.225;-0.479;-0.132;-0.299;-0.204;0.392;0.114
PF3D7_0108700;0.6015;0.4285;0.0345;0.3465;0.1285;0.147;0.081;-0.0725
PF3D7_0108800;-0.368;-0.0885;0.0045;-0.1145;-0.064;-0.259;-0.11;-0.1285
PF3D7_0109000;-0.573;0.926;-0.024;0.839;1.015;0.811;-0.223;1.198
PF3D7_0109100;0.942;1.137;1.322;0.8545;1.122;1.0335;-0.254;0.299
PF3D7_0109200;0.2;0.294;-0.283;0.401;0.057;0.37;NA;-0.237
PF3D7_0109300;0.745;0.549;0.84;0.434;0.36;0.413;0.231;0.193
PF3D7_0109400;1.762;0.464;1.316;0.149;0.494;0.355;0.356;0.359
PF3D7_0109500;-1.415;-0.79;-0.848;-0.743;NA;-0.848;-0.04;-0.163
PF3D7_0109600;-0.011;-0.083;1.858;-0.925;-0.53;-0.829;-0.076;-0.002
PF3D7_0109700;0.389;0.181;0.152;0.017;0.088;0.072;0.265;-0.084
PF3D7_0109800;-0.47;-0.411;0.011;-0.3865;-0.3345;-0.1955;0.0785;-0.174
PF3D7_0109900;1.285;0.331;0.865;0.2255;0.1545;0.2005;0.255;0.5
PF3D7_0110000;0.613;0.38;0.406;0.103;0.2;-0.061;-0.107;0.082
PF3D7_0110100;-1.414;-0.4655;-1.111;-0.07;-0.2465;-0.3475;-0.2005;-0.4995
PF3D7_0110200;-2.181;-0.914;-1.842;-0.635;-0.796;-0.94;0.126;0.019
PF3D7_0110400;0.94;0.41;0.74;0.345;0.201;0.199;0.234;0.151
PF3D7_0110500;0.49325;0.20725;0.47425;-0.065;-0.088;-0.10475;-0.148;-0.229
PF3D7_0110600;0.160333333333333;0.0533333333333333;-0.202666666666667;0.143333333333333;-0.382;-0.142333333333333;-0.195;-0.406666666666667
PF3D7_0110700;0.204;-0.0965;0.1625;-0.271;0.0015;0.0895;0.042;-0.049
PF3D7_0110800;0.287;-0.021;0.164;-0.2545;-0.008;0.173;0.282;-0.543
PF3D7_0110900;-0.565;-0.265;-0.974;0.18;-0.264;-0.394;0.038;-0.196
PF3D7_0111000;1.14966666666667;0.034;0.264666666666667;0.236333333333333;0.404;0.396;-0.07;0.057
PF3D7_0111200;0.078;-0.422;-0.286;0.289;-0.194;0.125;0.601;0.659
PF3D7_0111300;-0.5745;-0.4955;-0.9515;0.057;0.3115;0.2435;0.241;-0.03
PF3D7_0111400;-0.889;-0.3405;-0.853;-0.133;-0.1975;-0.224;-0.1775;-0.261
PF3D7_0111500;-0.688;0.049;0.078;0.00600000000000001;0.148;-0.0355;0.076;0.333
PF3D7_0111600;-0.222;-1.483;-0.073;NA;-0.426;-0.46;0.289;0.001
PF3D7_0111700;-1.436;-0.368;-0.406;-0.442;-0.225;-0.251;-0.012;-0.215
PF3D7_0111800;-0.366;-0.076;-0.155;-0.194;-0.3555;-0.146;0.1695;-0.1655
PF3D7_0111900;-1.116;-0.756;-0.505;-0.96;-1.053;-0.767;-0.033;-0.438
PF3D7_0112000;-0.808;-0.6895;-0.195;-0.4535;-0.607;-0.422;-0.2565;-0.359
PF3D7_0112100;NA;-1.03;0.078;0.183;NA;-0.831;NA;0.26
PF3D7_0112200;-0.74;-0.482333333333333;0.263666666666667;-0.33;-0.0913333333333333;-0.0956666666666667;0.182;0.0463333333333333
PF3D7_0112800;1.52;0.607;1.191;NA;0.432;0.573;0.015;0.249
PF3D7_0112900;-0.07;-1.974;-0.247;-3.504;-0.652;-0.623;-0.587;-1.031
PF3D7_0113000;1.56;1.008;0.9835;0.5595;0.598;0.1615;0.0045;-0.1235
PF3D7_0113100;3.451;0.242666666666667;3.24166666666667;0.2965;0.5355;0.169;0.0526666666666667;0.023
PF3D7_0113200;-0.0025;-0.8445;-0.4145;-0.0745;0.012;0.038;0.178;0.2915
PF3D7_0113300;1.6565;0.927;1.926;0.6305;0.807;0.959;0.447;0.2305
PF3D7_0113400;3.0285;-0.522;2.968;0.151;0.611;0.82;0.115;0.145
PF3D7_0113600;1.612;NA;1.32575;NA;NA;NA;-0.239;0.4225
PF3D7_0113700;2.354;1.0145;1.999;0.093;0.262;0.1145;0.026;0.092
PF3D7_0113800;-0.273;0.094;-0.04975;-0.317;0.08975;0.142666666666667;-0.4515;-0.0852
PF3D7_0113900;0.931;0.386;0.537;0.195;0.592;0.409;0.202;0.361
PF3D7_0114000;1.5775;2.316;1.1795;1.99566666666667;0.947;1.698;-0.301;0.055
PF3D7_0114100;1.447;0.291;0.723;0.05;0.146;0.321;0.027;0.144
PF3D7_0114200;NA;NA;NA;NA;NA;NA;NA;NA
PF3D7_0114300;0.324;0.2605;0.414;-0.561;-0.0125;0.016;0.088;-0.14
PF3D7_0114400;NA;NA;0.054;NA;NA;-0.359;-1.192;0.294
PF3D7_0114500;0.363;NA;0.682;-0.088;NA;-0.015;0.058;0.052
PF3D7_0114600;NA;-0.898;-0.125;NA;NA;NA;NA;0.309
PF3D7_0114700;-0.141;-0.143;-0.134;-0.025;-0.132;-0.211;-0.136;0.124
PF3D7_0114800;NA;-0.854;NA;NA;-0.363;NA;NA;NA
PF3D7_0114900;NA;NA;0.226;NA;0.211;NA;NA;0.335
PF3D7_0115000;2.245;0.433666666666667;2.0295;-0.036;0.4475;0.349666666666667;0.180333333333333;-0.017
PF3D7_0115100;NA;NA;1.35;NA;0.847;0.729;-0.353;0.08
PF3D7_0115200;NA;NA;NA;NA;NA;NA;NA;NA
PF3D7_0115300;NA;NA;NA;NA;NA;NA;NA;0.173
PF3D7_0115400;-0.466;0.15;-0.221;NA;-0.106;-0.234;0.009;0.137
PF3D7_0115500;3.017;NA;0.5445;-0.3995;0.468;-0.1085;-0.3285;-0.461
PF3D7_0115600;0.2965;1.0945;0.585;1.204;0.1945;0.016;0.305;0.2795
PF3D7_0115700;0.361666666666667;0.224;-0.223;-0.245;0.167;0.024;0.184;-0.023
PF3D7_0200100;-0.668;NA;-0.337;NA;-0.269;-0.246;-0.138;-0.427
PF3D7_0200200;0.277;-0.201;0.342;0.095;-0.009;-0.17;0.255;0.145
PF3D7_0200300;0.722;-0.417;0.0925;-1.122;0.1395;0.196;0.094;0.036
PF3D7_0200400;0.125;-0.893;-0.032;NA;NA;-0.16;0.444;0.397
PF3D7_0200500;0.664;NA;0.088;NA;0.212;0.285;NA;1.971
PF3D7_0200600;0.601;0.00900000000000001;0.3565;0.019;-0.285;-0.439;0.05;0.4485
PF3D7_0200700;NA;NA;0.039;NA;0.233;0.401;NA;-0.027
PF3D7_0200800;-0.426;0.138;-0.037;-0.139;-0.081;-0.114;-0.17;-0.507
PF3D7_0200900;NA;NA;NA;NA;NA;NA;NA;NA
PF3D7_0201000;0.209;-0.174;0.105;-0.116;0.076;-0.073;0.397;-0.208
PF3D7_0201100;NA;0.268;0.055;NA;0.363;0.312;NA;-0.003
PF3D7_0201200;NA;NA;NA;NA;NA;NA;NA;NA
PF3D7_0201300;NA;-0.359;-0.657;NA;-0.02;NA;0.105;NA
PF3D7_0201400;NA;NA;-0.36;NA;-0.394;NA;NA;NA
PF3D7_0201500;0.806;0.568;0.966;0.364;0.256;0.429;0.27;0.151
PF3D7_0201600;0.573;0.033;0.418;-0.092;-0.2635;-0.207;0.0825;-0.0405
PF3D7_0201700;2.619;1.321;2.8;0.7435;0.716;0.4775;0.06;0.1645
PF3D7_0201800;0.596;0.3785;0.3985;-0.204;0.0645;-0.098;-0.052;-0.145
PF3D7_0201900;1.58975;-0.3575;1.00025;-0.642;-0.0275;0.058;-0.12175;-0.0165
PF3D7_0202000;0.933;0.3165;0.218;0.469;0.1505;0.1925;-0.154;-0.224
PF3D7_0202100;0.387;0.762;0.476;0.436;0.795;0.654;-0.166;0.416
PF3D7_0202200;1.036;0.308;1.026;NA;0.062;-0.036;0.056;-0.323
PF3D7_0202300;0.059;NA;-0.14;-0.485;NA;-0.652;NA;-0.033
PF3D7_0202400;1.122;0.471;0.8855;0.284;0.0875;0.1585;-0.292;-0.2725
PF3D7_0202500;0.376;-0.607;0.173;-0.841;-1.068;-0.798;-0.607;0.611
PF3D7_0202600;-0.5725;0.071;-1.1585;0.1965;0.131;0.0275;-0.2165;-0.038
PF3D7_0202700;-1.59;-0.0885;-0.96;-0.134;0.042;-0.0965;-0.0025;-0.0945
PF3D7_0202900;0.043;-0.731;-0.355;-0.092;-0.076;0.026;0.319;0.391
PF3D7_0203000;-0.481;0.118666666666667;-0.856666666666667;0.165;-0.306333333333333;-0.303333333333333;-0.337666666666667;-0.0463333333333333
PF3D7_0203100;0.29;0.6314;-0.0282;0.7638;0.42325;0.5532;-0.2294;0.4368
PF3D7_0203300;-1.221;-0.446;-0.219;-0.41;-0.454;-0.302;-0.15;-0.182
PF3D7_0203400;0.051;0.128;0.315;-0.185;-0.255;-0.052;-0.116;-0.067
PF3D7_0203600;0.14;0.121;0.4805;-0.04;-0.0565;-0.0915;0.174;-0.0135
PF3D7_0203700;-0.0685;-0.468;0.0785;-0.2935;-0.631;-0.6225;0.2955;-0.01
PF3D7_0203800;-0.1975;-0.1715;-0.1995;-0.0115;-0.179;-0.1565;-0.048;0.032
PF3D7_0203900;-2.232;-0.592;-0.9755;-0.246;-0.161;-0.4375;-0.1395;-0.093
PF3D7_0204000;-0.214;-0.4115;-0.2415;-0.1745;-0.1435;-0.357;-0.1015;-0.269
PF3D7_0204100;0.18775;0.25225;-0.158;0.25875;0.14025;0.16475;-0.16725;-0.03475
PF3D7_0204200;0.285;0.236;-0.034;0.32;0.021;0.227;0.133;0.298
PF3D7_0204300;-1.1525;-0.8225;-0.93;-0.4975;-0.8395;-0.895;-0.158;-0.5625
PF3D7_0204500;-1.3815;-0.9365;-0.9695;-0.472;-0.4615;-0.5915;-0.2235;-0.3145
PF3D7_0204600;-0.687;-0.326;-1.018;0.0115;-0.243;-0.064;0.03;0.183
PF3D7_0204700;0.4545;0.323;0.681;0.354;0.407;0.4835;0.00799999999999999;0.065
PF3D7_0204800;0.229;-0.131;0.0845;0.1735;0.28;0.168;0.319;0.1165
PF3D7_0204900;-0.458;-0.392;-0.589;-0.251;0.013;-0.03;0.281;0.159
PF3D7_0205000;0.925;0.154;0.533;0.4;0.102;0.1025;0.169;0.407
PF3D7_0205100;0.776;0.058;0.229;0.492;0.658;-0.042;0.1875;0.2315
PF3D7_0205300;0.205;0.763;1.1365;0.628;0.486;0.496;0.282;0.566
PF3D7_0205400;-0.0275;-0.2915;0.123;-0.4425;-0.3635;-0.2865;0.066;-0.116
PF3D7_0205500;0.26;0.251;0.325;1.112;0.372;0.307;0.361;0.29
PF3D7_0205600;0.316;-0.498;0.04;-0.2045;0.2665;0.23;0.3275;0.222
PF3D7_0205700;-1.1695;-0.5525;-0.5055;-0.839;-0.702;-0.563;0.089;0.0285
PF3D7_0205900;-0.692;-0.046;-0.426;-0.072;-0.184;0.0255;-0.0495;-0.138
PF3D7_0206000;-0.216333333333333;-0.05;-0.421;0.01;-0.04;0.0576666666666667;-0.100333333333333;-0.193
PF3D7_0206100;-1.011;-0.299;-0.382;-0.216;-0.381;-0.137;-0.101;-0.218
PF3D7_0206200;0.541;0.598;0.318;0.3115;0.5565;0.3525;-0.322;0.329
PF3D7_0206300;1.403;0.21175;1.213375;0.0355;-0.178125;-0.128625;-0.082125;-0.00575000000000001
PF3D7_0206500;0.920333333333333;-0.0745;1.09466666666667;-0.0436666666666667;-0.131333333333333;-0.231333333333333;-0.0133333333333333;-0.0936666666666667
PF3D7_0206600;0.58;0.4;0.539;0.434;0.226;0.171;0.069;0.442
PF3D7_0206700;0.2305;0.4735;0.4665;0.322;0.6145;0.1665;0.014;-0.0605
PF3D7_0206800;-0.618;0.679;-0.473;0.47;0.26;0.225;0.076;0.643
PF3D7_0206900;-0.923;0.141;-1.163;0.324;0.286;0.496;0.285;0.812
PF3D7_0207000;-1.054;-0.285;-0.394;-0.488;NA;0.295;-0.234;0.208
PF3D7_0207100;-0.153;-0.127;-0.370333333333333;0.292;0.194;0.0145;-0.104;0.259666666666667
PF3D7_0207200;-0.904;0.605;-0.71;0.578;0.074;0.015;-0.244;-0.083
PF3D7_0207300 ;NA;NA;0.125;NA;0.236;0.2535;0.093;0.026
PF3D7_0207400;-1.4245;-0.6435;-1.06;-0.214;-0.6705;-0.814;-0.388;-0.5695
PF3D7_0207500;0.931;0.547;0.38;0.5345;0.6565;0.5705;0.2055;0.305
PF3D7_0207600;0.548;0.3025;-0.106;0.4815;0.158;0.055;-0.145;0.05
PF3D7_0207700;1.3925;0.4075;0.5425;0.674;0.618;0.6985;0.145;0.4065
PF3D7_0207800;-0.896;-0.639;-0.6695;-0.599;-0.603;-0.557;0.0625;0.248
PF3D7_0207900;3.768;2.604;3.0275;2.514;2.357;2.406;-0.03;0.1895
PF3D7_0208000;0.947;0.4515;1.2955;-0.002;0.121;0.0615;-0.2815;-0.1375
PF3D7_0208100;-0.871333333333333;-0.477333333333333;-1.44833333333333;0.00733333333333333;-0.163666666666667;-0.198;0.145333333333333;-0.0863333333333333
PF3D7_0208200;0.534;-1.097;0.754;-1.082;-0.121;-0.197;0.124;0.246
PF3D7_0208300;1.177;0.7;1.3575;0.5845;0.497;0.533;0.1295;0.409
PF3D7_0208400;0.456;0.345333333333333;0.438;0.260333333333333;0.231666666666667;0.137;0.0173333333333333;-0.212666666666667
PF3D7_0208500;-0.715;-0.05;0.1;-0.209;-0.06;-0.074;-0.274;-0.267
PF3D7_0208600;-0.4945;-0.38;-1.1745;-0.0365;-0.049;-0.1955;0.283;0.058
PF3D7_0208700;0.888;-0.195;0.584;-0.218;-0.194;-0.104;-0.01;0.003
PF3D7_0208800;0.561;0.727;0.52;0.761;0.376;0.204;0.141;0.218
PF3D7_0208900;0.531;-0.248;-0.08375;-0.214;-0.525;0.26;0.158333333333333;0.32125
PF3D7_0209000;-0.03525;-0.799666666666667;-0.1045;0.171666666666667;0.228666666666667;0.1882;0.0905;0.3408
PF3D7_0209100;0.36;-0.002;0.155;0.1625;-0.069;0.1075;-0.061;-0.086
PF3D7_0209200;-0.292;-0.607;-0.341;-0.34;NA;-0.282;0.006;-0.233
PF3D7_0209300;-1.202;-0.915;-0.713;-0.687;-0.931;-0.893;-0.141;-0.179
PF3D7_0209500;-2.198;-0.002;-0.2355;-0.131;-0.4185;-0.335;-0.088;0.374
PF3D7_0209600;0.0965;0.173;0.1725;-0.061;-0.1805;-0.016;-0.155;-0.193
PF3D7_0209700;-0.2815;-0.0555;-0.4045;0.113;-0.044;0.086;0.0705;-0.0465
PF3D7_0209800;0.814;-0.3565;0.171;-0.398;0.266;-0.1985;0.041;-0.017
PF3D7_0210000;0.27;-0.146;-0.104;-0.029;-0.051;0.053;0.114;-0.048
PF3D7_0210100;-1.002;-0.258;-0.617;-0.336;-0.328;-0.073;-0.188;-0.085
PF3D7_0210200;-0.250333333333333;-0.14675;-0.74;0.04925;-0.0213333333333333;-0.20425;0.028;-0.27875
PF3D7_0210300;-0.4385;-0.177;-0.4075;-0.022;-0.022;-0.2035;0.0235;-0.1275
PF3D7_0210500;0.412;-0.025;0.4985;-0.0255;-0.0965;-0.207;-0.0835;-0.315
PF3D7_0210600;1.358;1.2115;1.343;0.991;0.896;0.878;-0.1625;0.721
PF3D7_0210700;0.263;0.441;0.799;-0.061;0.308;0.272;0.175;0.698
PF3D7_0210800;0.573;-1.066;0.9595;-0.083;0.188;-0.078;0.4035;0.0895
PF3D7_0210900;-1.14;-0.463;-1.116;-0.066;-0.171;-0.1;-0.176;-0.394
PF3D7_0211100;-0.462;-0.201;-0.107;-0.146;NA;0.0945;0.048;0.19
PF3D7_0211200;-0.483;0.354;-0.021;0.335;0.384;0.347;0.436;0.133
PF3D7_0211300;-0.37;-0.226;-0.845;0.094;0.358;0.138;0.287;0.409
PF3D7_0211400;0.8155;0.339;0.296;0.4185;0.5085;0.3545;0.321;-0.063
PF3D7_0211500;-0.627;-0.298;-0.458;0.04;-0.394;-0.252;0.182;0.15
PF3D7_0211600;1.127;0.73;1.221;0.467;NA;0.359;0.519;0.239
PF3D7_0211700;-0.4315;-0.049;-0.5765;-0.029;0.048;0.301;0.093;0.282
PF3D7_0211800;-0.4945;0.116;-0.395;0.086;0.0375;0.168;-0.143;-0.083
PF3D7_0211900;-0.325;-0.277;-0.0155;-0.284;-0.214;-0.2365;-0.0065;-0.155
PF3D7_0212000;NA;-0.214;-0.354;-0.022;0.084;-0.018;0.089;0.152
PF3D7_0212100;0.371333333333333;0.094;-0.127666666666667;0.181333333333333;-0.089;-0.0243333333333333;0.0616666666666667;-0.163
PF3D7_0212200;0.593;0.092;0.934;-0.208;0.098;0.09;0.373;0.331
PF3D7_0212300;-0.108;-0.331;-0.099;-0.2405;-0.1385;-0.3125;-0.154;-0.115
PF3D7_0212400;-0.511142857142857;0.0848571428571429;-0.337714285714286;0.0312857142857143;-0.139142857142857;-0.0468571428571429;-0.262285714285714;-0.255142857142857
PF3D7_0212500;-0.4315;0.0576666666666667;-0.634666666666667;0.1375;-0.07;0.0261666666666667;-0.0276666666666667;-0.0991666666666667
PF3D7_0212600;1.603;-0.476;1.501;-0.715;0.503;0.426;0.035;0.971
PF3D7_0212700;-0.587;-0.076;0.3195;-0.0595;-0.1345;0.0065;0.051;-0.1375
PF3D7_0212800;1.9115;0.089;1.3075;0.4095;0.2715;0.229;0.011;-0.1565
PF3D7_0212900;-1.31;-0.462;-1.132;-0.019;0.1515;0.2405;0.1695;-0.0425
PF3D7_0213000;-1.038;0.011;-0.731;0.251;0.013;-0.069;0.261;0.241
PF3D7_0213100;0.005;-0.357;-0.379;-0.611;-0.414;-0.377;-0.272;-0.307
PF3D7_0213200;-0.753;-0.717;-0.46;-0.408;-0.073;-0.403;0.448;-0.053
PF3D7_0213400;-0.05;-0.097;-0.048;-0.103;0.096;NA;0.342;0.134
PF3D7_0213500;0.296;0.322;0.698;-0.034;0.1015;0.0665;-0.1715;0.156
PF3D7_0213600;0.231333333333333;0.252666666666667;0.0723333333333333;0.192;-0.198;-0.0693333333333333;-0.415666666666667;-0.084
PF3D7_0213700;-0.885;-0.414;-0.131;-0.069;-0.596;-0.593;0.352;0.206
PF3D7_0213800;-0.543;-0.869;-0.069;-1.0945;-0.6575;-0.2855;-0.6225;-0.783
PF3D7_0213900;0.0725;0.0435;-0.118;0.146;-0.3355;0.051;-0.0475;-0.169
PF3D7_0214000;-0.338;-0.876;-0.4325;-0.488;0.305;-0.0305;0.1595;-0.0665
PF3D7_0214100;-0.621333333333333;-0.218666666666667;-0.885666666666667;-0.021;-0.239;-0.240666666666667;-0.189333333333333;-0.276
PF3D7_0214200;1.388;0.32;1.582;0.162;0.156;0.129;0.245;0.218
PF3D7_0214300;3.095;1.08975;3.191;0.903333333333333;1.01125;0.88875;0.059;-0.08375
PF3D7_0214400;0.7025;0.269;0.7815;0.0475;-0.199;-0.214;0.285;0.009
PF3D7_0214500;-0.065;-0.363;0.499;-0.367;-0.395;-0.374;-0.093;0.182
PF3D7_0214600;3.35433333333333;1.489;2.763;1.263;1.06966666666667;1.14633333333333;-0.135333333333333;0.883666666666667
PF3D7_0214700;0.913;0.791;1.611;0.408;0.729;0.186;NA;0.656
PF3D7_0214800;0.718;0.260666666666667;0.485666666666667;0.220333333333333;0.076;-0.0806666666666667;0.00433333333333333;0.005
PF3D7_0214900;-0.91;-0.1;-0.7505;0.184;-0.104;-0.1935;-0.096;0.2135
PF3D7_0215000;0.55;0.202;0.2175;0.3565;0.323;-0.041;-0.0015;0.196
PF3D7_0215100;-0.718;0.013;-0.144;-0.074;-0.057;-0.106;NA;0.207
PF3D7_0215200;1.629;-0.18;1.695;0.96;0.788;NA;-0.053;-0.171
