X;HDATP1;HDATP1.1;HDATP2;HDATP2.2;HDATP3;HDATP3.3;HDATP1c;HDATP1c2
PF3D7_0619600;-0.462;-0.1875;-0.316;-0.0595;0.125;0.00799999999999999;-0.2015;-0.3015
PF3D7_0619700;0.00575000000000001;-0.364;-0.43575;-0.63;0.48325;0.5285;NA;0.07875
PF3D7_0619800;-1.07066666666667;-0.57475;-1.25975;-0.48825;-0.65825;-0.32275;-0.338333333333333;-0.40075
PF3D7_0619900;-0.221;0.081;-0.163;NA;0.646;0.356;0.322;0.359
PF3D7_0620000;2.6525;1.2305;2.4765;NA;0.857;NA;0.137;0.354
PF3D7_0620100;-0.122;-1.007;0.27;-0.074;-0.163;-0.276;0.123;0.298
PF3D7_0620200;1.699;1.584;NA;1.499;1.625;1.8;0.622;0.782
PF3D7_0620300;0.793;0.919;0.8095;0.35;0.856;0.856;-0.086;0.367
PF3D7_0620400;0.499;0.6705;0.515;0.625;0.7325;0.734;0.22;0.72
PF3D7_0620500;-0.16;0.23;0.0445;0.3445;0.3375;0.504;-0.0595;0.00349999999999999
PF3D7_0620600;0.411;0.102;-0.203;0.342;0.471;0.028;-0.128;-0.319
PF3D7_0620700;1.056;0.632;1.056;0.3175;0.965;0.4215;0.137;0.117
PF3D7_0621000;-1.898;-0.8655;-1.2905;-0.8355;-0.835;-0.661;-0.049;-0.3625
PF3D7_0621100;-0.383;0.597;-0.0596666666666667;0.470666666666667;0.626666666666667;0.618;0.073;0.492
PF3D7_0621200;0.498;0.352;0.977;-0.065;0.187;0.121;0.038;0.06
PF3D7_0621300;1.0685;0.224;1.2525;-0.1405;-0.068;-0.066;0.119;0.1455
PF3D7_0621400;0.0485;1.1445;0.326;0.953;1.092;1.199;-0.2005;0.657
PF3D7_0621500;1.105;0.708;1.51;-1.502;0.513;0.414;0.16;0.102
PF3D7_0621700;0.646;0.172;0.557;0.111333333333333;0.147;0.0633333333333333;0.0106666666666667;-0.154333333333333
PF3D7_0621800;-0.092;-0.158;0.154;-0.162;0.023;-0.124;0.167;-0.208
PF3D7_0621900;-0.2795;-0.0305;-0.19;-0.087;0.2625;0.221;-0.00449999999999999;0.013
PF3D7_0622000;0.533;0.6;0.65;0.113;0.492;0.613;-0.309;-0.375
PF3D7_0622100;0.3365;0.396;0.4205;0.4305;0.3675;0.272;0.135;-0.038
PF3D7_0622200;-0.418;-0.276;0.0965;-0.204;-0.224;-0.2865;0.0105;-0.255
PF3D7_0622300;0.544;0.329;0.4485;0.288;-0.2025;0.063;0.185;-0.11
PF3D7_0622400;-2.118;-0.705;-1.272;-0.461;-0.443;-0.626;0.134;0.042
PF3D7_0622500;0.607;-0.6375;0.539;0.314;0.092;0.2885;0.35;0.133
PF3D7_0622700;-0.3205;0.0645;0.7365;-0.091;-0.219;-0.275;-0.5755;-0.525
PF3D7_0622800;-0.149;-0.327666666666667;0.208;-0.410333333333333;-0.342;-0.459666666666667;-0.0626666666666667;-0.252666666666667
PF3D7_0622900;1.23566666666667;0.529666666666667;1.30166666666667;0.108666666666667;0.0653333333333333;-0.085;-0.244666666666667;0.0846666666666667
PF3D7_0623000;0.147;-0.2305;-0.065;-0.0545;0.096;0.0405;0.0245;-0.052
PF3D7_0623100;0.1475;-0.8285;0.068;-0.146;-0.1675;-0.27;0.096;0.066
PF3D7_0623200;0.4685;0.048;0.7085;0.014;-0.076;0.062;-0.137;-0.229
PF3D7_0623300;0.548;-0.187;0.407;-0.289;-0.084;-0.119;0.343;-0.023
PF3D7_0623400;1.146;0.061;1.0545;0.258;-0.019;-0.219;0.283;0.394
PF3D7_0623500;-0.09;0.177;0.309;-0.061;-0.171;0.028;0.082;0.197
PF3D7_0623600;0.0155;-0.147;0.021;-0.1105;-0.1595;-0.0215;-0.123;-0.511
PF3D7_0623700;0.5415;0.387;0.0225;0.421;0.379;0.379;0.113;-0.2525
PF3D7_0623800;1.3615;0.26125;1.48275;-0.05725;-0.2765;-0.32275;-0.07125;-0.07375
PF3D7_0623900;0.43;-0.032;0.143;0.119;0.035;0.231;0.249;0.404
PF3D7_0624000;-0.5865;-0.547;0.3045;-0.252;-0.072;0.0405;0.3075;0.269
PF3D7_0624100;-1.939;-0.528;NA;-0.342;-0.169;-0.164;0.351;0.162
PF3D7_0624200;-0.701;-0.724;-0.905;-0.248;-0.476;-0.333;0.019;-0.072
PF3D7_0624300;0.07;0.071;-0.349;0.356;-0.112;-0.085;-0.161;-0.006
PF3D7_0624400;0.085;-0.162;0.251;-0.044;-0.067;-0.1235;0.179;0.0415
PF3D7_0624500;-0.034;-0.002;0.442;-0.166;0.019;-0.236;-0.246;-0.189
PF3D7_0624600;-0.0624;-0.4488;-0.219;-0.1762;-0.1414;-0.2082;-0.0432;-0.2898
PF3D7_0624700;-0.267;-0.394;-0.946;0.105;0.022;0.281;0.279;0.192
PF3D7_0624800;0.9855;0.603;0.735;0.579;0.543;0.581;0.081;0.1885
PF3D7_0624900;NA;1.427;1.793;1.017;0.823;1.041;-0.101;0.148
PF3D7_0625000;-0.173;0.607;0.2105;0.5795;0.458;0.4965;-0.0285;0.2605
PF3D7_0625100;-0.239;0.1465;0.246;0.373;0.3595;0.237;0.325;0.431
PF3D7_0625200;-1.567;-0.959;-1.339;-0.848;-0.855;-0.659;-0.046;-0.116
PF3D7_0625300;-0.133;0.01;-0.728;0.183;0.227666666666667;0.222333333333333;-0.0165;-0.155
PF3D7_0625400;1.369;-0.5675;1.3935;-0.7095;-0.1285;-0.1375;-0.081;0.1685
PF3D7_0625500;2.69;0.745;2.598;0.296;0.252;0.583;0.365;0.532
PF3D7_0625600;0.3435;0.26;0.698;0.1215;0.127;0.1395;0.065;0.0085
PF3D7_0625700;-0.524;-0.305;-0.841;-0.332;-0.424;-0.305;0.197;-0.093
PF3D7_0625800;-0.484;-0.0615;-0.166;-0.1465;-0.139;-0.149;0.095;-0.147
PF3D7_0625900;0.105;-0.142;0.307;NA;-0.35;-0.055;-0.07;-0.144
PF3D7_0626000;-0.095;-0.166333333333333;0.308666666666667;-0.206333333333333;0.072;-0.0566666666666667;0.012;0.067
PF3D7_0626100;0.2235;-0.2365;0.459;-0.4235;-0.053;-0.159;-0.216;-0.153
