"","MAL13P1.124","MAL13P1.137","MAL13P1.256","MAL7P1.75","MAL8P1.123","MAL8P1.132","PF07_0074","PF10_0085","PF10_0152","PF10_0374","PF11_0090","PF11_0162","PF11_0260","PF11_0435","PF11_0438","PF13_0032","PF13_0095","PF13_0137","PF13_0219","PF14_0071","PF14_0112","PF14_0238","PF14_0360","PF14_0499","PF14_0562","PF14_0593","PF14_0713","PF14_0719","PFB0590w","PFB0920w","PFC0090w","PFC0400w","PFD0470c","PFD0545w","PFE0205w","PFE0430w","PFE0450w","PFE0585c","PFE1280w","PFE1390w","PFF0200c","PFF0875w","PFF0965c","PFF1150w","PFF1155w","PFF1280w","PFI1185c","PFI1425w","PFL0580w","PFL0685w","D_class","Class","Compound"
"Staurosporine_H10","-0.059897290","-0.185153866","-0.347265510"," 0.523584992","-0.1200797229"," 0.4723451650"," 0.715472944","-0.571493262"," 0.389966808","-0.066162873"," 0.123865594","-0.345657870"," 0.1574404118"," 0.614897123","-0.0333862342"," 0.249313607"," 0.43913972"," 0.1563395065"," 0.518770784","-0.3735363522","-3.398417e-01"," 0.271007371","-0.421091471"," 0.126600195"," 0.24163642"," 0.0219538802","-0.138930636","-0.5259704551"," 0.621024383","-0.179099805","-0.875348565"," 0.059895593"," 0.099916806"," 0.208279281"," 0.074360218"," 0.366735346"," 0.596062432","-0.0429038799","-0.086324848"," 0.3366777758"," 0.35148928","-0.1471677285","-0.732918414","-0.010846951"," 0.110055977","-0.184007001"," 0.695956566"," 0.155517669"," 0.194455467","-0.434181768",5,4,"Staurosporine"
"Staurosporine_H12","-0.216564202","-0.526412894","-0.652966464"," 0.103387676"," 0.1815995783"," 0.5744567335"," 0.747780104","-1.164549356"," 0.067379273","-0.072826587","-0.276232814","-0.631756226"," 0.1772746000"," 0.002388495","-0.2877096514"," 0.274416430"," 0.76386837"," 0.6379424812","-0.580015786","-0.0761395253"," 3.467657e-01"," 0.022264381","-0.636475896"," 0.112046018"," 0.53177605","-0.0837182870","-0.194558259"," 0.3118063998"," 0.645126482","-0.470390493","-1.068382827"," 0.037412200","-0.283158347"," 0.367090334","-0.811366553","-0.112048867"," 0.639333330"," 0.0502331806","-0.111286635"," 0.9786075894","-0.23446345","-0.4085707143"," 0.082988737","-0.694561434"," 0.034220958","-0.911710320"," 0.814524788","-0.354820438"," 0.011909157","-0.121506161",5,4,"Staurosporine"
"Cyclosporine_H1"," 0.368769724","-0.186668032","-0.643547286","-0.609683422"," 0.5078271338"," 0.2418416072","-0.128746076","-0.532219188","-0.007902723"," 1.011293231","-0.230898091","-0.667060140","-0.3257420363","-0.534622181"," 1.0927701834","-0.549730021"," 0.01271036","-0.2280204764","-0.163520314","-0.2029452511"," 4.551929e-01","-0.056557642","-0.471443952","-0.303390755"," 0.84090836"," 0.0915364930"," 1.077081427","-0.1962380558","-0.441926953","-0.016688593"," 0.428755611","-1.063427845","-0.483973372","-0.231571904","-0.492431777"," 0.037364330"," 0.006803604","-0.2498273747"," 0.803765989","-0.0553646451"," 0.35800914","-0.3585328669"," 0.132391681","-0.588648464","-0.414361924","-0.089352653"," 0.098424500"," 0.322447916","-0.026874022","-0.613998531",6,5,"Cyclosporine"
"Cyclosporine_H2"," 0.301373712","-0.092879603","-0.291270346","-0.805358409"," 0.2433021970"," 0.1150720025","-0.024315570","-0.344137521","-0.111900045"," 0.820602308","-0.134930008","-0.329289406","-0.3159018895","-0.145645502"," 0.6408176780","-0.424618242","-0.14385907","-0.2575973797","-0.144862258","-0.0480112260"," 6.815847e-01"," 0.001231259","-0.285768714","-0.415837538"," 0.82053621"," 0.3083563964"," 0.567851074","-0.2046128310"," 0.032754726","-0.087090313"," 0.281615743","-0.389414728","-0.507752804","-0.162732679","-0.274072932"," 0.204294988","-0.166717396","-0.3034352649"," 0.570764068","-0.2310184599"," 0.04455787","-0.1564621043"," 0.110949573","-0.196589129","-0.361118090","-0.407375531"," 0.459256704","-0.139231055","-0.354781215","-0.409957680",6,5,"Cyclosporine"
"Cyclosporine_H4"," 0.230110721","-0.201378551","-0.504302923","-0.781774851"," 0.5779825913"," 0.1977665357","-0.281645022","-0.217843413","-0.235941012"," 0.138430164"," 0.043294006","-0.435031542","-0.4532272236","-0.210581382"," 0.8456171998","-0.460035069","-0.23776087","-0.2182261493","-0.147200327","-0.1561865269","-2.903683e-02","-0.165409475","-0.356964695","-0.344848174"," 0.78003757"," 0.4062751036"," 0.888138666","-0.0988884726","-0.352455773","-0.055480465"," 0.206497838","-0.675505467","-0.465510978","-0.244757174","-0.398004748"," 0.209308160","-0.002305715","-0.1369560572"," 0.820195897","-0.1400351192"," 0.15803175","-0.3053732604"," 0.069416498","-0.271476573","-0.256507295","-0.188562730","-0.054465480","-0.423583412","-0.073641472","-0.341829863",6,5,"Cyclosporine"
"Cyclosporine_H6"," 0.132608385","-0.075262884","-0.144268817","-0.729128962"," 0.2820388267","-0.1222954260","-0.020309413"," 0.003003495","-0.158285608"," 0.715920002","-0.116564631","-0.184148542","-0.3053650517"," 0.038967276"," 1.0406557114","-0.599196639","-0.20493663","-0.2534679237","-0.124828474","-0.1778226264","-2.141715e-02","-0.273719238","-0.488621173","-0.154932891"," 1.52972171"," 0.2443172492"," 0.718928821","-0.1404963449","-0.273096589"," 0.430375514","-0.186724553","-0.197418542","-0.088812782","-0.098819540","-0.345859231"," 0.221932274","-0.164114950","-0.2480369305"," 0.726265968","-0.3042739821"," 0.54563196"," 0.1324635331"," 0.039324178","-0.499047918","-0.041218086","-0.421098225","-0.121132380","-0.556345240"," 0.016606343","-0.165373616",6,5,"Cyclosporine"
"Cyclosporine_H8"," 0.451804920","-0.117020541","-0.069779677","-0.780870223"," 0.3827835299"," 0.0840684005","-0.291178406","-0.188023197","-0.102215329"," 0.887189978","-0.082911938","-0.180798629","-0.2666571356","-0.049188646"," 1.1703130968","-0.387107064","-0.05772741","-0.0466821396"," 0.020854804","-0.5078058901"," 1.488347e-01","-0.473423386","-0.371833631","-0.239723807"," 1.00824053"," 0.3446686744"," 1.157288984"," 0.0664842334","-0.345510240"," 0.210262294"," 0.279610676","-0.767435430","-0.268585894"," 0.199824997","-0.222297417"," 0.242647261","-0.212382303","-0.1025562415"," 0.744241025","-0.1137695740"," 0.67345755"," 0.0001095511"," 0.027307867","-0.694455205","-0.169778101","-0.139183686"," 0.127263089","-0.347095179","-0.235779271"," 0.021863812",6,5,"Cyclosporine"
"Cyclosporine_H10"," 0.420260927","-0.107083905","-0.207675945","-0.696164061"," 0.5662835543","-0.0496415135","-0.138223968","-0.059117632","-0.434978597","-0.888085043","-0.076127985","-0.156474425","-0.4388602734","-0.087875929"," 0.6461328826","-0.485703465","-0.16879826","-0.1233335235","-0.056573572","-0.2216285274"," 1.338874e-01","-0.098025346","-0.201801045","-0.443200059"," 0.29061787"," 0.1906254695"," 0.754145881"," 0.0214493260","-0.450516598"," 0.030080617","-0.041494484","-0.514321947","-0.310342083"," 0.215657214"," 0.022753410"," 0.379874665","-0.095238741","-0.3945122061"," 0.269536950","-0.0997282845"," 0.21049606","-0.4373431801"," 0.258721246","-0.634811173","-0.291924268","-0.027095540"," 0.118618083","-0.121450279","-0.289925212","-0.046446474",6,5,"Cyclosporine"
"Cyclosporine_H12"," 0.307436088","-0.105322297","-0.363733316","-0.625692700"," 0.4918307515"," 0.1516904722","-0.293779659","-0.342742577","-0.098164536"," 0.787684362","-0.040945058","-0.309144764","-0.4750854462","-0.138901274"," 1.0472640836","-0.450294739","-0.23883171","-0.2968770674","-0.073384969","-0.0983098309"," 2.280839e-01","-0.057432346","-0.091274235","-0.531700826"," 0.79002524"," 0.1095067433"," 0.909489570","-0.0091972990","-0.211894162","-0.157297061"," 0.086700881","-0.455576091","-0.395091529","-0.231890509","-0.198763739"," 0.319921066","-0.224863047","-0.2884829889"," 0.288513537","-0.2393163659"," 0.20801773","-0.3521057173"," 0.117096079","-0.591677085","-0.318082375"," 0.747687820"," 0.183516587","-0.373806291","-0.371385447","-0.241569272",6,5,"Cyclosporine"
"Cyclosporine_H14"," 0.528734817","-0.153617292","-0.203897861","-0.621857459"," 0.5043612289"," 0.4651765554"," 0.170746347","-0.292733490","-0.177195054"," 0.634491646"," 0.045205538","-0.486115316","-0.5225387117","-0.056244331"," 0.8334878405","-0.591296977"," 0.00300129","-0.2130406814"," 0.026735266","-0.3340917720"," 1.284038e-02","-0.242936526","-0.132529915","-0.081914273","-0.29178863"," 0.0776350408"," 0.938848317","-0.1726178632","-0.422628335","-0.034931189","-0.036314951","-0.559113190","-0.033999459"," 0.064857129"," 0.035288272"," 0.499326958","-0.019739670","-0.3487963060","-0.577474422","-0.2521744762"," 0.32156310","-0.2565025271"," 0.089307946","-0.276714414","-0.512289122"," 0.057097767","-0.122956804","-0.237836777","-0.234843336","-0.017603580",6,5,"Cyclosporine"
"Colchine_H1","-0.105673326","-0.114105789","-0.371096125","-0.620774812","-0.0871893776"," 0.0378423338","-0.218961137"," 0.043290847","-0.611689407","-0.195846122"," 0.053869366","-0.259148708"," 0.3687693052","-0.141840555"," 0.5325770829"," 0.171546114","-0.21153986"," 0.3927940856","-0.237450158","-0.4904694396","-3.944865e-02"," 0.009957927"," 0.079060912"," 0.250704367"," 0.10269607"," 0.5396383528","-0.092827463"," 0.0631308532"," 0.286665020"," 0.214717362"," 0.263162245"," 0.580927888","-0.226383989"," 0.154979803","-0.095195426"," 0.124370121","-0.021935793"," 0.1062068834"," 0.257512880","-0.3692140454"," 0.32814474","-0.1613477293"," 0.079003030","-0.028682864","-0.119486166"," 0.603751339","-0.402684074"," 0.009170612"," 0.298366829"," 0.152756594",7,6,"Colchine"
"Colchine_H2","-0.062508419","-0.227446560","-0.056443619","-0.139124810"," 0.1066385780","-0.0833811525"," 0.020436322","-0.037962081"," 0.177260713","-0.252976418","-0.079970477"," 0.041000649"," 0.1453512720","-0.199229659"," 0.6331612858"," 0.019691425","-0.02230266"," 0.2437528582","-0.122728100","-0.1261524201","-1.145368e-01"," 0.012236324"," 0.091771746"," 0.098697533"," 0.08665765"," 0.2397125382"," 0.101228047"," 0.2081927418"," 0.069288376"," 0.060881760","-0.098539544"," 0.482748675","-0.141251816"," 0.138898276","-0.219600727","-0.074421924"," 0.038213757"," 0.3841286130"," 0.190288363","-0.2197578773"," 0.01323937","-0.0687264322","-0.022960508","-0.014569681"," 0.097604236"," 0.182258736","-0.167050297","-0.050006373"," 0.091614678","-0.005235923",7,6,"Colchine"
"Colchine_H4","-0.001943864","-0.127412700"," 0.019376368","-0.257673193"," 0.2624733542","-0.0285508915","-0.124935445"," 0.266735401","-0.096879777","-0.391630702"," 0.060325991"," 0.159456490","-0.0660763624","-0.039350692"," 0.7165530323","-0.401212685"," 0.22523318"," 0.1966023948","-0.008515589"," 0.0509103930","-1.357577e-01","-0.010256706"," 0.125608230"," 0.246252502"," 0.07849881"," 0.2454836022","-0.034487899"," 0.0001920367"," 0.458122462","-0.070824115"," 0.094749696"," 0.049852150","-0.104830158","-0.203245626","-0.030072345"," 0.167243319"," 0.073469499"," 0.3141391489","-0.073962003","-0.0882998317"," 0.02199396","-0.0388800825"," 0.092485672","-0.291973657"," 0.094226716","-0.064943306"," 0.022863444"," 0.008716127","-0.116210192"," 0.164864763",7,6,"Colchine"
"Colchine_H6"," 0.069135065","-0.010508552"," 0.024351087","-0.034641290"," 0.1104814753","-0.1414984702","-0.128297409"," 0.247435038"," 0.102405658","-0.223963834"," 0.079758079","-0.152226270"," 0.0816906106","-0.064694649"," 0.2528977147","-0.055186028","-0.09144410"," 0.0779982997"," 0.051143917"," 0.0152668149"," 1.716051e-01","-0.045216515","-0.162161949"," 0.144325172"," 0.11697526"," 0.3242793308"," 0.122363745"," 0.0998776882"," 0.152383566"," 0.093067870"," 0.035809400"," 0.065437993","-0.165164784","-0.004185907"," 0.024657361"," 0.131334886"," 0.175716484"," 0.2170973746","-0.150249800","-0.1398266728"," 0.15672787"," 0.0475669777"," 0.017804277","-0.187049967"," 0.003771761","-0.033119689"," 0.005215365","-0.118050596","-0.055305173"," 0.126666549",7,6,"Colchine"
"Colchine_H8","-0.009236766","-0.141578180","-0.146337843","-0.167929020"," 0.0235580619","-0.2415768012"," 0.053740373"," 0.268605129"," 0.169312463"," 0.295196547","-0.094749909","-0.020071092"," 0.0948203951","-0.199866208"," 0.8771596730","-0.202004463"," 0.10751585"," 0.1282643129"," 0.041891064","-0.1276111481","-1.004836e-01","-0.206312319","-0.002320497","-0.005665948"," 0.50136961"," 0.1291088501"," 0.085592247"," 0.0312877940"," 0.260870885"," 0.108545804","-0.329669717","-0.149065926","-0.175623723","-0.013644347","-0.077541792","-0.005619798"," 0.085612523"," 0.3386004902","-0.017163281","-0.1677178295","-0.19097045"," 0.0761855908","-0.131461637","-0.213598050"," 0.283725408","-0.203505688","-0.160822381","-0.169416355"," 0.006716054"," 0.023469305",7,6,"Colchine"
"PMSF_H1"," 0.013878793","-0.079374456"," 0.657535772"," 0.020346715"," 0.4948905130","-0.5704677168"," 1.238583480","-0.017054461","-0.020533137"," 0.346351105"," 0.126167422","-0.671586699","-0.5616809394"," 0.681018715","-1.1197842767","-0.676201132"," 0.52669198","-0.2734901042"," 1.042563122"," 0.2249391810","-1.967981e-01","-0.177938987"," 0.699883577","-0.043204783"," 0.04572665","-0.3853396094"," 0.213268243","-0.1321603609","-0.489547021","-0.047314927"," 0.233900273","-0.397519460","-0.022159375"," 0.639565244"," 0.059713056"," 0.549787066","-0.220772196","-0.7707462237","-1.128535347"," 0.4559578588"," 0.26615608"," 0.5297296592","-0.328247634","-0.781154877","-0.466532564","-0.633311858"," 1.246093403","-0.630713322","-0.567457243","-0.928817326",8,7,"PMSF"
"PMSF_H2"," 0.055628060"," 0.042742422"," 0.930136961"," 0.138812014"," 0.1148616460","-0.0004724186"," 1.183216765"," 0.048572491"," 0.457900067"," 1.168068416","-0.057129459","-0.905685405"," 0.0742949641"," 0.496598693","-1.2401931715","-0.585932285","-0.10724502"," 0.2656502283"," 0.874152887","-0.9226393325","-2.120510e-01","-0.266420837"," 0.275779917","-0.014229612","-0.80413318","-0.3374310630","-0.330167741"," 0.0099572942","-0.016900251"," 1.125059466"," 0.517526678"," 0.434779144"," 0.106473046"," 0.854374162"," 0.031736510"," 0.291365991","-0.182464897","-0.7718034762","-0.878902244"," 0.1841113734"," 0.19613816"," 0.9048633670","-0.432690170","-0.461710281","-1.065026893"," 0.338517793"," 0.736993914","-0.686865796","-0.121149940","-0.690488688",8,7,"PMSF"
"PMSF_H4"," 0.194715738","-0.100765683"," 0.702945997"," 0.173249466"," 0.1508118186"," 0.2694533325"," 1.288858803","-0.027430252"," 0.775338481"," 1.097288781"," 0.139871182","-1.011182199"," 0.3451409858"," 0.482705140","-1.3122856321","-0.718913288"," 0.02910867"," 0.2616051387"," 1.044797156","-0.9108871143","-2.756711e-01","-0.624141637"," 0.149486395"," 0.132880707","-1.09919451","-0.2869777071","-0.333752233","-0.0656887381"," 0.165717854"," 1.222131837"," 0.265872499"," 0.141830135","-0.074536447"," 0.647519087","-0.042245204"," 0.231004049"," 0.030897743","-0.9670671936","-0.594384781"," 0.3458411757","-0.18971303"," 1.2153349578","-0.456117629","-0.027607867","-1.053554784","-0.129324679"," 0.747755773","-0.890655273","-0.017591712","-0.623064618",8,7,"PMSF"
"PMSF_H6","-0.149618302","-0.607675630","-0.004514758"," 0.377813767"," 0.3439835983"," 0.8585530397"," 1.407769836"," 0.288896159"," 0.766171957"," 1.132796984"," 0.150396251","-1.016796478"," 0.7447600549"," 0.080226480","-0.7155969270","-0.471276742","-0.20150151"," 0.3366256204"," 1.024786936","-0.8888445346","-2.984704e-01","-0.676706283","-0.004017084"," 0.197109380","-0.68730115","-0.1911741033","-0.110369330"," 0.0523323291"," 0.174608263"," 1.387706901"," 0.331242221"," 0.819085246","-0.226543278"," 0.232820835","-0.159658157"," 0.148631261","-0.148581924","-0.5329419085","-0.479191100"," 0.3762585895","-1.00040539"," 0.3911061764","-0.503982056"," 0.506436592","-0.848470693","-0.482136088"," 0.632647338","-0.974569538","-0.093832314","-0.723553758",8,7,"PMSF"
"PMSF_H8","-0.217755924","-0.948421944","-0.545582253"," 0.121243926"," 0.4620470178"," 0.5992667242"," 1.191626326"," 0.388850520"," 0.071935026"," 1.581226832"," 0.187929414","-0.885222561"," 0.7823721550"," 0.069486822","-0.6267148611","-0.887603743"," 0.22409415"," 0.3012720528"," 0.928509579","-0.9571921312","-2.974434e-01","-0.919116954"," 0.112801446"," 0.404095074","-0.41523750"," 0.0007427409"," 0.185427458","-0.0746006896"," 0.137265670"," 1.014821499"," 0.215400599"," 0.209090511","-0.603658767"," 0.296450295","-0.309116613"," 0.194635420"," 0.002652758","-0.4623234038","-1.107823223"," 0.5472598022","-1.32569911","-0.4517709310","-0.413146522"," 0.011263351","-1.028435566","-1.400104925"," 0.631373388","-1.507643477","-0.847076898","-0.396792746",8,7,"PMSF"
"Leupeptine_H1","-0.079025754","-0.064057340","-0.091838732"," 0.464936975","-0.0787595212","-0.3131008607"," 0.042106324","-0.334920221"," 0.935361327","-0.226010684","-0.057527617","-0.075027190","-0.2159496298"," 0.009560744","-0.4432279534"," 0.011763522","-0.17057303","-0.1742029304"," 0.196947220"," 0.1313128969","-6.269775e-02"," 0.246846898"," 0.008930599","-0.108268381"," 0.04319766","-0.2985637969"," 0.150481798"," 0.3039501247"," 0.004087465","-0.182085412","-0.443460739"," 0.144826681"," 0.257631370","-0.083641493"," 0.047144215","-0.037557568","-0.083336374","-0.0824488525"," 0.126307050"," 0.1775277546","-0.23348954","-0.1253969795"," 0.058915626","-0.141001983"," 0.382832305","-0.006631821"," 0.008917141","-0.081186153","-0.107660943","-0.172000304",9,8,"Leupeptine"
"Leupeptine_H2"," 0.023931270","-0.014012165","-0.035964216","-0.002496802"," 0.1157297341","-0.0973786999","-0.111183823"," 0.017235356"," 0.197072909"," 0.113985880","-0.126906139","-0.056728311","-0.5354608582","-0.040666615"," 0.4094649759"," 0.089535301","-0.12223433","-0.1133307523"," 0.007995550","-0.3283886120"," 9.115196e-02","-0.099617215"," 0.305191747","-0.029546140"," 0.44254131"," 0.0742699020","-0.187128185"," 0.1728680737","-0.176961819"," 0.123916675"," 0.170908768","-0.575705301"," 0.006241156","-0.054643737","-0.005630018","-0.134619079","-0.117749187"," 0.2111169976","-0.208195801","-0.0248339096","-0.08541856","-0.1738713959"," 0.024196257"," 0.009207985","-0.048508374"," 0.119386756","-0.024459142","-0.052032941","-0.067905674","-0.075780020",9,8,"Leupeptine"
"Leupeptine_H4"," 0.100219197"," 0.033295023","-0.084398031","-0.037453219","-0.0417963461"," 0.1089489654","-0.054242586","-0.080006480","-0.083071807","-0.095506849"," 0.191475442","-0.114615944"," 0.1046713095","-0.049532552","-0.4490496848","-0.039923309","-0.06202353","-0.0129520056","-0.129306597","-0.0014141807"," 1.802715e-02"," 0.067793022","-0.063093527","-0.081439658","-0.23375390"," 0.0959318523","-0.068776774","-0.1087587185","-0.014367431","-0.023859935","-0.358390374","-0.302374262"," 0.022896513"," 0.037348986","-0.184152212","-0.166425080"," 0.004063342","-0.2378238957"," 0.280125142"," 0.1213873140"," 0.05261353"," 0.2371580502"," 0.015076165"," 0.283789027","-0.338595929","-0.246638523","-0.038347776"," 0.147145672"," 0.091015400"," 0.121516950",9,8,"Leupeptine"
"Leupeptine_H6","-0.168978494","-0.053195305","-0.064082518"," 0.113847364","-0.0007568808"," 0.1449672624"," 0.368045164","-0.067070331"," 0.407624005"," 0.243379444","-0.134053859","-0.015578424"," 0.2293748971","-0.144924486","-0.1255958849","-0.111428992","-0.38552440","-0.1373878363","-0.142142558"," 0.1649988759","-3.413696e-02"," 0.050042293","-0.037574865"," 0.097839336"," 0.22149274","-0.0038516928","-0.091035227","-0.0072061837","-0.324135954"," 0.241644300","-0.087327106"," 0.375409104"," 0.092533088","-0.277661578","-0.209560592"," 0.050982547","-0.097121445"," 0.0501396752"," 0.297329747","-0.0031575090","-0.03851279"," 0.0385103025","-0.182565572"," 0.104247249","-0.056745766"," 0.053084497","-0.069785325","-0.158429918"," 0.239761183","-0.202460740",9,8,"Leupeptine"
"Leupeptine_H8"," 0.032937468"," 0.090306974","-0.163612726","-0.163659941","-0.0554324952"," 0.0368633085"," 0.055631488","-0.057862274"," 0.038224312"," 0.648959874","-0.058672702","-0.013311341"," 0.4307607040","-0.088112624","-0.1823916599"," 0.073115548"," 0.05211846"," 0.0577350987","-0.087725629","-0.0385529163"," 1.900207e-01"," 0.015353652","-0.098204803"," 0.059113154","-0.40375286"," 0.0990607982"," 0.056235935"," 0.0371075898","-0.032866845"," 0.106537645","-0.035508815"," 0.466169763","-0.169654088"," 0.001731436","-0.131101110"," 0.044496629"," 0.122458863"," 0.0392692684"," 0.017381346","-0.0579086225"," 0.38547365"," 0.0895779402"," 0.012597922"," 0.128860601","-0.311014137"," 0.099630781","-0.157749890"," 0.036316617"," 0.061560543","-0.030718284",9,8,"Leupeptine"
"Apicidin_H1","-0.046033850","-0.152660769"," 0.131931431","-0.507256508","-0.6121045240"," 0.1176269304"," 0.242785634","-0.089153774"," 0.666849970","-0.131452895"," 0.265132638"," 0.084178477"," 0.4674031756"," 0.104283317"," 0.0662630287","-0.297297844","-0.05104866"," 0.1329562023","-0.017712779","-0.1052596231","-3.242945e-01"," 0.023412706"," 0.068904604","-0.096786514"," 0.54906489"," 0.1464954804"," 0.053285970"," 0.1403913072","-0.275873299","-0.148528317"," 0.127530698","-0.060277341","-0.066903068","-0.040239279"," 0.035173667"," 0.068526115"," 0.028910307","-0.2774035653","-0.700762306","-0.0185754582"," 0.33743794","-0.4398151141","-0.133312539","-0.277841485","-0.064428417","-0.405086355"," 0.286609889","-0.656244081","-0.397939015"," 0.125323412",10,9,"Apicidin"
"Apicidin_H2"," 0.215745718"," 0.092932462"," 0.120458102","-0.260759249","-0.0282637409","-0.0438163374"," 0.236634669","-0.242610682"," 0.196197615"," 0.314804537","-0.020496270","-0.151742128","-0.0389088918"," 0.091668301","-0.5929638089"," 0.080159086","-0.12206749"," 0.1454657859"," 0.073379660","-0.0550377222"," 3.430892e-01"," 0.106740899","-0.299721379","-0.119437749"," 0.14000745","-0.1457992080"," 0.191614116","-0.0276359050","-0.167390238"," 0.326849676","-0.089903050"," 0.075640394"," 0.037297439"," 0.069201991"," 0.085936350"," 0.146867027","-0.044884748","-0.0303285916","-0.448306384","-0.0942510290"," 0.21271822"," 0.0284447905"," 0.186491911"," 0.155583447","-0.150982227","-0.080492227"," 0.402571279"," 0.034342182","-0.181426958"," 0.073441222",10,9,"Apicidin"
"Apicidin_H4"," 0.005308789","-0.006378377","-0.079105727","-0.077536214","-0.0936876022"," 0.2469944686"," 0.094283243","-0.243662816"," 0.147816216"," 0.250165992"," 0.158480302","-0.030424441","-0.1391106407","-0.085182245"," 0.0479083127","-0.130977237","-0.08977964"," 0.0485183726","-0.017546498"," 0.1215062233"," 1.301230e-02","-0.033529306","-0.116944623","-0.250658335"," 0.21836198","-0.1129622555","-0.004785416","-0.0928188859"," 0.197780374"," 0.110926756","-0.020240747"," 0.350524429","-0.074621160"," 0.227960180","-0.043430885","-0.047230190","-0.168498746","-0.0904176655","-0.059043307"," 0.0527930376"," 0.14803317"," 0.0645282394","-0.102629367"," 0.200066856"," 0.088406601","-0.276712990"," 0.143154989"," 0.084174573","-0.183404060"," 0.206325872",10,9,"Apicidin"
"Apicidin_H6","-0.105196653","-0.003886237"," 0.116598097","-0.029973865","-0.0614642124"," 0.8434544377"," 0.220233033","-0.073832062"," 0.266900275"," 0.279001233"," 0.105210041","-0.125149066"," 0.1395551754"," 0.135858721","-0.1614220269","-0.104605443","-0.18771464"," 0.3150737356"," 0.190832513","-0.0399032780"," 1.401918e-01"," 0.261035443","-0.113246393","-0.035316629","-0.02171584","-0.1511904127","-0.134150437"," 0.0491114132"," 0.055619618"," 0.107428843","-0.031295548"," 0.215284460"," 0.182729994","-0.008145315"," 0.059973795"," 0.145619452","-0.001723909"," 0.0664819121","-0.123570486"," 0.1045997672"," 0.08162083","-0.1452639832","-0.037404738"," 0.094902201","-0.085314775"," 0.272564577"," 0.278818802","-0.018655539","-0.208241097","-0.228110345",10,9,"Apicidin"
"Apicidin_H8","-0.131313769","-0.095638965","-0.009727095"," 0.159624803","-0.1881741266"," 0.4098764295"," 0.319424441"," 0.067461852"," 0.013167675"," 0.230931288","-0.005309758"," 0.012362449"," 0.0786439916","-0.123432942"," 0.2719228104","-0.092455228","-0.09292746"," 0.1702683827"," 0.072349229"," 0.1711529313","-5.598409e-02"," 0.158214892","-0.195416921"," 0.082606733"," 0.01017960","-0.1815397412","-0.032942726"," 0.0575261487"," 0.174668355"," 0.058393614","-0.218918297"," 0.237866961"," 0.103852354","-0.433335356","-0.259740003","-0.019410451","-0.090406174","-0.0577473002","-0.040370108"," 0.0969549785","-0.10529933"," 0.0513564785","-0.072419726","-0.066848241"," 0.042573764"," 0.096196841"," 0.140133878","-0.009227192","-0.160202600","-0.153055160",10,9,"Apicidin"
"Apicidin_H10"," 0.050572731","-0.038900026"," 0.027257665"," 0.008425785","-0.1175907709","-0.0433390023"," 0.150645252","-0.110604445"," 0.380075687"," 0.090051272","-0.140623145","-0.193718903"," 0.3566325947","-0.065788933","-0.1392508734","-0.118111188","-0.15576070"," 0.1845012387","-0.089534244","-0.1981675448","-3.841074e-02"," 0.093985980","-0.332373808"," 0.064966822","-0.28205582","-0.1207184423"," 0.111765351"," 0.1429936978","-0.100357986"," 0.081589717"," 0.062309463"," 0.570294749"," 0.161880119"," 0.210616458","-0.103889530"," 0.011270195","-0.052848637","-0.1046635333"," 0.110033826","-0.0142179182"," 0.08694159"," 0.0498941053","-0.105489467"," 0.147942886","-0.009511559"," 0.003855741"," 0.345750565"," 0.007813540"," 0.092779064"," 0.144046007",10,9,"Apicidin"
"Trichostatin_H1","-0.113532479"," 0.061456630"," 0.883417751"," 0.139475826","-0.6800022700"," 0.4693055248","-0.237501485","-0.134587706","-0.636867925"," 0.360978267"," 0.383325087"," 0.561382375"," 0.2202865822","-0.860415732"," 0.0070853952","-0.166945442","-0.52252414"," 0.6043252884","-0.356016492","-0.0000849478"," 2.828524e-01","-0.486700096"," 0.869864019"," 0.077542544"," 0.09335618"," 0.3948900805"," 0.341063698"," 0.0820749127","-0.330300740"," 1.548535141"," 0.238246240"," 0.473590755","-0.158379350"," 1.452131318","-0.445541607","-0.210933914","-0.475998453"," 0.0022339841","-1.676235367"," 0.4418826427"," 0.71826027"," 0.0552648001","-1.244880386"," 0.323096289"," 0.305236434","-0.279065539"," 0.270439643","-1.612094038","-0.116628978","-0.814841070",11,10,"Trichostatin"
"Trichostatin_H2"," 0.099077134"," 0.167781239"," 0.507349139","-0.476537875","-0.6615271454"," 1.0243514379","-0.621181831"," 0.068345237","-0.785355715"," 0.934568862","-0.187998259","-0.270236277","-0.5500367302","-0.263984959"," 0.1454279045","-0.265563014","-0.51727144"," 0.7677983175"," 0.117143138","-0.1822807584"," 7.280272e-01","-0.473172035"," 1.061580489","-0.254612189","-0.35900203"," 0.0576586587"," 0.526275690","-0.2938361025","-0.548846916"," 0.785116875"," 0.009895266"," 0.109453787","-0.198136259"," 1.393717476"," 0.278829352"," 0.196031156","-0.973111035","-0.1378585146","-1.271546201","-0.2059178775"," 0.23367988"," 0.4855152817","-0.996236575"," 0.629706344","-0.006973877","-0.065911345","-0.503965807","-0.433372438","-0.661674786","-1.442135477",11,10,"Trichostatin"
