"","MAL13P1.124","MAL13P1.137","MAL13P1.256","MAL7P1.75","MAL8P1.123","MAL8P1.132","PF07_0074","PF10_0085","PF10_0152","PF10_0374","PF11_0090","PF11_0162","PF11_0260","PF11_0435","PF11_0438","PF13_0032","PF13_0095","PF13_0137","PF13_0219","PF14_0071","PF14_0112","PF14_0238","PF14_0360","PF14_0499","PF14_0562","PF14_0593","PF14_0713","PF14_0719","PFB0590w","PFB0920w","PFC0090w","PFC0400w","PFD0470c","PFD0545w","PFE0205w","PFE0430w","PFE0450w","PFE0585c","PFE1280w","PFE1390w","PFF0200c","PFF0875w","PFF0965c","PFF1150w","PFF1155w","PFF1280w","PFI1185c","PFI1425w","PFL0580w","PFL0685w","D_class","Class","Compound"
"ACTTP5","-0.027316587"," 0.114292517","-1.087297480","-0.755973024"," 0.4179221687","-0.1182237659","-0.329116191","-0.180454049"," 0.282937216","-0.230980675"," 0.706940463","-0.222687062","-0.1171552495"," 0.700895802","-0.7095597847"," 0.374782289","-0.11218169"," 0.3960880218"," 0.749434146","-0.0979932438"," 1.405340e-01","-0.078239365","-0.496010032"," 0.602983756"," 0.45757797"," 0.1124342728","-0.271164784","-0.1067360897","-0.593653095","-0.113886181","-0.483878528","-0.229487896"," 0.389050712"," 1.156985979"," 0.335342289"," 0.507265175"," 0.523071746","-0.7661924788","-1.004229432"," 0.0863522231"," 0.27602046","-0.7183068260","-0.338780739"," 0.213815151","-0.389429912","-0.153506930"," 1.497392000","-0.113621013"," 0.199079675","-0.659746787",2,2,"ACTd"
"ML_7_H1"," 0.409124218"," 0.205364855"," 0.171294066","-0.283183109"," 0.4181116927","-0.1830838845","-0.011927297","-1.211730566"," 0.109403873"," 0.429883626","-0.473622115"," 0.216839594","-0.6594917718"," 0.464243833"," 0.2844252712","-0.380534941"," 0.32858807"," 0.0197223510","-0.651797419"," 0.0220144752","-4.451680e-01","-0.117300163"," 0.529313875"," 0.192351424"," 0.48358341"," 0.5090079699"," 0.182821488"," 0.3358842993","-0.436843996","-0.852103192","-0.144204774","-1.170097348"," 1.051945582"," 0.498882345"," 0.528717744","-0.789166281","-0.328237371"," 0.0630277666","-0.788327959","-0.5488825432","-0.11943690","-0.5270685025"," 0.036587662"," 0.268154668"," 0.428605768","-0.002444691","-0.020807183"," 0.006273720"," 0.543334485","-0.602821991",3,3,"ML_7"
"ML_7_H2"," 0.289426667"," 0.225836892"," 0.290600025","-0.129984659"," 0.5133514364","-0.0996289155"," 0.118442476","-0.720295320"," 0.646579792","-0.771564077","-0.604932611"," 0.155531423","-0.7273651437"," 0.700419903"," 0.4420801876","-0.195098816"," 0.23222129"," 0.0435640376","-0.360244118"," 0.0290571433","-7.605009e-01","-0.442216012"," 0.267217676"," 0.245416413"," 0.57699104"," 0.5832715422"," 0.493172238"," 0.2489086969","-0.497215787","-0.857354611","-0.338604673","-1.202790976"," 1.357396584"," 0.476630155"," 0.987531976","-0.441921460","-0.331284288","-0.0318315137","-0.981579835","-0.6066606283","-0.07693573","-0.2915469404"," 0.013916170"," 0.266985138"," 0.509092131","-0.452815216"," 0.049020037","-0.066152719"," 0.478752651","-0.532006601",3,3,"ML_7"
"ML_7_H4"," 0.318901060"," 0.018675555"," 0.203658365","-0.601936462"," 0.2683786907","-0.1603121260","-0.093388293","-0.519368115"," 0.321650066","-0.073458398","-0.405193966"," 0.211657490","-0.8934721568"," 0.744104562"," 0.4528587324","-0.441591622"," 0.26670151"," 0.0920811706","-0.342030066"," 0.1429218295","-5.905855e-01","-0.179439741"," 0.298406005"," 0.186933996"," 0.77948929"," 0.3587773880"," 0.133268916"," 0.1791204450","-0.496492136","-0.864147999","-0.372847272","-1.235541646"," 0.996883997"," 0.137477674"," 0.552237804","-0.387677248","-0.303406842"," 0.0916149170","-0.712542990","-0.5577325993","-0.11370141","-0.5193108223"," 0.002945456"," 0.368240967"," 0.433280899","-0.325850227","-0.145169835","-0.240445799"," 0.283255920","-0.341509157",3,3,"ML_7"
"ML_7_H6"," 0.286227967"," 0.011787464"," 0.273506260"," 0.041894735"," 0.2304152598","-0.6196054155","-0.580935533","-0.580113902"," 0.114353114","-1.764416657","-0.394548099"," 0.152569113","-0.4512291488"," 0.717952340"," 0.6359476709","-0.279930869"," 0.42339367","-0.3055342199","-0.451319525"," 0.0497333649","-4.800860e-01","-0.272246140"," 0.431000704"," 0.037474886"," 0.49947747"," 0.2978964138","-0.182076438","-0.2041825171","-0.531478352","-1.351453812","-0.319259023","-0.710279012"," 0.868033005"," 0.345155038"," 0.488692408","-0.316791699","-0.242099801"," 0.3065607042","-0.060022757","-0.9221943670","-0.11021971","-0.2440992810"," 0.104381456"," 0.278779186"," 0.222256270","-0.339529391","-0.881648505"," 0.689013262"," 0.354230052","-0.364345539",3,3,"ML_7"
"ML_7_H8"," 0.622939985"," 0.212151991"," 0.184849747","-0.334271435"," 0.7739460120"," 0.2511630297"," 0.165536393","-0.882282494"," 0.130447711"," 0.130867043","-0.197310550"," 0.150747516","-0.9057537583"," 0.325631903"," 0.9280969732","-0.036647826"," 0.45864650","-0.2018917294","-1.062262709","-0.2909634298","-3.493134e-01"," 0.183755009"," 0.277691894"," 0.461504280"," 1.20039197"," 0.7294473121"," 0.436365522"," 0.3002878634","-0.896274533","-0.848971006","-0.692163884","-1.291195056"," 1.173670548"," 0.297203759"," 0.712597400","-0.363785258"," 0.012336529","-0.2246010459","-0.654274469","-0.5785350741","-0.59523632","-0.3729004376"," 0.132604737"," 0.181241890"," 0.665611714","-0.616983869","-0.158970388","-0.141837410"," 0.395662710"," 0.173022593",3,3,"ML_7"
"ML_7_H10"," 0.031672403"," 0.047572144"," 0.259880232","-1.095684195","-0.1505873423","-0.1412058711","-0.328343084","-0.203755235"," 0.334828934"," 0.113031397","-0.319122427"," 0.048759277","-0.1253045338"," 0.050599313","-0.3086911979"," 0.045756509"," 0.37150330"," 0.2856709126"," 0.584015666","-0.2352898889","-1.912675e-01","-0.375033517","-0.110635719"," 0.108621899"," 0.54145815"," 0.1772376697","-0.013715842"," 0.1859876139"," 0.024670974"," 0.079236512","-0.239386693","-0.331160969"," 0.123998360"," 0.023019484","-0.317355416","-0.442357266","-0.174509032"," 0.2296326374","-0.547102285"," 0.2382384539"," 0.08441433","-0.4013984341","-0.240007799"," 0.664940035"," 0.188936541","-0.536041274"," 0.177537551","-0.441274937"," 0.330279442","-0.491029464",3,3,"ML_7"
"ML_7_H12","-0.028342590","-0.033055967"," 0.024329850","-0.664382691","-0.0191056815","-0.3065727973","-0.196534826","-0.528208272","-0.036678874","-0.211389295","-0.606721240","-0.076409470","-0.0105086399"," 0.379436571"," 0.5028240962","-0.104775552"," 0.45639820"," 0.3619641119"," 0.036435451","-0.1995876659"," 1.234333e-01","-0.355613456","-0.358349872"," 0.174951233"," 0.07889643"," 0.0317914625","-0.480901590"," 0.0186092989","-0.052879115"," 0.014704928"," 0.044308914","-0.069227063","-0.081238093"," 0.347622336","-0.520622750","-0.616879131"," 0.067595522"," 0.2591997429","-0.448145872"," 0.3421999305","-0.04290429","-0.3772800676","-0.418539798"," 0.775359811"," 0.039267716","-0.525374507"," 0.242351952","-0.277499800"," 0.335266933","-0.459143399",3,3,"ML_7"
"W7_H1","-0.140843916","-0.207598638","-0.306903970","-0.321159320"," 0.3642359823"," 0.0829415862"," 0.271906673","-0.757747938"," 0.028884412","-0.256344861","-0.228758339"," 0.221904038","-0.2028182501","-0.037545005"," 0.8162680249","-0.615600863"," 0.07777226"," 0.0485169303","-0.742088287"," 0.4095480067","-1.283533e-01"," 0.376996885"," 0.102938370","-0.019197590"," 0.72599908"," 0.2715840478"," 0.030031611"," 0.0171024591","-0.206832962","-0.772896776"," 0.103828210","-0.911240055"," 0.064369248"," 0.110721226"," 0.101335181","-0.288785321","-0.373962589","-0.3915677898","-0.514028184","-0.2139118202","-0.29445186","-0.5988300845","-0.006204569"," 0.981640953"," 0.413475560"," 0.277428207","-0.008491105","-0.614699385"," 0.266513959","-0.415621955",4,3,"W_7"
"W7_H2","-0.069354853"," 0.018755729","-0.136188436","-0.276907741"," 0.2494119347","-0.0470598766"," 0.332747932","-0.373211506"," 0.830331728","-0.430419654"," 0.083906187"," 0.039429935","-0.2479415065"," 0.279203807"," 0.1768846118","-0.452209575"," 0.29534199","-0.0009508931","-0.415011950"," 0.3768251942","-1.646073e-01","-0.191013287"," 0.046152130"," 0.130203006"," 0.60322079"," 0.3404046390"," 0.033753002"," 0.0743204115","-0.535184283","-0.928064137","-0.260154793","-0.592913182"," 0.041925184"," 0.511474816"," 0.509683988","-0.307505225","-0.427203887","-0.0109372540","-0.579880111","-0.5611080404","-0.15259025","-0.3281168998"," 0.081421365"," 0.581332226"," 0.424932624"," 0.069193864"," 0.436443440"," 0.195683444"," 0.500656884","-0.761567259",4,3,"W_7"
